seriescode,unit,StatVar
BAR.NOED.5054.ZS,dcs:Percent,worldBank/BAR_NOED_5054_ZS
BAR.NOED.5559.FE.ZS,dcs:Percent,worldBank/BAR_NOED_5559_FE_ZS
BAR.NOED.5559.ZS,dcs:Percent,worldBank/BAR_NOED_5559_ZS
BAR.NOED.6064.FE.ZS,dcs:Percent,worldBank/BAR_NOED_6064_FE_ZS
BAR.NOED.6064.ZS,dcs:Percent,worldBank/BAR_NOED_6064_ZS
BAR.NOED.6569.FE.ZS,dcs:Percent,worldBank/BAR_NOED_6569_FE_ZS
BAR.NOED.6569.ZS,dcs:Percent,worldBank/BAR_NOED_6569_ZS
BAR.NOED.7074.FE.ZS,dcs:Percent,worldBank/BAR_NOED_7074_FE_ZS
BAR.NOED.7074.ZS,dcs:Percent,worldBank/BAR_NOED_7074_ZS
BAR.NOED.75UP.FE.ZS,dcs:Percent,worldBank/BAR_NOED_75UP_FE_ZS
BAR.NOED.75UP.ZS,dcs:Percent,worldBank/BAR_NOED_75UP_ZS
BAR.POP.1519,,worldBank/BAR_POP_1519
BAR.POP.1519.FE,,worldBank/BAR_POP_1519_FE
BAR.POP.15UP,,worldBank/BAR_POP_15UP
BAR.POP.15UP.FE,,worldBank/BAR_POP_15UP_FE
BAR.POP.2024,,worldBank/BAR_POP_2024
BAR.POP.2024.FE,,worldBank/BAR_POP_2024_FE
BAR.POP.2529,,worldBank/BAR_POP_2529
BAR.POP.2529.FE,,worldBank/BAR_POP_2529_FE
BAR.POP.25UP,,worldBank/BAR_POP_25UP
BAR.POP.25UP.FE,,worldBank/BAR_POP_25UP_FE
BAR.POP.3034,,worldBank/BAR_POP_3034
BAR.POP.3034.FE,,worldBank/BAR_POP_3034_FE
BAR.POP.3539,,worldBank/BAR_POP_3539
BAR.POP.3539.FE,,worldBank/BAR_POP_3539_FE
BAR.POP.4044,,worldBank/BAR_POP_4044
BAR.POP.4044.FE,,worldBank/BAR_POP_4044_FE
BAR.POP.4549,,worldBank/BAR_POP_4549
BAR.POP.4549.FE,,worldBank/BAR_POP_4549_FE
BAR.POP.5054,,worldBank/BAR_POP_5054
BAR.POP.5054.FE,,worldBank/BAR_POP_5054_FE
BAR.POP.5559,,worldBank/BAR_POP_5559
BAR.POP.5559.FE,,worldBank/BAR_POP_5559_FE
BAR.POP.6064,,worldBank/BAR_POP_6064
BAR.POP.6064.FE,,worldBank/BAR_POP_6064_FE
BAR.POP.6569,,worldBank/BAR_POP_6569
BAR.POP.6569.FE,,worldBank/BAR_POP_6569_FE
BAR.POP.7074,,worldBank/BAR_POP_7074
BAR.POP.7074.FE,,worldBank/BAR_POP_7074_FE
BAR.POP.75UP,,worldBank/BAR_POP_75UP
BAR.POP.75UP.FE,,worldBank/BAR_POP_75UP_FE
BAR.PRM.CMPT.1519.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_1519_FE_ZS
BAR.PRM.CMPT.1519.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_1519_ZS
BAR.PRM.CMPT.15UP.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_15UP_FE_ZS
BAR.PRM.CMPT.15UP.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_15UP_ZS
BAR.PRM.CMPT.2024.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_2024_FE_ZS
BAR.PRM.CMPT.2024.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_2024_ZS
BAR.PRM.CMPT.2529.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_2529_FE_ZS
BAR.PRM.CMPT.2529.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_2529_ZS
BAR.PRM.CMPT.25UP.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_25UP_FE_ZS
BAR.PRM.CMPT.25UP.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_25UP_ZS
BAR.PRM.CMPT.3034.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_3034_FE_ZS
BAR.PRM.CMPT.3034.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_3034_ZS
BAR.PRM.CMPT.3539.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_3539_FE_ZS
BAR.PRM.CMPT.3539.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_3539_ZS
BAR.PRM.CMPT.4044.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_4044_FE_ZS
BAR.PRM.CMPT.4044.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_4044_ZS
BAR.PRM.CMPT.4549.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_4549_FE_ZS
BAR.PRM.CMPT.4549.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_4549_ZS
BAR.PRM.CMPT.5054.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_5054_FE_ZS
BAR.PRM.CMPT.5054.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_5054_ZS
BAR.PRM.CMPT.5559.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_5559_FE_ZS
BAR.PRM.CMPT.5559.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_5559_ZS
BAR.PRM.CMPT.6064.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_6064_FE_ZS
BAR.PRM.CMPT.6064.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_6064_ZS
BAR.PRM.CMPT.6569.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_6569_FE_ZS
BAR.PRM.CMPT.6569.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_6569_ZS
BAR.PRM.CMPT.7074.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_7074_FE_ZS
BAR.PRM.CMPT.7074.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_7074_ZS
BAR.PRM.CMPT.75UP.FE.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_75UP_FE_ZS
BAR.PRM.CMPT.75UP.ZS,dcs:Percent,worldBank/BAR_PRM_CMPT_75UP_ZS
BAR.PRM.ICMP.1519.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_1519_FE_ZS
BAR.PRM.ICMP.1519.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_1519_ZS
BAR.PRM.ICMP.15UP.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_15UP_FE_ZS
BAR.PRM.ICMP.15UP.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_15UP_ZS
BAR.PRM.ICMP.2024.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_2024_FE_ZS
BAR.PRM.ICMP.2024.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_2024_ZS
BAR.PRM.ICMP.2529.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_2529_FE_ZS
BAR.PRM.ICMP.2529.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_2529_ZS
BAR.PRM.ICMP.25UP.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_25UP_FE_ZS
BAR.PRM.ICMP.25UP.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_25UP_ZS
BAR.PRM.ICMP.3034.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_3034_FE_ZS
BAR.PRM.ICMP.3034.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_3034_ZS
BAR.PRM.ICMP.3539.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_3539_FE_ZS
BAR.PRM.ICMP.3539.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_3539_ZS
BAR.PRM.ICMP.4044.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_4044_FE_ZS
BAR.PRM.ICMP.4044.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_4044_ZS
BAR.PRM.ICMP.4549.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_4549_FE_ZS
BAR.PRM.ICMP.4549.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_4549_ZS
BAR.PRM.ICMP.5054.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_5054_FE_ZS
BAR.PRM.ICMP.5054.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_5054_ZS
BAR.PRM.ICMP.5559.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_5559_FE_ZS
BAR.PRM.ICMP.5559.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_5559_ZS
BAR.PRM.ICMP.6064.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_6064_FE_ZS
BAR.PRM.ICMP.6064.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_6064_ZS
BAR.PRM.ICMP.6569.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_6569_FE_ZS
BAR.PRM.ICMP.6569.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_6569_ZS
BAR.PRM.ICMP.7074.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_7074_FE_ZS
BAR.PRM.ICMP.7074.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_7074_ZS
BAR.PRM.ICMP.75UP.FE.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_75UP_FE_ZS
BAR.PRM.ICMP.75UP.ZS,dcs:Percent,worldBank/BAR_PRM_ICMP_75UP_ZS
BAR.PRM.SCHL.1519,,worldBank/BAR_PRM_SCHL_1519
BAR.PRM.SCHL.1519.FE,,worldBank/BAR_PRM_SCHL_1519_FE
BAR.PRM.SCHL.15UP,,worldBank/BAR_PRM_SCHL_15UP
BAR.PRM.SCHL.15UP.FE,,worldBank/BAR_PRM_SCHL_15UP_FE
BAR.PRM.SCHL.2024,,worldBank/BAR_PRM_SCHL_2024
BAR.PRM.SCHL.2024.FE,,worldBank/BAR_PRM_SCHL_2024_FE
BAR.PRM.SCHL.2529,,worldBank/BAR_PRM_SCHL_2529
BAR.PRM.SCHL.2529.FE,,worldBank/BAR_PRM_SCHL_2529_FE
BAR.PRM.SCHL.25UP,,worldBank/BAR_PRM_SCHL_25UP
BAR.PRM.SCHL.25UP.FE,,worldBank/BAR_PRM_SCHL_25UP_FE
BAR.PRM.SCHL.3034,,worldBank/BAR_PRM_SCHL_3034
BAR.PRM.SCHL.3034.FE,,worldBank/BAR_PRM_SCHL_3034_FE
BAR.PRM.SCHL.3539,,worldBank/BAR_PRM_SCHL_3539
BAR.PRM.SCHL.3539.FE,,worldBank/BAR_PRM_SCHL_3539_FE
BAR.PRM.SCHL.4044,,worldBank/BAR_PRM_SCHL_4044
BAR.PRM.SCHL.4044.FE,,worldBank/BAR_PRM_SCHL_4044_FE
BAR.PRM.SCHL.4549,,worldBank/BAR_PRM_SCHL_4549
BAR.PRM.SCHL.4549.FE,,worldBank/BAR_PRM_SCHL_4549_FE
BAR.PRM.SCHL.5054,,worldBank/BAR_PRM_SCHL_5054
BAR.PRM.SCHL.5054.FE,,worldBank/BAR_PRM_SCHL_5054_FE
BAR.PRM.SCHL.5559,,worldBank/BAR_PRM_SCHL_5559
BAR.PRM.SCHL.5559.FE,,worldBank/BAR_PRM_SCHL_5559_FE
BAR.PRM.SCHL.6064,,worldBank/BAR_PRM_SCHL_6064
BAR.PRM.SCHL.6064.FE,,worldBank/BAR_PRM_SCHL_6064_FE
BAR.PRM.SCHL.6569,,worldBank/BAR_PRM_SCHL_6569
BAR.PRM.SCHL.6569.FE,,worldBank/BAR_PRM_SCHL_6569_FE
BAR.PRM.SCHL.7074,,worldBank/BAR_PRM_SCHL_7074
BAR.PRM.SCHL.7074.FE,,worldBank/BAR_PRM_SCHL_7074_FE
BAR.PRM.SCHL.75UP,,worldBank/BAR_PRM_SCHL_75UP
BAR.PRM.SCHL.75UP.FE,,worldBank/BAR_PRM_SCHL_75UP_FE
BAR.SCHL.1519,,worldBank/BAR_SCHL_1519
BAR.SCHL.1519.FE,,worldBank/BAR_SCHL_1519_FE
BAR.SCHL.15UP,,worldBank/BAR_SCHL_15UP
BAR.SCHL.15UP.FE,,worldBank/BAR_SCHL_15UP_FE
BAR.SCHL.2024,,worldBank/BAR_SCHL_2024
BAR.SCHL.2024.FE,,worldBank/BAR_SCHL_2024_FE
BAR.SCHL.2529,,worldBank/BAR_SCHL_2529
BAR.SCHL.2529.FE,,worldBank/BAR_SCHL_2529_FE
BAR.SCHL.25UP,,worldBank/BAR_SCHL_25UP
BAR.SCHL.25UP.FE,,worldBank/BAR_SCHL_25UP_FE
BAR.SCHL.3034,,worldBank/BAR_SCHL_3034
BAR.SCHL.3034.FE,,worldBank/BAR_SCHL_3034_FE
BAR.SCHL.3539,,worldBank/BAR_SCHL_3539
BAR.SCHL.3539.FE,,worldBank/BAR_SCHL_3539_FE
BAR.SCHL.4044,,worldBank/BAR_SCHL_4044
BAR.SCHL.4044.FE,,worldBank/BAR_SCHL_4044_FE
BAR.SCHL.4549,,worldBank/BAR_SCHL_4549
BAR.SCHL.4549.FE,,worldBank/BAR_SCHL_4549_FE
BAR.SCHL.5054,,worldBank/BAR_SCHL_5054
BAR.SCHL.5054.FE,,worldBank/BAR_SCHL_5054_FE
BAR.SCHL.5559,,worldBank/BAR_SCHL_5559
BAR.SCHL.5559.FE,,worldBank/BAR_SCHL_5559_FE
BAR.SCHL.6064,,worldBank/BAR_SCHL_6064
BAR.SCHL.6064.FE,,worldBank/BAR_SCHL_6064_FE
BAR.SCHL.6569,,worldBank/BAR_SCHL_6569
BAR.SCHL.6569.FE,,worldBank/BAR_SCHL_6569_FE
BAR.SCHL.7074,,worldBank/BAR_SCHL_7074
BAR.SCHL.7074.FE,,worldBank/BAR_SCHL_7074_FE
BAR.SCHL.75UP,,worldBank/BAR_SCHL_75UP
BAR.SCHL.75UP.FE,,worldBank/BAR_SCHL_75UP_FE
BAR.SEC.CMPT.1519.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_1519_FE_ZS
BAR.SEC.CMPT.1519.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_1519_ZS
BAR.SEC.CMPT.15UP.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_15UP_FE_ZS
BAR.SEC.CMPT.15UP.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_15UP_ZS
BAR.SEC.CMPT.2024.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_2024_FE_ZS
BAR.SEC.CMPT.2024.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_2024_ZS
BAR.SEC.CMPT.2529.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_2529_FE_ZS
BAR.SEC.CMPT.2529.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_2529_ZS
BAR.SEC.CMPT.25UP.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_25UP_FE_ZS
BAR.SEC.CMPT.25UP.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_25UP_ZS
BAR.SEC.CMPT.3034.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_3034_FE_ZS
BAR.SEC.CMPT.3034.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_3034_ZS
BAR.SEC.CMPT.3539.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_3539_FE_ZS
BAR.SEC.CMPT.3539.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_3539_ZS
BAR.SEC.CMPT.4044.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_4044_FE_ZS
BAR.SEC.CMPT.4044.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_4044_ZS
BAR.SEC.CMPT.4549.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_4549_FE_ZS
BAR.SEC.CMPT.4549.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_4549_ZS
BAR.SEC.CMPT.5054.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_5054_FE_ZS
BAR.SEC.CMPT.5054.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_5054_ZS
BAR.SEC.CMPT.5559.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_5559_FE_ZS
BAR.SEC.CMPT.5559.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_5559_ZS
BAR.SEC.CMPT.6064.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_6064_FE_ZS
BAR.SEC.CMPT.6064.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_6064_ZS
BAR.SEC.CMPT.6569.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_6569_FE_ZS
BAR.SEC.CMPT.6569.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_6569_ZS
BAR.SEC.CMPT.7074.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_7074_FE_ZS
BAR.SEC.CMPT.7074.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_7074_ZS
BAR.SEC.CMPT.75UP.FE.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_75UP_FE_ZS
BAR.SEC.CMPT.75UP.ZS,dcs:Percent,worldBank/BAR_SEC_CMPT_75UP_ZS
BAR.SEC.ICMP.1519.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_1519_FE_ZS
BAR.SEC.ICMP.1519.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_1519_ZS
BAR.SEC.ICMP.15UP.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_15UP_FE_ZS
BAR.SEC.ICMP.15UP.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_15UP_ZS
BAR.SEC.ICMP.2024.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_2024_FE_ZS
BAR.SEC.ICMP.2024.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_2024_ZS
BAR.SEC.ICMP.2529.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_2529_FE_ZS
BAR.SEC.ICMP.2529.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_2529_ZS
BAR.SEC.ICMP.25UP.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_25UP_FE_ZS
BAR.SEC.ICMP.25UP.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_25UP_ZS
BAR.SEC.ICMP.3034.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_3034_FE_ZS
BAR.SEC.ICMP.3034.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_3034_ZS
BAR.SEC.ICMP.3539.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_3539_FE_ZS
BAR.SEC.ICMP.3539.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_3539_ZS
BAR.SEC.ICMP.4044.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_4044_FE_ZS
BAR.SEC.ICMP.4044.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_4044_ZS
BAR.SEC.ICMP.4549.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_4549_FE_ZS
BAR.SEC.ICMP.4549.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_4549_ZS
BAR.SEC.ICMP.5054.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_5054_FE_ZS
BAR.SEC.ICMP.5054.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_5054_ZS
BAR.SEC.ICMP.5559.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_5559_FE_ZS
BAR.SEC.ICMP.5559.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_5559_ZS
BAR.SEC.ICMP.6064.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_6064_FE_ZS
BAR.SEC.ICMP.6064.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_6064_ZS
BAR.SEC.ICMP.6569.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_6569_FE_ZS
BAR.SEC.ICMP.6569.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_6569_ZS
BAR.SEC.ICMP.7074.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_7074_FE_ZS
BAR.SEC.ICMP.7074.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_7074_ZS
BAR.SEC.ICMP.75UP.FE.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_75UP_FE_ZS
BAR.SEC.ICMP.75UP.ZS,dcs:Percent,worldBank/BAR_SEC_ICMP_75UP_ZS
BAR.SEC.SCHL.1519,,worldBank/BAR_SEC_SCHL_1519
BAR.SEC.SCHL.1519.FE,,worldBank/BAR_SEC_SCHL_1519_FE
BAR.SEC.SCHL.15UP,,worldBank/BAR_SEC_SCHL_15UP
BAR.SEC.SCHL.15UP.FE,,worldBank/BAR_SEC_SCHL_15UP_FE
BAR.SEC.SCHL.2024,,worldBank/BAR_SEC_SCHL_2024
BAR.SEC.SCHL.2024.FE,,worldBank/BAR_SEC_SCHL_2024_FE
BAR.SEC.SCHL.2529,,worldBank/BAR_SEC_SCHL_2529
BAR.SEC.SCHL.2529.FE,,worldBank/BAR_SEC_SCHL_2529_FE
BAR.SEC.SCHL.25UP,,worldBank/BAR_SEC_SCHL_25UP
BAR.SEC.SCHL.25UP.FE,,worldBank/BAR_SEC_SCHL_25UP_FE
BAR.SEC.SCHL.3034,,worldBank/BAR_SEC_SCHL_3034
BAR.SEC.SCHL.3034.FE,,worldBank/BAR_SEC_SCHL_3034_FE
BAR.SEC.SCHL.3539,,worldBank/BAR_SEC_SCHL_3539
BAR.SEC.SCHL.3539.FE,,worldBank/BAR_SEC_SCHL_3539_FE
BAR.SEC.SCHL.4044,,worldBank/BAR_SEC_SCHL_4044
