Date,Site_Number,Site_Name,Site_Location,County,Units_Ozone,Units_SO2,Units_CO,Units_NO2,Units_PM2.5,Units_PM10,Mean_Concentration_AirPollutant_Ozone,Max_Concentration_AirPollutant_Ozone,AirQualityIndex_AirPollutant_Ozone,Mean_Concentration_AirPollutant_SO2,Max_Concentration_AirPollutant_SO2,AirQualityIndex_AirPollutant_SO2,Mean_Concentration_AirPollutant_CO,Max_Concentration_AirPollutant_CO,AirQualityIndex_AirPollutant_CO,Mean_Concentration_AirPollutant_NO2,Max_Concentration_AirPollutant_NO2,AirQualityIndex_AirPollutant_NO2,Mean_Concentration_AirPollutant_PM2.5,Max_Concentration_AirPollutant_PM2.5,AirQualityIndex_AirPollutant_PM2.5,Mean_Concentration_AirPollutant_PM10,Max_Concentration_AirPollutant_PM10,AirQualityIndex_AirPollutant_PM10
2021-03-15,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.022,0.029,27,,,,,,,,,,,,,,,
2021-03-14,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.031765,0.05,46,,,,,,,,,,,,,,,
2021-03-13,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.028588,0.047,44,,,,,,,,,,,,,,,
2021-03-12,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.021588,0.048,44,,,,,,,,,,,,,,,
2021-03-11,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.027118,0.047,44,,,,,,,,,,,,,,,
2021-03-10,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.047529,0.054,50,,,,,,,,,,,,,,,
2021-03-09,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.052647,0.062,74,,,,,,,,,,,,,,,
2021-03-08,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.024353,0.052,48,,,,,,,,,,,,,,,
2021-03-07,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.026,0.052,48,,,,,,,,,,,,,,,
2021-03-06,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.043118,0.05,46,,,,,,,,,,,,,,,
2021-03-05,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.040647,0.047,44,,,,,,,,,,,,,,,
2021-03-04,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.028353,0.056,54,,,,,,,,,,,,,,,
2021-03-03,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.023294,0.047,44,,,,,,,,,,,,,,,
2021-03-02,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.022,0.03,28,,,,,,,,,,,,,,,
2021-03-01,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.026941,0.028,26,,,,,,,,,,,,,,,
2021-02-28,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.026176,0.028,26,,,,,,,,,,,,,,,
2021-02-27,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.023941,0.028,26,,,,,,,,,,,,,,,
2021-02-26,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.025941,0.033,31,,,,,,,,,,,,,,,
2021-02-25,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.045235,0.054,50,,,,,,,,,,,,,,,
2021-02-24,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.025412,0.048,44,,,,,,,,,,,,,,,
2021-02-23,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.021118,0.046,43,,,,,,,,,,,,,,,
2021-02-22,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.026529,0.043,40,,,,,,,,,,,,,,,
2021-02-21,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.042706,0.049,45,,,,,,,,,,,,,,,
2021-02-20,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.018706,0.04,37,,,,,,,,,,,,,,,
2021-02-19,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.039412,0.047,44,,,,,,,,,,,,,,,
2021-02-18,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.025235,0.03,28,,,,,,,,,,,,,,,
2021-02-17,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.025529,0.029,27,,,,,,,,,,,,,,,
2021-02-16,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.029118,0.033,31,,,,,,,,,,,,,,,
2021-02-15,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.016235,0.025,23,,,,,,,,,,,,,,,
2021-02-14,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.016882,0.017,16,,,,,,,,,,,,,,,
2021-02-13,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.018294,0.019,18,,,,,,,,,,,,,,,
2021-02-12,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.017353,0.02,19,,,,,,,,,,,,,,,
2021-02-11,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.005647,0.011,10,,,,,,,,,,,,,,,
2021-02-10,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.029882,0.044,41,,,,,,,,,,,,,,,
2021-02-09,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.017294,0.038,35,,,,,,,,,,,,,,,
2021-02-08,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.032412,0.038,35,,,,,,,,,,,,,,,
2021-02-07,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.022941,0.034,31,,,,,,,,,,,,,,,
2021-02-06,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.031647,0.034,31,,,,,,,,,,,,,,,
2021-02-05,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.014,0.032,30,,,,,,,,,,,,,,,
2021-02-04,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.034706,0.038,35,,,,,,,,,,,,,,,
2021-02-03,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.017529,0.041,38,,,,,,,,,,,,,,,
2021-02-02,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.037647,0.041,38,,,,,,,,,,,,,,,
2021-02-01,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.037824,0.039,36,,,,,,,,,,,,,,,
2021-01-31,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.028765,0.035,32,,,,,,,,,,,,,,,
2021-01-30,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.038412,0.041,38,,,,,,,,,,,,,,,
2021-01-29,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.0135,0.035,32,,,,,,,,,,,,,,,
2021-01-28,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.030706,0.034,31,,,,,,,,,,,,,,,
2021-01-27,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.027529,0.029,27,,,,,,,,,,,,,,,
2021-01-26,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.016353,0.035,32,,,,,,,,,,,,,,,
2021-01-25,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.021706,0.024,22,,,,,,,,,,,,,,,
2021-01-24,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.025059,0.032,30,,,,,,,,,,,,,,,
2021-01-23,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.028353,0.037,34,,,,,,,,,,,,,,,
2021-01-22,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.014059,0.019,18,,,,,,,,,,,,,,,
2021-01-21,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.014882,0.018,17,,,,,,,,,,,,,,,
2021-01-20,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.018118,0.033,31,,,,,,,,,,,,,,,
2021-01-19,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.02,0.024,22,,,,,,,,,,,,,,,
2021-01-18,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.015647,0.036,33,,,,,,,,,,,,,,,
2021-01-17,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.025882,0.035,32,,,,,,,,,,,,,,,
2021-01-16,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.012471,0.027,25,,,,,,,,,,,,,,,
2021-01-15,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.034706,0.038,35,,,,,,,,,,,,,,,
2021-01-14,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.036294,0.04,37,,,,,,,,,,,,,,,
2021-01-13,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.005765,0.013,12,,,,,,,,,,,,,,,
2021-01-12,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.007882,0.02,19,,,,,,,,,,,,,,,
2021-01-11,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.012176,0.017,16,,,,,,,,,,,,,,,
2021-01-10,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.018941,0.024,22,,,,,,,,,,,,,,,
2021-01-09,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.026824,0.028,26,,,,,,,,,,,,,,,
2021-01-08,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.022176,0.024,22,,,,,,,,,,,,,,,
2021-01-07,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.022824,0.029,27,,,,,,,,,,,,,,,
2021-01-06,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.017647,0.028,26,,,,,,,,,,,,,,,
2021-01-05,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.010176,0.026,24,,,,,,,,,,,,,,,
2021-01-04,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.026176,0.035,32,,,,,,,,,,,,,,,
2021-01-03,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.015059,0.037,34,,,,,,,,,,,,,,,
2021-01-02,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.023176,0.025,23,,,,,,,,,,,,,,,
2021-01-01,epa/0023,North Birmingham,[latLong 33.553056 -86.815],geoId/01073,Parts per million,,,,,,0.025353,0.032,30,,,,,,,,,,,,,,,
2021-03-31,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.033167,0.036,33,,,,,,,,,,,,,,,
2021-03-30,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.036353,0.045,42,,,,,,,,,,,,,,,
2021-03-29,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.031235,0.048,44,,,,,,,,,,,,,,,
2021-03-28,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.037176,0.04,37,,,,,,,,,,,,,,,
2021-03-27,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.022471,0.025,23,,,,,,,,,,,,,,,
2021-03-26,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.025706,0.041,38,,,,,,,,,,,,,,,
2021-03-25,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.018765,0.025,23,,,,,,,,,,,,,,,
2021-03-24,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.033765,0.043,40,,,,,,,,,,,,,,,
2021-03-23,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.030529,0.037,34,,,,,,,,,,,,,,,
2021-03-22,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.044353,0.049,45,,,,,,,,,,,,,,,
2021-03-21,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.032118,0.044,41,,,,,,,,,,,,,,,
2021-03-20,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.036176,0.049,45,,,,,,,,,,,,,,,
2021-03-19,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.027059,0.032,30,,,,,,,,,,,,,,,
2021-03-18,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.027294,0.035,32,,,,,,,,,,,,,,,
2021-03-17,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.019529,0.034,31,,,,,,,,,,,,,,,
2021-03-16,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.017,0.025,23,,,,,,,,,,,,,,,
2021-03-15,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.029882,0.033,31,,,,,,,,,,,,,,,
2021-03-14,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.039,0.047,44,,,,,,,,,,,,,,,
2021-03-13,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.033647,0.043,40,,,,,,,,,,,,,,,
2021-03-12,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.031824,0.047,44,,,,,,,,,,,,,,,
2021-03-11,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.033529,0.049,45,,,,,,,,,,,,,,,
2021-03-10,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.045882,0.052,48,,,,,,,,,,,,,,,
2021-03-09,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.044412,0.06,67,,,,,,,,,,,,,,,
2021-03-08,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.035353,0.053,49,,,,,,,,,,,,,,,
2021-03-07,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.033471,0.049,45,,,,,,,,,,,,,,,
2021-03-06,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.042235,0.047,44,,,,,,,,,,,,,,,
2021-03-05,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.040824,0.045,42,,,,,,,,,,,,,,,
2021-03-04,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.042235,0.055,51,,,,,,,,,,,,,,,
2021-03-03,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.035235,0.047,44,,,,,,,,,,,,,,,
2021-03-02,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.023706,0.029,27,,,,,,,,,,,,,,,
2021-03-01,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.029588,0.03,28,,,,,,,,,,,,,,,
2021-02-28,epa/0011,"DECATUR, Alabama",[latLong 34.530717 -86.967536],geoId/01103,Parts per million,,,,,,0.029,0.029,27,,,,,,,,,,,,,,,
2021-03-31,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.02875,0.031,29,,,,,,,,,,,,,,,
2021-03-30,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.027294,0.038,35,,,,,,,,,,,,,,,
2021-03-29,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.026706,0.049,45,,,,,,,,,,,,,,,
2021-03-28,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.026765,0.035,32,,,,,,,,,,,,,,,
2021-03-27,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.021824,0.024,22,,,,,,,,,,,,,,,
2021-03-26,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.029353,0.042,39,,,,,,,,,,,,,,,
2021-03-25,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.019882,0.023,21,,,,,,,,,,,,,,,
2021-03-24,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.033353,0.041,38,,,,,,,,,,,,,,,
2021-03-23,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.023294,0.033,31,,,,,,,,,,,,,,,
2021-03-22,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.028824,0.046,43,,,,,,,,,,,,,,,
2021-03-21,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.025,0.045,42,,,,,,,,,,,,,,,
2021-03-20,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.029588,0.049,45,,,,,,,,,,,,,,,
2021-03-19,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.022882,0.026,24,,,,,,,,,,,,,,,
2021-03-18,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.027412,0.03,28,,,,,,,,,,,,,,,
2021-03-17,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.025412,0.031,29,,,,,,,,,,,,,,,
2021-03-16,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.018235,0.022,20,,,,,,,,,,,,,,,
2021-03-15,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.020765,0.029,27,,,,,,,,,,,,,,,
2021-03-14,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.023176,0.039,36,,,,,,,,,,,,,,,
2021-03-13,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.021941,0.043,40,,,,,,,,,,,,,,,
2021-03-12,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.019,0.039,36,,,,,,,,,,,,,,,
2021-03-11,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.021471,0.042,39,,,,,,,,,,,,,,,
2021-03-10,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.040353,0.047,44,,,,,,,,,,,,,,,
2021-03-09,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.030353,0.059,64,,,,,,,,,,,,,,,
2021-03-08,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.026941,0.051,47,,,,,,,,,,,,,,,
2021-03-07,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.026,0.047,44,,,,,,,,,,,,,,,
2021-03-06,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.031824,0.045,42,,,,,,,,,,,,,,,
2021-03-05,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.034765,0.038,35,,,,,,,,,,,,,,,
2021-03-04,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.025765,0.05,46,,,,,,,,,,,,,,,
2021-03-03,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.021529,0.042,39,,,,,,,,,,,,,,,
2021-03-02,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.023,0.025,23,,,,,,,,,,,,,,,
2021-03-01,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.025647,0.027,25,,,,,,,,,,,,,,,
2021-02-28,epa/0010,"FAIRHOPE, Alabama",[latLong 30.497478 -87.880258],geoId/01003,Parts per million,,,,,,0.025,0.025,23,,,,,,,,,,,,,,,
2021-03-31,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.02975,0.033,31,,,,,,,,,,,,,,,
2021-03-30,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.036353,0.045,42,,,,,,,,,,,,,,,
2021-03-29,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.026824,0.052,48,,,,,,,,,,,,,,,
2021-03-28,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.035588,0.041,38,,,,,,,,,,,,,,,
2021-03-27,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.029588,0.032,30,,,,,,,,,,,,,,,
2021-03-26,epa/1010,Leeds,[latLong 33.545278 -86.549167],geoId/01073,Parts per million,,,,,,0.0365,0.05,46,,,,,,,,,,,,,,,
