key,p1,v1,p2,v2,p3,v3,p4,v4
SUNSD,measuredProperty,sunshineDuration,populationType,Place,statType,measuredValue,,
LFTX,measuredProperty,surfaceLiftedIndex,populationType,Atmosphere,statType,measuredValue,,
CAPE,measuredProperty,convectiveAvailablePotentialEnergy,populationType,Atmosphere,statType,measuredValue,,
CIN,measuredProperty,convectiveInhibition,populationType,Atmosphere,statType,measuredValue,,
PWAT,measuredProperty,precipitableWater,populationType,Place,statType,measuredValue,,
CWAT,measuredProperty,cloudWater,populationType,Place,statType,measuredValue,,
TOZNE,measuredProperty,concentration,populationType,Atmosphere,statType,measuredValue,pollutant,Ozone
LCDC,measuredProperty,cloudCover,populationType,Place,statType,measuredValue,,
MCDC,measuredProperty,cloudCover,populationType,Place,statType,measuredValue,,
HCDC,measuredProperty,cloudCover,populationType,Place,statType,measuredValue,,
HLCY,measuredProperty,stormRelativeHelicity,populationType,Atmosphere,statType,measuredValue,,
USTM,measuredProperty,stormMotion,populationType,Atmosphere,statType,measuredValue,windComponent,UComponent
VSTM,measuredProperty,stormMotion,populationType,Atmosphere,statType,measuredValue,windComponent,VComponent
ICAHT,measuredProperty,height,populationType,Atmosphere,statType,measuredValue,measurementQualifier,ICAOStandardAtmosphere
VWSH,measuredProperty,windShear,populationType,Atmosphere,statType,measuredValue,,
4LFTX,measuredProperty,BestLiftedIndex,populationType,Atmosphere,statType,measuredValue,,
HPBL,measuredProperty,height,populationType,Atmosphere,statType,measuredValue,measurementQualifier,PlanetaryBoundaryLayer
POT,measuredProperty,potentialTemperature,populationType,Atmosphere,statType,measuredValue,,
PLPL,measuredProperty,pressure,populationType,Atmosphere,statType,measuredValue,measurementQualifier,LiftedParcelLevel
LAND,measuredProperty,count,populationType,LandCover,statType,measuredValue,,
ICEC,measuredProperty,count,populationType,IceCover,statType,measuredValue,,
ICETMP,measuredProperty,temperature,populationType,SeaIce,statType,measuredValue,,
,,,,,,,,
,,,,,,,,
mean sea level,height,MeanSeaLevel,,,,,,
1 hybrid level,height,1HybridLevel,,,,,,
entire atmosphere,height,Atmosphere,,,,,,
surface,height,SurfaceLevel,,,,,,
planetary boundary layer,height,PlanetaryBoundaryLayer,,,,,,
0.01 mb,height,0.01mb,,,,,,
0.02 mb,height,0.02mb,,,,,,
0.04 mb,height,0.04mb,,,,,,
0.07 mb,height,0.07mb,,,,,,
0.1 mb,height,0.1mb,,,,,,
0.2 mb,height,0.2mb,,,,,,
0.4 mb,height,0.4mb,,,,,,
0.7 mb,height,0.7mb,,,,,,
1 mb,height,1mb,,,,,,
2 mb,height,2mb,,,,,,
3 mb,height,3mb,,,,,,
5 mb,height,5mb,,,,,,
7 mb,height,7mb,,,,,,
10 mb,height,10mb,,,,,,
15 mb,height,15mb,,,,,,
20 mb,height,20mb,,,,,,
30 mb,height,30mb,,,,,,
40 mb,height,40mb,,,,,,
50 mb,height,50mb,,,,,,
70 mb,height,70mb,,,,,,
100 mb,height,100mb,,,,,,
150 mb,height,150mb,,,,,,
200 mb,height,200mb,,,,,,
250 mb,height,250mb,,,,,,
300 mb,height,300mb,,,,,,
350 mb,height,350mb,,,,,,
400 mb,height,400mb,,,,,,
450 mb,height,450mb,,,,,,
500 mb,height,500mb,,,,,,
550 mb,height,550mb,,,,,,
600 mb,height,600mb,,,,,,
650 mb,height,650mb,,,,,,
700 mb,height,700mb,,,,,,
750 mb,height,750mb,,,,,,
800 mb,height,800mb,,,,,,
850 mb,height,850mb,,,,,,
900 mb,height,900mb,,,,,,
925 mb,height,925mb,,,,,,
950 mb,height,950mb,,,,,,
975 mb,height,975mb,,,,,,
1000 mb,height,1000mb,,,,,,
4000 m above ground,height,4000mAboveGround,,,,,,
0-0.1 m below ground,depth,0_0.1mBelowGround,,,,,,
0.1-0.4 m below ground,depth,0.1_0.4mBelowGround,,,,,,
0.4-1 m below ground,depth,0.4_1mBelowGround,,,,,,
1-2 m below ground,depth,1_2mBelowGround,,,,,,
2 m above ground,height,2mAboveGround,,,,,,
10 m above ground,height,10mAboveGround,,,,,,
10 m above mean sea level,height,10mAboveMeanSeaLevel,,,,,,
entire atmosphere (considered as a single layer),height,Atmosphere,,,,,,
low cloud layer,height,LowCloudLayer,,,,,,
middle cloud layer,height,MiddleCloudLayer,,,,,,
high cloud layer,height,HighCloudLayer,,,,,,
cloud ceiling,height,CloudCeiling,,,,,,
3000-0 m above ground,height,0_3000mAboveGroundLayer,,,,,,
6000-0 m above ground,height,0_6000mAboveGroundLayer,,,,,,
tropopause,height,Tropopause,,,,,,
max wind,height,MaxWind,,,,,,
20 m above ground,height,20mAboveGround,,,,,,
30 m above ground,height,30mAboveGround,,,,,,
40 m above ground,height,40mAboveGround,,,,,,
50 m above ground,height,50mAboveGround,,,,,,
80 m above ground,height,80mAboveGround,,,,,,
100 m above ground,height,100mAboveGround,,,,,,
1829 m above mean sea level,height,1829mAboveMeanSeaLevel,,,,,,
2743 m above mean sea level,height,2743mAboveMeanSeaLevel,,,,,,
3658 m above mean sea level,height,3658mAboveMeanSeaLevel,,,,,,
0C isotherm,height,Isotherm0C,,,,,,
highest tropospheric freezing level,height,HighestTroposphericFreezingLevel,,,,,,
30-0 mb above ground,height,30_0mbAboveGround,,,,,,
180-0 mb above ground,height,180_0mbAboveGround,,,,,,
0.33-1 sigma layer,height,0.33_1SigmaLayer,,,,,,
0.995 sigma level,height,0.995SigmaLevel,,,,,,
90-0 mb above ground,height,90_0mbAboveGround,,,,,,
255-0 mb above ground,height,255_0mbAboveGround,,,,,,
PV=2e-06 (Km^2/kg/s) surface,height,PotentialVorticity2PVU,,,,,,
PV=-2e-06 (Km^2/kg/s) surface,height,PotentialVorticityNeg2PVU,,,,,,
