ApplNo	ProductNo	MarketingStatusID	TECode
019115	001	1	AP
019116	001	1	AT
019117	001	1	AB1
019123	001	1	AB2
019123	002	1	AB2
019129	001	1	AB
019129	003	1	AB
019137	001	1	AB
019141	001	1	AB
019152	001	1	AB
019152	003	1	AB
019157	001	1	AA
019183	001	1	AB
019194	001	1	AB
019219	002	1	AT
019221	001	1	AB
019221	003	1	AB
019257	001	1	AA
019257	002	1	AA
019264	001	1	AP
019268	001	1	AB
019268	003	1	AB
019270	001	1	AT
019281	001	1	AP
019308	005	1	AP
019308	007	1	AP
019316	001	1	AP
019316	003	1	AP
019339	002	1	AP
019339	003	1	AP
019339	004	1	AP
019353	001	1	AP
019356	001	1	AB
019367	004	1	AP
019367	005	1	AP
019367	006	1	AP
019367	007	1	AP
019367	008	1	AP
019386	006	1	AP
019404	001	1	AT
019416	001	1	AT
019429	003	1	AB
019430	001	1	AB
019430	002	1	AB
019452	001	1	AT
019452	002	1	AT
019452	003	1	AT
019463	002	1	AT3
019465	001	1	AP
019465	002	1	AP
019466	001	1	AP
019479	001	1	AP
019480	001	1	AP
019516	001	1	AB
019516	002	1	AB
019516	003	1	AB
019516	004	1	AB
019516	005	1	AB
019531	001	1	AP
019531	002	1	AP
019537	002	1	AB
019537	003	1	AB
019558	001	1	AB
019558	004	1	AB
019594	002	1	AB
019599	002	1	AB
019600	001	1	AB
019603	004	1	AP
019614	001	1	AB
019614	002	1	AB
019614	003	1	AB
019615	001	1	AP
019615	002	1	AP
019615	003	1	AP
019618	001	1	AB
019618	002	1	AB
019626	002	1	AP
019626	004	1	AP
019626	005	1	AP
019627	002	1	AB
019630	008	1	AP
019630	010	1	AP
019630	012	1	AP
019630	014	1	AP
019630	016	1	AP
019630	018	1	AP
019630	020	1	AP
019630	022	1	AP
019630	024	1	AP
019630	026	1	AP
019630	028	1	AP
019630	030	1	AP
019631	004	1	AP
019631	007	1	AP
019631	008	1	AP
019631	009	1	AP
019631	010	1	AP
019632	001	1	AP
019633	001	1	AP
019634	003	1	AP
019635	001	1	AP
019635	002	1	AP
019635	003	1	AP
019635	004	1	AP
019640	004	1	
019640	005	1	
019649	001	1	AB
019655	001	1	AB
019661	001	1	AP
019667	001	1	AP
019667	002	1	AP
019667	003	1	AP
019668	001	1	AB
019668	002	1	AB
019668	003	1	AB
019668	004	1	AB
019680	001	1	AB
019684	001	1	AB2
019684	002	1	AB2
019684	003	1	AB2
019685	002	1	AP
019686	001	1	AP
019686	002	1	AP
019691	005	1	AP
019691	009	1	AP
019699	004	1	AP
019699	006	1	AP
019700	001	1	AT
019708	004	1	AP
019737	001	1	AB
019758	001	1	AB
019758	002	1	AB
019758	003	1	AB
019758	004	1	AB
019759	001	1	AP
019763	001	1	AP
019763	002	1	AP
019764	002	1	
019766	001	1	AB
019766	002	1	AB
019766	003	1	AB
019766	004	1	AB
019766	005	1	AB
019774	002	1	
019777	001	1	AB
019777	002	1	AB
019777	003	1	AB
019777	004	1	AB
019777	005	1	AB
019777	006	1	AB
019781	001	1	AB
019781	002	1	AB
019785	001	1	AP
019787	001	1	AB
019787	002	1	AB
019787	003	1	AB
019795	001	1	AT
019796	001	1	AB
019797	001	1	AA
019797	002	1	AA
019805	001	1	AP
019805	002	1	AP
019813	001	1	AB
019813	002	1	AB
019813	003	1	AB
019813	004	1	AB
019813	005	1	AB
019813	006	1	AB
019814	001	1	AT
019821	001	1	AB
019821	002	1	AB
019824	001	1	AB
019828	001	1	AB
019830	002	1	AP
019830	003	1	AP
019830	004	1	AP
019832	003	1	AT
019839	001	1	AB
019839	002	1	AB
019839	005	1	AB
019851	001	1	AB
019851	002	1	AB
019851	003	1	AB
019851	004	1	AB
019853	001	1	AB
019854	001	1	AB
019865	001	1	AB
019865	002	1	AB
019865	003	1	AB
019865	005	1	AB
019869	001	1	AP
019882	001	1	AP
019884	001	1	AP
019885	001	1	AB
019885	002	1	AB
019885	003	1	AB
019885	004	1	AB
019887	001	1	AN
019888	001	1	AB
019888	002	1	AB
019888	003	1	AB
019891	001	1	AA
019892	001	1	AB
019892	002	1	AB
019892	003	1	AB
019893	001	1	AP
019898	003	1	AB
019898	004	1	AB
019898	008	1	AB
019901	001	1	AB
019901	002	1	AB
019901	003	1	AB
019901	004	1	AB
019904	001	1	AP
019904	002	1	AP
019904	004	1	AP
019904	005	1	AP
019904	006	1	AP
019906	001	1	AB
019906	002	1	AB
019906	003	1	AB
019908	001	1	AB
019908	002	1	AB
019909	001	1	AB
019910	001	1	AA
019921	001	1	AT
019922	001	1	AP
019927	001	1	AB
019931	001	1	AB
019941	001	1	AB
019949	001	1	AB
019949	002	1	AB
019949	003	1	AB
019949	004	1	AB
019951	001	1	AP
019952	001	1	AP
019952	004	1	AP
019952	005	1	AP
019953	001	1	AP
019955	001	1	AB
019955	002	1	AB
019962	001	1	AB
019962	002	1	AB
019962	003	1	AB
019962	004	1	AB
019963	001	1	AB2
019968	001	1	AB
019970	001	1	AP
019970	002	1	AP
019970	003	1	AP
019992	001	1	AT
020002	001	1	AP
020006	001	1	AP
020006	002	1	AP
020006	003	1	AP
020006	004	1	AP
020010	001	1	AB
020031	001	1	AB
020031	002	1	AB
020031	003	1	AB
020031	005	1	AB
020033	002	1	AB
020033	003	1	AB
020033	004	1	AB
020037	001	1	AT
020047	001	1	AP
020047	003	1	AP
020051	001	1	AB
020051	002	1	AB
