country,year,statvar,measurement_method,Tonnes Co2e
AGO,2017,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,15620773.0
AGO,2017,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,4886792.0
AGO,2017,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,6741.0
AGO,2017,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,629424370.0
AGO,2017,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,3958325.0
AGO,2017,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,27195245.0
AGO,2017,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,5355628.0
AGO,2017,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,7249314.0
AGO,2017,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,5837440.0
AGO,2018,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,15540023.0
AGO,2018,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,4856636.0
AGO,2018,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,6745.0
AGO,2018,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,543643798.0
AGO,2018,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,3973184.0
AGO,2018,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,23140208.0
AGO,2018,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,5315572.0
AGO,2018,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,7209034.0
AGO,2018,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,6067600.0
AGO,2019,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,16141821.0
AGO,2019,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,4856636.0
AGO,2019,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,7236.0
AGO,2019,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,673973530.0
AGO,2019,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,3973769.0
AGO,2019,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,20665380.0
AGO,2019,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,4930572.0
AGO,2019,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,7195096.0
AGO,2019,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,6067600.0
AGO,2020,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,16019820.0
AGO,2020,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,4856636.0
AGO,2020,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,7525.0
AGO,2020,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,546825219.0
AGO,2020,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,3973637.0
AGO,2020,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,16144034.0
AGO,2020,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,4176572.0
AGO,2020,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,6758226.0
AGO,2020,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,6067600.0
AIA,2015,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,17.0
AIA,2015,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1202.0
AIA,2015,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,94000.0
AIA,2015,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,27056.0
AIA,2015,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,4152.0
AIA,2016,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,16.0
AIA,2016,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1222.0
AIA,2016,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,103000.0
AIA,2016,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,27758.0
AIA,2016,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,4172.0
AIA,2017,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,16.0
AIA,2017,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,124.0
AIA,2017,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1242.0
AIA,2017,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,80000.0
AIA,2017,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,28360.0
AIA,2017,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,4191.0
AIA,2018,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,15.0
AIA,2018,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,42.0
AIA,2018,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1212.0
AIA,2018,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,87000.0
AIA,2018,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,27658.0
AIA,2018,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,4211.0
AIA,2019,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,15.0
AIA,2019,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1212.0
AIA,2019,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,94000.0
AIA,2019,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,26945.0
AIA,2019,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,4211.0
AIA,2020,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,15.0
AIA,2020,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,27.0
AIA,2020,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1212.0
AIA,2020,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,94000.0
AIA,2020,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,26865.0
AIA,2020,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,4211.0
ALA,2015,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,79442.0
ALA,2016,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,91470.0
ALA,2017,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,107065.0
ALA,2018,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,87697.0
ALA,2019,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,348279.0
ALA,2020,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,97032.0
ALB,2015,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,3252243.0
ALB,2015,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,696706.0
ALB,2015,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,8143.0
ALB,2015,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,374920.0
ALB,2015,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1739277.0
ALB,2015,Annual_Emissions_GreenhouseGas_MaritimeTransport,ClimateTraceEstimate,37991.0
ALB,2015,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,82409.0
ALB,2015,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2499729.0
ALB,2015,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,446120.0
ALB,2016,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,3255669.0
ALB,2016,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,713808.0
ALB,2016,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,6693.0
ALB,2016,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,340672.0
ALB,2016,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,1623626.0
ALB,2016,Annual_Emissions_GreenhouseGas_MaritimeTransport,ClimateTraceEstimate,39287.0
ALB,2016,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,55752.0
ALB,2016,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2349574.0
ALB,2016,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,454800.0
ALB,2017,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,3250830.0
ALB,2017,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,799975.0
ALB,2017,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,7196.0
ALB,2017,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,1746318.0
ALB,2017,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,2115609.0
ALB,2017,Annual_Emissions_GreenhouseGas_MaritimeTransport,ClimateTraceEstimate,40809.0
ALB,2017,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,160882.0
ALB,2017,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2359822.0
ALB,2017,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,460720.0
ALB,2018,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,3056073.0
ALB,2018,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,723815.0
ALB,2018,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,11366.0
ALB,2018,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,395188.0
ALB,2018,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,2453529.0
ALB,2018,Annual_Emissions_GreenhouseGas_MaritimeTransport,ClimateTraceEstimate,40502.0
ALB,2018,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,421041.0
ALB,2018,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2088471.0
ALB,2018,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,470010.0
ALB,2019,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,2896386.0
ALB,2019,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,723815.0
ALB,2019,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,11696.0
ALB,2019,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,659601.0
ALB,2019,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,2522591.0
ALB,2019,Annual_Emissions_GreenhouseGas_MaritimeTransport,ClimateTraceEstimate,48637.0
ALB,2019,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,421041.0
ALB,2019,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2117890.0
ALB,2019,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,470010.0
ALB,2020,Annual_Emissions_GreenhouseGas_Agriculture,ClimateTraceEstimate,2899067.0
ALB,2020,Annual_Emissions_GreenhouseGas_FuelCombustionInBuildings,ClimateTraceEstimate,723815.0
ALB,2020,Annual_Emissions_GreenhouseGas_MineralExtraction,ClimateTraceEstimate,11434.0
ALB,2020,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,648210.0
ALB,2020,Annual_Emissions_GreenhouseGas_Manufacturing,ClimateTraceEstimate,2465018.0
ALB,2020,Annual_Emissions_GreenhouseGas_MaritimeTransport,ClimateTraceEstimate,30560.0
ALB,2020,Annual_Emissions_GreenhouseGas_OilAndGas,ClimateTraceEstimate,65166.0
ALB,2020,Annual_Emissions_GreenhouseGas_Transportation,ClimateTraceEstimate,2039538.0
ALB,2020,Annual_Emissions_GreenhouseGas_WasteManagement,ClimateTraceEstimate,470010.0
AND,2015,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,600.0
AND,2015,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,14000.0
AND,2016,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,273.0
AND,2016,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,14000.0
AND,2017,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,1302.0
AND,2017,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,17000.0
AND,2018,Annual_Emissions_GreenhouseGas_ForestryAndLandUse,ClimateTraceEstimate,5441.0
AND,2018,Annual_Emissions_GreenhouseGas_ElectricityGeneration,ClimateTraceEstimate,20000.0
