blockgroup_FIPS,total_distribution_power_line_length,cost_per_household_for_undergrounding_fire_prone_lines
geoId/060952529042,102106.16728995,0.0
geoId/060014060001,18941.06578857409,0.0
geoId/060014033001,13572.371412717102,0.0
geoId/060019832001,17091.1798638741,0.0
geoId/060014060003,3528.1541589775884,0.0
geoId/060014060002,1772.607448610089,0.0
geoId/060014054021,2095.7625116119902,0.0
geoId/060750105002,9953.092064424323,0.0
geoId/060090003003,31416.288805717162,25014.55454210809
geoId/060090003004,196950.61709908312,176031.36594883807
geoId/060090003002,56728.77882013204,33238.11008731818
geoId/060090003005,95632.15982942641,63168.43989180271
geoId/060090002202,141913.14211769242,31809.496839399315
geoId/060090003001,103368.20391555905,148957.64149047868
geoId/060090004005,62059.621864756824,23960.748407379255
geoId/060090001222,63228.753705785304,310381.5988845463
geoId/060090001212,84946.69275159415,46884.633898137414
geoId/060090004006,61329.240357887815,43991.2787719866
geoId/060952509002,6764.251184636966,0.0
geoId/060952509001,5510.8406052253085,0.0
geoId/060952516002,7422.542605169047,0.0
geoId/060952515003,5775.4090668369145,0.0
geoId/060952516001,2779.9300400675643,0.0
geoId/060952512001,6789.26613976616,0.0
geoId/060952510002,2134.326495297192,0.0
geoId/060952515002,7244.218537288718,0.0
geoId/060952512002,7029.619959964843,0.0
geoId/060952510001,2791.927030468404,0.0
geoId/060170312001,47880.59022273589,5957.431029261824
geoId/060170313013,42559.17880568127,8546.07172118318
geoId/060170313012,36393.07065613292,0.0
geoId/060170311003,92779.45337748904,22305.898146438296
geoId/060170314041,77687.37322068102,2189.2772267655255
geoId/060170312002,43939.973418188805,16791.3261650111
geoId/060170311001,23952.534861479107,2480.1758850941223
geoId/060816002002,10115.035048373371,0.0
geoId/060750264041,1825.9826464259888,0.0
geoId/060750260012,2995.9128302371264,0.0
geoId/060750260041,3938.155916644938,0.0
geoId/060750261001,3210.6617216314753,0.0
geoId/060816001001,46176.49649239393,0.0
geoId/060759805011,5434.294121892673,0.0
geoId/060816002001,9965.903069442516,0.0
geoId/060750263023,7992.994513397532,0.0
geoId/060750260032,1851.8864760514866,0.0
geoId/060750260042,1698.651160461133,0.0
geoId/060750263011,4194.572855851299,0.0
geoId/060750605023,3327.7930057512813,0.0
geoId/060014324001,20127.54983234754,0.0
geoId/060014325011,7793.5098020106225,0.0
geoId/060014331043,6576.343754821112,0.0
geoId/060014332004,21744.378969828507,0.0
geoId/060014331042,1518.9490399797492,0.0
geoId/060014331041,13319.389976363502,0.0
geoId/060014326005,8938.404887432625,0.0
geoId/060014325013,6329.1196845996055,0.0
geoId/060855051001,27834.19833743813,0.0
geoId/060855002003,6166.1588167231075,0.0
geoId/060855002004,11088.852184630432,0.0
geoId/060855010002,1939.9952654408248,0.0
geoId/060855002001,11715.258861617993,0.0
geoId/060855011011,7838.285728638647,0.0
geoId/060855011022,3686.8691929336483,0.0
geoId/060855003001,30914.340384328912,0.0
geoId/060855011023,2962.170090822116,0.0
geoId/060855011012,5161.862863376584,0.0
geoId/060855001004,6705.876941594483,0.0
geoId/060855001001,6658.341316729007,0.0
geoId/060770038013,10159.295044689776,0.0
geoId/060770008012,22773.175961026685,0.0
geoId/060770038011,33055.34386709784,0.0
geoId/060770038012,8857.745495613706,0.0
geoId/060770025031,7952.087784676759,0.0
geoId/060770003002,14231.214290471467,0.0
geoId/060770007003,8418.269692702535,0.0
geoId/060770025041,8083.884192156791,0.0
geoId/060770025032,4353.609631825984,0.0
geoId/060770007004,5825.3633508958765,0.0
geoId/060770049012,21876.152264653392,0.0
geoId/060770049013,17295.55195460048,0.0
geoId/060770049011,18714.42107808417,0.0
geoId/060770049022,81731.83627852009,0.0
geoId/060990001014,46850.28090618519,0.0
geoId/060770049021,123730.63183001027,0.0
geoId/060770049023,110714.31829808852,0.0
geoId/060990001013,66409.13001589822,0.0
geoId/060790123023,233831.00718918763,212898.66824512606
geoId/060830020062,126094.31084124894,18396.150632591565
geoId/060830019011,237085.8887040015,301201.07567671686
geoId/060830020061,283393.3891358541,226784.4576755349
geoId/060830022112,14061.253869892324,0.0
geoId/060830022114,9095.541727847149,0.0
geoId/060790127021,427369.0530099267,394559.7158198034
geoId/060133451052,7976.5279930289735,0.0
geoId/060133452032,15839.9425112975,0.0
geoId/060133462031,23707.844186366412,42.91960460374398
geoId/060133451144,7744.946142286493,0.0
geoId/060133451143,22473.541337266724,1376.6980384667452
geoId/060133451051,20156.66796625329,0.0
geoId/060133451054,10445.517432031203,0.0
geoId/060133452033,10951.20573295991,0.0
geoId/060133451141,10556.422718966469,0.0
geoId/060133451053,8992.952635985826,0.0
geoId/060133462041,33556.91280820294,903.535334609426
geoId/060770040021,78922.13229107109,0.0
geoId/060770040011,237828.58331218892,0.0
geoId/060014419232,21563.74235106933,0.0
geoId/060014419271,5188.7117607704995,0.0
geoId/060014425001,5380.786391010553,0.0
geoId/060014419272,6612.621653543965,0.0
geoId/060014419262,2846.366621091914,0.0
geoId/060014419212,7924.97014609702,0.0
geoId/060014425003,4676.077781447523,0.0
geoId/060014419261,4027.1889472447115,0.0
geoId/060014419211,7417.828590686429,0.0
geoId/060014424001,4804.938922660114,0.0
geoId/060014424002,5093.894956518807,0.0
geoId/060014424004,5241.8199002932615,0.0
geoId/060014419252,22561.58580707656,0.0
geoId/060610234001,49172.79251893157,0.0
geoId/060610234002,11092.859233788071,0.0
geoId/060610214011,13852.11118722431,0.0
geoId/060610213044,71643.30803442415,0.0
geoId/060070012003,33889.193646980566,0.0
geoId/060070013003,20681.37351075044,0.0
geoId/060070012001,3605.525755299942,0.0
geoId/060070013004,4431.289153097156,0.0
geoId/060070013002,4720.141842207071,0.0
geoId/060070012004,4669.031936777984,0.0
geoId/060070012002,2132.8331893029795,0.0
geoId/060133340062,18559.7590013782,0.0
geoId/060133373001,8079.811241760155,0.0
geoId/060133382012,26708.21978330405,0.0
geoId/060133373005,4917.884817316596,0.0
geoId/060133371001,12406.714877727698,0.0
geoId/060133373004,7058.386315687264,0.0
geoId/060133372006,6449.3576263251225,0.0
geoId/060133373002,7294.4606884348195,0.0
geoId/060133373003,4294.81808658597,0.0
geoId/060133372005,7890.894021368822,0.0
geoId/060133382011,12523.653226980237,0.0
geoId/060133340042,14394.591021680602,0.0
geoId/060133340044,8396.121802497615,0.0
geoId/060133340061,5527.442282557868,0.0
geoId/060133373006,6561.456380692399,0.0
geoId/060133553011,31625.841337670612,5809.91756928728
geoId/060133340041,9895.694918109786,0.0
geoId/060530103061,109627.14131865684,0.0
geoId/060530105041,78936.74260960546,0.0
geoId/060530141021,25218.40901469953,0.0
geoId/060530106061,236751.82659152962,26155.156177287754
geoId/060530104003,7592.8947135918825,0.0
geoId/060530143021,25035.06141108496,0.0
geoId/060530018011,10377.508405951296,0.0
geoId/060770009005,5779.272972202933,0.0
geoId/060770011025,3313.1985647273186,0.0
geoId/060770010002,8330.673403831137,0.0
geoId/060770009002,11483.101059725772,0.0
geoId/060770011023,4573.348126917745,0.0
geoId/060770009004,4403.483795291067,0.0
geoId/060770009003,3415.544877007271,0.0
geoId/060770009001,4771.12739933234,0.0
geoId/060770011013,7712.192510524779,0.0
geoId/060070021002,6099.030906502133,0.0
geoId/060070021003,9395.081346542576,12608.84524553646
geoId/060070018001,22632.7203352608,42039.28974221812
geoId/060070018002,6797.549896952292,7063.65268311194
geoId/060070018004,10157.398129041341,0.0
geoId/060070021001,16768.974619442783,0.0
geoId/060070018003,9668.166550294796,0.0
geoId/060070019001,4741.841245345147,21912.03440369807
geoId/060070018005,6548.779071521304,0.0
geoId/060750164001,4687.040707849731,0.0
geoId/060750158022,3894.505188783614,0.0
geoId/060750167001,2123.053802855984,0.0
geoId/060750167002,2033.1210521551795,0.0
geoId/060750169002,3654.242754184004,0.0
geoId/060750169001,3875.9293539789564,0.0
geoId/060750203003,3597.772551141726,0.0
geoId/060750167003,1585.1192789978436,0.0
geoId/060750170001,2412.496624533525,0.0
geoId/060750167004,2577.0183762996508,0.0
geoId/060750158012,10731.450640072835,0.0
geoId/060750168011,2012.585842168132,0.0
geoId/060750168022,1999.3735860676315,0.0
geoId/060750163003,2979.237195137337,0.0
geoId/060190018002,13706.618682092036,0.0
geoId/060190017003,91044.48639023096,0.0
geoId/060190017001,56803.88205428117,0.0
geoId/060855119113,35294.480054203435,22388.759440948692
geoId/060855119092,23530.311426641303,15789.82795238166
geoId/060855119093,16392.001629886618,196.483625290948
geoId/060855119121,15226.14391503398,4338.637171980563
geoId/060855119112,44809.81358450624,73227.26092075082
geoId/060855119123,5659.552346115239,0.0
geoId/060855119072,11259.954806952175,2344.218632909752
geoId/060855119122,11619.562067132405,5496.312058662185
geoId/060855119162,18657.112924538338,126.70049078064902
geoId/060855118003,71739.5278020137,186140.5588595341
geoId/060855119051,19051.02936787269,0.0
geoId/060855119071,5950.09603429064,0.0
geoId/060855119142,20597.3479559236,4413.68365742103
geoId/060855119111,11952.34042366185,0.0
geoId/060855119132,10040.36046758162,11569.07049415662
geoId/060855120301,8224.470009601397,0.0
geoId/060855050061,57147.53285827058,0.0
geoId/060855045052,6030.996717482317,0.0
geoId/060855045051,2579.003480113296,0.0
geoId/060855043181,40196.2271860743,0.0
geoId/060855045053,21293.75323162254,0.0
geoId/060014517031,7453.364337524873,0.0
geoId/060014517032,16738.537672153183,0.0
geoId/060014517042,10294.046074254884,0.0
geoId/060014513003,56034.015365968495,3571.99007897936
geoId/060014516021,17380.13577823557,0.0
geoId/060014517012,4462.768096644442,0.0
geoId/060014517011,4921.028694453127,0.0
geoId/060014514042,4799.65086668051,0.0
geoId/060190060001,42556.3975625141,0.0
geoId/060190060004,9966.673251262717,0.0
geoId/060190060003,6138.471503429128,0.0
geoId/060190059042,76050.24048302407,0.0
geoId/060190059051,75870.31656971008,0.0
geoId/060190060002,3924.825396836795,0.0
geoId/060190061005,38189.491957353486,0.0
geoId/060750264032,4582.411574855155,0.0
geoId/060750264031,3512.8136300850856,0.0
geoId/060816091001,21390.441190681217,0.0
geoId/060816087002,5881.680560957355,0.0
geoId/060816089003,6865.834965105854,2376.7621276384743
geoId/060816089001,7779.224525479183,3797.4373645735755
geoId/060816087004,6131.226273661624,0.0
geoId/060816086003,8252.74806612351,0.0
geoId/060816089002,5154.634228965949,0.0
geoId/060816090002,7383.717077142685,0.0
geoId/060816087005,6764.428569056152,0.0
geoId/060816087001,7242.558747128642,0.0
geoId/060816072002,7641.580428614694,0.0
geoId/060816085021,8970.070376582606,0.0
geoId/060816088002,4444.727748132885,0.0
geoId/060816088004,4780.0070854895475,0.0
geoId/060816088003,3405.135069491645,0.0
geoId/060816090001,7396.239171454373,0.0
geoId/060816088001,3447.35354767457,0.0
geoId/060816070002,11397.61748431741,0.0
geoId/060816071001,4204.044297865404,0.0
geoId/060816088005,10509.509614170838,2477.6879340871606
geoId/060816085011,4881.4517181708725,0.0
geoId/060816071002,4880.625510503187,0.0
geoId/060530128001,8560.548231578945,0.0
geoId/060530127004,3328.879257981424,0.0
geoId/060530127003,3666.926252112572,0.0
geoId/060530128003,6766.468966011528,0.0
geoId/060530128005,5733.201340053332,0.0
geoId/060855009011,4446.7041778675075,0.0
geoId/060855010003,4208.656842638641,0.0
geoId/060855013003,2098.9636746570186,0.0
geoId/060855009022,850.9141985990628,0.0
geoId/060855009012,9554.349512286057,0.0
geoId/060855010005,2906.159932219377,0.0
geoId/060855010004,3005.292176705969,0.0
geoId/060855013004,2252.1382089930066,0.0
geoId/060855008001,30807.179112007798,0.0
geoId/060855010001,2650.1132455348597,0.0
geoId/060855012003,1812.4815637761865,0.0
geoId/060014507013,117262.52638017258,43799.03906694342
geoId/060014506011,20790.1122470814,64861.510639302636
geoId/060014506012,64673.48344955795,19495.224822775963
geoId/060014351031,51059.19009364073,18291.242412697087
geoId/060014431031,18280.06552266461,20971.789402327053
geoId/060290009031,16523.776671408494,0.0
geoId/060290009092,16314.915785105164,0.0
geoId/060290009032,6142.613996131817,0.0
geoId/060290014004,12007.069957302432,0.0
geoId/060290009082,12167.706630139473,0.0
geoId/060290009021,8444.185221235648,0.0
geoId/060290009083,10190.613269386291,0.0
geoId/060290009091,10114.362342804274,0.0
geoId/060290009022,9019.799005093997,0.0
geoId/060290008002,3833.448672712468,0.0
geoId/060290008001,3056.5233772294523,0.0
geoId/060790104041,32030.95812288928,0.0
geoId/060790104032,12595.402860604812,0.0
geoId/060790130001,318743.09964724234,212216.48210978543
geoId/060610204021,16922.656949476277,22811.78200840103
geoId/060610204011,16102.184973622507,16244.926844765263
geoId/060610204012,6269.59145253703,6019.766060316508
geoId/060610203003,8889.506757923413,19387.967776279445
geoId/060610203001,14639.543917697463,14280.520382283776
geoId/060110002004,13152.072832572225,0.0
geoId/060110002005,103911.3742051399,0.0
geoId/060110002003,13105.505674204867,0.0
geoId/060110002001,4956.72244973936,0.0
geoId/060770001002,18350.59999112809,0.0
geoId/060770001001,10819.12791449323,0.0
geoId/060770004021,7728.06846069367,0.0
geoId/060770004022,2162.9478496963948,0.0
geoId/060770027011,13785.943039350754,0.0
geoId/060770017002,8685.639711727414,0.0
geoId/060770018002,9898.14738059815,0.0
geoId/060770018001,11993.438982639153,0.0
geoId/060770036014,36107.36607225378,0.0
geoId/060770017001,6471.8647597725985,0.0
geoId/060770016002,9678.041287933514,0.0
geoId/060770017003,2692.4987273516545,0.0
geoId/060855032122,6864.428977006651,0.0
geoId/060855032121,3991.5908486238413,0.0
geoId/060855033051,7231.978923071037,0.0
geoId/060855033371,5695.674607905428,0.0
geoId/060855033044,2557.225685681861,0.0
geoId/060855033043,4622.718501684109,0.0
geoId/060855033362,7373.999022521045,0.0
geoId/060855033361,4530.783503495256,0.0
geoId/060855032123,5431.237555902776,0.0
geoId/060855033372,5162.810725784878,0.0
geoId/060855032071,7684.070182864019,0.0
geoId/060855032072,5558.915043497061,0.0
geoId/060855032041,8814.399041268836,0.0
geoId/060855032131,4048.494084016232,0.0
geoId/060855032132,4776.648434768398,0.0
geoId/060855033341,38462.48747487134,6639.300472056928
geoId/060855033153,12431.640748950664,0.0
geoId/060290005071,103458.26776347576,0.0
geoId/060290005061,32422.46755839643,0.0
geoId/060990034001,143678.05688094528,265.04071959786137
geoId/060014324003,31693.32933710765,0.0
geoId/060014091001,4340.28156398007,0.0
geoId/060014090001,19225.946964656534,0.0
geoId/060014092001,4868.450082162457,0.0
geoId/060014092002,2791.511798756176,0.0
geoId/060014325021,5922.911154635641,0.0
geoId/060750124012,4783.827996057426,0.0
geoId/060750124011,4925.154187758966,0.0
geoId/060750124023,4211.061942825164,0.0
geoId/060750122012,3281.558845010256,0.0
geoId/060750122011,6225.559799520669,0.0
geoId/060750124022,11490.97720155723,0.0
geoId/060750124021,6195.219741173199,0.0
geoId/060750176013,21560.81022890337,0.0
geoId/060750160001,7498.568721915224,0.0
geoId/060750122021,7830.574623683498,0.0
geoId/060190054052,11855.484314741767,0.0
geoId/060190054053,8062.961163410968,0.0
geoId/060190054031,11163.651366291428,0.0
geoId/060190054033,3209.337988286657,0.0
geoId/060190054091,7003.084389518307,0.0
geoId/060190054092,12519.91626889712,0.0
geoId/060190082001,171468.89812080518,0.0
geoId/060014061001,8086.948621704447,0.0
geoId/060014065004,2362.8303109426292,0.0
geoId/060014071012,1798.4009453723945,0.0
geoId/060014065002,1170.712851445725,0.0
geoId/060014065003,2640.153454514658,0.0
geoId/060014064001,1057.5869136546444,0.0
geoId/060014072002,1254.725610142236,0.0
geoId/060014063001,1045.0356651462205,0.0
geoId/060014065001,3242.864486981073,0.0
geoId/060014072003,2962.9908929307453,0.0
geoId/060014061002,9227.324566648305,0.0
geoId/060014071011,3598.931555239054,0.0
geoId/060014071023,2691.685006640459,0.0
geoId/060014305001,12095.16446390384,572.807276370547
geoId/060014328001,5549.49996984424,0.0
geoId/060014330001,4403.125142886772,0.0
geoId/060014330004,3580.242413527506,0.0
geoId/060014338002,5611.053123871774,0.0
geoId/060014328002,10476.507928611021,0.0
geoId/060014330003,3455.131739362083,0.0
geoId/060014328003,6428.050372717996,0.0
geoId/060014305002,4368.351577901626,0.0
geoId/060014306003,9641.002637696109,0.0
geoId/060014338001,1892.5856987983027,0.0
geoId/060014327002,3848.5193467738495,0.0
geoId/060014331032,1322.824998807623,0.0
geoId/060014100001,5389.907552907953,0.0
geoId/060014327001,4146.776991701612,0.0
geoId/060014100002,14379.418905169223,0.0
geoId/060014330002,4409.8984944773465,0.0
geoId/060014306001,5245.864265254732,1210.8196794257929
geoId/060014304002,6147.707449539203,10227.271130975965
geoId/060530119001,10334.913930800634,0.0
geoId/060530119003,12531.683336234946,2888.0259590051496
geoId/060530121002,7476.3029041824475,0.0
geoId/060530120002,7513.0536017715585,3906.2611255200013
geoId/060530119004,18052.875534155668,0.0
geoId/060530120001,7767.991219542009,0.0
geoId/060411090012,6981.282068779081,0.0
geoId/060411090011,5081.590475772994,0.0
geoId/060411110002,7411.257896941773,0.0
geoId/060411060022,12227.104102329036,0.0
geoId/060411110001,12369.285615640392,0.0
geoId/060411060023,3490.081091950729,0.0
geoId/060411090022,7695.923418869984,0.0
geoId/060411090021,7044.17877525684,0.0
geoId/060411101002,12176.940473092458,0.0
geoId/060816129003,6371.626768060258,0.0
geoId/060816129001,8538.602896282458,0.0
geoId/060816128002,7152.662930800732,0.0
geoId/060816127002,9744.541507843283,0.0
geoId/060816114002,9858.053891634283,0.0
geoId/060816128001,9810.397118227156,0.0
geoId/060816127001,4052.484760798182,0.0
geoId/060816126004,3391.1896645181373,0.0
geoId/061070043001,165022.81486773392,0.0
geoId/060816074001,8500.111484479474,0.0
geoId/060816075001,34211.09255615341,0.0
geoId/060816074003,6913.904358222879,0.0
geoId/060816085014,5256.939029676721,0.0
geoId/060816074002,2097.4143070219047,0.0
geoId/060816072001,6926.073741903149,0.0
geoId/060816084001,12181.90109498479,0.0
geoId/060816085012,5319.893796116474,0.0
geoId/060816086001,3035.358529419544,0.0
geoId/060816073001,4896.019619412612,0.0
geoId/060816073003,5181.515715189972,0.0
geoId/060816067002,18065.974091346565,0.0
geoId/060816070001,2082.2718049486944,0.0
geoId/060816085013,2851.1290161837237,0.0
geoId/060816073002,7086.452635452446,0.0
geoId/060816071003,4108.007630151595,0.0
geoId/060690002004,91014.52918375294,93755.32540512002
geoId/060690002002,62080.723122180665,643.088123013218
geoId/060690002001,11478.076530997128,1147.1249335095736
geoId/060690002003,26606.993767339336,0.0
geoId/060690007021,34757.09129516521,0.0
geoId/060014420001,22378.869178231307,13126.09633861454
geoId/060014422002,14724.181687645816,0.0
geoId/060014420002,7809.71445169375,0.0
geoId/060014421001,13041.841544109975,0.0
geoId/060014421002,11204.478682159674,0.0
geoId/060014422001,7552.166206412042,0.0
geoId/060014422003,5469.866708451087,0.0
geoId/060014431043,11894.934905657818,79.79558976811157
geoId/060014423021,9180.307087372348,0.0
geoId/060014411002,15126.542437128403,3722.9270218703496
geoId/060290032063,163423.00430317846,0.0
geoId/060290031141,7154.014086691102,0.0
geoId/060290031241,7687.738978313481,0.0
geoId/060290031144,10876.474587892171,0.0
geoId/060290032061,28438.20419650044,0.0
geoId/060290032051,14340.660450125171,0.0
geoId/060290031244,32712.055756059883,0.0
geoId/060290032052,12643.078415834998,0.0
geoId/060290031236,31720.24479387636,0.0
geoId/060230013001,52165.29790621748,0.0
geoId/060014507014,32209.928361511236,5880.2233397847
geoId/060014515031,25771.401150909038,0.0
geoId/060014511015,41830.827841466846,20319.245614253334
geoId/060014515041,44042.41951523799,0.0
geoId/060014511021,10659.248533488255,0.0
geoId/060014511013,202436.09094440247,181337.54756498267
geoId/060014511022,34232.01304539368,0.0
geoId/060014515061,8956.797833251872,0.0
geoId/060014516012,25660.132784431968,0.0
geoId/060014515012,35474.357564418955,0.0
geoId/060014507423,23055.090907215592,0.0
geoId/060816092013,7184.89004996628,0.0
geoId/060816092012,3257.509307089047,0.0
geoId/060816092022,6232.003141890018,0.0
geoId/060816092011,4777.690558190957,0.0
geoId/060816091002,30994.162564522103,0.0
geoId/060816094001,13922.003345476322,0.0
geoId/060816093001,5359.204821317424,0.0
geoId/060190042054,30182.31408601717,0.0
geoId/060190038031,25726.85053901334,0.0
geoId/060190042132,14743.462969125569,0.0
geoId/060190042122,14977.706060236997,0.0
geoId/060190042071,75843.02506369307,0.0
geoId/060190042123,14119.0788978204,0.0
geoId/060190042131,10037.747053952491,0.0
geoId/060190042124,15734.148657804908,0.0
geoId/060190038102,15320.372698204596,0.0
geoId/060190042072,22809.064851076888,0.0
geoId/060190038033,36637.60872319311,0.0
geoId/060190041001,159553.6117634824,0.0
geoId/060190042121,31336.43232662233,0.0
geoId/060530113041,228073.5952051211,73138.62431674801
geoId/060530113021,11304.781349967781,0.0
geoId/060530113043,14766.645630256377,0.0
geoId/060690008021,393420.4943178576,277603.79471932707
geoId/060855065022,8768.463167299144,0.0
geoId/060855063021,8740.781883016372,0.0
geoId/060855064021,3898.9759333414263,0.0
geoId/060855026041,17269.3758068987,0.0
geoId/060855064011,9124.92143163256,0.0
geoId/060855064024,6117.6171692370945,0.0
geoId/060855065021,8298.07484307676,0.0
geoId/060855064023,6265.066417156115,0.0
geoId/060855063014,5729.5197971702355,0.0
geoId/060855063013,3992.355692934088,0.0
geoId/060855058002,6039.6553596051635,0.0
geoId/060855058003,4296.596873660982,0.0
geoId/060855059003,1313.3879336714765,0.0
geoId/060855063012,3987.6544762843378,0.0
geoId/060855059002,1312.5580102318381,0.0
geoId/060855064022,3041.8794793946777,0.0
geoId/060855063023,7701.537173274871,0.0
geoId/060855058001,4514.920972824242,0.0
geoId/060014212004,4348.892655827063,0.0
geoId/060133910001,8685.954699099642,0.0
geoId/060133920003,3229.028947794167,0.0
geoId/060014213002,3396.589134547754,0.0
geoId/060133902001,4492.518813566075,0.0
geoId/060014212003,4380.990420309111,0.0
geoId/060014213001,3526.3762843508753,0.0
geoId/060014212002,7610.676096556259,0.0
geoId/060133020081,68593.25141261135,0.0
geoId/060133010001,44928.30579289825,0.0
geoId/060133010002,13517.745441746318,0.0
geoId/060133031022,22942.63255455129,0.0
geoId/060133031031,95012.66037857492,0.0
geoId/060133010003,81748.16705615765,0.0
geoId/060133031032,16721.11847181731,0.0
geoId/060133031021,53218.88123470595,0.0
geoId/060133020082,32551.60427128437,0.0
geoId/060133031034,38832.00735256781,0.0
geoId/060133040052,75294.12033093562,0.0
geoId/060133031033,32509.532412017714,0.0
geoId/060190084015,163775.81775833172,0.0
geoId/060190083022,364324.92137928854,0.0
geoId/060190084022,264897.38696696644,0.0
geoId/060190044091,35089.15600332829,0.0
geoId/060190044082,30804.94949556077,0.0
geoId/060190044052,17238.11485363946,0.0
