Places,Measure,Variable,Year,Unit,Reference Period Code,Reference Period,Value
San Cristobal de las Casas Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,17.0622
San Cristobal de las Casas Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,19.7667
San Cristobal de las Casas Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,21.0933
San Cristobal de las Casas Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,4.30436135
San Cristobal de las Casas Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,4.986638271
San Cristobal de las Casas Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,5.321305885
Solidaridad Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,15.5448
Solidaridad Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,21.312
Solidaridad Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,28.3995
Solidaridad Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.731468918
Solidaridad Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.002847613
Solidaridad Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.336353734
Apizaco Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,8.1711
Apizaco Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,13.3038
Apizaco Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,16.1712
Apizaco Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,10.02938447
Apizaco Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,16.32937122
Apizaco Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,19.84887986
San Luis Rio Colorado Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,22.9509
San Luis Rio Colorado Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,39.0969
San Luis Rio Colorado Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,50.31
San Luis Rio Colorado Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.257990304
San Luis Rio Colorado Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.439486953
San Luis Rio Colorado Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,0.565533038
San Francisco del Rincon Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,17.2854
San Francisco del Rincon Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,27.7443
San Francisco del Rincon Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,38.7693
San Francisco del Rincon Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,2.401968999
San Francisco del Rincon Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,3.855331581
San Francisco del Rincon Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,5.387359085
San Martin Texmelucan Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,4.6494
San Martin Texmelucan Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,10.8054
San Martin Texmelucan Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,21.0591
San Martin Texmelucan Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,5.163934426
San Martin Texmelucan Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,12.00119952
San Martin Texmelucan Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,23.38964414
Lazaro Cardenas Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,27.144
Lazaro Cardenas Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,34.8768
Lazaro Cardenas Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,36.4059
Lazaro Cardenas Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,2.372643484
Lazaro Cardenas Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,3.04856367
Lazaro Cardenas Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,3.182221537
Tianguistenco Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,1.1502
Tianguistenco Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,4.2453
Tianguistenco Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,12.5559
Tianguistenco Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.409717814
Tianguistenco Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,1.512237034
Tianguistenco Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,4.472592507
Cuauhtemoc Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,19.4067
Cuauhtemoc Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,32.2965
Cuauhtemoc Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,42.1272
Cuauhtemoc Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,0.53591844
Cuauhtemoc Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,0.891871875
Cuauhtemoc Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,1.163347881
Arica Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,10.4049
Arica Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,12.6765
Arica Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,14.1615
Arica Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.214395804
Arica Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.261202742
Arica Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.291801572
Iquique Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,5.0229
Iquique Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,5.8086
Iquique Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,6.1434
Iquique Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.218626971
Iquique Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.252825384
Iquique Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.267397904
Calama Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,12.0789
Calama Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,14.9535
Calama Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,16.74
Calama Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.077054678
Calama Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.095392554
Calama Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.106789137
Antofagasta Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,3.3318
Antofagasta Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,3.9762
Antofagasta Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,5.0472
Antofagasta Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.010797892
Antofagasta Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.012886301
Antofagasta Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.016357261
Copiapó Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,4.7538
Copiapó Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,7.1685
Copiapó Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,8.2404
Copiapó Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.026711963
Copiapó Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.040280345
Copiapó Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.046303433
Coquimbo-La Serena Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,15.471
Coquimbo-La Serena Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,27.4293
Coquimbo-La Serena Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,32.9607
Coquimbo-La Serena Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.464190749
Coquimbo-La Serena Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.822986704
Coquimbo-La Serena Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.988950424
Ovalle Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,1.7514
Ovalle Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,4.6755
Ovalle Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,6.0075
Ovalle Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.049230962
Ovalle Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.131425924
Ovalle Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.168867766
Calera Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,5.9742
Calera Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,6.2397
Calera Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,6.3963
Calera Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,9.96741595
Calera Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,10.41037885
Calera Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,10.67165188
Quillota Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,8.5491
Quillota Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,9.3051
Quillota Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,9.6939
Quillota Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,2.819037331
Quillota Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,3.06832582
Quillota Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,3.196531329
Valparaíso Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,70.1703
Valparaíso Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,78.3657
Valparaíso Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,83.1195
Valparaíso Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,6.609910415
Valparaíso Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,7.381901696
Valparaíso Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,7.829700724
Santiago Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,301.3488
Santiago Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,350.3232
Santiago Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,365.1759
Santiago Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,10.5892942
Santiago Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,12.31023793
Santiago Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,12.83215675
San Antonio Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,8.2026
San Antonio Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,9.1404
San Antonio Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,9.9234
San Antonio Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,2.013067045
San Antonio Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,2.2432202
San Antonio Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,2.435382624
Melipilla Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,5.7276
Melipilla Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,7.767
Melipilla Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,9.4248
Melipilla Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.424973256
Melipilla Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.576291514
Melipilla Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.69929603
Rancagua Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,9.2151
Rancagua Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,12.1905
Rancagua Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,13.5351
Rancagua Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,3.511846781
Rancagua Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,4.645762735
Rancagua Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,5.158185734
San Fernando Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,3.4497
San Fernando Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,4.5072
San Fernando Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,5.2569
San Fernando Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.149896308
San Fernando Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.195846781
San Fernando Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.228422733
Curicó Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,6.9732
Curicó Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,11.1942
Curicó Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,13.1859
Curicó Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.522316421
Curicó Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.838483691
Curicó Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.987668802
Talca Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,9.2448
Talca Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,12.7989
Talca Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,14.238
Talca Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,3.989575525
Talca Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,5.523340493
Talca Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,6.144381309
Linares Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,4.2642
Linares Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,5.3037
Linares Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,6.1776
Linares Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.290042447
Linares Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.360747181
Linares Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.42018813
Chillán Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,11.6028
Chillán Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,18.0297
Chillán Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,20.2977
Chillán Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,1.569763902
Chillán Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,2.439270885
Chillán Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,2.746112728
Concepción Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,42.6627
Concepción Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,46.071
Concepción Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,49.5414
Concepción Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,12.04044725
Concepción Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,13.00235206
Concepción Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,13.98178299
Los Angeles Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,7.6095
Los Angeles Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,11.4219
Los Angeles Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,15.3414
Los Angeles Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.436185157
Los Angeles Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.654716242
Los Angeles Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.879386421
Temuco Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,17.9775
Temuco Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,23.5566
Temuco Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,25.812
Temuco Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,2.07121882
Temuco Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,2.713996566
Temuco Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,2.973845095
Valdivia Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,10.3878
Valdivia Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,14.0589
Valdivia Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,15.6987
Valdivia Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,1.065164006
Valdivia Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,1.441598244
Valdivia Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,1.609743178
Osorno Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,6.8166
Osorno Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,10.5219
Osorno Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,11.6343
Osorno Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.7144609
Osorno Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,1.102820489
Osorno Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,1.219413263
Puerto Montt Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,3.4317
Puerto Montt Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,4.6917
Puerto Montt Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,5.8797
Puerto Montt Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.21196864
Puerto Montt Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.289796098
Puerto Montt Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.363176272
Punta Arenas Chile,Square kilometers,Area built-up before,1990,Square kilometres,,,3.6621
Punta Arenas Chile,Square kilometers,Area built-up before,2000,Square kilometres,,,4.0779
Punta Arenas Chile,Square kilometers,Area built-up before,2014,Square kilometres,,,11.1123
Punta Arenas Chile,Percentage of total land area,Area built-up before,1990,Percentage,,,0.022570943
Punta Arenas Chile,Percentage of total land area,Area built-up before,2000,Percentage,,,0.02513368
Punta Arenas Chile,Percentage of total land area,Area built-up before,2014,Percentage,,,0.068489416
Waveney United Kingdom,Percentage of total land area,Area built-up before,1990,Percentage,,,6.272517321
Waveney United Kingdom,Percentage of total land area,Area built-up before,2000,Percentage,,,7.051172967
Waveney United Kingdom,Percentage of total land area,Area built-up before,2014,Percentage,,,8.036222195
Kaunas Lithuania,Percentage of total land area,Area built-up before,1990,Percentage,,,36.05829781
Kaunas Lithuania,Percentage of total land area,Area built-up before,2000,Percentage,,,37.86209068
Kaunas Lithuania,Percentage of total land area,Area built-up before,2014,Percentage,,,40.38219337
Medway United Kingdom,Percentage of total land area,Area built-up before,1990,Percentage,,,29.91350663
Medway United Kingdom,Percentage of total land area,Area built-up before,2000,Percentage,,,31.26676251
Medway United Kingdom,Percentage of total land area,Area built-up before,2014,Percentage,,,32.76001037
Pau France,Square kilometers,Area built-up before,1990,Square kilometres,,,22.6422
Pau France,Square kilometers,Area built-up before,2000,Square kilometres,,,25.7697
Pau France,Square kilometers,Area built-up before,2014,Square kilometres,,,27
Sincelejo Colombia,Percentage of total land area,Area built-up before,1990,Percentage,,,3.991749343
Sincelejo Colombia,Percentage of total land area,Area built-up before,2000,Percentage,,,5.291514703
Sincelejo Colombia,Percentage of total land area,Area built-up before,2014,Percentage,,,5.983320156
San Joaquin United States,Square kilometers,Area built-up before,1990,Square kilometres,,,278.055
San Joaquin United States,Square kilometers,Area built-up before,2000,Square kilometres,,,343.8855
San Joaquin United States,Square kilometers,Area built-up before,2014,Square kilometres,,,403.6743
Toledo Spain,Square kilometers,Area built-up before,1990,Square kilometres,,,7.8597
Toledo Spain,Square kilometers,Area built-up before,2000,Square kilometres,,,11.9556
Toledo Spain,Square kilometers,Area built-up before,2014,Square kilometres,,,13.7385
Merced United States,Percentage of total land area,Area built-up before,1990,Percentage,,,1.373299308
Merced United States,Percentage of total land area,Area built-up before,2000,Percentage,,,1.873068729
Merced United States,Percentage of total land area,Area built-up before,2014,Percentage,,,2.315675616
Vicenza Italy,Percentage of total land area,Area built-up before,1990,Percentage,,,24.41294099
Vicenza Italy,Percentage of total land area,Area built-up before,2000,Percentage,,,26.61818263
Vicenza Italy,Percentage of total land area,Area built-up before,2014,Percentage,,,27.5174833
Lehigh United States,Square kilometers,Area built-up before,1990,Square kilometres,,,271.2123
Lehigh United States,Square kilometers,Area built-up before,2000,Square kilometres,,,357.3063
Lehigh United States,Square kilometers,Area built-up before,2014,Square kilometres,,,434.7144
Uriangato Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,10.6308
Uriangato Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,15.6762
Uriangato Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,18.2907
Oita Japan,Square kilometers,Area built-up before,1990,Square kilometres,,,91.7442
Oita Japan,Square kilometers,Area built-up before,2000,Square kilometres,,,105.9939
Oita Japan,Square kilometers,Area built-up before,2014,Square kilometres,,,111.5352
Heungdeok Korea,Square kilometers,Area built-up before,1990,Square kilometres,,,29.9439
Heungdeok Korea,Square kilometers,Area built-up before,2000,Square kilometres,,,52.6761
Heungdeok Korea,Square kilometers,Area built-up before,2014,Square kilometres,,,77.4045
Morioka Japan,Square kilometers,Area built-up before,1990,Square kilometres,,,45.7758
Morioka Japan,Square kilometers,Area built-up before,2000,Square kilometres,,,50.1813
Morioka Japan,Square kilometers,Area built-up before,2014,Square kilometres,,,52.7571
Linares Spain,Square kilometers,Area built-up before,1990,Square kilometres,,,5.3559
Linares Spain,Square kilometers,Area built-up before,2000,Square kilometres,,,6.579
Linares Spain,Square kilometers,Area built-up before,2014,Square kilometres,,,7.2342
Münster Germany,Percentage of total land area,Area built-up before,1990,Percentage,,,17.77185805
Münster Germany,Percentage of total land area,Area built-up before,2000,Percentage,,,19.79265769
Münster Germany,Percentage of total land area,Area built-up before,2014,Percentage,,,21.48225668
Budapest Hungary,Square kilometers,Area built-up before,1990,Square kilometres,,,234.2727
Budapest Hungary,Square kilometers,Area built-up before,2000,Square kilometres,,,272.9322
Budapest Hungary,Square kilometers,Area built-up before,2014,Square kilometres,,,284.5521
Yonago Japan,Square kilometers,Area built-up before,1990,Square kilometres,,,53.0262
Yonago Japan,Square kilometers,Area built-up before,2000,Square kilometres,,,56.6505
Yonago Japan,Square kilometers,Area built-up before,2014,Square kilometres,,,59.706
Fresno (Greater) United States,Square kilometers,Area built-up before,1990,Square kilometres,,,335.3481
Fresno (Greater) United States,Square kilometers,Area built-up before,2000,Square kilometres,,,422.46
Fresno (Greater) United States,Square kilometers,Area built-up before,2014,Square kilometres,,,489.9168
Enschede Netherlands,Square kilometers,Area built-up before,1990,Square kilometres,,,36.2952
Enschede Netherlands,Square kilometers,Area built-up before,2000,Square kilometres,,,45.0657
Enschede Netherlands,Square kilometers,Area built-up before,2014,Square kilometres,,,48.9447
Swansea United Kingdom,Percentage of total land area,Area built-up before,1990,Percentage,,,14.05493037
Swansea United Kingdom,Percentage of total land area,Area built-up before,2000,Percentage,,,14.27814148
Swansea United Kingdom,Percentage of total land area,Area built-up before,2014,Percentage,,,15.13984568
Antwerpen Belgium,Square kilometers,Area built-up before,1990,Square kilometres,,,106.7256
Antwerpen Belgium,Square kilometers,Area built-up before,2000,Square kilometres,,,116.7768
Antwerpen Belgium,Square kilometers,Area built-up before,2014,Square kilometres,,,120.9969
Warszawa Poland,Square kilometers,Area built-up before,1990,Square kilometres,,,197.253
Warszawa Poland,Square kilometers,Area built-up before,2000,Square kilometres,,,211.5252
Warszawa Poland,Square kilometers,Area built-up before,2014,Square kilometres,,,229.8933
Aschaffenburg Germany,Percentage of total land area,Area built-up before,1990,Percentage,,,23.85088619
Aschaffenburg Germany,Percentage of total land area,Area built-up before,2000,Percentage,,,25.99384796
Aschaffenburg Germany,Percentage of total land area,Area built-up before,2014,Percentage,,,27.6636883
Modena Italy,Square kilometers,Area built-up before,1990,Square kilometres,,,27.36
Modena Italy,Square kilometers,Area built-up before,2000,Square kilometres,,,30.9051
Modena Italy,Square kilometers,Area built-up before,2014,Square kilometres,,,34.0002
Saint-Nazaire France,Percentage of total land area,Area built-up before,1990,Percentage,,,40.4305136
Saint-Nazaire France,Percentage of total land area,Area built-up before,2000,Percentage,,,43.47243202
Saint-Nazaire France,Percentage of total land area,Area built-up before,2014,Percentage,,,47.28285499
Matera Italy,Square kilometers,Area built-up before,1990,Square kilometres,,,7.2468
Matera Italy,Square kilometers,Area built-up before,2000,Square kilometres,,,9.3582
Matera Italy,Square kilometers,Area built-up before,2014,Square kilometres,,,11.3319
Swindon United Kingdom,Square kilometers,Area built-up before,1990,Square kilometres,,,34.6716
Swindon United Kingdom,Square kilometers,Area built-up before,2000,Square kilometres,,,36.7164
Swindon United Kingdom,Square kilometers,Area built-up before,2014,Square kilometres,,,39.9654
Deventer Netherlands,Square kilometers,Area built-up before,1990,Square kilometres,,,13.8357
Deventer Netherlands,Square kilometers,Area built-up before,2000,Square kilometres,,,17.4897
Deventer Netherlands,Square kilometers,Area built-up before,2014,Square kilometres,,,19.8216
Marion (OR) United States,Percentage of total land area,Area built-up before,1990,Percentage,,,3.680708198
Marion (OR) United States,Percentage of total land area,Area built-up before,2000,Percentage,,,5.178641236
Marion (OR) United States,Percentage of total land area,Area built-up before,2014,Percentage,,,6.273393774
Cherbourg France,Square kilometers,Area built-up before,1990,Square kilometres,,,25.4538
Cherbourg France,Square kilometers,Area built-up before,2000,Square kilometres,,,26.5275
Cherbourg France,Square kilometers,Area built-up before,2014,Square kilometres,,,28.1889
Magangué Colombia,Square kilometers,Area built-up before,1990,Square kilometres,,,6.0282
Magangué Colombia,Square kilometers,Area built-up before,2000,Square kilometres,,,7.4565
Magangué Colombia,Square kilometers,Area built-up before,2014,Square kilometres,,,7.9722
Freiburg im Breisgau Germany,Square kilometers,Area built-up before,1990,Square kilometres,,,30.6648
Freiburg im Breisgau Germany,Square kilometers,Area built-up before,2000,Square kilometres,,,33.1317
Freiburg im Breisgau Germany,Square kilometers,Area built-up before,2014,Square kilometres,,,35.7345
New Orleans United States,Square kilometers,Area built-up before,1990,Square kilometres,,,362.0943
New Orleans United States,Square kilometers,Area built-up before,2000,Square kilometres,,,390.4452
New Orleans United States,Square kilometers,Area built-up before,2014,Square kilometres,,,407.6397
Leeds United Kingdom,Square kilometers,Area built-up before,1990,Square kilometres,,,390.7989
Leeds United Kingdom,Square kilometers,Area built-up before,2000,Square kilometres,,,412.9146
Leeds United Kingdom,Square kilometers,Area built-up before,2014,Square kilometres,,,430.7499
Zapotlan el Grande Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.051205914
Zapotlan el Grande Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,3.861150488
Zapotlan el Grande Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,4.071984888
Sagunto Spain,Percentage of total land area,Area built-up before,1990,Percentage,,,12.64304585
Sagunto Spain,Percentage of total land area,Area built-up before,2000,Percentage,,,13.36430255
Sagunto Spain,Percentage of total land area,Area built-up before,2014,Percentage,,,13.98572428
Norrköping Sweden,Square kilometers,Area built-up before,1990,Square kilometres,,,22.2759
Norrköping Sweden,Square kilometers,Area built-up before,2000,Square kilometres,,,25.6707
Norrköping Sweden,Square kilometers,Area built-up before,2014,Square kilometres,,,28.2276
Genova Italy,Square kilometers,Area built-up before,1990,Square kilometres,,,50.9436
Genova Italy,Square kilometers,Area built-up before,2000,Square kilometres,,,52.4844
