Places,Measure,Variable,Year,Unit,Reference Period Code,Reference Period,Value
Hamilton Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,14.60933522
Hamilton Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,16.67429988
London Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,109.8225
London Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,122.9013
London Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,139.9752
London Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,25.89005347
London Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,28.973309
London Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,32.99838751
Kitchener Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,98.3601
Kitchener Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,130.9986
Kitchener Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,152.2521
Kitchener Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,30.85795442
Kitchener Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,41.09744528
Kitchener Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,47.76518488
Halifax Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,98.2503
Halifax Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,107.9694
Halifax Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,126.6417
Halifax Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,1.743365742
Halifax Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,1.915822681
Halifax Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,2.247146332
Victoria Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,64.6632
Victoria Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,69.5268
Victoria Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,72.8073
Victoria Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,45.7948512
Victoria Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,49.23928078
Victoria Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,51.5625498
Windsor Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,76.455
Windsor Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,96.3567
Windsor Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,99.1476
Windsor Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,52.2001487
Windsor Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,65.78816387
Windsor Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,67.693669
Saskatoon Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,60.7509
Saskatoon Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,66.573
Saskatoon Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,80.7219
Saskatoon Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,28.08235705
Saskatoon Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,30.77364707
Saskatoon Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,37.31403515
Sherbrooke Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,46.9386
Sherbrooke Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,52.3539
Sherbrooke Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,63.4842
Sherbrooke Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,13.09497207
Sherbrooke Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,14.60573724
Sherbrooke Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,17.71087816
St Catharines Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,54.2295
St Catharines Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,57.5865
St Catharines Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,60.1722
St Catharines Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,55.4803602
St Catharines Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,58.91479292
St Catharines Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,61.5601348
Trois Rivieres Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,42.0678
Trois Rivieres Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,47.9997
Trois Rivieres Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,56.0637
Trois Rivieres Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,14.44973414
Trois Rivieres Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,16.48726351
Trois Rivieres Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,19.25714109
St Johns Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,32.1453
St Johns Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,35.8425
St Johns Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,40.8231
St Johns Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,7.033799339
St Johns Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,7.84279359
St Johns Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,8.932612039
Regina Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,58.059
Regina Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,63.0288
Regina Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,73.0647
Regina Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,39.47038345
Regina Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,42.84901401
Regina Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,49.67174297
Abbotsford Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,44.7417
Abbotsford Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,58.2066
Abbotsford Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,67.8231
Abbotsford Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,11.77277151
Abbotsford Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,15.31575694
Abbotsford Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,17.84612251
Guelph Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,24.5367
Guelph Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,34.956
Guelph Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,41.9004
Guelph Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,27.86602069
Guelph Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,39.69908827
Guelph Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,47.58575576
Red Deer Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,27.0729
Red Deer Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,35.5473
Red Deer Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,43.2657
Red Deer Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,25.27857611
Red Deer Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,33.19131414
Red Deer Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,40.39815795
Brantford Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,24.9471
Brantford Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,32.3955
Brantford Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,36.4068
Brantford Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,33.53943325
Brantford Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,43.55322702
Brantford Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,48.9461075
Peterborough Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,17.1621
Peterborough Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,20.7144
Peterborough Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,24.3279
Peterborough Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,26.23512417
Peterborough Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,31.66540552
Peterborough Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,37.18924125
Niagara Falls Canada,Square kilometers,Area built-up before,1990,Square kilometres,,,41.976
Niagara Falls Canada,Square kilometers,Area built-up before,2000,Square kilometres,,,46.8117
Niagara Falls Canada,Square kilometers,Area built-up before,2014,Square kilometres,,,52.4295
Niagara Falls Canada,Percentage of total land area,Area built-up before,1990,Percentage,,,19.76547568
Niagara Falls Canada,Percentage of total land area,Area built-up before,2000,Percentage,,,22.04248899
Niagara Falls Canada,Percentage of total land area,Area built-up before,2014,Percentage,,,24.68777414
Ciudad de Mexico Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,798.633
Ciudad de Mexico Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,1092.8763
Ciudad de Mexico Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,1389.6279
Ciudad de Mexico Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,20.83576453
Ciudad de Mexico Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,28.51236206
Ciudad de Mexico Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,36.25439934
Guadalajara Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,296.9469
Guadalajara Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,334.6776
Guadalajara Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,366.5772
Guadalajara Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,17.64416793
Guadalajara Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,19.88607316
Guadalajara Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,21.78150261
Monterrey Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,293.4495
Monterrey Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,378.6831
Monterrey Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,533.6046
Monterrey Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,8.783993845
Monterrey Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,11.33534056
Monterrey Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,15.97269555
Puebla Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,200.799
Puebla Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,282.078
Puebla Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,327.7998
Puebla Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,18.82112967
Puebla Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,26.43950725
Puebla Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,30.72506607
Toluca Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,32.5953
Toluca Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,78.0003
Toluca Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,154.6659
Toluca Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.36714392
Toluca Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,8.057549275
Toluca Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,15.97722202
Tijuana Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,167.6637
Tijuana Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,197.7462
Tijuana Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,233.8083
Tijuana Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,13.53985723
Tijuana Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,15.96920094
Tijuana Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,18.88143349
Leon Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,72.7587
Leon Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,118.2366
Leon Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,150.5502
Leon Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,5.932085861
Leon Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,9.639942208
Leon Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,12.27450068
Queretaro Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,69.993
Queretaro Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,127.5651
Queretaro Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,165.0654
Queretaro Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,7.59067178
Queretaro Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,13.83430921
Queretaro Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,17.90117974
Merida Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,138.9987
Merida Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,159.8274
Merida Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,194.3442
Merida Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,14.03208309
Merida Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,16.13476498
Merida Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,19.61927675
Juarez Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,133.6176
Juarez Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,188.1441
Juarez Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,214.9002
Juarez Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,3.755558816
Juarez Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,5.288122474
Juarez Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,6.040149955
San Luis Potosi Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,96.4251
San Luis Potosi Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,118.8621
San Luis Potosi Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,143.5347
San Luis Potosi Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,5.368755894
San Luis Potosi Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,6.618002989
San Luis Potosi Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,7.991723801
Torreon Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,91.0098
Torreon Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,138.8664
Torreon Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,181.0908
Torreon Mexico,Percentage of total land area,Area built-up before,1990,Percentage,,,2.120996337
Torreon Mexico,Percentage of total land area,Area built-up before,2000,Percentage,,,3.236301208
Torreon Mexico,Percentage of total land area,Area built-up before,2014,Percentage,,,4.220346857
Mexicali Mexico,Square kilometers,Area built-up before,1990,Square kilometres,,,59.3307
Mexicali Mexico,Square kilometers,Area built-up before,2000,Square kilometres,,,86.3811
Mexicali Mexico,Square kilometers,Area built-up before,2014,Square kilometres,,,113.8644
