"variableMeasured","observationPeriod","measurementMethod","observationDate","observationAbout"
"Count_MedicalConditionIncident_EnvironmentalContaminationTransmissionExceptFood_Water","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-04","geoId/19"
"Count_MedicalConditionIncident_EnvironmentalContaminationTransmissionExceptFood_Water","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-10","geoId/41"
"Count_MedicalConditionIncident_EnvironmentalContaminationTransmissionExceptFood_Water","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-11","geoId/55"
"Count_MedicalConditionIncident_EnvironmentalContaminationTransmissionExceptFood_Water","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-03","geoId/42"
"Count_MedicalConditionIncident_EnvironmentalContaminationTransmissionExceptFood_Water","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-04","geoId/32"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-04","geoId/34"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-08","geoId/39"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-07","geoId/56"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-03","geoId/55"
"Count_MedicalConditionIncident_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-06","geoId/32"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-09","geoId/17"
"Count_MedicalConditionIncident_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-04","geoId/26"
"Count_MedicalConditionIncident_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-09","geoId/21"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-02","geoId/19"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-01","geoId/12"
"Count_MedicalConditionIncident_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2021-11","geoId/08"
"Count_MedicalConditionIncident_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-05","geoId/08"
"Count_MedicalConditionIncident_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-11","geoId/09"
"Count_MedicalConditionIncident_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2002-04","country/USA"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-02","geoId/06"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/01"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/05"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/29"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/41"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1978-04","geoId/42"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1981-08","geoId/36"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/06"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/08"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/12"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/15"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-01","geoId/17"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2001-07","geoId/31"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2003-04","geoId/17"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2003-12","geoId/15"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-01","geoId/02"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-03","geoId/48"
"Count_MedicalConditionIncident_PatientHospitalized_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-04","geoId/53"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-09","geoId/39"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-08","geoId/04"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-01","geoId/16"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-03","geoId/51"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-04","geoId/44"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-09","geoId/17"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-10","geoId/20"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-11","geoId/25"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-02","geoId/17"
"Count_MedicalConditionIncident_PatientHospitalized_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-04","geoId/08"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-07","geoId/27"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-12","geoId/29"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-02","geoId/49"
"Count_MedicalConditionIncident_PatientHospitalized_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-07","geoId/42"
"Count_MedicalConditionIncident_PatientHospitalized_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-08","geoId/46"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-10","geoId/20"
"Count_MedicalConditionIncident_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-06","geoId/53"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-10","geoId/39"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-02","geoId/27"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-10","geoId/15"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-03","geoId/29"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-06","geoId/27"
"Count_MedicalConditionIncident_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-12","geoId/25"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1985-06","country/USA"
"Count_MedicalConditionIncident_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-08","country/USA"
"Count_MedicalConditionIncident_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1980-11","geoId/53"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-02","geoId/27"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-08","geoId/30"
"Count_MedicalConditionIncident_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2000-03","geoId/23"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2001-08","geoId/02"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2002-04","geoId/33"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2003-11","geoId/36"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2005-07","geoId/33"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2006-05","geoId/55"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2008-06","geoId/10"
"Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-04","geoId/22"
"Count_MedicalConditionIncident_PatientDeceased_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-12","geoId/41"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-06","geoId/12"
"Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-01","geoId/29"
"Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-01","geoId/54"
"Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-03","geoId/32"
"Count_MedicalConditionIncident_PatientDeceased_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-03","geoId/34"
"Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-09","geoId/01"
"Count_MedicalConditionIncident_PatientDeceased_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-03","geoId/32"
"Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2017-04","geoId/20"
"Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-01","geoId/15"
"Count_MedicalConditionIncident_PatientDeceased_EnvironmentalContaminationTransmissionExceptFood_Water","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-05","geoId/47"
"Count_MedicalConditionIncident_PatientDeceased_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2018-10","geoId/15"
"Count_MedicalConditionIncident_PatientDeceased_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-06","geoId/54"
"Count_MedicalConditionIncident_PatientDeceased_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-08","country/USA"
"Count_MedicalConditionIncident_Copper_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-02","geoId/06"
"Count_MedicalConditionIncident_Selenium_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/01"
"Count_MedicalConditionIncident_HepatitisA_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/05"
"Count_MedicalConditionIncident_NORSUnknown_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/29"
"Count_MedicalConditionIncident_NORSUnknown_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1971-06","geoId/41"
"Count_MedicalConditionIncident_NORSUnknown_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1977-08","geoId/42"
"Count_MedicalConditionIncident_GiardiaDuodenalisEtiology_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1983-07","geoId/30"
"Count_MedicalConditionIncident_NORSOtherVirus_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-03","geoId/08"
"Count_MedicalConditionIncident_ScombroidToxin_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1998-12","geoId/41"
"Count_MedicalConditionIncident_ShigaToxinEColi_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2000-07","geoId/02"
"Count_MedicalConditionIncident_GiardiaDuodenalisEtiology_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2000-10","geoId/36"
"Count_MedicalConditionIncident_ClostridiumPerfringensEtiology_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2001-06","geoId/17"
"Count_MedicalConditionIncident_CampylobacterUnknown_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2002-09","geoId/06"
"Count_MedicalConditionIncident_NorovirusGenogroupI_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2004-01","geoId/11"
"Count_MedicalConditionIncident_NorovirusGenogroupI_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2005-01","geoId/53"
"Count_MedicalConditionIncident_NeurotoxicShellfishPoison_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2005-07","geoId/12"
"Count_MedicalConditionIncident_NorovirusGenogroupI_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2005-11","geoId/06"
"Count_MedicalConditionIncident_NorovirusGenogroupI_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-04","geoId/29"
"Count_MedicalConditionIncident_ClostridiumPerfringensEtiology_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2010-08","geoId/55"
"Count_MedicalConditionIncident_Chloramines_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2011-01","geoId/36"
"Count_MedicalConditionIncident_NorovirusGenogroupII_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-04","geoId/27"
"Count_MedicalConditionIncident_CampylobacterJejuniEtiology_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-07","geoId/27"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-08","geoId/29"
"Count_MedicalConditionIncident_Norovirus_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-01","geoId/27"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-03","geoId/01"
"Count_MedicalConditionIncident_ShigellaSonneiEtiology_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-08","geoId/21"
"Count_MedicalConditionIncident_CryptosporidiumUnknown_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2015-08","geoId/55"
"Count_MedicalConditionIncident_NorovirusUnknown_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-01","geoId/06"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-05","geoId/38"
"Count_MedicalConditionIncident_Norovirus_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-05","geoId/42"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-12","geoId/41"
"Count_MedicalConditionIncident_NorovirusUnknown_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-12","geoId/44"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-07","geoId/37"
"Count_MedicalConditionIncident_Norovirus_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-11","geoId/25"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-01","geoId/35"
"Count_MedicalConditionIncident_Norovirus_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-09","geoId/25"
"Count_MedicalConditionIncident_CampylobacterJejuniEtiology_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2020-12","geoId/49"
"Count_MedicalConditionIncident_CyclosporaCayetanensisEtiology_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2021-06","geoId/38"
"Count_MedicalConditionIncident_NorovirusGenogroupII_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-06","geoId/09"
"Count_MedicalConditionIncident_Norovirus_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-01","geoId/35"
"Count_MedicalConditionIncident_Norovirus_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-01","geoId/53"
"Count_MedicalConditionIncident_Norovirus_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-08","geoId/53"
"Count_MedicalConditionIncident_CryptosporidiumEtiology_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2023-09","geoId/08"
"Count_MedicalConditionIncident_HepatitisA_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1972-07","country/USA"
"Count_MedicalConditionIncident_NorovirusGenogroupII_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2001-05","country/USA"
"Count_MedicalConditionIncident_Histamine_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2004-07","country/USA"
"Count_MedicalConditionIncident_CryptosporidiumParvumEtiology_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2012-03","country/USA"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2013-03","country/USA"
"Count_MedicalConditionIncident_CampylobacterJejuniEtiology_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2014-05","country/USA"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2016-10","country/USA"
"Count_MedicalConditionIncident_NorovirusGenogroupI_Indeterminate_Other_UnknownTramissionMode","P1Y","dcAggregate/NORSNonInfectiousDisease","2019-02","country/USA"
"Count_MedicalConditionIncident_ShigaToxinEColi_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-05","country/USA"
"Count_MedicalConditionIncident_ShigaToxinEColi_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2022-09","country/USA"
"Count_MedicalConditionIncident_NORSOtherVirus_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","1999-09","geoId/30"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2001-11","geoId/36"
"Count_MedicalConditionIncident_SalmonellaEntericaEtiology_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2004-10","geoId/39"
"Count_MedicalConditionIncident_NorovirusGenogroupI_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2004-12","geoId/26"
"Count_MedicalConditionIncident_StaphylococcusAureusEtiology_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2006-05","geoId/26"
"Count_MedicalConditionIncident_NorovirusGenogroupII_PatientHospitalized_FoodborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2008-04","geoId/41"
"Count_MedicalConditionIncident_CryptosporidiumUnknown_PatientHospitalized_WaterborneTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2008-08","geoId/40"
"Count_MedicalConditionIncident_NorovirusUnknown_PatientHospitalized_PersonToPersonTransmission","P1Y","dcAggregate/NORSNonInfectiousDisease","2009-02","geoId/33"
