Date,GeoId,Count_Person_25To64Years_EnrolledInEducationOrTraining_Female_AsAFractionOfCount_Person_25To64Years_Female,Count_Person_25To64Years_EnrolledInEducationOrTraining_Male_AsAFractionOfCount_Person_25To64Years_Male,Count_Person_25To64Years_EnrolledInEducationOrTraining_AsAFractionOfCount_Person_25To64Years
2006,dcid:nuts/AT11,9.8,9.9,9.9
2007,dcid:nuts/AT11,10.6,11.0,10.8
2008,dcid:nuts/AT11,11.4,9.9,10.6
2009,dcid:nuts/AT11,11.3,9.5,10.4
2010,dcid:nuts/AT11,11.1,8.9,10.0
2011,dcid:nuts/AT11,10.9,10.1,10.5
2012,dcid:nuts/AT11,10.8,9.1,9.9
2013,dcid:nuts/AT11,11.0,9.3,10.2
2014,dcid:nuts/AT11,11.0,9.2,10.1
2015,dcid:nuts/AT11,10.3,10.4,10.3
2016,dcid:nuts/AT11,11.8,9.8,10.8
2017,dcid:nuts/AT11,13.1,9.9,11.5
2018,dcid:nuts/AT11,12.0,10.0,11.0
2019,dcid:nuts/AT11,12.0,9.2,10.6
2000,dcid:nuts/AT12,6.1,9.4,7.8
2001,dcid:nuts/AT12,6.5,8.7,7.6
2002,dcid:nuts/AT12,6.6,7.8,7.2
2003,dcid:nuts/AT12,8.7,8.8,8.7
2004,dcid:nuts/AT12,11.7,10.8,11.2
2005,dcid:nuts/AT12,13.1,12.5,12.8
2006,dcid:nuts/AT12,12.8,11.4,12.1
2007,dcid:nuts/AT12,13.1,10.5,11.8
2008,dcid:nuts/AT12,12.9,11.7,12.3
2009,dcid:nuts/AT12,12.5,11.4,12.0
2010,dcid:nuts/AT12,13.0,11.6,12.3
2011,dcid:nuts/AT12,13.1,10.8,12.0
2012,dcid:nuts/AT12,13.2,12.2,12.7
2013,dcid:nuts/AT12,13.4,10.7,12.0
2014,dcid:nuts/AT12,13.9,11.9,12.9
2015,dcid:nuts/AT12,14.3,12.7,13.5
2016,dcid:nuts/AT12,14.2,12.5,13.4
2017,dcid:nuts/AT12,15.5,13.2,14.3
2018,dcid:nuts/AT12,14.3,13.1,13.7
2019,dcid:nuts/AT12,14.1,11.1,12.6
2000,dcid:nuts/AT13,9.0,11.8,10.4
2001,dcid:nuts/AT13,9.3,9.3,9.3
2002,dcid:nuts/AT13,9.1,8.3,8.7
2003,dcid:nuts/AT13,9.0,8.4,8.8
2004,dcid:nuts/AT13,13.9,12.0,12.9
2005,dcid:nuts/AT13,15.3,14.1,14.7
2006,dcid:nuts/AT13,17.1,14.2,15.7
2007,dcid:nuts/AT13,16.3,14.3,15.3
2008,dcid:nuts/AT13,18.1,14.6,16.4
2009,dcid:nuts/AT13,20.3,15.7,18.0
2010,dcid:nuts/AT13,19.4,15.8,17.6
2011,dcid:nuts/AT13,19.0,15.8,17.4
2012,dcid:nuts/AT13,19.2,17.0,18.1
2013,dcid:nuts/AT13,20.6,17.6,19.1
2014,dcid:nuts/AT13,20.7,18.6,19.6
2015,dcid:nuts/AT13,19.8,17.8,18.8
2016,dcid:nuts/AT13,21.6,17.6,19.6
2017,dcid:nuts/AT13,22.7,18.9,20.8
2018,dcid:nuts/AT13,22.0,18.7,20.4
2019,dcid:nuts/AT13,22.5,17.6,20.1
2000,dcid:nuts/AT2,6.1,6.5,6.3
2001,dcid:nuts/AT2,6.2,6.8,6.5
2002,dcid:nuts/AT2,5.5,5.6,5.5
2003,dcid:nuts/AT2,7.3,7.3,7.3
2004,dcid:nuts/AT2,11.7,10.6,11.1
2005,dcid:nuts/AT2,13.0,11.1,12.1
2006,dcid:nuts/AT2,13.8,11.2,12.5
2007,dcid:nuts/AT2,14.0,10.9,12.5
2008,dcid:nuts/AT2,12.8,10.9,11.9
2009,dcid:nuts/AT2,13.6,12.3,13.0
2010,dcid:nuts/AT2,13.6,12.0,12.8
2011,dcid:nuts/AT2,14.8,11.4,13.1
2012,dcid:nuts/AT2,15.0,13.2,14.1
2013,dcid:nuts/AT2,14.2,12.0,13.1
2014,dcid:nuts/AT2,13.6,11.9,12.8
2015,dcid:nuts/AT2,14.4,12.0,13.2
2016,dcid:nuts/AT2,14.6,12.5,13.5
2017,dcid:nuts/AT2,16.6,12.5,14.5
2018,dcid:nuts/AT2,15.9,12.0,13.9
2019,dcid:nuts/AT2,14.6,12.5,13.6
2000,dcid:nuts/AT21,4.8,6.6,5.7
2001,dcid:nuts/AT21,7.6,7.4,7.5
2002,dcid:nuts/AT21,5.3,5.6,5.4
2003,dcid:nuts/AT21,7.2,7.1,7.2
2004,dcid:nuts/AT21,11.6,8.8,10.3
2005,dcid:nuts/AT21,12.1,11.2,11.6
2006,dcid:nuts/AT21,12.9,10.5,11.7
2007,dcid:nuts/AT21,14.0,10.4,12.2
2008,dcid:nuts/AT21,12.9,10.9,11.9
2009,dcid:nuts/AT21,12.3,10.4,11.4
2010,dcid:nuts/AT21,12.9,11.1,12.0
2011,dcid:nuts/AT21,13.0,9.5,11.3
2012,dcid:nuts/AT21,13.9,10.8,12.4
2013,dcid:nuts/AT21,14.9,11.2,13.0
2014,dcid:nuts/AT21,13.6,10.7,12.2
2015,dcid:nuts/AT21,13.7,10.7,12.2
2016,dcid:nuts/AT21,13.2,10.8,12.0
2017,dcid:nuts/AT21,15.0,11.3,13.2
2018,dcid:nuts/AT21,15.7,10.8,13.3
2019,dcid:nuts/AT21,14.0,11.2,12.6
2000,dcid:nuts/AT22,6.7,6.5,6.6
2001,dcid:nuts/AT22,5.5,6.5,6.0
2002,dcid:nuts/AT22,5.6,5.6,5.6
2003,dcid:nuts/AT22,7.3,7.3,7.3
2004,dcid:nuts/AT22,11.7,11.3,11.5
2005,dcid:nuts/AT22,13.5,11.0,12.3
2006,dcid:nuts/AT22,14.2,11.5,12.8
2007,dcid:nuts/AT22,14.0,11.2,12.6
2008,dcid:nuts/AT22,12.8,11.0,11.9
2009,dcid:nuts/AT22,14.2,13.2,13.7
2010,dcid:nuts/AT22,14.0,12.4,13.2
2011,dcid:nuts/AT22,15.6,12.3,14.0
2012,dcid:nuts/AT22,15.6,14.3,14.9
2013,dcid:nuts/AT22,14.0,12.4,13.2
2014,dcid:nuts/AT22,13.6,12.4,13.0
2015,dcid:nuts/AT22,14.7,12.6,13.6
2016,dcid:nuts/AT22,15.3,13.2,14.2
2017,dcid:nuts/AT22,17.3,13.0,15.1
2018,dcid:nuts/AT22,15.9,12.5,14.2
2019,dcid:nuts/AT22,14.9,13.1,14.0
2000,dcid:nuts/AT3,8.3,9.6,9.0
2001,dcid:nuts/AT3,8.5,9.7,9.1
2002,dcid:nuts/AT3,8.1,8.6,8.4
2003,dcid:nuts/AT3,9.4,9.5,9.5
2004,dcid:nuts/AT3,12.3,11.1,11.7
2005,dcid:nuts/AT3,13.4,12.3,12.9
2006,dcid:nuts/AT3,13.6,12.7,13.2
2007,dcid:nuts/AT3,13.8,11.5,12.6
2008,dcid:nuts/AT3,13.8,12.5,13.1
2009,dcid:nuts/AT3,14.1,12.9,13.5
2010,dcid:nuts/AT3,14.3,12.6,13.4
2011,dcid:nuts/AT3,13.2,11.9,12.6
2012,dcid:nuts/AT3,14.6,11.9,13.3
2013,dcid:nuts/AT3,14.5,11.9,13.2
2014,dcid:nuts/AT3,14.5,11.9,13.2
2015,dcid:nuts/AT3,14.5,12.0,13.3
2016,dcid:nuts/AT3,15.5,12.5,14.0
2017,dcid:nuts/AT3,15.8,13.2,14.5
2018,dcid:nuts/AT3,15.0,12.3,13.6
2019,dcid:nuts/AT3,14.9,12.1,13.5
2000,dcid:nuts/AT31,8.4,9.3,8.9
2001,dcid:nuts/AT31,8.4,9.5,9.0
2002,dcid:nuts/AT31,7.7,8.9,8.3
2003,dcid:nuts/AT31,9.5,10.0,9.8
2004,dcid:nuts/AT31,12.4,10.4,11.4
2005,dcid:nuts/AT31,14.1,12.4,13.2
2006,dcid:nuts/AT31,13.4,12.5,13.0
2007,dcid:nuts/AT31,13.8,11.1,12.5
2008,dcid:nuts/AT31,13.7,12.9,13.3
2009,dcid:nuts/AT31,13.6,13.0,13.3
2010,dcid:nuts/AT31,14.4,12.9,13.7
2011,dcid:nuts/AT31,12.9,12.1,12.5
2012,dcid:nuts/AT31,14.9,11.7,13.3
2013,dcid:nuts/AT31,14.0,11.5,12.7
2014,dcid:nuts/AT31,14.5,11.5,13.0
2015,dcid:nuts/AT31,14.0,12.0,13.0
2016,dcid:nuts/AT31,15.4,11.6,13.5
2017,dcid:nuts/AT31,15.4,13.1,14.2
2018,dcid:nuts/AT31,14.5,11.9,13.2
2019,dcid:nuts/AT31,15.5,11.7,13.6
2000,dcid:nuts/AT32,8.0,9.3,8.6
2001,dcid:nuts/AT32,7.9,8.3,8.1
2002,dcid:nuts/AT32,7.2,6.8,7.0
2003,dcid:nuts/AT32,9.1,9.7,9.4
2004,dcid:nuts/AT32,13.2,11.7,12.5
2005,dcid:nuts/AT32,12.9,11.9,12.4
2006,dcid:nuts/AT32,14.7,12.5,13.6
2007,dcid:nuts/AT32,14.7,10.7,12.7
2008,dcid:nuts/AT32,14.5,11.6,13.1
2009,dcid:nuts/AT32,15.5,11.6,13.6
2010,dcid:nuts/AT32,15.7,12.0,13.9
2011,dcid:nuts/AT32,14.3,11.7,13.0
2012,dcid:nuts/AT32,14.4,12.0,13.2
2013,dcid:nuts/AT32,14.9,11.0,13.0
2014,dcid:nuts/AT32,14.0,11.7,12.8
2015,dcid:nuts/AT32,15.2,11.2,13.2
2016,dcid:nuts/AT32,15.9,11.7,13.9
2017,dcid:nuts/AT32,16.1,12.2,14.2
2018,dcid:nuts/AT32,15.2,10.5,12.9
2019,dcid:nuts/AT32,13.7,10.4,12.0
2000,dcid:nuts/AT33,7.4,9.1,8.2
2001,dcid:nuts/AT33,8.0,9.3,8.7
2002,dcid:nuts/AT33,8.8,7.9,8.3
2003,dcid:nuts/AT33,8.7,8.6,8.6
2004,dcid:nuts/AT33,11.1,11.7,11.4
2005,dcid:nuts/AT33,12.5,12.2,12.3
2006,dcid:nuts/AT33,12.9,13.0,12.9
2007,dcid:nuts/AT33,13.0,12.2,12.6
2008,dcid:nuts/AT33,13.4,12.3,12.9
2009,dcid:nuts/AT33,13.5,13.0,13.3
2010,dcid:nuts/AT33,12.9,12.6,12.8
2011,dcid:nuts/AT33,12.1,11.6,11.9
2012,dcid:nuts/AT33,13.6,12.0,12.8
2013,dcid:nuts/AT33,14.2,12.8,13.5
2014,dcid:nuts/AT33,14.4,12.5,13.5
2015,dcid:nuts/AT33,14.2,12.6,13.4
2016,dcid:nuts/AT33,15.1,14.2,14.6
2017,dcid:nuts/AT33,16.0,14.1,15.1
2018,dcid:nuts/AT33,15.4,14.3,14.8
2019,dcid:nuts/AT33,15.1,14.1,14.6
2000,dcid:nuts/AT34,10.2,12.3,11.3
2001,dcid:nuts/AT34,10.3,12.9,11.6
2002,dcid:nuts/AT34,9.4,11.6,10.5
2003,dcid:nuts/AT34,10.7,9.3,10.0
2004,dcid:nuts/AT34,12.6,11.8,12.2
2005,dcid:nuts/AT34,13.4,12.7,13.1
2006,dcid:nuts/AT34,14.4,13.3,13.9
2007,dcid:nuts/AT34,13.7,12.6,13.2
2008,dcid:nuts/AT34,13.7,12.6,13.2
2009,dcid:nuts/AT34,15.1,13.7,14.4
2010,dcid:nuts/AT34,14.1,12.1,13.1
2011,dcid:nuts/AT34,14.4,12.4,13.4
2012,dcid:nuts/AT34,15.7,12.6,14.2
2013,dcid:nuts/AT34,16.5,12.7,14.6
2014,dcid:nuts/AT34,15.1,12.3,13.7
2015,dcid:nuts/AT34,15.8,12.3,14.0
2016,dcid:nuts/AT34,15.7,13.7,14.7
2017,dcid:nuts/AT34,16.7,13.7,15.2
2018,dcid:nuts/AT34,15.5,13.0,14.3
2019,dcid:nuts/AT34,14.2,11.8,13.0
2000,dcid:nuts/BE,5.7,6.7,6.2
2001,dcid:nuts/BE,5.9,6.9,6.4
2002,dcid:nuts/BE,6.0,5.9,6.0
2003,dcid:nuts/BE,6.9,7.0,7.0
2004,dcid:nuts/BE,8.5,8.7,8.6
2005,dcid:nuts/BE,8.5,8.2,8.3
2006,dcid:nuts/BE,7.9,7.7,7.8
2007,dcid:nuts/BE,7.6,7.2,7.4
2008,dcid:nuts/BE,7.5,6.7,7.1
2009,dcid:nuts/BE,7.5,6.6,7.1
2010,dcid:nuts/BE,7.6,7.2,7.4
2011,dcid:nuts/BE,7.8,7.0,7.4
2012,dcid:nuts/BE,7.3,6.5,6.9
2013,dcid:nuts/BE,7.1,6.7,6.9
2014,dcid:nuts/BE,7.9,6.9,7.4
2015,dcid:nuts/BE,7.3,6.5,6.9
2016,dcid:nuts/BE,7.5,6.5,7.0
2017,dcid:nuts/BE,8.8,8.1,8.5
2018,dcid:nuts/BE,9.0,8.1,8.5
2019,dcid:nuts/BE,8.6,7.7,8.2
2000,dcid:nuts/BE1,6.2,7.2,6.7
2001,dcid:nuts/BE1,6.4,6.5,6.4
2002,dcid:nuts/BE1,7.6,6.2,6.9
2003,dcid:nuts/BE1,8.5,8.8,8.6
2004,dcid:nuts/BE1,10.8,10.0,10.4
2005,dcid:nuts/BE1,12.1,11.8,12.0
2006,dcid:nuts/BE1,11.3,11.2,11.2
2007,dcid:nuts/BE1,11.5,10.3,10.9
2008,dcid:nuts/BE1,11.3,9.0,10.2
2009,dcid:nuts/BE1,11.8,9.9,10.8
2010,dcid:nuts/BE1,9.6,9.6,9.6
2011,dcid:nuts/BE1,11.7,9.9,10.8
2012,dcid:nuts/BE1,11.4,9.7,10.5
2013,dcid:nuts/BE1,9.8,8.5,9.1
2014,dcid:nuts/BE1,11.3,9.4,10.4
2015,dcid:nuts/BE1,12.2,10.3,11.2
2016,dcid:nuts/BE1,10.7,9.4,10.0
2017,dcid:nuts/BE1,13.7,11.6,12.6
2018,dcid:nuts/BE1,12.1,11.2,11.7
2019,dcid:nuts/BE1,10.9,10.4,10.7
2000,dcid:nuts/BE10,6.2,7.2,6.7
2001,dcid:nuts/BE10,6.4,6.5,6.4
2002,dcid:nuts/BE10,7.6,6.2,6.9
2003,dcid:nuts/BE10,8.5,8.8,8.6
2004,dcid:nuts/BE10,10.8,10.0,10.4
2005,dcid:nuts/BE10,12.1,11.8,12.0
2006,dcid:nuts/BE10,11.3,11.2,11.2
2007,dcid:nuts/BE10,11.5,10.3,10.9
2008,dcid:nuts/BE10,11.3,9.0,10.2
2009,dcid:nuts/BE10,11.8,9.9,10.8
2010,dcid:nuts/BE10,9.6,9.6,9.6
2011,dcid:nuts/BE10,11.7,9.9,10.8
2012,dcid:nuts/BE10,11.4,9.7,10.5
2013,dcid:nuts/BE10,9.8,8.5,9.1
2014,dcid:nuts/BE10,11.3,9.4,10.4
2015,dcid:nuts/BE10,12.2,10.3,11.2
2016,dcid:nuts/BE10,10.7,9.4,10.0
2017,dcid:nuts/BE10,13.7,11.6,12.6
2018,dcid:nuts/BE10,12.1,11.2,11.7
2019,dcid:nuts/BE10,10.9,10.4,10.7
2000,dcid:nuts/BE2,6.3,7.5,6.9
2001,dcid:nuts/BE2,6.8,8.0,7.4
2002,dcid:nuts/BE2,6.9,6.6,6.7
2003,dcid:nuts/BE2,7.6,7.6,7.6
2004,dcid:nuts/BE2,9.7,9.9,9.8
2005,dcid:nuts/BE2,9.4,8.9,9.1
2006,dcid:nuts/BE2,8.7,8.3,8.5
2007,dcid:nuts/BE2,8.2,7.9,8.0
2008,dcid:nuts/BE2,8.2,7.4,7.8
2009,dcid:nuts/BE2,8.1,7.1,7.6
2010,dcid:nuts/BE2,8.7,8.1,8.4
2011,dcid:nuts/BE2,8.3,7.4,7.9
2012,dcid:nuts/BE2,7.4,6.8,7.1
2013,dcid:nuts/BE2,7.5,7.0,7.3
2014,dcid:nuts/BE2,8.3,7.2,7.7
2015,dcid:nuts/BE2,7.3,6.6,7.0
2016,dcid:nuts/BE2,7.8,6.5,7.1
2017,dcid:nuts/BE2,8.8,8.5,8.7
2018,dcid:nuts/BE2,9.2,8.2,8.7
2019,dcid:nuts/BE2,9.1,8.0,8.6
2000,dcid:nuts/BE21,5.0,5.7,5.3
2001,dcid:nuts/BE21,5.6,6.5,6.1
2002,dcid:nuts/BE21,4.8,4.4,4.6
2003,dcid:nuts/BE21,4.8,5.5,5.2
2004,dcid:nuts/BE21,9.2,9.5,9.3
2005,dcid:nuts/BE21,9.8,8.3,9.0
2006,dcid:nuts/BE21,8.3,8.2,8.2
2007,dcid:nuts/BE21,7.7,7.8,7.8
2008,dcid:nuts/BE21,7.1,6.6,6.9
2009,dcid:nuts/BE21,8.1,6.6,7.4
2010,dcid:nuts/BE21,8.0,7.5,7.7
2011,dcid:nuts/BE21,7.7,6.8,7.2
2012,dcid:nuts/BE21,6.3,5.6,6.0
2013,dcid:nuts/BE21,6.3,6.0,6.2
2014,dcid:nuts/BE21,6.3,5.4,5.9
2015,dcid:nuts/BE21,6.7,5.9,6.3
2016,dcid:nuts/BE21,7.0,5.7,6.3
2017,dcid:nuts/BE21,7.5,7.1,7.3
2018,dcid:nuts/BE21,8.6,7.9,8.2
2019,dcid:nuts/BE21,9.4,7.0,8.2
2000,dcid:nuts/BE22,5.8,6.4,6.1
2001,dcid:nuts/BE22,5.9,6.9,6.4
2002,dcid:nuts/BE22,6.0,5.6,5.8
2003,dcid:nuts/BE22,6.1,6.6,6.3
2004,dcid:nuts/BE22,7.8,7.1,7.5
2005,dcid:nuts/BE22,6.2,6.8,6.5
2006,dcid:nuts/BE22,7.2,6.2,6.6
2007,dcid:nuts/BE22,8.1,8.2,8.2
2008,dcid:nuts/BE22,8.2,8.1,8.1
2009,dcid:nuts/BE22,7.9,7.0,7.4
2010,dcid:nuts/BE22,7.1,6.8,6.9
2011,dcid:nuts/BE22,8.0,7.2,7.6
2012,dcid:nuts/BE22,7.1,6.1,6.6
2013,dcid:nuts/BE22,6.6,5.7,6.1
2014,dcid:nuts/BE22,6.0,5.5,5.8
2015,dcid:nuts/BE22,6.7,5.8,6.3
2016,dcid:nuts/BE22,6.5,5.3,5.9
2017,dcid:nuts/BE22,9.0,7.8,8.4
2018,dcid:nuts/BE22,8.5,8.4,8.4
2019,dcid:nuts/BE22,8.4,8.0,8.2
2000,dcid:nuts/BE23,6.7,8.0,7.4
2001,dcid:nuts/BE23,5.1,6.5,5.8
2002,dcid:nuts/BE23,7.7,7.2,7.5
2003,dcid:nuts/BE23,8.3,8.1,8.2
2004,dcid:nuts/BE23,11.1,10.7,10.9
2005,dcid:nuts/BE23,10.0,10.2,10.1
2006,dcid:nuts/BE23,9.4,8.8,9.1
2007,dcid:nuts/BE23,8.0,7.5,7.7
2008,dcid:nuts/BE23,8.8,7.5,8.2
2009,dcid:nuts/BE23,7.6,7.7,7.6
2010,dcid:nuts/BE23,8.6,7.8,8.2
2011,dcid:nuts/BE23,7.1,7.1,7.1
2012,dcid:nuts/BE23,7.8,7.8,7.8
2013,dcid:nuts/BE23,8.9,8.5,8.7
2014,dcid:nuts/BE23,10.6,8.7,9.6
2015,dcid:nuts/BE23,8.0,7.3,7.6
2016,dcid:nuts/BE23,8.4,6.5,7.5
2017,dcid:nuts/BE23,9.6,9.9,9.7
2018,dcid:nuts/BE23,9.5,8.9,9.2
2019,dcid:nuts/BE23,8.9,8.9,8.9
2000,dcid:nuts/BE24,8.4,8.9,8.6
2001,dcid:nuts/BE24,10.4,11.8,11.1
2002,dcid:nuts/BE24,9.8,10.4,10.1
2003,dcid:nuts/BE24,12.1,11.5,11.8
2004,dcid:nuts/BE24,12.1,12.9,12.5
2005,dcid:nuts/BE24,10.6,10.7,10.7
2006,dcid:nuts/BE24,10.5,10.9,10.7
2007,dcid:nuts/BE24,9.5,9.0,9.2
2008,dcid:nuts/BE24,10.0,8.6,9.3
2009,dcid:nuts/BE24,10.7,7.8,9.3
2010,dcid:nuts/BE24,13.8,12.0,12.9
2011,dcid:nuts/BE24,11.3,10.2,10.7
2012,dcid:nuts/BE24,9.4,8.2,8.8
2013,dcid:nuts/BE24,8.6,8.6,8.6
2014,dcid:nuts/BE24,9.9,9.2,9.5
2015,dcid:nuts/BE24,8.6,8.1,8.3
2016,dcid:nuts/BE24,9.2,9.0,9.1
2017,dcid:nuts/BE24,10.0,10.3,10.2
2018,dcid:nuts/BE24,10.7,8.1,9.4
2019,dcid:nuts/BE24,10.2,8.8,9.5
2000,dcid:nuts/BE25,6.5,9.0,7.7
2001,dcid:nuts/BE25,7.9,9.0,8.5
2002,dcid:nuts/BE25,7.1,6.2,6.6
2003,dcid:nuts/BE25,7.7,7.1,7.4
2004,dcid:nuts/BE25,8.1,8.9,8.5
2005,dcid:nuts/BE25,9.2,7.9,8.6
2006,dcid:nuts/BE25,7.8,7.2,7.5
2007,dcid:nuts/BE25,8.2,7.2,7.7
2008,dcid:nuts/BE25,7.2,7.0,7.1
2009,dcid:nuts/BE25,6.6,6.3,6.4
2010,dcid:nuts/BE25,6.4,7.0,6.7
2011,dcid:nuts/BE25,8.1,6.5,7.3
2012,dcid:nuts/BE25,7.1,6.5,6.8
2013,dcid:nuts/BE25,7.2,6.4,6.8
2014,dcid:nuts/BE25,8.3,7.7,8.0
2015,dcid:nuts/BE25,6.6,6.1,6.4
2016,dcid:nuts/BE25,7.7,6.3,7.0
2017,dcid:nuts/BE25,8.7,7.7,8.2
2018,dcid:nuts/BE25,8.6,7.7,8.1
2019,dcid:nuts/BE25,8.5,7.9,8.2
2000,dcid:nuts/BE3,4.3,5.0,4.6
2001,dcid:nuts/BE3,4.3,5.1,4.7
2002,dcid:nuts/BE3,3.9,4.6,4.2
2003,dcid:nuts/BE3,5.2,5.4,5.3
2004,dcid:nuts/BE3,5.5,6.1,5.8
2005,dcid:nuts/BE3,5.9,5.7,5.8
2006,dcid:nuts/BE3,5.4,5.4,5.4
2007,dcid:nuts/BE3,5.3,5.1,5.2
2008,dcid:nuts/BE3,5.0,4.5,4.8
2009,dcid:nuts/BE3,5.1,4.7,4.9
2010,dcid:nuts/BE3,5.0,4.8,4.9
2011,dcid:nuts/BE3,5.6,5.3,5.4
2012,dcid:nuts/BE3,5.7,5.1,5.4
2013,dcid:nuts/BE3,5.5,5.6,5.5
2014,dcid:nuts/BE3,6.0,5.4,5.7
2015,dcid:nuts/BE3,5.8,5.1,5.4
2016,dcid:nuts/BE3,5.9,5.5,5.7
2017,dcid:nuts/BE3,7.1,6.3,6.7
2018,dcid:nuts/BE3,7.7,6.8,7.2
2019,dcid:nuts/BE3,6.9,6.2,6.6
2000,dcid:nuts/BE31,6.6,8.9,7.7
2001,dcid:nuts/BE31,7.5,9.1,8.3
2002,dcid:nuts/BE31,6.5,8.2,7.4
2003,dcid:nuts/BE31,8.6,9.5,9.0
2004,dcid:nuts/BE31,8.8,11.2,10.0
2005,dcid:nuts/BE31,9.3,9.5,9.4
2006,dcid:nuts/BE31,6.5,7.4,6.9
2007,dcid:nuts/BE31,7.7,9.3,8.5
2008,dcid:nuts/BE31,6.9,7.5,7.2
2009,dcid:nuts/BE31,6.6,6.8,6.7
2010,dcid:nuts/BE31,6.1,6.9,6.5
2011,dcid:nuts/BE31,7.5,8.0,7.8
2012,dcid:nuts/BE31,8.6,8.2,8.4
2013,dcid:nuts/BE31,9.2,9.6,9.4
2014,dcid:nuts/BE31,9.5,9.3,9.4
2015,dcid:nuts/BE31,9.9,8.4,9.2
2016,dcid:nuts/BE31,8.2,8.5,8.4
2017,dcid:nuts/BE31,10.7,8.6,9.6
2018,dcid:nuts/BE31,10.2,8.3,9.3
2019,dcid:nuts/BE31,9.6,9.3,9.5
2000,dcid:nuts/BE32,3.3,4.1,3.7
2001,dcid:nuts/BE32,3.3,4.4,3.8
2002,dcid:nuts/BE32,2.9,3.3,3.1
2003,dcid:nuts/BE32,4.1,4.2,4.1
2004,dcid:nuts/BE32,4.0,4.7,4.3
2005,dcid:nuts/BE32,4.0,3.5,3.8
2006,dcid:nuts/BE32,4.3,4.8,4.5
2007,dcid:nuts/BE32,4.0,3.7,3.8
2008,dcid:nuts/BE32,3.4,3.4,3.4
2009,dcid:nuts/BE32,3.0,2.5,2.7
2010,dcid:nuts/BE32,3.1,3.3,3.2
2011,dcid:nuts/BE32,3.8,4.0,3.9
2012,dcid:nuts/BE32,4.0,3.0,3.5
2013,dcid:nuts/BE32,3.5,4.0,3.7
2014,dcid:nuts/BE32,4.4,4.3,4.3
2015,dcid:nuts/BE32,4.2,3.8,4.0
2016,dcid:nuts/BE32,4.3,3.8,4.1
2017,dcid:nuts/BE32,5.1,4.5,4.8
2018,dcid:nuts/BE32,5.7,4.8,5.3
2019,dcid:nuts/BE32,4.8,4.4,4.6
2000,dcid:nuts/BE33,5.0,5.6,5.3
2001,dcid:nuts/BE33,4.3,5.0,4.7
2002,dcid:nuts/BE33,4.7,5.0,4.8
2003,dcid:nuts/BE33,6.0,6.3,6.1
2004,dcid:nuts/BE33,6.2,6.1,6.1
2005,dcid:nuts/BE33,6.3,7.0,6.7
2006,dcid:nuts/BE33,6.6,6.0,6.3
2007,dcid:nuts/BE33,6.5,5.8,6.2
