"MinDate","Units","NumPlaces","ScalingFactors","StatVar","observationPeriods","MeasurementMethods"
"2011","[]","1","[]","Count_Person_BachelorOfEducationMajor_EducationalAttainmentBachelorsDegree_Male_HispanicOrLatino","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfVisualAndPerformingArtsMajor_EducationalAttainmentBachelorsDegree_Male_WhiteAlone","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfVisualAndPerformingArtsMajor_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEthnicCulturalGenderGroupStudiesMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfArtsHumanitiesAndOtherMajor_EducationalAttainmentBachelorsDegree_Male","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfBusinessMajor_EducationalAttainmentBachelorsDegree_Male_Asian","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEngineeringTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfPublicAdminSocialServicesMajor_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfMilitaryTechnologiesMajor_EducationalAttainmentBachelorsDegree_Male_NonUSResident","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfBiologicalAndBiomedicalSciencesMajor_EducationalAttainmentBachelorsDegree_Male_HawaiianNativeOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfEnglishAndLiteratureMajor_EducationalAttainmentBachelorsDegree_Male_AsianOrPacificIslander","[P1Y]","[]"
"2011","[]","1","[]","Count_Person_BachelorOfTransportationAndMaterialsMovingMajor_EducationalAttainmentBachelorsDegree_Male_Asian","[P1Y]","[]"
