key,prop,val,,,,,,,,,,
RCDTS,observationAbout,{Data},measuredProperty,count,populationType,Student,assessmentType,DynamicLearningMaps,observationDate,2022,measurementDenominator,"-schoolSubject,-educationalAchievementLevel"
% Hispanic or Latino students DLM Mathematics At Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Mathematics Advanced Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Science Emerging Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Science Approaching Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Science At Target Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Hispanic or Latino students DLM Science Advanced Grade 8,value,{Number},ethnicity,HispanicOrLatino,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM ELA Emerging Grade 8,value,{Number},race,Asian,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM ELA Approaching Target Grade 8,value,{Number},race,Asian,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM ELA At Target Grade 8,value,{Number},race,Asian,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM ELA Advanced Grade 8,value,{Number},race,Asian,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Mathematics Emerging Grade 8,value,{Number},race,Asian,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Mathematics Approaching Target Grade 8,value,{Number},race,Asian,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Mathematics At Target Grade 8,value,{Number},race,Asian,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Mathematics Advanced Grade 8,value,{Number},race,Asian,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Science Emerging Grade 8,value,{Number},race,Asian,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Science Approaching Target Grade 8,value,{Number},race,Asian,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Science At Target Grade 8,value,{Number},race,Asian,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Asian students DLM Science Advanced Grade 8,value,{Number},race,Asian,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM ELA Emerging Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM ELA Approaching Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM ELA At Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM ELA Advanced Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Mathematics Emerging Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Mathematics Approaching Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Mathematics At Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Mathematics Advanced Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Science Emerging Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Science Approaching Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Science At Target Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Native Hawaiian or Other Pacific Islander students DLM Science Advanced Grade 8,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM ELA Emerging Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM ELA Approaching Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM ELA At Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM ELA Advanced Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Mathematics Emerging Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Mathematics Approaching Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Mathematics At Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Mathematics Advanced Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Science Emerging Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Science Approaching Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Science At Target Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% American Indian or Alaska Native students DLM Science Advanced Grade 8,value,{Number},race,AmericanIndianAndAlaskaNativeAlone,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM ELA Emerging Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM ELA Approaching Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM ELA At Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM ELA Advanced Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM Mathematics Emerging Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM Mathematics Approaching Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM Mathematics At Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Race students DLM Mathematics Advanced Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Two or More Races students DLM Science Emerging Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Two or More Races students DLM Science Approaching Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Races students DLM Science At Target Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Two or More Races students DLM Science Advanced Grade 8,value,{Number},race,TwoOrMoreRaces,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM ELA Emerging Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM ELA Approaching Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM ELA At Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM ELA Advanced Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Mathematics Emerging Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Mathematics Approaching Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Mathematics At Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Mathematics Advanced Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Science Emerging Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Science Approaching Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Science At Target Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Children with Disabilities students DLM Science Advanced Grade 8,value,{Number},disabilityStatus,WithDisability,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% EL students DLM ELA Emerging Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% EL students DLM ELA Approaching Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% EL students DLM ELA At Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% EL students DLM ELA Advanced Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Mathematics Emerging Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Mathematics Approaching Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Mathematics At Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Mathematics Advanced Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Science Emerging Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Science Approaching Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Science At Target Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% EL students DLM Science Advanced Grade 8,value,{Number},languageLearned,EnglishLearner,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM ELA Emerging Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM ELA Approaching Target Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM ELA At Target Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM ELA Advanced Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM Mathematics Emerging Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM Mathematics Approaching Target Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM Mathematics At Target Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM Mathematics Advanced Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM Science Emerging Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM Science Approaching Target Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM Science At Target Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Low Income students DLM Science Advanced Grade 8,value,{Number},incomeStatus,LowIncome,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM ELA Emerging Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM ELA Approaching Target Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM ELA At Target Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM ELA Advanced Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM Mathematics Emerging Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Mathematics,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM Mathematics Approaching Target Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Mathematics,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM Mathematics At Target Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Mathematics,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM Mathematics Advanced Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Mathematics,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM Science Emerging Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Science,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM Science Approaching Target Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Science,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM Science At Target Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Science,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade8,,
% Non-Low Income students DLM Science Advanced Grade 8,value,{Number},incomeStatus,NonLowIncome,schoolSubject,Science,educationalAchievementLevel,Advanced,schoolGradeLevel,SchoolGrade8,,
% All students DLM ELA Emerging Grade 11,value,{Number},schoolSubject,EnglishLanguageArts,educationalAchievementLevel,Emerging,schoolGradeLevel,SchoolGrade11,,,,
% All students DLM ELA Approaching Target Grade 11,value,{Number},schoolSubject,EnglishLanguageArts,educationalAchievementLevel,ApproachingTarget,schoolGradeLevel,SchoolGrade11,,,,
% All students DLM ELA At Target Grade 11,value,{Number},schoolSubject,EnglishLanguageArts,educationalAchievementLevel,AtTarget,schoolGradeLevel,SchoolGrade11,,,,
