srcStateName,srcDistrictName,Year,StateCode,StateName,DistrictCode,DistrictName,censusyear,CensusStateCode,CensusDistrictCode,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,JoinYear,NumberOfChildren,NumberOfParents,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFemaleMappingError%,TotalPopulationFemaleUrbanMappingError%,TotalPopulationFemaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,LandAreaMappingError%,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Arunachal Pradesh,Kra Daadi,2019-20,12,ARUNACHAL PRADESH,677,KRA DAADI,2011,12,677,64888,18184,46704,32591,9743,22848,32297,8441,23856,11580,4282,7298,0,0,,2019-20,1,1,0.09950180475687248700,0.000000000000000000000000,0.12798333568704985200,0.10233400244027236600,0.000000000000000000000000,0.13222355952602939400,0.09639594273793252300,0.000000000000000000000000,0.12337722125034527200,0.12997833694384269300,0.00000000000000000000,0.17273452032952431600,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Kurung Kumey,2019-20,12,ARUNACHAL PRADESH,233,KURUNG KUMEY,2011,12,233,59618,16591,43027,29957,8733,21224,29661,7858,21803,10884,3608,7276,,0,,2019-20,1,1,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Lohit,2019-20,12,ARUNACHAL PRADESH,234,LOHIT,2011,12,234,31447,0,31447,16544,0,16544,14903,0,14903,6649,0,6649,0,,,2019-20,1,1,0.09950180475687248700,0.000000000000000000000000,0.12798333568704985200,0.10233400244027236600,0.000000000000000000000000,0.13222355952602939400,0.09639594273793252300,0.000000000000000000000000,0.12337722125034527200,0.12997833694384269300,0.00000000000000000000,0.17273452032952431600,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Longding,2019-20,12,ARUNACHAL PRADESH,666,LONGDING,2011,12,666,56953,4234,52719,28710,2258,26452,28243,1976,26267,9426,926,8500,,,,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Lower Dibang Valley,2019-20,12,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,2011,12,235,49842,7151,42691,26209,4220,21989,23633,2931,20702,10755,1772,8983,0,0,,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Lower Subansiri,2019-20,12,ARUNACHAL PRADESH,236,LOWER SUBANSIRI,2011,12,236,79140,24195,54945,40267,12447,27820,38873,11748,27125,15393,5621,9772,,0,,2019-20,2,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,0.83817875639436977727,1,1.00000000000000000000,1,0.78242481203007518797,1,0.84052434926002463106,1,1.00000000000000000000,1,0.78454596728708403835,1,0.83576281389748882009,1,1.00000000000000000000,1,0.78026118973650903233,1,0.86158065599462666517,1,1.00000000000000000000,1,0.79804001633319722336,1,,1,,1,,1
Arunachal Pradesh,Lower Subansiri,2019-20,12,ARUNACHAL PRADESH,718,KAMLE,2011,12,255,15279,0,15279,7640,0,7640,7639,0,7639,2473,0,2473,0,,,2019-20,2,2,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,0.16182124360563022273,0.69129490543842186227,0.000000000000000000000000,0,0.21757518796992481203,0.69129490543842186227,0.15947565073997536894,0.69669888747036294000,0.000000000000000000000000,0,0.21545403271291596165,0.69669888747036294000,0.16423718610251117991,0.68597341954022988506,0.000000000000000000000000,0,0.21973881026349096767,0.68597341954022988506,0.13841934400537333483,0.66892074655125777658,0.00000000000000000000,0,0.20195998366680277664,0.66892074655125777658,,0,,,,
Arunachal Pradesh,Namsai,2019-20,12,ARUNACHAL PRADESH,678,NAMSAI,2011,12,678,98280,16576,81704,51530,9161,42369,46750,7415,39335,19597,3707,15890,0,0,,2019-20,1,1,0.09950180475687248700,0.000000000000000000000000,0.12798333568704985200,0.10233400244027236600,0.000000000000000000000000,0.13222355952602939400,0.09639594273793252300,0.000000000000000000000000,0.12337722125034527200,0.12997833694384269300,0.00000000000000000000,0.17273452032952431600,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Papumpare,2019-20,12,ARUNACHAL PRADESH,237,PAPUM PARE,2011,12,237,176573,96963,79610,89182,49247,39935,87391,47716,39675,35730,21485,14245,,,,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Siang,2019-20,12,ARUNACHAL PRADESH,679,SIANG,2011,12,679,31920,2979,28941,16600,1487,15113,15320,1492,13828,5927,652,5275,0,,,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Tawang,2019-20,12,ARUNACHAL PRADESH,238,TAWANG,2011,12,238,49977,11202,38775,29151,8359,20792,20826,2843,17983,10062,1685,8377,,,,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Tirap,2019-20,12,ARUNACHAL PRADESH,239,TIRAP,2011,12,239,38446,0,38446,19733,0,19733,18713,0,18713,7478,0,7478,0,,,2019-20,1,1,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,Upper Siang,2019-20,12,ARUNACHAL PRADESH,240,UPPER SIANG,2011,12,240,39604,10824,28780,20978,5643,15335,18626,5181,13445,8388,2659,5729,,0,,2019-20,1,1,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.000000000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
