value,date,duration,statvar,unit
108.5,2003-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
108.4,2003-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
108.0,2003-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
107.8,2003-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
108.5,2004-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
109.1,2004-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
109.7,2004-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
110.0,2004-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
110.6,2004-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
110.8,2004-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
110.7,2004-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
110.7,2004-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
111.0,2004-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
111.6,2004-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
111.6,2004-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
111.2,2004-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
111.3,2005-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
111.9,2005-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
112.6,2005-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
113.4,2005-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
113.3,2005-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
113.2,2005-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
113.7,2005-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
114.3,2005-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
115.6,2005-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
115.7,2005-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
114.9,2005-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
114.4,2005-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
115.2,2006-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
115.4,2006-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
116.0,2006-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
116.9,2006-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
117.5,2006-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
117.7,2006-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
118.1,2006-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
118.3,2006-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
117.8,2006-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
117.1,2006-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
116.9,2006-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
117.0,2006-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
117.330,2007-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
117.877,2007-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
118.913,2007-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
119.666,2007-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
120.292,2007-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
120.439,2007-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
120.377,2007-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
120.288,2007-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
120.638,2007-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
120.885,2007-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
121.481,2007-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
121.295,2007-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
121.867,2008-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
122.250,2008-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
123.323,2008-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.116,2008-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.171,2008-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
126.307,2008-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
126.918,2008-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
126.594,2008-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
126.551,2008-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.500,2008-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
123.044,2008-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
121.557,2008-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
122.095,2009-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
122.598,2009-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
122.803,2009-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
123.053,2009-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
123.427,2009-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.485,2009-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.293,2009-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.620,2009-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.706,2009-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.791,2009-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.788,2009-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.544,2009-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.987,2010-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
124.972,2010-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.442,2010-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.620,2010-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.678,2010-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.521,2010-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.536,2010-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.756,2010-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.830,2010-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.969,2010-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
125.920,2010-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
126.143,2010-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
126.778,2011-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
127.363,2011-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
128.585,2011-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
129.483,2011-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
129.999,2011-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
129.846,2011-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
129.983,2011-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
130.351,2011-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
130.635,2011-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
130.373,2011-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
130.196,2011-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
129.844,2011-12,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
130.438,2012-01,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
130.953,2012-02,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
131.905,2012-03,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
132.284,2012-04,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
132.154,2012-05,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
131.956,2012-06,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
131.731,2012-07,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
132.430,2012-08,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
132.988,2012-09,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
132.892,2012-10,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
132.208,2012-11,P1M,dcs:ConsumerPriceIndex_BLSItem/SA0_UrbanConsumer_BLSSeasonallyUnadjusted,dcs:IndexPointBasePeriodDecember1999Equals100
