"MinDate","observationPeriods","MeasurementMethods","NumPlaces","StatVar","ScalingFactors","Units"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","1949","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA09_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","2718","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA07_BuildingContents_FloodEvent","[]","[USDollar]"
"1997","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","33","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneAR_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","180","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV05_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1984","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","38089","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneX_BuildingStructureAndContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","405","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneV11_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","22551","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA_BuildingContents_FloodEvent","[]","[USDollar]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","22551","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA_BuildingStructure_FloodEvent","[]","[USDollar]"
"1984","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","44678","CountOfClaims_NaturalHazardInsurance_FEMAFloodZoneX_BuildingStructureAndContents_FloodEvent","[]","[]"
"1978","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","406","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneV10_BuildingStructure_FloodEvent","[]","[USDollar]"
"1979","[P1Y, P1M]","[dcAggregate/NFIPInsuranceClaims]","43","SettlementAmount_NaturalHazardInsurance_FEMAFloodZoneA25_BuildingStructure_FloodEvent","[]","[USDollar]"
