unit,smoking,quant_inc,sex,age,geo\time	2019 	2014 
PC,NSM,QU1,F,Y15-44,EL	: 	67.5 
PC,NSM,QU1,F,Y15-44,ES	: 	72.4 
PC,NSM,QU1,F,Y15-44,EU27_2020	: 	72.7 
PC,NSM,QU1,F,Y15-44,EU28	: 	72.8 
PC,NSM,QU1,F,Y15-44,FI	: 	69.5 
PC,NSM,QU1,F,Y15-44,FR	: 	62.9 
PC,NSM,QU1,F,Y15-44,HR	: 	62.4 
PC,NSM,QU1,F,Y15-44,HU	: 	62.6 
PC,NSM,QU1,F,Y15-44,IE	: 	73.2 
PC,NSM,QU1,F,Y15-44,IS	: 	76.2 
PC,NSM,QU1,F,Y15-44,IT	: 	81.6 
PC,NSM,QU1,F,Y15-44,LT	: 	75.9 
PC,NSM,QU1,F,Y15-44,LU	: 	71.4 
PC,NSM,QU1,F,Y15-44,LV	: 	65.6 
PC,NSM,QU1,F,Y15-44,MT	: 	54.4 
PC,NSM,QU1,F,Y15-44,NL	: 	68.6 
PC,NSM,QU1,F,Y15-44,NO	: 	81.3 
PC,NSM,QU1,F,Y15-44,PL	: 	75.9 
PC,NSM,QU1,F,Y15-44,PT	: 	80.5 
PC,NSM,QU1,F,Y15-44,RO	: 	86.4 
PC,NSM,QU1,F,Y15-44,SE	: 	84.2 
PC,NSM,QU1,F,Y15-44,SI	: 	67.8 
PC,NSM,QU1,F,Y15-44,SK	: 	66.6 
PC,NSM,QU1,F,Y15-44,TR	: 	81.7 
PC,NSM,QU1,F,Y15-44,UK	: 	73.3 
PC,NSM,QU1,F,Y15-64,AT	65.2 	64.4 
PC,NSM,QU1,F,Y15-64,BE	67.5 	62.2 u
PC,NSM,QU1,F,Y15-64,BG	70.5 	65.1 
PC,NSM,QU1,F,Y15-64,CY	79.0 	82.1 
PC,NSM,QU1,F,Y15-64,CZ	70.1 	68.5 
PC,NSM,QU1,F,Y15-64,DE	63.8 	72.0 
PC,NSM,QU1,F,Y15-64,DK	67.1 	68.8 
PC,NSM,QU1,F,Y15-64,EE	71.6 	71.4 
PC,NSM,QU1,F,Y15-64,EL	67.8 	67.9 
PC,NSM,QU1,F,Y15-64,ES	74.4 	72.3 
PC,NSM,QU1,F,Y15-64,EU27_2020	72.7 	72.1 
PC,NSM,QU1,F,Y15-64,EU28	: 	72.2 
PC,NSM,QU1,F,Y15-64,FI	84.2 	70.7 
