"Units","MeasurementMethods","ScalingFactors","NumPlaces","StatVar","MinDate","observationPeriods"
"[]","[DataCommonsAggregate]","[]","5","Victim_Count_CriminalIncidents_BiasMotivationReligion_Arson_IsHateCrime_Buddhism","2020","[P1Y]"
"[]","[DataCommonsAggregate]","[]","435","Offense_Count_CriminalIncidents_BiasMotivationSingleBias_IsHateCrime_OffenderRaceAmericanIndianOrAlaskaNativeAlone","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","179","Count_CriminalIncidents_BiasMotivationReligion_CrimeAgainstPerson_IsHateCrime_Protestantism","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","6","Victim_Count_CriminalIncidents_BiasMotivationReligion_TheftFromMotorVehicle_IsHateCrime_JehovahsWitnesses","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","4","Offense_Count_CriminalIncidents_BiasMotivationReligion_StatutoryRape_IsHateCrime","2015","[P1Y]"
"[]","[DataCommonsAggregate]","[]","70","Offense_Count_CriminalIncidents_Embezzlement_IsHateCrime","1995","[P1Y]"
"[]","[DataCommonsAggregate]","[]","33","Offense_Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_OffenderEthnicityMultipleEthnicity_Lesbian","2018","[P1Y]"
"[]","[DataCommonsAggregate]","[]","40","Offense_Count_CriminalIncidents_BiasMotivationReligion_IsHateCrime_OffenderEthnicityHispanicOrLatino_Sikhism","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","34","Victim_Count_CriminalIncidents_BiasMotivationReligion_Arson_IsHateCrime_MultipleReligion","1992","[P1Y]"
"[]","[DataCommonsAggregate]","[]","21","Victim_Count_CriminalIncidents_BiasMotivationReligion_DrugEquipmentViolations_IsHateCrime_EasternChristianity","2016","[P1Y]"
"[]","[DataCommonsAggregate]","[]","55","Victim_Count_CriminalIncidents_BiasMotivationMultipleBias_Burglary_IsHateCrime","1996","[P1Y]"
"[]","[DataCommonsAggregate]","[]","282","Count_CriminalIncidents_BiasMotivationSexualOrientation_IsHateCrime_LocationOfCrimeGovernmentOrPublicBuilding","1991","[P1Y]"
"[]","[DataCommonsAggregate]","[]","24","Offender_Count_CriminalIncidents_AnimalCruelty_IsHateCrime","2018","[P1Y]"
"[]","[DataCommonsAggregate]","[]","35","Count_CriminalIncidents_BiasMotivationTransgenderOrGenderNonConforming_IsHateCrime_VictimTypeGovernment","2016","[P1Y]"
