table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Wyoming: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.10 to 14 years,"19,733","19,771","19,371","19,127","18,964","18,857","18,298","17,905","17,937","17,979","18,315","18,592","18,627"
.15 to 19 years,"21,764","21,829","21,822","21,318","20,957","20,610","20,299","20,299","20,172","20,326","20,289","19,626","19,582"
.20 to 24 years,"17,517","17,603","18,286","19,571","20,482","21,362","21,594","21,759","21,621","21,729","21,687","21,315","21,427"
.25 to 29 years,"15,613","15,447","14,956","14,987","14,994","15,549","16,259","17,467","19,178","20,047","21,794","21,752","21,892"
.30 to 34 years,"15,184","15,172","15,388","15,710","15,763","15,854","15,922","15,853","16,392","16,993","18,222","18,919","19,097"
.35 to 39 years,"18,031","17,949","16,961","16,282","15,684","15,448","15,656","16,210","16,913","17,416","17,833","17,702","17,552"
.40 to 44 years,"21,209","21,258","20,824","20,228","19,487","18,946","18,143","17,629","17,167","17,019","17,081","17,149","17,109"
.45 to 49 years,"20,654","20,760","21,239","21,676","21,699","21,636","21,567","21,219","20,930","20,590","20,267","19,713","19,612"
.50 to 54 years,"17,303","17,449","18,496","18,886","19,477","20,152","20,754","21,515","22,013","22,304","22,382","22,450","22,465"
.55 to 59 years,"12,712","12,786","13,181","14,427","15,384","16,314","17,484","18,703","19,196","19,723","20,570","20,928","21,026"
.60 to 64 years,"9,877","9,915","10,313","10,875","11,529","12,044","12,511","12,969","14,197","15,183","15,998","16,878","17,009"
.65 to 69 years,"8,009","8,011","8,134","8,240","8,590","9,000","9,214","9,601","10,129","10,662","11,227","11,555","11,611"
.70 to 74 years,"7,008","7,028","7,016","7,081","7,031","6,942","7,059","7,203","7,279","7,615","7,994","8,126","8,157"
.75 to 79 years,"5,224","5,255","5,366","5,435","5,526","5,587","5,666","5,661","5,690","5,656","5,562","5,704","5,683"
.80 to 84 years,"3,116","3,153","3,235","3,333","3,509","3,683","3,760","3,838","3,922","4,003","4,101","4,176","4,176"
.85 years and over,"2,016","2,037","2,092","2,134","2,229","2,310","2,460","2,527","2,660","2,814","2,968","3,053","3,079"
.,,,,,,,,,,,,,
.Under 18 years,"66,237","66,191","64,956","64,622","64,075","64,054","63,980","64,982","66,674","67,879","69,520","69,776","69,850"
.Under 5 years,"15,891","15,865","15,820","16,283","16,599","16,973","17,234","17,928","18,980","19,559","20,460","20,596","20,588"
.5 to 13 years,"33,071","33,034","32,185","31,918","31,497","31,206","30,895","31,194","31,848","32,735","33,856","34,173","34,272"
.14 to 17 years,"17,275","17,292","16,951","16,421","15,979","15,875","15,851","15,860","15,846","15,585","15,204","15,007","14,990"
.18 to 64 years,"156,775","157,041","158,531","161,387","163,365","166,024","168,292","171,494","175,746","179,432","184,433","185,047","185,390"
.18 to 24 years,"26,192","26,305","27,173","28,316","29,348","30,081","29,996","29,929","29,760","30,157","30,286","29,556","29,628"
.25 to 44 years,"70,037","69,826","68,129","67,207","65,928","65,797","65,980","67,159","69,650","71,475","74,930","75,522","75,650"
.45 to 64 years,"60,546","60,910","63,229","65,864","68,089","70,146","72,316","74,406","76,336","77,800","79,217","79,969","80,112"
.65 years and over,"25,373","25,484","25,843","26,223","26,885","27,522","28,159","28,830","29,680","30,750","31,852","32,614","32,706"
.,,,,,,,,,,,,,
.16 years and over,"190,892","191,263","193,085","196,126","198,475","201,465","204,271","208,380","213,608","218,110","224,171","225,399","225,821"
.18 years and over,"182,148","182,525","184,374","187,610","190,250","193,546","196,451","200,324","205,426","210,182","216,285","217,661","218,096"
.15 to 44 years,"109,318","109,258","108,237","108,096","107,367","107,769","107,873","109,217","111,443","113,530","116,906","116,463","116,659"
.,,,,,,,,,,,,,
.Median age (years),35.3,35.4,35.7,35.9,36.0,36.1,36.2,36.3,36.2,36.2,35.9,36.0,36.0
FEMALE,"245,401","245,584","245,327","247,785","249,128","251,506","253,726","257,361","262,776","267,982","274,046","276,189","276,514"
.Under 5 years,"15,046","15,025","15,071","15,289","15,434","15,692","16,204","16,819","17,882","18,618","19,518","19,607","19,602"
.5 to 9 years,"16,602","16,510","15,956","15,818","15,742","15,621","15,752","15,919","16,355","16,929","17,588","18,010","18,051"
.10 to 14 years,"18,641","18,683","18,202","17,867","17,447","17,475","17,150","16,859","16,839","17,231","17,457","17,363","17,407"
.15 to 19 years,"20,142","20,175","19,810","19,629","19,200","18,943","18,617","18,461","18,468","18,513","18,773","18,516","18,465"
.20 to 24 years,"15,941","16,024","16,854","17,900","18,675","19,076","19,016","19,148","19,377","19,163","19,254","19,003","19,100"
.25 to 29 years,"14,466","14,320","13,775","13,907","13,982","14,684","15,535","16,650","17,760","18,690","19,424","19,524","19,613"
.30 to 34 years,"14,585","14,555","14,500","14,904","14,884","14,948","14,928","14,884","15,120","15,710","16,774","17,454","17,625"
.35 to 39 years,"18,447","18,354","17,237","16,171","15,449","14,927","14,850","15,099","15,691","15,978","16,133","16,159","16,005"
.40 to 44 years,"21,073","21,090","20,842","20,488","19,885","19,272","18,479","17,607","16,780","16,377","16,048","15,956","15,909"
.45 to 49 years,"20,052","20,139","20,430","21,047","21,219","21,179","21,050","21,167","20,827","20,516","20,229","19,759","19,637"
.50 to 54 years,"16,079","16,209","17,461","17,743","18,497","19,347","19,987","20,486","21,326","21,569","21,663","21,655","21,674"
.55 to 59 years,"12,226","12,282","12,511","13,633","14,334","15,120","16,092","17,453","17,772","18,594","19,518","20,018","20,099"
.60 to 64 years,"9,788","9,818","10,016","10,473","11,070","11,568","12,038","12,329","13,495","14,166","14,912","15,689","15,808"
.65 to 69 years,"8,587","8,583","8,678","8,793","8,959","9,151","9,404","9,581","9,990","10,496","11,012","11,419","11,469"
.70 to 74 years,"7,734","7,732","7,811","7,916","7,913","7,780","7,755","7,906","7,969","8,193","8,324","8,468","8,489"
.75 to 79 years,"6,583","6,607","6,540","6,472","6,522","6,671","6,692","6,718","6,809","6,802","6,741","6,788","6,753"
.80 to 84 years,"4,691","4,729","4,833","4,950","5,087","5,174","5,172","5,081","5,091","5,100","5,239","5,252","5,234"
.85 years and over,"4,718","4,749","4,800","4,785","4,829","4,878","5,005","5,194","5,225","5,337","5,439","5,549","5,574"
.,,,,,,,,,,,,,
.Under 18 years,"62,631","62,583","61,256","60,873","60,107","59,920","60,042","60,543","62,086","63,632","65,440","65,626","65,692"
.Under 5 years,"15,046","15,025","15,071","15,289","15,434","15,692","16,204","16,819","17,882","18,618","19,518","19,607","19,602"
.5 to 13 years,"31,298","31,259","30,250","30,004","29,649","29,454","29,366","29,256","29,780","30,709","31,658","32,018","32,111"
.14 to 17 years,"16,287","16,299","15,935","15,580","15,024","14,774","14,472","14,468","14,424","14,305","14,264","14,001","13,979"
.18 to 64 years,"150,457","150,601","151,409","153,996","155,711","157,932","159,656","162,338","165,606","168,422","171,851","173,087","173,303"
.18 to 24 years,"23,741","23,834","24,637","25,630","26,391","26,887","26,697","26,663","26,835","26,822","27,150","26,873","26,933"
.25 to 44 years,"68,571","68,319","66,354","65,470","64,200","63,831","63,792","64,240","65,351","66,755","68,379","69,093","69,152"
.45 to 64 years,"58,145","58,448","60,418","62,896","65,120","67,214","69,167","71,435","73,420","74,845","76,322","77,121","77,218"
.65 years and over,"32,313","32,400","32,662","32,916","33,310","33,654","34,028","34,480","35,084","35,928","36,755","37,476","37,519"
.,,,,,,,,,,,,,
.16 years and over,"191,000","191,223","192,145","194,887","196,841","199,110","200,947","204,146","208,067","211,714","215,889","217,742","217,973"
.18 years and over,"182,770","183,001","184,071","186,912","189,021","191,586","193,684","196,818","200,690","204,350","208,606","210,563","210,822"
.15 to 44 years,"104,654","104,518","103,018","102,999","102,075","101,850","101,425","101,849","103,196","104,431","106,406","106,612","106,717"
.,,,,,,,,,,,,,
.Median age (years),37.1,37.2,37.6,37.9,38.2,38.2,38.2,38.2,38.0,37.8,37.6,37.7,37.7
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Wyoming: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-56)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
