table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Connecticut: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.15 to 19 years,"105,341","105,472","109,680","112,836","115,313","117,644","120,587","122,279","123,092","123,448","123,044","121,885","121,353"
.20 to 24 years,"92,470","93,022","93,540","94,825","97,403","99,075","101,706","104,266","105,977","106,735","109,419","110,781","111,068"
.25 to 29 years,"101,493","100,892","96,387","95,237","95,516","96,270","96,649","97,813","98,955","102,903","104,038","106,159","106,191"
.30 to 34 years,"127,440","127,472","124,918","122,937","119,747","114,846","109,343","105,250","103,125","102,502","103,752","104,194","104,774"
.35 to 39 years,"148,388","147,858","145,480","142,167","139,135","134,759","132,162","129,584","126,823","123,181","118,112","113,764","113,013"
.40 to 44 years,"147,438","147,841","150,070","150,916","150,979","151,119","149,491","147,220","143,615","140,426","136,565","134,482","134,354"
.45 to 49 years,"128,888","129,648","133,828","137,930","141,727","144,501","147,386","149,372","149,980","149,867","150,255","149,515","148,862"
.50 to 54 years,"117,816","119,052","122,910","120,708","122,019","124,409","127,434","131,600","135,631","139,603","142,921","145,364","145,630"
.55 to 59 years,"91,341","91,915","95,363","103,532","106,408","109,852","114,173","117,843","115,579","117,505","120,679","123,458","124,070"
.60 to 64 years,"69,245","69,541","70,870","73,999","79,370","82,987","85,316","88,506","96,217","98,883","102,686","106,356","107,352"
.65 to 69 years,"63,506","63,306","62,320","62,008","62,811","63,521","64,166","65,063","68,185","73,158","76,882","79,023","79,484"
.70 to 74 years,"64,054","63,897","63,000","61,639","60,529","59,054","57,958","56,946","56,581","57,042","57,696","58,332","58,477"
.75 to 79 years,"59,883","59,949","59,547","58,967","58,625","57,694","56,762","55,632","54,321","53,129","51,844","51,344","51,144"
.80 to 84 years,"46,397","46,654","47,624","48,610","48,943","49,328","49,367","48,970","48,492","48,149","47,523","47,096","46,961"
.85 years and over,"46,340","46,529","47,405","48,647","50,178","51,003","52,314","53,615","54,719","55,965","57,059","57,950","58,176"
.,,,,,,,,,,,,,
.Under 18 years,"410,618","410,908","412,517","414,072","415,198","413,971","411,798","409,549","406,409","403,244","400,844","398,819","398,452"
.Under 5 years,"109,216","109,153","107,424","105,937","105,599","104,393","103,119","101,847","101,280","100,440","99,400","98,631","98,513"
.5 to 13 years,"214,262","214,364","215,617","215,852","214,723","211,965","209,276","207,278","204,733","203,724","203,028","202,277","202,452"
.14 to 17 years,"87,140","87,391","89,476","92,283","94,876","97,613","99,403","100,424","100,396","99,080","98,416","97,911","97,487"
.18 to 64 years,"1,065,493","1,068,075","1,076,546","1,086,557","1,097,184","1,103,507","1,109,703","1,117,900","1,122,910","1,130,062","1,136,931","1,141,919","1,142,915"
.18 to 24 years,"133,444","133,856","136,720","139,131","142,283","144,764","147,749","150,712","152,985","155,192","157,923","158,627","158,669"
.25 to 44 years,"524,759","524,063","516,855","511,257","505,377","496,994","487,645","479,867","472,518","469,012","462,467","458,599","458,332"
.45 to 64 years,"407,290","410,156","422,971","436,169","449,524","461,749","474,309","487,321","497,407","505,858","516,541","524,693","525,914"
.65 years and over,"280,180","280,335","279,896","279,871","281,086","280,600","280,567","280,226","282,298","287,443","291,004","293,745","294,242"
.,,,,,,,,,,,,,
.16 years and over,"1,388,186","1,390,958","1,399,976","1,411,810","1,424,684","1,431,442","1,438,939","1,448,783","1,456,290","1,467,734","1,477,862","1,485,283","1,486,486"
.18 years and over,"1,345,673","1,348,410","1,356,442","1,366,428","1,378,270","1,384,107","1,390,270","1,398,126","1,405,208","1,417,505","1,427,935","1,435,664","1,437,157"
.15 to 44 years,"722,570","722,557","720,075","718,918","718,093","713,713","709,938","706,412","701,587","699,195","694,930","691,265","690,753"
.,,,,,,,,,,,,,
.Median age (years),38.6,38.6,38.9,39.2,39.5,39.8,40.1,40.4,40.7,40.9,41.1,41.3,41.4
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Connecticut: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-09)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
