table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Idaho: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.20 to 24 years,"48,936","49,200","50,950","52,506","54,476","55,776","56,431","56,373","55,914","55,776","55,064","54,782","55,026"
.25 to 29 years,"44,117","43,878","43,181","43,599","44,489","46,516","47,731","50,911","52,996","54,611","54,744","54,818","55,118"
.30 to 34 years,"43,110","43,224","44,354","44,867","45,432","46,147","46,935","47,202","48,793","49,873","51,827","52,206","52,669"
.35 to 39 years,"47,939","47,860","46,864","45,712","44,977","45,242","45,848","47,694","48,813","49,544","49,475","49,149","48,922"
.40 to 44 years,"49,147","49,375","49,908","49,920","50,072","50,185","49,652","49,262","48,719","48,073","47,844","47,948","48,042"
.45 to 49 years,"46,285","46,671","47,586","48,489","48,973","49,305","50,520","51,707","52,219","52,380","52,200","51,546","51,458"
.50 to 54 years,"39,500","39,970","42,381","43,201","44,427","46,018","47,735","49,156","50,423","51,190","51,456","52,006","52,118"
.55 to 59 years,"29,949","30,219","31,383","34,241","36,301","38,504","41,000","43,755","44,829","45,837","47,085","48,095","48,386"
.60 to 64 years,"23,777","23,954","25,101","26,145","27,925","29,409","31,124","32,734","35,783","37,899","39,888","41,542","41,941"
.65 to 69 years,"19,468","19,480","20,052","20,906","21,693","22,901","24,137","25,701","27,030","28,908","30,174","31,148","31,363"
.70 to 74 years,"16,772","16,823","16,870","17,123","17,314","17,568","18,140","19,163","20,031","20,949","21,945","22,648","22,777"
.75 to 79 years,"13,277","13,353","13,407","13,585","13,927","14,104","14,549","14,776","15,008","15,174","15,581","15,960","15,944"
.80 to 84 years,"8,670","8,770","9,098","9,392","9,486","9,829","10,046","10,156","10,337","10,735","10,874","11,073","11,096"
.85 years and over,"5,981","6,041","6,171","6,372","6,741","6,919","7,280","7,815","8,141","8,313","8,730","9,008","9,097"
.,,,,,,,,,,,,,
.Under 18 years,"189,724","190,451","191,827","192,986","194,803","197,711","203,028","208,010","213,441","217,231","218,854","220,247","220,433"
.Under 5 years,"50,047","50,186","51,288","52,111","53,226","54,893","56,822","58,601","60,903","62,344","62,352","62,468","62,452"
.5 to 13 years,"94,530","94,870","95,504","96,042","96,824","97,462","99,480","102,004","104,299","106,862","108,795","110,128","110,423"
.14 to 17 years,"45,147","45,395","45,035","44,833","44,753","45,356","46,726","47,405","48,239","48,025","47,707","47,651","47,558"
.18 to 64 years,"394,769","396,528","404,494","411,322","419,539","429,584","439,078","450,944","460,990","468,218","472,883","475,240","476,697"
.18 to 24 years,"70,945","71,377","73,736","75,148","76,943","78,258","78,533","78,523","78,415","78,811","78,364","77,930","78,043"
.25 to 44 years,"184,313","184,337","184,307","184,098","184,970","188,090","190,166","195,069","199,321","202,101","203,890","204,121","204,751"
.45 to 64 years,"139,511","140,814","146,451","152,076","157,626","163,236","170,379","177,352","183,254","187,306","190,629","193,189","193,903"
.65 years and over,"64,168","64,467","65,598","67,378","69,161","71,321","74,152","77,611","80,547","84,079","87,304","89,837","90,277"
.,,,,,,,,,,,,,
.16 years and over,"481,874","484,020","493,164","501,614","511,181","523,442","536,332","552,220","566,012","576,705","584,386","589,075","590,896"
.18 years and over,"458,937","460,995","470,092","478,700","488,700","500,905","513,230","528,555","541,537","552,297","560,187","565,077","566,974"
.15 to 44 years,"289,378","290,082","292,327","292,987","295,575","300,096","303,613","309,239","314,102","317,308","318,096","317,839","318,538"
.,,,,,,,,,,,,,
.Median age (years),32.2,32.3,32.4,32.6,32.8,33.0,33.1,33.3,33.3,33.4,33.6,33.7,33.7
FEMALE,"645,296","647,984","658,043","668,686","679,877","693,186","711,983","732,104","750,127","764,792","775,398","782,258","784,043"
.Under 5 years,"47,593","47,730","48,594","49,643","51,082","52,346","54,214","56,098","57,865","59,228","59,477","59,304","59,309"
.5 to 9 years,"48,897","48,848","48,872","49,192","49,124","49,903","51,608","53,396","55,282","57,206","58,375","59,308","59,439"
.10 to 14 years,"50,910","51,280","51,935","52,397","52,858","52,787","52,892","53,652","54,746","55,090","55,993","56,851","56,953"
.15 to 19 years,"54,725","55,033","54,936","54,665","54,143","54,631","55,386","56,123","56,621","57,032","56,823","56,423","56,225"
.20 to 24 years,"45,061","45,498","47,457","48,670","50,644","51,428","52,112","52,795","53,001","53,076","53,365","53,427","53,667"
.25 to 29 years,"41,015","40,792","40,299","41,397","42,268","43,989","46,485","48,738","50,457","52,492","52,354","51,916","52,082"
.30 to 34 years,"41,193","41,288","42,066","42,573","43,223","43,486","44,112","44,428","46,120","47,034","48,800","50,025","50,473"
.35 to 39 years,"46,970","46,897","45,781","44,688","43,632","43,567","44,487","46,130","47,159","47,983","47,923","47,696","47,458"
.40 to 44 years,"48,904","49,148","49,701","49,709","49,668","49,786","49,529","48,902","48,223","47,156","46,703","46,816","46,904"
.45 to 49 years,"45,882","46,259","47,467","48,700","49,573","50,125","51,122","52,244","52,612","52,735","52,671","52,014","51,906"
.50 to 54 years,"38,574","39,016","41,477","42,510","44,049","45,928","47,949","49,735","51,209","52,149","52,571","52,971","53,112"
.55 to 59 years,"30,075","30,316","31,352","33,937","35,714","37,761","40,601","43,597","45,033","46,431","47,967","48,902","49,189"
.60 to 64 years,"23,736","23,888","24,856","26,158","27,970","29,709","31,506","33,131","35,985","38,081","39,957","41,774","42,165"
.65 to 69 years,"20,712","20,704","21,228","21,600","22,415","23,355","24,326","25,822","27,386","29,354","31,151","32,280","32,477"
.70 to 74 years,"19,035","19,040","19,169","19,358","19,380","19,677","20,171","20,792","21,211","22,003","22,863","23,458","23,566"
.75 to 79 years,"17,162","17,224","17,128","17,152","17,240","17,320","17,378","17,661","17,773","17,795","18,040","18,318","18,270"
.80 to 84 years,"12,776","12,877","13,329","13,690","13,869","14,095","14,313","14,574","14,573","14,576","14,524","14,541","14,518"
.85 years and over,"12,076","12,146","12,396","12,647","13,025","13,293","13,792","14,286","14,871","15,371","15,841","16,234","16,330"
.,,,,,,,,,,,,,
.Under 18 years,"179,299","179,979","181,318","183,000","184,438","186,981","191,623","196,743","201,583","205,116","207,222","208,825","209,004"
.Under 5 years,"47,593","47,730","48,594","49,643","51,082","52,346","54,214","56,098","57,865","59,228","59,477","59,304","59,309"
.5 to 13 years,"89,497","89,795","90,488","91,293","91,242","91,712","93,610","96,248","99,050","101,332","103,484","104,884","105,155"
.14 to 17 years,"42,209","42,454","42,236","42,064","42,114","42,923","43,799","44,397","44,668","44,556","44,261","44,637","44,540"
.18 to 64 years,"384,236","386,014","393,475","401,239","409,510","418,465","430,380","442,226","452,730","460,577","465,757","468,602","469,878"
.18 to 24 years,"67,887","68,410","70,476","71,567","73,413","74,114","74,589","75,321","75,932","76,516","76,811","76,488","76,589"
.25 to 44 years,"178,082","178,125","177,847","178,367","178,791","180,828","184,613","188,198","191,959","194,665","195,780","196,453","196,917"
.45 to 64 years,"138,267","139,479","145,152","151,305","157,306","163,523","171,178","178,707","184,839","189,396","193,166","195,661","196,372"
.65 years and over,"81,761","81,991","83,250","84,447","85,929","87,740","89,980","93,135","95,814","99,099","102,419","104,831","105,161"
.,,,,,,,,,,,,,
.16 years and over,"487,299","489,387","498,232","507,039","516,411","527,294","542,052","557,924","571,186","582,137","590,518","595,783","597,306"
.18 years and over,"465,997","468,005","476,725","485,686","495,439","506,205","520,360","535,361","548,544","559,676","568,176","573,433","575,039"
.15 to 44 years,"277,868","278,656","280,240","281,702","283,578","286,887","292,111","297,116","301,581","304,773","305,968","306,303","306,809"
.,,,,,,,,,,,,,
.Median age (years),34.2,34.2,34.4,34.5,34.6,34.8,34.9,35.1,35.1,35.1,35.3,35.4,35.4
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Idaho: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-16)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
