table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Hawaii: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.18 to 24 years,"62,273","63,215","66,569","68,707","69,334","69,662","71,349","72,221","69,429","69,581","69,081","70,124","70,022"
.25 to 44 years,"184,983","184,577","182,527","181,136","177,963","177,521","180,484","182,728","180,484","182,771","183,815","184,851","184,737"
.45 to 64 years,"137,841","138,705","144,216","149,907","155,074","161,860","166,672","171,410","175,673","178,989","181,488","184,071","184,725"
.65 years and over,"71,330","71,510","72,174","72,937","73,789","74,668","76,262","77,284","78,655","80,900","83,726","86,185","87,557"
.,,,,,,,,,,,,,
.16 years and over,"473,664","475,247","482,415","489,308","492,989","500,913","512,057","521,548","522,591","530,464","536,167","543,085","544,841"
.18 years and over,"456,427","458,007","465,486","472,687","476,160","483,711","494,767","503,643","504,241","512,241","518,110","525,231","527,041"
.15 to 44 years,"272,891","273,430","274,357","274,876","272,718","273,028","278,255","281,970","277,351","279,506","279,732","281,422","281,158"
.,,,,,,,,,,,,,
.Median age (years),35.1,35.2,35.4,35.6,35.8,36.1,36.1,36.2,36.7,36.9,37.1,37.2,37.3
FEMALE,"602,846","603,494","609,189","616,192","623,753","636,864","644,813","652,351","657,185","665,313","673,075","679,058","680,729"
.Under 5 years,"38,056","38,021","37,694","38,223","38,618","39,843","40,441","40,878","41,435","42,601","42,573","42,388","42,290"
.5 to 9 years,"41,240","41,016","39,995","39,288","38,422","37,888","37,373","37,105","37,375","37,751","39,599","40,514","40,458"
.10 to 14 years,"40,367","40,445","41,365","41,713","42,037","42,752","42,190","41,579","41,147","40,507","39,985","39,840","39,878"
.15 to 19 years,"38,801","38,785","38,789","38,758","39,174","39,821","40,589","41,542","41,601","41,724","41,755","41,404","41,229"
.20 to 24 years,"37,699","37,921","39,418","40,807","42,311","43,577","43,541","43,740","42,813","42,808","43,213","43,848","43,833"
.25 to 29 years,"39,985","39,724","38,816","39,086","39,426","40,982","43,123","44,717","45,437","46,932","46,941","46,619","46,367"
.30 to 34 years,"42,767","42,708","42,398","42,431","41,902","41,740","40,879","40,275","40,076","40,719","41,834","43,110","43,227"
.35 to 39 years,"47,174","46,932","46,188","44,979","43,852","43,420","43,403","43,852","43,855","43,542","43,412","42,762","42,595"
.40 to 44 years,"47,424","47,480","47,342","47,182","47,344","47,923","47,324","46,739","45,718","44,832","44,090","44,364","44,414"
.45 to 49 years,"45,272","45,372","46,134","46,937","47,526","48,018","48,605","48,453","48,147","48,283","48,015","47,574","47,491"
.50 to 54 years,"40,048","40,430","42,226","43,311","44,253","46,077","46,583","47,496","48,470","48,698","48,685","49,147","49,258"
.55 to 59 years,"30,652","30,876","32,720","35,130","37,560","39,603","41,665","43,562","44,722","45,439","46,791","47,192","47,351"
.60 to 64 years,"24,102","24,179","24,892","25,831","27,146","29,421","31,123","32,890","35,470","37,916","39,529","41,343","41,801"
.65 to 69 years,"23,343","23,325","23,131","22,980","23,120","23,630","24,292","24,981","25,916","27,226","29,178","30,321","30,584"
.70 to 74 years,"23,494","23,519","23,522","23,207","22,959","22,357","22,091","21,782","21,405","21,572","21,931","22,213","22,402"
.75 to 79 years,"19,365","19,438","20,003","20,530","20,893","21,097","21,125","21,027","20,661","20,547","19,959","19,735","19,905"
.80 to 84 years,"12,763","12,907","13,386","13,982","14,636","15,449","16,271","16,770","17,223","17,554","17,826","17,798","18,375"
.85 years and over,"10,294","10,416","11,170","11,817","12,574","13,266","14,195","14,963","15,714","16,662","17,759","18,886","19,271"
.,,,,,,,,,,,,,
.Under 18 years,"143,544","143,334","142,860","142,866","143,278","145,109","145,348","145,576","145,958","146,435","147,264","147,806","147,621"
.Under 5 years,"38,056","38,021","37,694","38,223","38,618","39,843","40,441","40,878","41,435","42,601","42,573","42,388","42,290"
.5 to 13 years,"73,722","73,610","73,498","72,916","72,386","71,930","70,820","70,480","70,232","69,938","71,535","72,186","72,205"
.14 to 17 years,"31,766","31,703","31,668","31,727","32,274","33,336","34,087","34,218","34,291","33,896","33,156","33,232","33,126"
.18 to 64 years,"370,043","370,555","375,117","380,810","386,293","395,956","401,491","407,252","410,308","415,317","419,158","422,299","422,571"
.18 to 24 years,"52,619","52,854","54,401","55,923","57,284","58,772","58,786","59,268","58,413","58,956","59,861","60,188","60,067"
.25 to 44 years,"177,350","176,844","174,744","173,678","172,524","174,065","174,729","175,583","175,086","176,025","176,277","176,855","176,603"
.45 to 64 years,"140,074","140,857","145,972","151,209","156,485","163,119","167,976","172,401","176,809","180,336","183,020","185,256","185,901"
.65 years and over,"89,259","89,605","91,212","92,516","94,182","95,799","97,974","99,523","100,919","103,561","106,653","108,953","110,537"
.,,,,,,,,,,,,,
.16 years and over,"475,478","476,278","482,203","489,069","496,455","508,095","515,996","523,896","528,878","535,997","542,445","547,994","549,778"
.18 years and over,"459,302","460,160","466,329","473,326","480,475","491,755","499,465","506,775","511,227","518,878","525,811","531,252","533,108"
.15 to 44 years,"253,850","253,550","252,951","253,243","254,009","257,463","258,859","260,865","259,500","260,557","261,245","262,107","261,665"
.,,,,,,,,,,,,,
.Median age (years),37.4,37.5,37.9,38.2,38.5,38.7,38.9,39.1,39.4,39.5,39.7,39.9,40.1
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Hawaii: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-15)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
