table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for South Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.25 to 44 years,"584,731","584,170","579,945","577,648","574,931","576,981","577,073","581,698","585,586","591,332","590,197","589,725","591,054"
.45 to 64 years,"443,574","447,289","461,761","477,422","492,941","508,632","524,849","542,764","559,718","573,928","586,145","594,199","596,842"
.65 years and over,"196,734","197,685","201,417","205,030","209,766","215,697","223,238","234,154","243,562","255,219","265,760","273,482","274,839"
.,,,,,,,,,,,,,
.16 years and over,"1,490,065","1,496,523","1,514,385","1,534,341","1,552,821","1,582,973","1,610,311","1,649,879","1,687,080","1,721,987","1,747,647","1,763,417","1,768,803"
.18 years and over,"1,432,434","1,438,662","1,455,568","1,475,106","1,493,497","1,522,963","1,548,463","1,584,364","1,619,939","1,656,286","1,682,775","1,699,463","1,705,184"
.15 to 44 years,"878,752","880,879","880,216","881,327","879,767","889,748","895,087","905,337","915,330","924,380","926,291","926,521","927,912"
.,,,,,,,,,,,,,
.Median age (years),34.0,34.1,34.3,34.5,34.8,35.0,35.3,35.6,35.8,36.0,36.2,36.4,36.4
FEMALE,"2,063,078","2,068,627","2,089,963","2,111,069","2,133,967","2,162,305","2,192,345","2,237,655","2,280,792","2,325,047","2,357,030","2,375,263","2,380,525"
.Under 5 years,"128,806","128,764","130,676","132,889","134,499","136,188","137,309","139,397","143,294","147,430","148,907","148,865","149,028"
.5 to 9 years,"139,363","138,655","136,173","133,217","131,531","131,268","133,169","136,637","139,973","142,897","144,976","145,552","145,697"
.10 to 14 years,"142,364","143,193","145,874","148,202","149,341","148,421","145,987","144,859","143,303","142,989","143,786","145,120","145,160"
.15 to 19 years,"144,582","145,070","144,112","144,279","146,357","150,047","153,669","157,327","160,482","162,752","162,722","160,739","160,014"
.20 to 24 years,"138,485","139,688","145,501","148,290","149,740","151,074","150,819","151,015","153,821","157,128","160,852","163,948","164,725"
.25 to 29 years,"138,737","137,762","133,559","132,767","133,795","137,066","141,181","147,537","150,127","152,567","153,386","152,758","153,082"
.30 to 34 years,"143,382","143,241","143,609","144,211","143,836","142,361","140,085","137,527","137,743","139,741","142,068","144,797","145,984"
.35 to 39 years,"159,788","159,358","157,249","153,879","151,166","147,997","147,966","150,037","152,556","153,960","153,162","150,777","149,912"
.40 to 44 years,"159,348","159,925","161,425","161,573","161,622","163,791","163,228","162,756","160,899","159,065","156,295","155,291","155,300"
.45 to 49 years,"148,907","149,919","152,935","156,573","158,939","160,787","163,219","166,140","167,580","169,016","171,573","170,918","170,461"
.50 to 54 years,"135,532","137,146","143,666","143,498","145,911","149,615","153,396","157,756","162,592","166,033","168,247","169,755","170,377"
.55 to 59 years,"107,375","108,118","111,698","121,371","127,498","133,894","141,620","149,613","151,407","154,775","158,240","160,558","161,636"
.60 to 64 years,"87,834","88,266","90,968","94,873","100,714","105,960","110,778","116,038","126,983","134,935","141,644","147,793","149,466"
.65 to 69 years,"78,700","78,810","80,482","81,553","83,053","85,113","87,663","92,546","97,457","104,251","110,078","113,834","114,523"
.70 to 74 years,"70,521","70,600","69,954","70,090","70,412","71,121","73,121","75,948","77,387","79,398","81,614","83,142","83,521"
.75 to 79 years,"61,049","61,336","61,496","61,264","61,432","60,835","60,597","61,061","61,797","62,564","62,871","63,954","63,891"
.80 to 84 years,"41,174","41,482","42,770","44,291","45,403","46,861","47,382","48,154","48,220","48,657","48,388","48,156","48,124"
.85 years and over,"37,131","37,294","37,816","38,249","38,718","39,906","41,156","43,307","45,171","46,889","48,221","49,306","49,624"
.,,,,,,,,,,,,,
.Under 18 years,"493,143","493,707","496,670","498,911","500,952","503,458","507,599","514,214","520,811","526,453","529,662","529,836","529,826"
.Under 5 years,"128,806","128,764","130,676","132,889","134,499","136,188","137,309","139,397","143,294","147,430","148,907","148,865","149,028"
.5 to 13 years,"253,851","254,001","254,255","252,910","251,259","248,766","249,002","251,288","253,710","256,946","260,301","262,100","262,460"
.14 to 17 years,"110,486","110,942","111,739","113,112","115,194","118,504","121,288","123,529","123,807","122,077","120,454","118,871","118,338"
.18 to 64 years,"1,281,360","1,285,398","1,300,775","1,316,711","1,333,997","1,355,011","1,374,827","1,402,425","1,429,949","1,456,835","1,476,196","1,487,035","1,491,016"
.18 to 24 years,"200,457","201,663","205,666","207,966","210,516","213,540","213,354","215,021","220,062","226,743","231,581","234,388","234,798"
.25 to 44 years,"601,255","600,286","595,842","592,430","590,419","591,215","592,460","597,857","601,325","605,333","604,911","603,623","604,278"
.45 to 64 years,"479,648","483,449","499,267","516,315","533,062","550,256","569,013","589,547","608,562","624,759","639,704","649,024","651,940"
.65 years and over,"288,575","289,522","292,518","295,447","299,018","303,836","309,919","321,016","330,032","341,759","351,172","358,392","359,683"
.,,,,,,,,,,,,,
.16 years and over,"1,625,061","1,630,191","1,649,124","1,668,729","1,689,821","1,716,423","1,744,410","1,785,964","1,823,367","1,861,441","1,889,642","1,906,548","1,911,474"
.18 years and over,"1,569,935","1,574,920","1,593,293","1,612,158","1,633,015","1,658,847","1,684,746","1,723,441","1,759,981","1,798,594","1,827,368","1,845,427","1,850,699"
.15 to 44 years,"884,322","885,044","885,455","884,999","886,516","892,336","896,948","906,199","915,628","925,213","928,485","928,310","929,017"
.,,,,,,,,,,,,,
.Median age (years),36.7,36.8,37.1,37.4,37.7,37.9,38.2,38.4,38.6,38.8,39.0,39.2,39.3
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for South Carolina: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-45)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
