table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New York: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.16 years and over,"7,008,019","7,022,207","7,076,974","7,122,579","7,164,212","7,190,919","7,213,941","7,240,183","7,284,685","7,341,282","7,398,974","7,441,137","7,451,200"
.18 years and over,"6,744,384","6,758,646","6,811,706","6,853,069","6,893,559","6,917,493","6,935,245","6,952,704","6,994,736","7,057,845","7,119,995","7,165,866","7,177,464"
.15 to 44 years,"4,149,713","4,150,126","4,147,505","4,132,517","4,118,059","4,090,202","4,061,085","4,034,663","4,020,293","4,016,424","4,005,653","3,998,620","3,997,595"
.,,,,,,,,,,,,,
.Median age (years),34.5,34.5,34.8,35.0,35.2,35.4,35.7,35.9,36.1,36.2,36.3,36.3,36.4
FEMALE,"9,829,973","9,842,061","9,878,713","9,902,927","9,917,810","9,913,527","9,887,467","9,871,401","9,881,510","9,918,841","9,966,620","10,000,955","10,006,631"
.Under 5 years,"605,339","604,270","597,170","592,186","588,069","584,840","576,784","567,282","565,473","566,583","565,376","564,943","563,999"
.5 to 9 years,"660,838","657,114","642,781","625,839","609,735","593,114","577,441","569,569","565,058","564,995","568,592","569,593","569,842"
.10 to 14 years,"649,579","652,171","663,013","669,978","670,210","663,075","648,258","634,342","618,536","607,039","597,894","592,213","591,743"
.15 to 19 years,"625,927","625,420","629,777","637,559","644,678","654,015","665,026","671,850","676,622","677,613","673,401","666,730","663,503"
.20 to 24 years,"621,285","624,776","637,915","641,499","646,944","649,505","650,289","655,210","664,639","675,030","688,014","698,933","700,470"
.25 to 29 years,"664,414","661,187","644,803","643,458","649,592","656,898","663,807","672,948","676,978","687,715","696,897","699,974","699,474"
.30 to 34 years,"737,304","737,160","731,056","719,067","701,377","678,249","651,342","629,903","626,341","630,631","641,198","649,401","652,359"
.35 to 39 years,"795,786","793,110","782,147","767,314","749,274","727,866","714,428","704,167","689,503","673,509","655,268","640,349","636,421"
.40 to 44 years,"769,250","770,921","780,601","780,899","780,720","780,057","768,261","752,639","734,997","717,856","699,158","692,560","691,886"
.45 to 49 years,"691,613","694,750","703,782","717,522","729,308","739,297","747,538","754,331","753,120","752,999","754,411","749,240","746,372"
.50 to 54 years,"634,424","640,605","664,041","657,851","661,935","667,100","673,538","681,843","695,359","708,866","722,301","732,149","733,527"
.55 to 59 years,"495,654","498,333","511,072","546,893","562,451","584,994","609,193","630,134","623,115","629,434","637,530","645,561","648,371"
.60 to 64 years,"406,172","407,443","413,566","424,067","443,346","454,266","461,800","471,839","505,574","520,332","545,124","565,901","571,034"
.65 to 69 years,"361,253","360,435","358,863","359,081","362,953","367,585","370,015","372,010","381,999","400,768","412,740","420,956","423,081"
.70 to 74 years,"353,579","353,024","348,406","343,227","335,918","328,343","322,952","318,189","317,508","320,754","325,845","328,775","329,885"
.75 to 79 years,"310,002","310,650","310,842","310,528","309,083","305,159","300,688","294,299","289,456","282,804","277,019","274,758","274,251"
.80 to 84 years,"223,067","224,702","230,546","235,749","238,632","244,215","245,256","244,582","244,877","244,431","242,106","240,667","240,810"
.85 years and over,"224,487","225,990","228,332","230,210","233,585","234,949","240,851","246,264","252,355","257,482","263,746","268,252","269,603"
.,,,,,,,,,,,,,
.Under 18 years,"2,287,455","2,286,301","2,280,006","2,270,428","2,254,936","2,233,518","2,204,558","2,177,251","2,154,860","2,136,420","2,122,475","2,113,648","2,110,779"
.Under 5 years,"605,339","604,270","597,170","592,186","588,069","584,840","576,784","567,282","565,473","566,583","565,376","564,943","563,999"
.5 to 13 years,"1,184,392","1,183,483","1,178,854","1,166,349","1,147,866","1,118,767","1,092,342","1,073,187","1,056,559","1,047,685","1,041,963","1,039,521","1,040,064"
.14 to 17 years,"497,724","498,548","503,982","511,893","519,001","529,911","535,432","536,782","532,828","522,152","515,136","509,184","506,716"
.18 to 64 years,"6,070,130","6,080,959","6,121,718","6,153,704","6,182,703","6,199,758","6,203,147","6,218,806","6,240,455","6,276,182","6,322,689","6,353,899","6,358,222"
.18 to 24 years,"875,513","877,450","890,650","896,633","904,700","911,031","913,240","921,002","935,468","954,840","970,802","978,764","978,778"
.25 to 44 years,"2,966,754","2,962,378","2,938,607","2,910,738","2,880,963","2,843,070","2,797,838","2,759,657","2,727,819","2,709,711","2,692,521","2,682,284","2,680,140"
.45 to 64 years,"2,227,863","2,241,131","2,292,461","2,346,333","2,397,040","2,445,657","2,492,069","2,538,147","2,577,168","2,611,631","2,659,366","2,692,851","2,699,304"
.65 years and over,"1,472,388","1,474,801","1,476,989","1,478,795","1,480,171","1,480,251","1,479,762","1,475,344","1,486,195","1,506,239","1,521,456","1,533,408","1,537,630"
.,,,,,,,,,,,,,
.16 years and over,"7,789,819","7,802,927","7,849,158","7,887,065","7,919,548","7,939,677","7,946,966","7,965,957","8,000,402","8,051,130","8,108,208","8,147,667","8,154,593"
.18 years and over,"7,542,518","7,555,760","7,598,707","7,632,499","7,662,874","7,680,009","7,682,909","7,694,150","7,726,650","7,782,421","7,844,145","7,887,307","7,895,852"
.15 to 44 years,"4,213,966","4,212,574","4,206,299","4,189,796","4,172,585","4,146,590","4,113,153","4,086,717","4,069,080","4,062,354","4,053,936","4,047,947","4,044,113"
.,,,,,,,,,,,,,
.Median age (years),37.2,37.2,37.5,37.8,38.1,38.4,38.6,38.8,39.0,39.1,39.3,39.4,39.5
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New York: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-36)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
