table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New Jersey: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.Under 5 years,"288,098","288,038","287,260","287,542","289,750","290,633","288,175","283,903","281,993","279,252","276,341","276,269","275,938"
.5 to 13 years,"554,153","554,207","558,253","558,088","554,260","547,380","541,208","535,626","530,070","528,397","528,852","527,924","528,457"
.14 to 17 years,"227,259","227,773","231,433","237,850","244,610","251,742","257,079","258,669","258,147","254,991","253,329","252,284","251,177"
.18 to 64 years,"2,566,710","2,572,892","2,596,507","2,619,319","2,637,134","2,651,838","2,664,131","2,674,620","2,685,836","2,699,744","2,716,904","2,729,689","2,733,799"
.18 to 24 years,"346,547","348,092","354,665","359,680","365,076","369,798","372,623","377,623","382,410","389,277","394,424","397,503","397,671"
.25 to 44 years,"1,300,246","1,298,480","1,289,023","1,278,034","1,263,483","1,246,990","1,229,677","1,209,587","1,193,421","1,182,115","1,169,050","1,160,242","1,160,834"
.45 to 64 years,"919,917","926,320","952,819","981,605","1,008,575","1,035,050","1,061,831","1,087,410","1,110,005","1,128,352","1,153,430","1,171,944","1,175,294"
.65 years and over,"446,818","447,599","449,286","451,043","453,684","456,004","457,836","460,762","466,691","478,805","486,670","493,434","495,821"
.,,,,,,,,,,,,,
.16 years and over,"3,126,375","3,133,407","3,160,171","3,187,896","3,210,307","3,230,311","3,248,835","3,266,288","3,284,612","3,308,397","3,332,335","3,351,572","3,357,405"
.18 years and over,"3,013,528","3,020,491","3,045,793","3,070,362","3,090,818","3,107,842","3,121,967","3,135,382","3,152,527","3,178,549","3,203,574","3,223,123","3,229,620"
.15 to 44 years,"1,815,921","1,816,370","1,816,606","1,814,390","1,809,917","1,803,078","1,795,358","1,783,071","1,771,799","1,764,683","1,755,367","1,749,016","1,749,088"
.,,,,,,,,,,,,,
.Median age (years),35.5,35.5,35.7,35.9,36.1,36.2,36.4,36.7,36.9,37.1,37.3,37.4,37.4
FEMALE,"4,331,726","4,340,112","4,369,932","4,398,801","4,421,964","4,436,964","4,443,545","4,448,099","4,455,148","4,469,901","4,493,506","4,512,294","4,516,432"
.Under 5 years,"275,710","275,754","274,531","275,236","276,716","278,545","275,658","271,979","269,283","267,255","264,922","264,751","264,490"
.5 to 9 years,"294,977","293,643","291,027","287,844","284,153","280,011","277,312","274,033","272,818","273,585","276,336","276,129","276,339"
.10 to 14 years,"287,878","289,273","296,883","302,350","304,704","303,810","299,533","296,084","292,445","289,428","287,355","287,019","286,973"
.15 to 19 years,"254,207","254,591","259,289","264,550","269,951","276,552","283,743","288,686","291,323","292,076","290,724","288,755","287,453"
.20 to 24 years,"235,465","236,994","239,871","241,688","244,768","246,080","247,102","248,981","251,072","253,175","257,864","261,808","262,554"
.25 to 29 years,"272,053","270,725","263,137","261,151","260,774","262,025","265,336","266,835","268,721","272,506","274,464","275,364","275,249"
.30 to 34 years,"325,096","325,336","322,160","316,643","309,664","301,155","289,457","279,881","275,801","275,740","278,132","281,296","282,651"
.35 to 39 years,"367,705","366,755","363,018","357,772","349,873","339,955","333,818","329,048","321,771","313,945","306,339","298,981","297,335"
.40 to 44 years,"359,138","360,275","366,009","368,346","369,507","370,117","366,754","361,238","353,824","345,210","336,276","332,215","332,074"
.45 to 49 years,"313,528","315,252","322,666","332,542","341,119","349,074","354,892","358,870","359,638","360,021","361,102","359,903","358,645"
.50 to 54 years,"284,199","287,247","297,605","293,644","296,243","300,698","306,595","313,527","322,976","331,620","340,795","346,545","347,346"
.55 to 59 years,"220,803","222,215","229,101","246,583","253,490","262,934","273,846","283,012","278,426","281,672","287,772","293,437","294,845"
.60 to 64 years,"174,583","175,281","179,067","185,621","196,136","202,712","206,682","212,111","228,222","234,568","244,474","253,532","255,987"
.65 to 69 years,"160,651","160,162","157,920","157,008","158,509","160,027","161,764","164,192","169,801","179,516","185,659","189,368","190,467"
.70 to 74 years,"159,840","159,459","157,580","154,900","151,191","147,714","144,533","142,088","140,680","141,791","143,195","144,796","145,406"
.75 to 79 years,"144,578","144,763","143,358","142,675","141,769","139,104","136,742","134,974","132,637","129,363","126,866","125,417","125,289"
.80 to 84 years,"104,047","104,682","107,681","109,658","110,841","113,163","113,411","112,272","112,337","111,887","110,720","109,704","109,477"
.85 years and over,"97,268","97,705","99,029","100,590","102,556","103,288","106,367","110,288","113,373","116,543","120,511","123,274","123,852"
.,,,,,,,,,,,,,
.Under 18 years,"1,018,120","1,018,867","1,025,892","1,033,111","1,037,394","1,039,296","1,035,416","1,028,205","1,020,813","1,013,726","1,010,162","1,008,737","1,007,948"
.Under 5 years,"275,710","275,754","274,531","275,236","276,716","278,545","275,658","271,979","269,283","267,255","264,922","264,751","264,490"
.5 to 13 years,"527,963","528,075","531,649","532,141","528,790","521,406","515,651","510,040","506,159","504,692","505,321","504,820","505,306"
.14 to 17 years,"214,447","215,038","219,712","225,734","231,888","239,345","244,107","246,186","245,371","241,779","239,919","239,166","238,152"
.18 to 64 years,"2,647,222","2,654,474","2,678,472","2,700,859","2,719,704","2,734,372","2,745,312","2,756,080","2,765,507","2,777,075","2,796,393","2,810,998","2,813,993"
.18 to 24 years,"330,117","331,388","335,709","338,557","342,898","345,702","347,932","351,558","356,128","361,793","367,039","369,725","369,861"
.25 to 44 years,"1,323,992","1,323,091","1,314,324","1,303,912","1,289,818","1,273,252","1,255,365","1,237,002","1,220,117","1,207,401","1,195,211","1,187,856","1,187,309"
.45 to 64 years,"993,113","999,995","1,028,439","1,058,390","1,086,988","1,115,418","1,142,015","1,167,520","1,189,262","1,207,881","1,234,143","1,253,417","1,256,823"
.65 years and over,"666,384","666,771","665,568","664,831","664,866","663,296","662,817","663,814","668,828","679,100","686,951","692,559","694,491"
.,,,,,,,,,,,,,
.16 years and over,"3,419,449","3,427,164","3,452,087","3,476,664","3,497,822","3,513,877","3,528,060","3,544,099","3,559,745","3,579,609","3,605,483","3,624,917","3,629,155"
.18 years and over,"3,313,606","3,321,245","3,344,040","3,365,690","3,384,570","3,397,668","3,408,129","3,419,894","3,434,335","3,456,175","3,483,344","3,503,557","3,508,484"
.15 to 44 years,"1,813,664","1,814,676","1,813,484","1,810,150","1,804,537","1,795,884","1,786,210","1,774,669","1,762,512","1,752,652","1,743,799","1,738,419","1,737,316"
.,,,,,,,,,,,,,
.Median age (years),38.0,38.1,38.3,38.5,38.8,39.0,39.3,39.5,39.8,40.0,40.2,40.3,40.4
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New Jersey: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-34)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
