table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Michigan: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.65 years and over,"718,158","718,997","720,066","720,764","723,492","725,991","727,924","733,370","743,209","756,700","766,709","774,346","775,383"
.,,,,,,,,,,,,,
.16 years and over,"3,939,807","3,946,332","3,966,627","3,984,419","4,001,652","4,017,514","4,025,898","4,036,717","4,040,718","4,036,035","4,031,814","4,033,715","4,032,107"
.18 years and over,"3,801,456","3,807,908","3,826,056","3,841,062","3,858,556","3,873,156","3,880,309","3,886,191","3,886,601","3,885,963","3,886,764","3,891,769","3,891,285"
.15 to 44 years,"2,155,388","2,154,478","2,141,208","2,121,676","2,103,447","2,083,796","2,064,063","2,039,615","2,009,754","1,973,631","1,938,741","1,918,594","1,914,323"
.,,,,,,,,,,,,,
.Median age (years),36.6,36.7,37.0,37.3,37.6,37.8,38.1,38.5,38.9,39.3,39.7,40.0,40.1
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Michigan: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-26)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
