Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1949",,,,,,,,,
  (Excludes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
11,"2,250,172 ","1,146,897 ","1,103,275 ","1,957,946 ","999,547 ","958,399 ","292,226 ","147,350 ","144,876 "
12,"2,151,902 ","1,091,467 ","1,060,435 ","1,873,884 ","952,560 ","921,324 ","278,018 ","138,907 ","139,111 "
13,"2,148,710 ","1,095,301 ","1,053,409 ","1,871,711 ","955,086 ","916,625 ","276,999 ","140,215 ","136,784 "
14,"2,136,172 ","1,082,610 ","1,053,562 ","1,862,032 ","946,322 ","915,710 ","274,140 ","136,288 ","137,852 "
15,"2,082,363 ","1,053,247 ","1,029,116 ","1,821,431 ","925,126 ","896,305 ","260,932 ","128,121 ","132,811 "
16,"2,106,021 ","1,064,815 ","1,041,206 ","1,846,031 ","936,982 ","909,049 ","259,990 ","127,833 ","132,157 "
17,"2,178,016 ","1,102,234 ","1,075,782 ","1,911,876 ","971,012 ","940,864 ","266,140 ","131,222 ","134,918 "
18,"2,247,525 ","1,136,987 ","1,110,538 ","1,982,611 ","1,006,044 ","976,567 ","264,914 ","130,943 ","133,971 "
19,"2,256,122 ","1,131,021 ","1,125,101 ","1,993,320 ","1,004,427 ","988,893 ","262,802 ","126,594 ","136,208 "
20,"2,257,371 ","1,122,125 ","1,135,246 ","1,998,679 ","1,000,044 ","998,635 ","258,692 ","122,081 ","136,611 "
21,"2,305,216 ","1,142,431 ","1,162,785 ","2,043,770 ","1,019,916 ","1,023,854 ","261,446 ","122,515 ","138,931 "
22,"2,343,412 ","1,156,669 ","1,186,743 ","2,080,035 ","1,033,517 ","1,046,518 ","263,377 ","123,152 ","140,225 "
23,"2,379,639 ","1,173,045 ","1,206,594 ","2,114,799 ","1,048,727 ","1,066,072 ","264,840 ","124,318 ","140,522 "
24,"2,414,353 ","1,188,898 ","1,225,455 ","2,147,744 ","1,062,995 ","1,084,749 ","266,609 ","125,903 ","140,706 "
25,"2,464,955 ","1,214,264 ","1,250,691 ","2,192,193 ","1,084,083 ","1,108,110 ","272,762 ","130,181 ","142,581 "
26,"2,483,764 ","1,221,624 ","1,262,140 ","2,211,470 ","1,091,061 ","1,120,409 ","272,294 ","130,563 ","141,731 "
27,"2,473,549 ","1,216,436 ","1,257,113 ","2,206,199 ","1,088,150 ","1,118,049 ","267,350 ","128,286 ","139,064 "
28,"2,435,782 ","1,196,821 ","1,238,961 ","2,176,987 ","1,073,062 ","1,103,925 ","258,795 ","123,759 ","135,036 "
29,"2,394,819 ","1,177,088 ","1,217,731 ","2,144,644 ","1,057,648 ","1,086,996 ","250,175 ","119,440 ","130,735 "
30,"2,341,457 ","1,149,992 ","1,191,465 ","2,104,715 ","1,037,264 ","1,067,451 ","236,742 ","112,728 ","124,014 "
31,"2,298,548 ","1,128,994 ","1,169,554 ","2,069,381 ","1,020,264 ","1,049,117 ","229,167 ","108,730 ","120,437 "
32,"2,279,142 ","1,119,329 ","1,159,813 ","2,051,245 ","1,011,313 ","1,039,932 ","227,897 ","108,016 ","119,881 "
33,"2,279,116 ","1,119,771 ","1,159,345 ","2,047,760 ","1,010,017 ","1,037,743 ","231,356 ","109,754 ","121,602 "
34,"2,277,263 ","1,119,129 ","1,158,134 ","2,042,458 ","1,007,776 ","1,034,682 ","234,805 ","111,353 ","123,452 "
35,"2,269,282 ","1,112,707 ","1,156,575 ","2,028,957 ","999,684 ","1,029,273 ","240,325 ","113,023 ","127,302 "
36,"2,260,055 ","1,108,762 ","1,151,293 ","2,017,321 ","994,315 ","1,023,006 ","242,734 ","114,447 ","128,287 "
37,"2,232,742 ","1,097,081 ","1,135,661 ","1,993,208 ","983,544 ","1,009,664 ","239,534 ","113,537 ","125,997 "
38,"2,189,973 ","1,078,400 ","1,111,573 ","1,958,122 ","967,679 ","990,443 ","231,851 ","110,721 ","121,130 "
39,"2,145,958 ","1,059,769 ","1,086,189 ","1,922,345 ","952,097 ","970,248 ","223,613 ","107,672 ","115,941 "
40,"2,115,385 ","1,047,816 ","1,067,569 ","1,901,448 ","943,719 ","957,729 ","213,937 ","104,097 ","109,840 "
41,"2,064,907 ","1,025,670 ","1,039,237 ","1,860,273 ","925,232 ","935,041 ","204,634 ","100,438 ","104,196 "
42,"2,016,513 ","1,003,536 ","1,012,977 ","1,818,051 ","905,647 ","912,404 ","198,462 ","97,889 ","100,573 "
43,"1,970,113 ","981,444 ","988,669 ","1,775,425 ","885,263 ","890,162 ","194,688 ","96,181 ","98,507 "
44,"1,922,326 ","958,208 ","964,118 ","1,731,688 ","863,989 ","867,699 ","190,638 ","94,219 ","96,419 "
45,"1,882,292 ","940,272 ","942,020 ","1,695,486 ","847,947 ","847,539 ","186,806 ","92,325 ","94,481 "
46,"1,838,111 ","918,578 ","919,533 ","1,654,873 ","827,974 ","826,899 ","183,238 ","90,604 ","92,634 "
47,"1,803,349 ","901,329 ","902,020 ","1,624,972 ","812,904 ","812,068 ","178,377 ","88,425 ","89,952 "
48,"1,776,211 ","887,745 ","888,466 ","1,603,768 ","801,902 ","801,866 ","172,443 ","85,843 ","86,600 "
49,"1,749,947 ","874,468 ","875,479 ","1,583,456 ","791,273 ","792,183 ","166,491 ","83,195 ","83,296 "
50,"1,712,727 ","856,090 ","856,637 ","1,552,191 ","775,480 ","776,711 ","160,536 ","80,610 ","79,926 "
51,"1,682,690 ","841,116 ","841,574 ","1,529,692 ","763,872 ","765,820 ","152,998 ","77,244 ","75,754 "
52,"1,646,371 ","823,806 ","822,565 ","1,501,503 ","750,211 ","751,292 ","144,868 ","73,595 ","71,273 "
53,"1,604,143 ","804,048 ","800,095 ","1,468,078 ","734,578 ","733,500 ","136,065 ","69,470 ","66,595 "
54,"1,564,272 ","784,648 ","779,624 ","1,433,626 ","718,250 ","715,376 ","130,646 ","66,398 ","64,248 "
55,"1,516,941 ","759,773 ","757,168 ","1,392,243 ","696,568 ","695,675 ","124,698 ","63,205 ","61,493 "
56,"1,475,948 ","739,838 ","736,110 ","1,357,273 ","679,832 ","677,441 ","118,675 ","60,006 ","58,669 "
57,"1,432,120 ","718,631 ","713,489 ","1,319,031 ","661,437 ","657,594 ","113,089 ","57,194 ","55,895 "
58,"1,385,852 ","696,208 ","689,644 ","1,277,975 ","641,517 ","636,458 ","107,877 ","54,691 ","53,186 "
59,"1,338,570 ","673,157 ","665,413 ","1,235,794 ","620,911 ","614,883 ","102,776 ","52,246 ","50,530 "
60,"1,288,833 ","649,619 ","639,214 ","1,191,526 ","599,921 ","591,605 ","97,307 ","49,698 ","47,609 "
61,"1,241,151 ","625,661 ","615,490 ","1,148,775 ","578,353 ","570,422 ","92,376 ","47,308 ","45,068 "
62,"1,197,006 ","601,406 ","595,600 ","1,109,086 ","556,383 ","552,703 ","87,920 ","45,023 ","42,897 "
63,"1,155,375 ","576,854 ","578,521 ","1,071,541 ","534,041 ","537,500 ","83,834 ","42,813 ","41,021 "
64,"1,113,252 ","551,866 ","561,386 ","1,033,368 ","511,203 ","522,165 ","79,884 ","40,663 ","39,221 "
65,"1,076,033 ","530,061 ","545,972 ","1,000,798 ","491,742 ","509,056 ","75,235 ","38,319 ","36,916 "
66,"1,028,685 ","502,744 ","525,941 ","957,343 ","466,560 ","490,783 ","71,342 ","36,184 ","35,158 "
67,"973,497 ","473,294 ","500,203 ","906,457 ","439,366 ","467,091 ","67,040 ","33,928 ","33,112 "
68,"911,770 ","442,076 ","469,694 ","849,368 ","410,503 ","438,865 ","62,402 ","31,573 ","30,829 "
69,"853,694 ","412,434 ","441,260 ","790,341 ","380,932 ","409,409 ","63,353 ","31,502 ","31,851 "
70,"792,016 ","381,411 ","410,605 ","732,684 ","352,139 ","380,545 ","59,332 ","29,272 ","30,060 "
71,"722,681 ","347,602 ","375,079 ","673,207 ","322,717 ","350,490 ","49,474 ","24,885 ","24,589 "
72,"662,917 ","317,989 ","344,928 ","619,972 ","296,148 ","323,824 ","42,945 ","21,841 ","21,104 "
73,"611,363 ","291,978 ","319,385 ","572,104 ","272,035 ","300,069 ","39,259 ","19,943 ","19,316 "
74,"560,892 ","266,628 ","294,264 ","525,200 ","248,526 ","276,674 ","35,692 ","18,102 ","17,590 "
75,"503,685 ","238,281 ","265,404 ","473,073 ","222,683 ","250,390 ","30,612 ","15,598 ","15,014 "
76,"456,761 ","214,902 ","241,859 ","429,497 ","201,016 ","228,481 ","27,264 ","13,886 ","13,378 "
77,"411,848 ","192,563 ","219,285 ","387,486 ","180,200 ","207,286 ","24,362 ","12,363 ","11,999 "
78,"368,991 ","171,294 ","197,697 ","347,128 ","160,280 ","186,848 ","21,863 ","11,014 ","10,849 "
79,"328,591 ","151,295 ","177,296 ","308,834 ","141,452 ","167,382 ","19,757 ","9,843 ","9,914 "
80,"293,069 ","134,049 ","159,020 ","275,044 ","125,054 ","149,990 ","18,025 ","8,995 ","9,030 "
81,"257,090 ","116,431 ","140,659 ","240,480 ","108,297 ","132,183 ","16,610 ","8,134 ","8,476 "
82,"223,357 ","100,015 ","123,342 ","207,979 ","92,648 ","115,331 ","15,378 ","7,367 ","8,011 "
83,"191,755 ","84,743 ","107,012 ","177,460 ","78,059 ","99,401 ","14,295 ","6,684 ","7,611 "
84,"142,408 ","62,313 ","80,095 ","132,605 ","58,072 ","74,533 ","9,803 ","4,241 ","5,562 "
85+,"549,171 ","226,534 ","322,637 ","506,056 ","208,700 ","297,356 ","43,115 ","17,834 ","25,281 "
,,,,,,,,,
"Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979",,,,,,,,,
,,,,,,,,,
"The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.",,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Population Division",,,,,,,,,
"Internet Release date:  October 1, 2004",,,,,,,,,
