table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Nevada: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.25 to 44 years,"327,990","330,100","338,104","344,680","351,381","363,826","374,766","386,268","394,615","399,075","398,326","395,293","395,539"
.45 to 64 years,"231,241","234,719","247,530","261,068","273,956","289,021","302,779","315,278","327,199","335,009","341,927","346,898","348,057"
.65 years and over,"101,971","103,300","108,286","113,036","118,621","124,120","127,919","132,143","136,938","142,926","148,486","152,987","153,845"
.,,,,,,,,,,,,,
.16 years and over,"781,707","790,144","820,960","849,793","879,595","918,506","952,938","989,065","1,019,375","1,041,540","1,054,118","1,061,342","1,063,512"
.18 years and over,"754,856","763,097","792,830","820,077","848,768","886,365","919,368","952,927","981,573","1,003,294","1,015,823","1,023,158","1,025,492"
.15 to 44 years,"461,865","465,739","479,643","490,655","502,591","521,837","540,212","560,080","574,384","582,554","582,837","580,514","580,680"
.,,,,,,,,,,,,,
.Median age (years),34.5,34.6,34.8,35.0,35.2,35.3,35.3,35.3,35.3,35.4,35.6,35.8,35.8
FEMALE,"980,202","990,315","1,030,850","1,069,764","1,108,135","1,156,586","1,198,846","1,243,993","1,284,052","1,310,601","1,327,618","1,336,935","1,338,731"
.Under 5 years,"71,015","71,591","73,975","76,216","78,817","82,353","85,555","89,255","92,658","94,029","93,091","91,706","91,624"
.5 to 9 years,"72,776","72,989","74,327","75,554","76,202","78,242","79,777","81,796","84,300","86,292","88,306","89,304","89,430"
.10 to 14 years,"67,568","68,437","72,091","75,815","79,091","82,121","83,944","86,429","88,262","88,700","89,291","89,501","89,594"
.15 to 19 years,"61,300","61,963","62,916","64,644","67,830","71,681","76,001","80,340","84,237","86,819","88,257","88,527","88,212"
.20 to 24 years,"61,991","63,047","68,002","70,851","72,801","76,005","78,903","81,221","83,918","85,449","85,445","86,361","86,611"
.25 to 29 years,"71,491","71,690","72,139","73,412","76,128","80,979","86,646","92,835","96,650","98,077","97,738","96,343","96,266"
.30 to 34 years,"74,832","75,449","78,743","81,458","82,895","84,846","85,430","86,215","87,958","89,887","91,627","92,840","93,253"
.35 to 39 years,"78,872","79,291","80,454","81,580","82,754","84,280","86,947","91,230","94,137","95,207","95,050","93,687","93,227"
.40 to 44 years,"75,375","76,208","79,440","82,123","84,371","87,979","90,260","91,348","91,877","92,601","91,795","92,166","92,177"
.45 to 49 years,"69,077","69,997","73,312","77,168","80,237","83,071","85,931","89,295","91,349","92,587","94,085","94,266","93,974"
.50 to 54 years,"64,320","65,496","70,037","71,205","73,442","77,195","80,337","83,610","87,093","89,089","89,921","90,601","90,839"
.55 to 59 years,"52,562","53,295","56,434","62,518","66,581","71,168","75,475","79,772","80,161","80,936","82,557","83,628","84,042"
.60 to 64 years,"42,061","42,564","45,473","48,618","52,844","57,064","59,816","62,375","67,634","70,836","73,718","76,633","77,392"
.65 to 69 years,"35,495","35,816","37,258","39,275","41,416","43,727","45,342","47,474","50,145","53,603","56,796","58,863","59,251"
.70 to 74 years,"31,115","31,415","32,259","32,855","33,617","34,758","35,409","35,970","37,520","38,907","40,649","41,810","42,048"
.75 to 79 years,"24,272","24,569","25,748","26,595","27,558","27,768","28,288","28,602","28,640","28,783","29,325","29,880","29,935"
.80 to 84 years,"14,735","14,983","16,019","17,129","17,991","19,116","19,738","20,421","20,696","21,179","21,424","21,649","21,585"
.85 years and over,"11,345","11,515","12,223","12,748","13,560","14,233","15,047","15,805","16,817","17,620","18,543","19,170","19,271"
.,,,,,,,,,,,,,
.Under 18 years,"248,601","250,689","259,989","268,866","277,016","288,043","297,666","308,665","318,606","322,886","324,817","324,550","324,551"
.Under 5 years,"71,015","71,591","73,975","76,216","78,817","82,353","85,555","89,255","92,658","94,029","93,091","91,706","91,624"
.5 to 13 years,"127,379","128,365","132,933","137,169","140,191","143,805","146,951","150,838","154,784","157,401","159,815","160,753","161,048"
.14 to 17 years,"50,207","50,733","53,081","55,481","58,008","61,885","65,160","68,572","71,164","71,456","71,911","72,091","71,879"
.18 to 64 years,"614,639","621,328","647,354","672,296","696,977","728,941","757,356","787,056","811,628","827,623","836,064","841,013","842,090"
.18 to 24 years,"86,049","87,338","91,322","94,214","97,725","102,359","106,514","110,376","114,769","118,403","119,573","120,849","120,920"
.25 to 44 years,"300,570","302,638","310,776","318,573","326,148","338,084","349,283","361,628","370,622","375,772","376,210","375,036","374,923"
.45 to 64 years,"228,020","231,352","245,256","259,509","273,104","288,498","301,559","315,052","326,237","333,448","340,281","345,128","346,247"
.65 years and over,"116,962","118,298","123,507","128,602","134,142","139,602","143,824","148,272","153,818","160,092","166,737","171,372","172,090"
.,,,,,,,,,,,,,
.16 years and over,"756,185","764,415","796,975","828,281","859,470","898,219","932,440","969,187","1,000,839","1,023,394","1,038,949","1,048,388","1,050,026"
.18 years and over,"731,601","739,626","770,861","800,898","831,119","868,543","901,180","935,328","965,446","987,715","1,002,801","1,012,385","1,014,180"
.15 to 44 years,"423,861","427,648","441,694","454,068","466,779","485,770","504,187","523,189","538,777","548,040","549,912","549,924","549,746"
.,,,,,,,,,,,,,
.Median age (years),35.6,35.6,35.9,36.1,36.2,36.3,36.3,36.2,36.3,36.4,36.6,36.9,36.9
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Nevada: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-32)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
