table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Oregon: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.10 to 14 years,"124,239","124,771","126,288","127,189","127,893","126,433","124,649","124,040","123,587","123,483","123,787","124,118","124,213"
.15 to 19 years,"125,434","126,076","126,823","127,326","127,266","127,880","129,985","131,666","132,742","133,296","132,161","130,677","130,167"
.20 to 24 years,"118,097","118,907","121,726","125,354","127,085","126,742","127,241","127,483","127,447","127,455","128,416","128,461","128,902"
.25 to 29 years,"121,027","120,417","118,527","118,544","119,324","119,589","121,377","124,890","129,324","131,481","133,645","133,636","134,204"
.30 to 34 years,"122,243","122,440","125,849","128,111","128,244","126,607","124,753","123,981","124,174","126,866","129,682","131,139","132,033"
.35 to 39 years,"129,086","128,708","125,521","123,804","122,159","121,660","124,535","128,179","130,308","130,479","129,661","127,827","127,145"
.40 to 44 years,"134,071","134,419","134,852","133,912","132,738","131,630","130,095","127,525","125,814","124,309","124,328","125,760","125,836"
.45 to 49 years,"134,765","135,541","136,158","137,084","136,450","134,722","134,142","134,938","134,127","133,083","132,278","130,601","130,243"
.50 to 54 years,"117,422","118,559","125,595","126,699","129,599","132,425","134,392","135,623","137,004","136,550","135,401","134,896","135,250"
.55 to 59 years,"85,377","85,942","89,349","98,557","104,363","110,310","117,518","124,998","126,156","128,874","131,744","132,857","133,694"
.60 to 64 years,"64,228","64,574","67,520","71,068","76,173","80,930","85,056","89,052","97,939","104,112","109,824","115,209","116,357"
.65 to 69 years,"53,202","53,098","54,058","55,504","57,589","59,938","62,538","65,821","69,401","74,450","79,076","81,930","82,514"
.70 to 74 years,"48,514","48,557","48,390","48,121","47,884","48,223","49,210","50,421","51,575","53,288","55,343","57,120","57,495"
.75 to 79 years,"40,355","40,481","40,427","40,730","41,034","40,915","40,908","40,919","40,607","40,487","40,802","41,253","41,202"
.80 to 84 years,"26,186","26,443","27,464","28,664","28,941","29,538","30,184","30,604","31,059","31,058","30,840","30,860","30,926"
.85 years and over,"18,242","18,399","18,954","19,332","20,296","21,041","21,941","23,237","24,215","25,211","26,035","26,671","26,920"
.,,,,,,,,,,,,,
.Under 18 years,"434,155","434,642","435,125","436,364","435,898","433,988","434,785","439,196","441,884","443,269","443,548","443,844","443,900"
.Under 5 years,"114,006","114,067","114,305","114,954","115,227","114,752","115,224","116,846","119,308","120,840","121,545","121,828","121,743"
.5 to 13 years,"219,505","219,649","219,589","220,008","218,505","215,466","214,670","216,119","216,757","218,763","219,681","220,321","220,759"
.14 to 17 years,"100,644","100,926","101,231","101,402","102,166","103,770","104,891","106,231","105,819","103,666","102,322","101,695","101,398"
.18 to 64 years,"1,075,957","1,079,441","1,095,630","1,113,583","1,126,929","1,135,443","1,150,189","1,167,568","1,184,329","1,197,450","1,209,747","1,214,324","1,217,259"
.18 to 24 years,"167,738","168,841","172,259","175,804","177,879","177,570","178,321","178,382","179,483","181,696","183,184","182,399","182,497"
.25 to 44 years,"506,427","505,984","504,749","504,371","502,465","499,486","500,760","504,575","509,620","513,135","517,316","518,362","519,218"
.45 to 64 years,"401,792","404,616","418,622","433,408","446,585","458,387","471,108","484,611","495,226","502,619","509,247","513,563","515,544"
.65 years and over,"186,499","186,978","189,293","192,351","195,744","199,655","204,781","211,002","216,857","224,494","232,096","237,834","239,057"
.,,,,,,,,,,,,,
.16 years and over,"1,313,271","1,317,303","1,336,085","1,357,523","1,374,147","1,386,148","1,406,664","1,432,754","1,455,898","1,475,394","1,494,149","1,503,630","1,507,580"
.18 years and over,"1,262,456","1,266,419","1,284,923","1,305,934","1,322,673","1,335,098","1,354,970","1,378,570","1,401,186","1,421,944","1,441,843","1,452,158","1,456,316"
.15 to 44 years,"749,958","750,967","753,298","757,051","756,816","754,108","757,986","763,724","769,809","773,886","777,893","777,500","778,287"
.,,,,,,,,,,,,,
.Median age (years),35.1,35.2,35.4,35.5,35.8,36.1,36.3,36.6,36.8,37.0,37.1,37.3,37.3
FEMALE,"1,724,913","1,728,647","1,747,889","1,771,126","1,788,805","1,800,377","1,823,447","1,853,117","1,879,347","1,903,535","1,923,209","1,935,072","1,938,741"
.Under 5 years,"109,000","109,080","109,694","109,895","110,350","109,766","110,893","111,788","113,627","115,213","115,975","115,728","115,692"
.5 to 9 years,"114,360","113,915","112,584","111,747","111,077","110,723","111,042","112,610","113,208","114,626","115,265","116,055","116,256"
.10 to 14 years,"117,870","118,405","119,668","120,923","120,992","119,665","118,565","118,065","117,786","117,935","118,232","118,435","118,573"
.15 to 19 years,"119,001","119,394","119,413","119,738","120,219","120,910","122,427","124,228","125,787","125,771","125,101","124,183","123,694"
.20 to 24 years,"112,308","113,152","117,277","121,234","123,189","122,934","122,738","122,912","123,072","124,033","124,500","124,587","125,001"
.25 to 29 years,"112,819","112,115","110,855","112,158","113,302","114,445","117,954","122,716","127,021","129,819","131,811","131,397","131,598"
.30 to 34 years,"114,610","114,711","117,425","119,469","120,191","118,790","117,735","117,370","119,016","121,654","125,191","127,972","128,885"
.35 to 39 years,"126,672","126,225","123,013","120,139","117,888","116,830","119,526","122,979","124,895","125,853","124,839","123,336","122,613"
.40 to 44 years,"136,757","137,112","136,741","135,685","133,903","132,280","129,581","127,103","124,154","122,098","121,458","122,602","122,668"
.45 to 49 years,"136,557","137,321","138,730","140,308","140,455","138,631","138,589","138,726","137,721","136,279","134,591","132,278","131,830"
.50 to 54 years,"118,427","119,562","127,240","128,685","132,409","136,211","138,912","141,116","142,776","143,074","141,589","141,300","141,696"
.55 to 59 years,"87,645","88,175","91,586","101,051","106,934","113,199","121,104","129,587","131,133","134,851","138,946","140,566","141,407"
.60 to 64 years,"67,168","67,476","70,523","74,470","79,497","84,194","89,080","93,199","102,706","108,779","115,067","120,934","122,131"
.65 to 69 years,"59,426","59,246","59,483","60,615","62,453","64,906","67,007","70,668","74,684","79,815","84,462","87,917","88,512"
.70 to 74 years,"58,223","58,113","57,570","57,053","56,765","56,323","56,572","57,032","57,966","59,609","61,860","63,074","63,427"
.75 to 79 years,"54,718","54,787","54,341","54,087","53,522","52,821","52,401","52,004","51,407","50,903","50,349","50,348","50,204"
.80 to 84 years,"40,163","40,428","41,472","42,701","43,533","44,631","45,127","45,194","44,996","44,455","43,672","43,159","43,084"
.85 years and over,"39,189","39,430","40,274","41,168","42,126","43,118","44,194","45,820","47,392","48,768","50,301","51,201","51,470"
.,,,,,,,,,,,,,
.Under 18 years,"412,392","412,869","413,538","414,369","414,353","412,798","414,538","417,807","420,277","422,395","422,646","422,609","422,729"
.Under 5 years,"109,000","109,080","109,694","109,895","110,350","109,766","110,893","111,788","113,627","115,213","115,975","115,728","115,692"
.5 to 13 years,"208,759","208,870","208,771","208,887","207,761","205,580","205,015","206,213","207,353","209,323","210,031","210,939","211,372"
.14 to 17 years,"94,633","94,919","95,073","95,587","96,242","97,452","98,630","99,806","99,297","97,859","96,640","95,942","95,665"
.18 to 64 years,"1,060,802","1,063,774","1,081,211","1,101,133","1,116,053","1,125,780","1,143,608","1,164,592","1,182,625","1,197,590","1,209,919","1,216,764","1,219,315"
.18 to 24 years,"160,147","161,077","165,098","169,168","171,474","171,200","171,127","171,796","173,203","175,183","176,427","176,379","176,487"
.25 to 44 years,"490,858","490,163","488,034","487,451","485,284","482,345","484,796","490,168","495,086","499,424","503,299","505,307","505,764"
.45 to 64 years,"409,797","412,534","428,079","444,514","459,295","472,235","487,685","502,628","514,336","522,983","530,193","535,078","537,064"
.65 years and over,"251,719","252,004","253,140","255,624","258,399","261,799","265,301","270,718","276,445","283,550","290,644","295,699","296,697"
.,,,,,,,,,,,,,
.16 years and over,"1,360,120","1,363,434","1,382,328","1,404,840","1,422,410","1,435,756","1,457,851","1,485,670","1,509,890","1,531,647","1,550,070","1,561,059","1,564,392"
.18 years and over,"1,312,521","1,315,778","1,334,351","1,356,757","1,374,452","1,387,579","1,408,909","1,435,310","1,459,070","1,481,140","1,500,563","1,512,463","1,516,012"
.15 to 44 years,"722,167","722,709","724,724","728,423","728,692","726,189","729,961","737,308","743,945","749,228","752,900","754,077","754,459"
.,,,,,,,,,,,,,
.Median age (years),37.5,37.6,37.8,38.0,38.3,38.6,38.7,38.9,39.0,39.1,39.3,39.5,39.5
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Oregon: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-41)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
