table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Kentucky: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.16 years and over,"3,161,564","3,168,468","3,187,627","3,208,584","3,232,031","3,260,061","3,292,898","3,326,037","3,360,294","3,387,499","3,413,377","3,432,660","3,439,600"
.18 years and over,"3,047,253","3,054,037","3,074,027","3,094,624","3,118,685","3,147,642","3,178,722","3,207,944","3,240,384","3,267,877","3,295,364","3,315,996","3,323,539"
.15 to 44 years,"1,782,984","1,782,880","1,775,135","1,765,360","1,754,431","1,754,142","1,751,445","1,744,546","1,747,035","1,737,954","1,733,634","1,729,641","1,730,622"
.,,,,,,,,,,,,,
.Median age (years),35.9,35.9,36.2,36.5,36.7,36.8,37.0,37.3,37.5,37.7,37.9,38.1,38.1
MALE,"1,975,529","1,979,305","1,991,261","2,002,652","2,014,862","2,034,050","2,053,084","2,070,143","2,092,462","2,106,346","2,123,938","2,134,952","2,138,655"
.Under 5 years,"136,294","136,111","136,742","137,269","138,388","138,831","139,649","140,041","141,692","143,487","143,811","144,179","144,031"
.5 to 9 years,"143,441","142,736","141,202","139,577","139,072","138,435","138,815","140,756","141,953","143,491","144,242","144,859","144,938"
.10 to 14 years,"143,957","144,478","145,602","146,940","148,237","147,957","147,050","146,918","145,506","145,419","145,558","145,813","145,790"
.15 to 19 years,"147,892","148,607","147,062","146,915","146,278","146,634","148,960","150,161","151,822","153,122","152,567","152,107","151,406"
.20 to 24 years,"143,893","144,719","149,645","151,141","150,928","153,105","152,177","147,539","149,086","145,569","147,055","147,432","147,932"
.25 to 29 years,"141,801","140,600","135,448","132,301","131,258","134,377","137,208","140,631","144,390","143,456","145,189","143,707","144,435"
.30 to 34 years,"143,531","143,528","144,777","145,490","144,727","144,025","141,793","137,447","136,460","136,588","139,640","142,068","143,186"
.35 to 39 years,"159,336","158,811","155,599","152,554","148,408","146,728","145,311","146,785","148,371","147,470","145,641","143,758","142,855"
.40 to 44 years,"158,245","158,607","159,804","159,077","158,705","159,482","158,100","155,920","153,426","149,770","147,038","145,723","145,712"
.45 to 49 years,"144,971","145,920","148,207","151,232","154,455","156,135","157,783","159,818","159,680","160,002","160,497","159,866","159,334"
.50 to 54 years,"128,982","130,344","136,709","136,590","138,575","140,511","144,179","147,271","149,897","153,451","155,096","156,619","157,042"
.55 to 59 years,"99,200","99,927","101,715","109,849","114,596","120,783","127,019","133,818","133,619","135,695","137,270","139,800","140,648"
.60 to 64 years,"80,002","80,451","82,370","85,701","89,931","92,340","95,206","97,577","105,500","110,829","116,775","121,225","122,388"
.65 to 69 years,"66,588","66,501","67,382","68,023","69,829","71,802","73,729","76,169","79,522","83,315","85,804","87,689","88,266"
.70 to 74 years,"56,207","56,277","56,217","56,048","55,879","56,260","57,143","58,374","59,295","61,072","62,886","63,888","64,231"
.75 to 79 years,"41,737","41,881","42,254","42,525","43,026","42,801","43,461","44,041","44,180","44,261","44,704","45,087","45,068"
.80 to 84 years,"23,746","23,980","24,694","25,515","26,471","27,394","28,314","28,803","29,237","29,635","29,675","30,112","30,182"
.85 years and over,"15,706","15,827","15,832","15,905","16,099","16,450","17,187","18,074","18,826","19,714","20,490","21,020","21,211"
.,,,,,,,,,,,,,
.Under 18 years,"511,392","511,427","511,125","511,519","512,831","512,583","515,122","519,037","521,247","523,484","523,713","524,467","524,115"
.Under 5 years,"136,294","136,111","136,742","137,269","138,388","138,831","139,649","140,041","141,692","143,487","143,811","144,179","144,031"
.5 to 13 years,"258,544","258,464","258,158","258,076","258,056","255,898","255,966","257,545","257,920","259,592","260,375","261,565","261,803"
.14 to 17 years,"116,554","116,852","116,225","116,174","116,387","117,854","119,507","121,451","121,635","120,405","119,527","118,723","118,281"
.18 to 64 years,"1,260,153","1,263,412","1,273,757","1,283,117","1,290,727","1,306,760","1,318,128","1,325,645","1,340,155","1,344,865","1,356,666","1,362,689","1,365,582"
.18 to 24 years,"204,085","205,224","209,128","210,323","210,072","212,379","211,529","206,378","208,812","207,604","209,520","209,923","209,982"
.25 to 44 years,"602,913","601,546","595,628","589,422","583,098","584,612","582,412","580,783","582,647","577,284","577,508","575,256","576,188"
.45 to 64 years,"453,155","456,642","469,001","483,372","497,557","509,769","524,187","538,484","548,696","559,977","569,638","577,510","579,412"
.65 years and over,"203,984","204,466","206,379","208,016","211,304","214,707","219,834","225,461","231,060","237,997","243,559","247,796","248,958"
.,,,,,,,,,,,,,
.16 years and over,"1,522,989","1,526,806","1,538,881","1,550,093","1,560,555","1,579,476","1,596,756","1,612,215","1,633,006","1,644,195","1,660,840","1,670,520","1,674,278"
.18 years and over,"1,464,137","1,467,878","1,480,136","1,491,133","1,502,031","1,521,467","1,537,962","1,551,106","1,571,215","1,582,862","1,600,225","1,610,485","1,614,540"
.15 to 44 years,"894,698","894,872","892,335","887,478","880,304","884,351","883,549","878,483","883,555","875,975","877,130","874,795","875,526"
.,,,,,,,,,,,,,
.Median age (years),34.6,34.6,34.8,35.1,35.3,35.5,35.7,36.0,36.2,36.5,36.6,36.7,36.7
FEMALE,"2,066,664","2,069,716","2,076,871","2,087,223","2,102,308","2,112,051","2,129,658","2,149,096","2,164,210","2,183,532","2,193,136","2,204,415","2,207,611"
.Under 5 years,"129,644","129,512","130,309","130,789","131,750","132,274","133,013","133,513","135,754","137,980","138,086","138,188","138,100"
.5 to 9 years,"135,858","135,169","133,358","131,960","131,702","131,742","132,300","134,191","135,175","136,539","137,031","138,029","138,088"
.10 to 14 years,"135,571","136,081","137,318","139,026","140,293","139,861","139,701","138,900","137,551","137,624","138,074","138,341","138,364"
.15 to 19 years,"141,057","141,450","138,248","137,168","137,147","137,726","139,781","141,657","143,559","145,320","144,977","144,688","143,984"
.20 to 24 years,"139,159","140,243","145,889","148,514","149,498","149,125","146,652","142,648","141,866","141,002","141,342","142,536","143,038"
.25 to 29 years,"139,384","138,170","133,074","130,674","131,109","132,494","136,318","141,836","143,615","144,511","143,448","141,589","141,901"
.30 to 34 years,"143,487","143,373","143,649","143,917","143,249","141,308","139,196","135,155","133,606","134,374","136,014","138,852","140,010"
.35 to 39 years,"162,650","161,892","157,892","153,638","150,027","146,388","144,574","146,160","146,307","145,641","143,364","141,653","140,658"
.40 to 44 years,"162,549","162,880","164,048","163,971","163,097","162,750","161,375","158,607","154,527","151,131","147,359","145,528","145,505"
.45 to 49 years,"149,044","149,947","152,377","155,863","159,599","161,331","162,968","164,987","165,201","164,722","164,474","163,776","163,137"
.50 to 54 years,"134,000","135,347","141,718","141,096","143,341","145,628","149,052","152,528","155,863","159,906","161,650","162,836","163,293"
.55 to 59 years,"105,305","105,988","107,563","116,077","121,026","126,934","133,858","140,896","140,744","143,318","145,732","148,227","149,116"
.60 to 64 years,"88,122","88,535","90,650","93,928","98,040","100,428","102,837","105,194","113,456","118,799","124,606","129,741","130,981"
.65 to 69 years,"78,083","77,886","78,256","78,673","80,332","82,120","84,074","86,570","89,756","93,624","96,216","97,975","98,570"
.70 to 74 years,"73,070","72,925","72,495","71,350","70,827","70,499","70,595","71,473","71,881","73,168","74,808","75,762","76,108"
.75 to 79 years,"63,030","63,129","62,407","62,119","61,965","61,435","61,738","62,004","61,185","60,740","60,406","60,305","60,176"
.80 to 84 years,"44,090","44,376","44,781","46,054","46,835","47,227","47,967","47,863","48,243","48,268","48,084","48,201","48,147"
.85 years and over,"42,561","42,813","42,839","42,406","42,471","42,781","43,659","44,914","45,921","46,865","47,465","48,188","48,435"
.,,,,,,,,,,,,,
.Under 18 years,"483,548","483,557","482,980","483,732","485,654","485,876","488,898","492,258","495,041","498,517","497,997","498,904","498,612"
.Under 5 years,"129,644","129,512","130,309","130,789","131,750","132,274","133,013","133,513","135,754","137,980","138,086","138,188","138,100"
.5 to 13 years,"244,279","244,146","243,831","244,090","244,444","243,260","243,512","244,723","244,878","246,781","247,329","249,186","249,410"
.14 to 17 years,"109,625","109,899","108,840","108,853","109,460","110,342","112,373","114,022","114,409","113,756","112,582","111,530","111,102"
.18 to 64 years,"1,282,282","1,285,030","1,293,113","1,302,889","1,314,224","1,322,113","1,332,727","1,344,014","1,352,183","1,362,350","1,368,160","1,375,080","1,377,563"
.18 to 24 years,"197,741","198,898","202,142","203,725","204,736","204,852","202,549","198,651","198,864","199,948","201,513","202,878","202,962"
.25 to 44 years,"608,070","606,315","598,663","592,200","587,482","582,940","581,463","581,758","578,055","575,657","570,185","567,622","568,074"
.45 to 64 years,"476,471","479,817","492,308","506,964","522,006","534,321","548,715","563,605","575,264","586,745","596,462","604,580","606,527"
.65 years and over,"300,834","301,129","300,778","300,602","302,430","304,062","308,033","312,824","316,986","322,665","326,979","330,431","331,436"
.,,,,,,,,,,,,,
.16 years and over,"1,638,575","1,641,662","1,648,746","1,658,491","1,671,476","1,680,585","1,696,142","1,713,822","1,727,288","1,743,304","1,752,537","1,762,140","1,765,322"
.18 years and over,"1,583,116","1,586,159","1,593,891","1,603,491","1,616,654","1,626,175","1,640,760","1,656,838","1,669,169","1,685,015","1,695,139","1,705,511","1,708,999"
.15 to 44 years,"888,286","888,008","882,800","877,882","874,127","869,791","867,896","866,063","863,480","861,979","856,504","854,846","855,096"
.,,,,,,,,,,,,,
.Median age (years),37.1,37.2,37.5,37.8,38.0,38.2,38.4,38.6,38.8,38.9,39.1,39.3,39.3
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Kentucky: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-21)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
