table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Illinois: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.25 to 44 years,"3,795,698","3,787,941","3,756,180","3,720,108","3,675,421","3,634,054","3,595,524","3,572,420","3,552,188","3,537,433","3,517,245","3,501,847","3,502,756"
.45 to 64 years,"2,667,553","2,683,910","2,757,133","2,834,615","2,908,431","2,979,461","3,056,388","3,128,230","3,189,720","3,240,921","3,300,115","3,344,086","3,352,446"
.65 years and over,"1,500,161","1,500,654","1,501,002","1,498,943","1,505,543","1,511,319","1,517,317","1,523,353","1,542,384","1,569,517","1,592,006","1,609,213","1,614,730"
.,,,,,,,,,,,,,
.16 years and over,"9,530,837","9,546,259","9,603,573","9,649,430","9,689,384","9,738,630","9,780,232","9,839,911","9,906,970","9,970,319","10,031,398","10,072,849","10,085,895"
.18 years and over,"9,174,338","9,189,217","9,244,828","9,287,194","9,330,459","9,378,174","9,412,585","9,462,709","9,525,732","9,593,637","9,658,372","9,701,453","9,716,603"
.15 to 44 years,"5,540,591","5,540,971","5,524,334","5,493,049","5,456,682","5,432,451","5,397,560","5,376,939","5,360,849","5,345,043","5,323,094","5,302,903","5,302,056"
.,,,,,,,,,,,,,
.Median age (years),34.7,34.7,34.9,35.1,35.3,35.4,35.7,35.9,36.1,36.3,36.5,36.6,36.6
MALE,"6,080,643","6,088,884","6,118,002","6,137,659","6,153,147","6,175,564","6,186,072","6,203,933","6,228,289","6,253,501","6,276,055","6,292,276","6,299,799"
.Under 5 years,"447,946","447,281","446,333","445,741","445,355","445,259","442,699","436,340","434,686","432,158","428,430","425,893","425,427"
.5 to 9 years,"476,200","473,486","466,792","458,034","449,053","441,115","433,859","432,746","433,174","434,399","437,254","438,556","438,824"
.10 to 14 years,"462,935","464,675","470,908","476,398","478,322","476,921","473,075","467,938","461,889","456,320","452,140","449,160","449,017"
.15 to 19 years,"462,553","465,393","465,200","463,262","463,364","468,246","471,806","475,323","478,022","479,091","476,519","473,736","471,564"
.20 to 24 years,"434,990","436,995","443,839","447,211","450,472","457,173","453,595","452,086","450,322","448,311","447,564","447,513","448,854"
.25 to 29 years,"451,191","448,493","438,094","432,783","430,703","432,643","437,507","445,687","450,353","457,001","459,187","456,887","458,206"
.30 to 34 years,"463,280","463,249","464,909","465,021","459,817","450,964","438,795","429,108","425,658","425,636","429,092","433,782","436,285"
.35 to 39 years,"496,458","494,563","483,500","471,247","459,961","450,439","447,535","448,168","447,670","443,154","434,765","426,476","424,209"
.40 to 44 years,"488,644","489,472","494,116","493,648","489,999","486,070","476,681","465,428","453,514","443,341","434,796","432,756","432,588"
.45 to 49 years,"430,155","432,205","440,608","450,261","458,797","465,474","471,149","475,339","474,963","472,034","469,227","463,423","461,833"
.50 to 54 years,"367,451","370,935","389,849","390,501","396,751","405,133","414,128","422,184","432,359","442,161","450,526","455,953","456,908"
.55 to 59 years,"278,249","279,918","285,724","306,029","316,817","330,198","348,751","366,500","367,365","375,209","384,729","392,322","394,307"
.60 to 64 years,"218,914","219,856","223,317","230,644","241,245","248,476","253,941","259,204","279,088","290,220","304,478","318,903","321,784"
.65 to 69 years,"180,949","180,469","180,585","182,095","186,314","190,601","192,586","195,347","202,844","213,062","220,766","225,894","227,266"
.70 to 74 years,"162,818","162,737","161,164","158,320","155,480","152,876","152,160","152,414","154,084","157,850","161,814","163,405","164,221"
.75 to 79 years,"127,189","127,478","128,062","128,269","128,800","128,269","128,452","127,262","125,966","123,871","122,312","122,706","122,759"
.80 to 84 years,"77,737","78,370","80,654","82,888","84,771","86,963","88,696","89,680","90,580","91,303","91,462","92,019","92,248"
.85 years and over,"52,984","53,309","54,348","55,307","57,126","58,744","60,657","63,179","65,752","68,380","70,994","72,892","73,499"
.,,,,,,,,,,,,,
.Under 18 years,"1,662,506","1,662,242","1,661,010","1,657,597","1,650,421","1,643,551","1,636,559","1,627,254","1,620,431","1,611,516","1,603,301","1,598,359","1,596,984"
.Under 5 years,"447,946","447,281","446,333","445,741","445,355","445,259","442,699","436,340","434,686","432,158","428,430","425,893","425,427"
.5 to 13 years,"848,039","847,385","847,707","841,834","833,363","821,171","810,973","806,680","801,107","798,233","796,273","796,000","796,774"
.14 to 17 years,"366,521","367,576","366,970","370,022","371,703","377,121","382,887","384,234","384,638","381,125","378,598","376,466","374,783"
.18 to 64 years,"3,816,460","3,824,279","3,852,179","3,873,183","3,890,235","3,914,560","3,926,962","3,948,797","3,968,632","3,987,519","4,005,406","4,017,001","4,022,822"
.18 to 24 years,"622,118","625,588","632,062","633,049","636,145","645,163","638,475","637,179","637,662","638,763","638,606","636,499","636,702"
.25 to 44 years,"1,899,573","1,895,777","1,880,619","1,862,699","1,840,480","1,820,116","1,800,518","1,788,391","1,777,195","1,769,132","1,757,840","1,749,901","1,751,288"
.45 to 64 years,"1,294,769","1,302,914","1,339,498","1,377,435","1,413,610","1,449,281","1,487,969","1,523,227","1,553,775","1,579,624","1,608,960","1,630,601","1,634,832"
.65 years and over,"601,677","602,363","604,813","606,879","612,491","617,453","622,551","627,882","639,226","654,466","667,348","676,916","679,993"
.,,,,,,,,,,,,,
.16 years and over,"4,602,148","4,611,088","4,642,534","4,666,718","4,687,242","4,717,787","4,739,002","4,770,223","4,803,581","4,835,603","4,864,532","4,884,648","4,892,514"
.18 years and over,"4,418,137","4,426,642","4,456,992","4,480,062","4,502,726","4,532,013","4,549,513","4,576,679","4,607,858","4,641,985","4,672,754","4,693,917","4,702,815"
.15 to 44 years,"2,797,116","2,798,165","2,789,658","2,773,172","2,754,316","2,745,535","2,725,919","2,715,800","2,705,539","2,696,534","2,681,923","2,671,150","2,671,706"
.,,,,,,,,,,,,,
.Median age (years),33.3,33.3,33.5,33.7,33.9,34.1,34.4,34.6,34.8,34.9,35.1,35.2,35.3
FEMALE,"6,339,284","6,345,277","6,370,443","6,387,897","6,402,859","6,414,209","6,423,831","6,440,022","6,467,577","6,493,537","6,520,723","6,538,356","6,543,367"
.Under 5 years,"428,643","428,104","427,606","427,020","426,475","426,372","423,007","417,442","416,641","415,505","411,845","409,684","409,342"
.5 to 9 years,"453,695","451,083","444,924","437,231","429,594","421,225","415,659","415,234","416,022","417,143","420,106","420,849","421,094"
.10 to 14 years,"442,203","443,997","449,413","454,525","456,551","455,650","450,339","445,733","440,501","436,032","431,788","430,288","430,230"
.15 to 19 years,"431,473","432,328","432,014","431,978","432,588","436,926","442,469","446,264","450,355","451,974","451,682","448,356","446,213"
.20 to 24 years,"415,877","418,314","427,101","430,490","434,837","436,052","434,166","430,846","429,962","428,234","430,084","431,451","432,669"
.25 to 29 years,"440,598","437,885","426,634","422,350","420,611","423,064","428,576","439,604","445,735","453,257","455,510","453,386","453,399"
.30 to 34 years,"456,681","456,542","458,828","458,494","453,238","444,974","433,781","423,430","420,791","421,577","426,680","431,902","434,311"
.35 to 39 years,"500,471","498,419","486,187","473,328","461,777","450,999","446,753","448,206","447,946","443,546","436,665","429,314","426,747"
.40 to 44 years,"498,375","499,318","503,912","503,237","499,315","494,901","485,896","472,789","460,521","449,921","440,550","437,344","437,011"
.45 to 49 years,"443,681","445,766","454,016","464,469","473,391","479,267","484,963","488,810","488,062","484,652","482,302","476,671","474,728"
.50 to 54 years,"385,518","389,205","409,003","408,276","414,608","422,687","431,996","440,730","451,820","461,740","469,093","474,832","475,754"
.55 to 59 years,"299,557","301,216","306,422","327,950","338,436","352,830","371,410","390,226","389,679","397,862","407,665","415,456","417,422"
.60 to 64 years,"244,028","244,809","248,194","256,485","268,386","275,396","280,050","285,237","306,384","317,043","332,095","346,526","349,710"
.65 to 69 years,"216,535","215,707","214,411","213,820","217,286","221,730","224,406","227,276","235,365","246,686","254,304","259,166","260,581"
.70 to 74 years,"212,036","211,376","208,613","204,117","200,215","196,421","193,202","191,363","191,444","194,393","198,717","201,070","201,842"
.75 to 79 years,"189,791","189,897","188,649","186,943","185,638","182,202","180,607","178,467","174,890","171,259","168,047","166,679","166,395"
.80 to 84 years,"141,070","141,769","143,741","145,601","146,796","148,610","149,162","147,972","147,285","145,995","143,774","143,362","143,165"
.85 years and over,"139,052","139,542","140,775","141,583","143,117","144,903","147,389","150,393","154,174","156,718","159,816","162,020","162,754"
.,,,,,,,,,,,,,
.Under 18 years,"1,583,083","1,582,702","1,582,607","1,580,765","1,575,126","1,568,048","1,560,759","1,553,992","1,549,703","1,541,885","1,535,105","1,530,820","1,529,579"
.Under 5 years,"428,643","428,104","427,606","427,020","426,475","426,372","423,007","417,442","416,641","415,505","411,845","409,684","409,342"
.5 to 13 years,"808,656","807,984","808,376","804,087","796,519","783,804","774,830","770,952","767,566","764,536","764,177","763,643","764,352"
.14 to 17 years,"345,784","346,614","346,625","349,658","352,132","357,872","362,922","365,598","365,496","361,844","359,083","357,493","355,885"
.18 to 64 years,"3,857,717","3,864,284","3,891,647","3,915,068","3,934,681","3,952,295","3,968,306","3,990,559","4,014,716","4,036,601","4,060,960","4,075,239","4,079,051"
.18 to 24 years,"588,808","591,124","598,451","600,479","604,919","608,177","604,881","601,527","603,778","607,003","610,400","609,808","609,969"
.25 to 44 years,"1,896,125","1,892,164","1,875,561","1,857,409","1,834,941","1,813,938","1,795,006","1,784,029","1,774,993","1,768,301","1,759,405","1,751,946","1,751,468"
.45 to 64 years,"1,372,784","1,380,996","1,417,635","1,457,180","1,494,821","1,530,180","1,568,419","1,605,003","1,635,945","1,661,297","1,691,155","1,713,485","1,717,614"
.65 years and over,"898,484","898,291","896,189","892,064","893,052","893,866","894,766","895,471","903,158","915,051","924,658","932,297","934,737"
.,,,,,,,,,,,,,
.16 years and over,"4,928,689","4,935,171","4,961,039","4,982,712","5,002,142","5,020,843","5,041,230","5,069,688","5,103,389","5,134,716","5,166,866","5,188,201","5,193,381"
.18 years and over,"4,756,201","4,762,575","4,787,836","4,807,132","4,827,733","4,846,161","4,863,072","4,886,030","4,917,874","4,951,652","4,985,618","5,007,536","5,013,788"
.15 to 44 years,"2,743,475","2,742,806","2,734,676","2,719,877","2,702,366","2,686,916","2,671,641","2,661,139","2,655,310","2,648,509","2,641,171","2,631,753","2,630,350"
.,,,,,,,,,,,,,
.Median age (years),36.0,36.1,36.3,36.5,36.7,36.8,37.0,37.2,37.4,37.6,37.8,37.9,37.9
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Illinois: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-17)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
