table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New Mexico: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.14 to 17 years,"57,924","57,946","57,965","58,246","58,293","58,845","59,200","59,408","59,143","58,363","57,358","57,016","56,903"
.18 to 64 years,"556,352","556,955","561,690","571,393","580,269","590,201","599,888","610,388","619,279","625,299","631,886","637,764","639,889"
.18 to 24 years,"87,510","87,710","90,087","92,916","95,270","97,110","97,365","97,165","97,411","97,939","98,827","99,267","99,516"
.25 to 44 years,"260,404","259,770","255,267","253,887","252,703","252,796","253,370","254,269","255,206","254,277","254,832","256,122","256,471"
.45 to 64 years,"208,438","209,475","216,336","224,590","232,296","240,295","249,153","258,954","266,662","273,083","278,227","282,375","283,902"
.65 years and over,"119,022","119,564","121,737","123,693","126,029","128,293","131,639","135,330","138,687","142,413","146,586","149,651","150,260"
.,,,,,,,,,,,,,
.16 years and over,"704,273","705,356","712,525","724,461","735,681","747,890","760,956","775,770","788,341","797,649","807,813","816,594","819,215"
.18 years and over,"675,374","676,519","683,427","695,086","706,298","718,494","731,527","745,718","757,966","767,712","778,472","787,415","790,149"
.15 to 44 years,"391,351","390,954","388,896","390,724","391,745","393,951","395,135","396,505","397,586","396,611","397,211","398,587","399,103"
.,,,,,,,,,,,,,
.Median age (years),35.6,35.7,36.1,36.3,36.6,36.7,37.0,37.3,37.5,37.7,37.9,38.0,38.0
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New Mexico: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-35)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
