table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Wisconsin: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.5 to 13 years,"359,121","359,454","356,602","353,940","350,075","345,654","342,646","341,264","339,664","339,914","341,043","341,683","341,817"
.14 to 17 years,"167,544","168,072","168,756","169,920","169,265","170,294","170,586","170,240","169,181","165,685","162,575","160,516","159,804"
.18 to 64 years,"1,655,835","1,660,122","1,678,564","1,697,749","1,716,719","1,734,168","1,750,625","1,763,494","1,775,532","1,784,882","1,794,001","1,799,395","1,801,604"
.18 to 24 years,"265,666","266,999","273,249","278,764","285,149","287,556","288,424","287,615","284,914","283,014","282,351","280,019","279,948"
.25 to 44 years,"797,519","796,175","787,713","779,469","771,091","764,104","757,384","750,178","746,336","742,307","736,442","733,826","734,359"
.45 to 64 years,"592,650","596,948","617,602","639,516","660,479","682,508","704,817","725,701","744,282","759,561","775,208","785,550","787,297"
.65 years and over,"291,553","292,103","293,760","296,124","299,416","303,014","306,759","311,146","316,927","325,215","332,168","337,415","338,664"
.,,,,,,,,,,,,,
.16 years and over,"2,030,663","2,035,634","2,056,704","2,079,751","2,101,425","2,122,111","2,142,207","2,160,810","2,179,007","2,194,845","2,209,351","2,218,662","2,221,660"
.18 years and over,"1,947,388","1,952,225","1,972,324","1,993,873","2,016,135","2,037,182","2,057,384","2,074,640","2,092,459","2,110,097","2,126,169","2,136,810","2,140,268"
.15 to 44 years,"1,188,674","1,189,296","1,187,800","1,186,539","1,183,586","1,178,963","1,174,149","1,166,759","1,159,626","1,151,463","1,142,067","1,135,526","1,135,537"
.,,,,,,,,,,,,,
.Median age (years),35.0,35.0,35.3,35.5,35.7,36.0,36.2,36.5,36.8,37.0,37.2,37.3,37.3
FEMALE,"2,714,663","2,719,235","2,733,647","2,751,697","2,766,901","2,782,678","2,797,061","2,812,276","2,827,782","2,842,268","2,856,103","2,864,586","2,866,070"
.Under 5 years,"167,300","167,330","167,912","169,165","169,926","170,884","170,995","171,655","173,654","174,889","174,996","175,052","174,804"
.5 to 9 years,"184,972","184,273","181,082","178,257","176,147","175,107","174,693","176,050","177,180","178,581","180,144","180,331","180,318"
.10 to 14 years,"196,409","197,370","197,394","197,335","196,585","195,271","192,073","189,285","186,982","185,144","184,119","183,695","183,613"
.15 to 19 years,"198,409","198,870","202,690","203,176","202,376","202,116","202,198","201,480","200,688","199,320","197,064","194,406","193,427"
.20 to 24 years,"174,919","175,914","178,855","184,241","189,499","193,014","195,300","196,548","193,512","191,705","190,508","189,655","190,129"
.25 to 29 years,"163,900","162,719","157,121","155,532","156,282","158,058","160,132","164,720","171,414","176,699","180,988","182,998","183,196"
.30 to 34 years,"183,841","183,949","183,202","181,378","178,317","174,748","171,594","166,644","165,290","166,428","168,946","171,227","172,420"
.35 to 39 years,"217,588","216,676","209,919","203,867","197,177","191,171","187,474","185,820","182,761","178,604","174,051","170,709","169,421"
.40 to 44 years,"218,843","219,350","223,372","224,518","223,788","222,684","218,550","212,085","205,897","198,644","192,377","188,600","188,371"
.45 to 49 years,"197,070","198,234","203,155","207,370","212,068","215,496","219,095","222,915","224,057","223,747","222,320","219,088","218,021"
.50 to 54 years,"166,523","168,172","177,753","180,586","185,589","191,498","197,305","202,378","206,745","211,675","215,199","217,823","218,184"
.55 to 59 years,"128,381","129,224","132,361","142,629","148,311","156,230","165,625","175,094","177,971","182,924","188,695","193,034","194,042"
.60 to 64 years,"105,430","105,910","107,686","111,256","117,114","121,124","124,762","127,790","137,690","143,261","150,928","158,069","159,405"
.65 to 69 years,"96,358","96,010","95,297","95,603","96,909","99,027","100,399","102,191","105,790","111,260","115,062","117,861","118,462"
.70 to 74 years,"94,594","94,366","94,222","92,850","91,178","89,528","88,402","88,107","88,288","89,589","91,520","92,400","92,722"
.75 to 79 years,"85,560","85,649","84,978","84,894","84,825","83,941","83,919","83,886","82,653","81,198","79,773","79,071","78,793"
.80 to 84 years,"66,190","66,570","67,470","68,766","69,196","69,914","70,379","69,993","69,886","70,024","69,493","69,512","69,355"
.85 years and over,"68,376","68,649","69,178","70,274","71,614","72,867","74,166","75,635","77,324","78,576","79,920","81,055","81,387"
.,,,,,,,,,,,,,
.Under 18 years,"667,044","667,901","666,729","665,723","662,338","660,477","658,145","658,046","658,367","656,942","655,419","653,902","653,091"
.Under 5 years,"167,300","167,330","167,912","169,165","169,926","170,884","170,995","171,655","173,654","174,889","174,996","175,052","174,804"
.5 to 13 years,"341,216","341,494","338,935","336,234","333,294","329,545","326,871","326,245","325,560","325,835","326,828","327,312","327,422"
.14 to 17 years,"158,528","159,077","159,882","160,324","159,118","160,048","160,279","160,146","159,153","156,218","153,595","151,538","150,865"
.18 to 64 years,"1,636,541","1,640,090","1,655,773","1,673,587","1,690,841","1,706,924","1,721,651","1,734,418","1,745,474","1,754,679","1,764,916","1,770,785","1,772,260"
.18 to 24 years,"254,965","255,856","261,204","266,451","272,195","275,915","277,114","276,972","273,649","272,697","271,412","269,237","269,200"
.25 to 44 years,"784,172","782,694","773,614","765,295","755,564","746,661","737,750","729,269","725,362","720,375","716,362","713,534","713,408"
.45 to 64 years,"597,404","601,540","620,955","641,841","663,082","684,348","706,787","728,177","746,463","761,607","777,142","788,014","789,652"
.65 years and over,"411,078","411,244","411,145","412,387","413,722","415,277","417,265","419,812","423,941","430,647","435,768","439,899","440,719"
.,,,,,,,,,,,,,
.16 years and over,"2,126,030","2,129,877","2,146,977","2,167,253","2,184,898","2,201,873","2,218,534","2,235,342","2,250,918","2,265,240","2,279,085","2,288,245","2,290,070"
.18 years and over,"2,047,619","2,051,334","2,066,918","2,085,974","2,104,563","2,122,201","2,138,916","2,154,230","2,169,415","2,185,326","2,200,684","2,210,684","2,212,979"
.15 to 44 years,"1,157,500","1,157,478","1,155,159","1,152,712","1,147,439","1,141,791","1,135,248","1,127,297","1,119,562","1,111,400","1,103,934","1,097,595","1,096,964"
.,,,,,,,,,,,,,
.Median age (years),37.1,37.1,37.4,37.7,38.0,38.3,38.6,38.8,39.0,39.2,39.4,39.6,39.6
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Wisconsin: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-55)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
