table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Nebraska: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
.30 to 34 years,"54,549","54,605","54,937","55,464","55,779","55,520","55,611","54,987","54,833","55,109","56,287","57,015","57,524"
.35 to 39 years,"64,687","64,402","61,526","58,931","56,630","55,213","54,522","54,944","55,093","55,005","54,435","54,318","54,018"
.40 to 44 years,"66,527","66,652","67,073","67,212","66,682","66,098","64,051","61,237","58,694","56,419","55,061","54,572","54,625"
.45 to 49 years,"61,656","61,995","63,071","63,878","64,835","65,091","65,933","66,572","66,847","66,141","65,736","64,320","64,147"
.50 to 54 years,"51,481","51,956","55,318","56,312","57,976","59,584","61,250","62,141","62,990","63,952","64,332","65,025","65,171"
.55 to 59 years,"39,302","39,522","40,113","43,074","45,023","47,557","50,640","54,082","55,112","56,688","58,395","59,618","59,968"
.60 to 64 years,"33,188","33,329","33,763","34,482","35,791","36,985","37,886","38,503","41,575","43,550","46,192","48,439","48,879"
.65 to 69 years,"31,661","31,529","31,204","31,148","31,146","31,357","31,430","31,988","32,757","33,900","34,997","35,778","35,990"
.70 to 74 years,"30,974","30,880","30,620","30,297","29,886","29,155","29,003","28,904","28,839","28,978","29,210","29,184","29,307"
.75 to 79 years,"27,674","27,697","27,566","27,347","27,291","27,343","27,295","27,242","27,056","26,825","26,190","26,229","26,161"
.80 to 84 years,"21,870","22,005","22,174","22,490","22,370","22,529","22,526","22,650","22,537","22,558","22,662","22,565","22,529"
.85 years and over,"24,394","24,524","24,578","24,508","24,564","24,559","24,996","25,318","25,823","25,861","26,169","26,518","26,655"
.,,,,,,,,,,,,,
.Under 18 years,"219,850","219,926","218,877","218,525","218,437","218,723","218,997","219,322","220,428","221,169","222,788","224,072","224,240"
.Under 5 years,"57,362","57,349","57,733","58,384","59,523","60,614","61,509","62,025","62,871","63,156","63,751","64,278","64,302"
.5 to 13 years,"110,223","110,195","109,174","108,600","108,024","107,212","106,735","106,623","107,063","108,350","109,856","111,103","111,360"
.14 to 17 years,"52,265","52,382","51,970","51,541","50,890","50,897","50,753","50,674","50,494","49,663","49,181","48,691","48,578"
.18 to 64 years,"511,480","512,419","516,189","520,488","525,668","530,318","535,221","539,263","542,666","546,523","551,603","555,699","557,034"
.18 to 24 years,"85,414","85,678","87,524","88,902","90,715","91,768","92,490","92,214","90,549","90,087","89,490","89,207","89,348"
.25 to 44 years,"240,439","239,939","236,400","233,840","231,328","229,333","227,022","225,751","225,593","226,105","227,458","229,090","229,521"
.45 to 64 years,"185,627","186,802","192,265","197,746","203,625","209,217","215,709","221,298","226,524","230,331","234,655","237,402","238,165"
.65 years and over,"136,573","136,635","136,142","135,790","135,257","134,943","135,250","136,102","137,012","138,122","139,228","140,274","140,642"
.,,,,,,,,,,,,,
