Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1958",,,,,,,,,
  (Includes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
11,"3,749,985 ","1,910,419 ","1,839,566 ","3,321,305 ","1,695,490 ","1,625,815 ","428,680 ","214,929 ","213,751 "
12,"2,731,853 ","1,389,563 ","1,342,290 ","2,380,915 ","1,214,332 ","1,166,583 ","350,938 ","175,231 ","175,707 "
13,"2,754,957 ","1,400,640 ","1,354,317 ","2,397,476 ","1,222,294 ","1,175,182 ","357,481 ","178,346 ","179,135 "
14,"2,836,085 ","1,439,869 ","1,396,216 ","2,480,286 ","1,261,253 ","1,219,033 ","355,799 ","178,616 ","177,183 "
15,"2,957,721 ","1,498,982 ","1,458,739 ","2,610,004 ","1,325,250 ","1,284,754 ","347,717 ","173,732 ","173,985 "
16,"2,576,464 ","1,302,960 ","1,273,504 ","2,254,585 ","1,142,896 ","1,111,689 ","321,879 ","160,064 ","161,815 "
17,"2,415,841 ","1,218,188 ","1,197,653 ","2,108,872 ","1,066,716 ","1,042,156 ","306,969 ","151,472 ","155,497 "
18,"2,306,640 ","1,163,791 ","1,142,849 ","2,017,840 ","1,021,838 ","996,002 ","288,800 ","141,953 ","146,847 "
19,"2,244,557 ","1,131,768 ","1,112,789 ","1,967,928 ","995,601 ","972,327 ","276,629 ","136,167 ","140,462 "
20,"2,218,649 ","1,112,037 ","1,106,612 ","1,947,955 ","981,620 ","966,335 ","270,694 ","130,417 ","140,277 "
21,"2,137,506 ","1,061,622 ","1,075,884 ","1,876,867 ","939,177 ","937,690 ","260,639 ","122,445 ","138,194 "
22,"2,128,631 ","1,061,238 ","1,067,393 ","1,867,374 ","936,958 ","930,416 ","261,257 ","124,280 ","136,977 "
23,"2,190,431 ","1,098,489 ","1,091,942 ","1,925,936 ","971,481 ","954,455 ","264,495 ","127,008 ","137,487 "
24,"2,080,581 ","1,038,279 ","1,042,302 ","1,820,693 ","915,050 ","905,643 ","259,888 ","123,229 ","136,659 "
25,"2,089,151 ","1,035,853 ","1,053,298 ","1,827,902 ","912,964 ","914,938 ","261,249 ","122,889 ","138,360 "
26,"2,216,196 ","1,100,568 ","1,115,628 ","1,959,435 ","980,022 ","979,413 ","256,761 ","120,546 ","136,215 "
27,"2,335,664 ","1,168,023 ","1,167,641 ","2,076,733 ","1,046,659 ","1,030,074 ","258,931 ","121,364 ","137,567 "
28,"2,327,219 ","1,155,841 ","1,171,378 ","2,062,444 ","1,031,919 ","1,030,525 ","264,775 ","123,922 ","140,853 "
29,"2,303,935 ","1,132,804 ","1,171,131 ","2,038,373 ","1,008,894 ","1,029,479 ","265,562 ","123,910 ","141,652 "
30,"2,388,297 ","1,177,294 ","1,211,003 ","2,124,094 ","1,054,517 ","1,069,577 ","264,203 ","122,777 ","141,426 "
31,"2,429,780 ","1,200,135 ","1,229,645 ","2,160,963 ","1,075,365 ","1,085,598 ","268,817 ","124,770 ","144,047 "
32,"2,413,401 ","1,186,301 ","1,227,100 ","2,139,264 ","1,058,841 ","1,080,423 ","274,137 ","127,460 ","146,677 "
33,"2,503,250 ","1,229,016 ","1,274,234 ","2,225,384 ","1,099,265 ","1,126,119 ","277,866 ","129,751 ","148,115 "
34,"2,531,425 ","1,242,619 ","1,288,806 ","2,251,076 ","1,110,948 ","1,140,128 ","280,349 ","131,671 ","148,678 "
35,"2,468,902 ","1,207,990 ","1,260,912 ","2,188,730 ","1,075,539 ","1,113,191 ","280,172 ","132,451 ","147,721 "
36,"2,564,641 ","1,257,557 ","1,307,084 ","2,289,249 ","1,126,254 ","1,162,995 ","275,392 ","131,303 ","144,089 "
37,"2,571,791 ","1,262,745 ","1,309,046 ","2,304,747 ","1,134,393 ","1,170,354 ","267,044 ","128,352 ","138,692 "
38,"2,405,883 ","1,179,693 ","1,226,190 ","2,147,455 ","1,054,885 ","1,092,570 ","258,428 ","124,808 ","133,620 "
39,"2,340,678 ","1,147,482 ","1,193,196 ","2,091,002 ","1,026,601 ","1,064,401 ","249,676 ","120,881 ","128,795 "
40,"2,368,515 ","1,165,051 ","1,203,464 ","2,126,582 ","1,047,889 ","1,078,693 ","241,933 ","117,162 ","124,771 "
41,"2,330,882 ","1,150,591 ","1,180,291 ","2,094,271 ","1,036,547 ","1,057,724 ","236,611 ","114,044 ","122,567 "
42,"2,252,125 ","1,108,001 ","1,144,124 ","2,018,677 ","996,242 ","1,022,435 ","233,448 ","111,759 ","121,689 "
43,"2,250,438 ","1,107,031 ","1,143,407 ","2,019,704 ","996,856 ","1,022,848 ","230,734 ","110,175 ","120,559 "
44,"2,244,353 ","1,105,381 ","1,138,972 ","2,015,868 ","996,150 ","1,019,718 ","228,485 ","109,231 ","119,254 "
45,"2,214,636 ","1,090,919 ","1,123,717 ","1,989,867 ","983,130 ","1,006,737 ","224,769 ","107,789 ","116,980 "
46,"2,160,534 ","1,065,835 ","1,094,699 ","1,942,614 ","960,697 ","981,917 ","217,920 ","105,138 ","112,782 "
47,"2,109,794 ","1,040,792 ","1,069,002 ","1,900,920 ","939,241 ","961,679 ","208,874 ","101,551 ","107,323 "
48,"2,110,924 ","1,042,918 ","1,068,006 ","1,911,148 ","945,242 ","965,906 ","199,776 ","97,676 ","102,100 "
49,"2,060,911 ","1,018,952 ","1,041,959 ","1,870,453 ","925,517 ","944,936 ","190,458 ","93,435 ","97,023 "
50,"1,970,024 ","972,787 ","997,237 ","1,787,207 ","882,820 ","904,387 ","182,817 ","89,967 ","92,850 "
51,"1,903,914 ","939,657 ","964,257 ","1,725,030 ","851,345 ","873,685 ","178,884 ","88,312 ","90,572 "
52,"1,859,706 ","918,582 ","941,124 ","1,682,358 ","830,753 ","851,605 ","177,348 ","87,829 ","89,519 "
53,"1,792,438 ","886,800 ","905,638 ","1,617,397 ","799,828 ","817,569 ","175,041 ","86,972 ","88,069 "
54,"1,744,354 ","863,575 ","880,779 ","1,572,431 ","777,871 ","794,560 ","171,923 ","85,704 ","86,219 "
55,"1,704,180 ","842,551 ","861,629 ","1,536,448 ","758,735 ","777,713 ","167,732 ","83,816 ","83,916 "
56,"1,633,094 ","803,724 ","829,370 ","1,471,464 ","722,887 ","748,577 ","161,630 ","80,837 ","80,793 "
57,"1,636,568 ","803,023 ","833,545 ","1,483,184 ","726,417 ","756,767 ","153,384 ","76,606 ","76,778 "
58,"1,628,208 ","797,404 ","830,804 ","1,483,888 ","725,550 ","758,338 ","144,320 ","71,854 ","72,466 "
59,"1,533,905 ","747,243 ","786,662 ","1,398,978 ","680,381 ","718,597 ","134,927 ","66,862 ","68,065 "
60,"1,465,009 ","709,443 ","755,566 ","1,339,506 ","647,596 ","691,910 ","125,503 ","61,847 ","63,656 "
61,"1,446,114 ","697,075 ","749,039 ","1,330,410 ","640,404 ","690,006 ","115,704 ","56,671 ","59,033 "
62,"1,421,798 ","682,717 ","739,081 ","1,313,681 ","630,124 ","683,557 ","108,117 ","52,593 ","55,524 "
63,"1,372,692 ","656,234 ","716,458 ","1,268,102 ","605,734 ","662,368 ","104,590 ","50,500 ","54,090 "
64,"1,340,078 ","638,245 ","701,833 ","1,236,055 ","588,381 ","647,674 ","104,023 ","49,864 ","54,159 "
65,"1,320,412 ","626,858 ","693,554 ","1,216,705 ","577,412 ","639,293 ","103,707 ","49,446 ","54,261 "
66,"1,266,948 ","599,174 ","667,774 ","1,162,528 ","549,492 ","613,036 ","104,420 ","49,682 ","54,738 "
67,"1,188,273 ","559,801 ","628,472 ","1,084,973 ","510,555 ","574,418 ","103,300 ","49,246 ","54,054 "
68,"1,154,064 ","543,071 ","610,993 ","1,056,046 ","496,170 ","559,876 ","98,018 ","46,901 ","51,117 "
69,"1,125,536 ","529,834 ","595,702 ","1,036,061 ","486,809 ","549,252 ","89,475 ","43,025 ","46,450 "
70,"1,038,546 ","487,248 ","551,298 ","957,748 ","448,274 ","509,474 ","80,798 ","38,974 ","41,824 "
71,"955,589 ","446,046 ","509,543 ","883,671 ","411,410 ","472,261 ","71,918 ","34,636 ","37,282 "
72,"902,398 ","418,552 ","483,846 ","838,537 ","387,936 ","450,601 ","63,861 ","30,616 ","33,245 "
73,"849,766 ","391,417 ","458,349 ","791,890 ","363,770 ","428,120 ","57,876 ","27,647 ","30,229 "
74,"774,993 ","354,766 ","420,227 ","721,430 ","329,266 ","392,164 ","53,563 ","25,500 ","28,063 "
75,"693,623 ","314,867 ","378,756 ","644,410 ","291,403 ","353,007 ","49,213 ","23,464 ","25,749 "
76,"629,920 ","284,500 ","345,420 ","585,402 ","263,027 ","322,375 ","44,518 ","21,473 ","23,045 "
77,"569,887 ","256,525 ","313,362 ","530,069 ","237,022 ","293,047 ","39,818 ","19,503 ","20,315 "
78,"505,659 ","225,705 ","279,954 ","470,357 ","208,263 ","262,094 ","35,302 ","17,442 ","17,860 "
79,"446,987 ","197,323 ","249,664 ","416,092 ","182,026 ","234,066 ","30,895 ","15,297 ","15,598 "
80,"400,988 ","174,597 ","226,391 ","374,182 ","161,410 ","212,772 ","26,806 ","13,187 ","13,619 "
81,"354,724 ","152,283 ","202,441 ","331,460 ","141,111 ","190,349 ","23,264 ","11,172 ","12,092 "
82,"305,632 ","129,552 ","176,080 ","285,696 ","120,341 ","165,355 ","19,936 ","9,211 ","10,725 "
83,"254,028 ","105,766 ","148,262 ","237,764 ","98,560 ","139,204 ","16,264 ","7,206 ","9,058 "
84,"203,622 ","82,631 ","120,991 ","191,245 ","77,490 ","113,755 ","12,377 ","5,141 ","7,236 "
85+,"864,481 ","346,023 ","518,458 ","797,167 ","317,517 ","479,650 ","67,314 ","28,506 ","38,808 "
,,,,,,,,,
"Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979",,,,,,,,,
,,,,,,,,,
"The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.",,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Population Division",,,,,,,,,
"Internet Release date:  October 1, 2004",,,,,,,,,
