table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Oklahoma: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.65 to 69 years,"128,744","128,538","129,349","129,956","131,528","133,635","135,146","138,920","143,688","149,765","155,838","159,392","160,487"
.70 to 74 years,"113,729","113,679","113,241","112,699","112,617","113,121","114,256","116,032","116,537","118,030","119,952","121,075","121,791"
.75 to 79 years,"94,066","94,274","94,376","94,207","94,251","93,367","93,759","94,081","93,888","93,628","93,958","95,051","95,027"
.80 to 84 years,"62,204","62,673","64,097","65,488","66,226","67,835","67,861","68,736","68,826","69,202","68,735","69,284","69,370"
.85 years and over,"57,171","57,406","56,198","55,435","55,358","55,135","55,747","57,278","58,422","59,610","61,168","61,912","62,390"
.,,,,,,,,,,,,,
.Under 18 years,"892,361","891,847","885,218","884,961","883,959","881,606","885,316","894,761","904,328","910,617","922,711","929,666","930,415"
.Under 5 years,"236,345","235,972","237,028","240,542","242,206","243,053","246,095","249,721","254,043","257,816","262,627","264,126","264,361"
.5 to 13 years,"444,861","444,339","440,459","438,595","437,387","433,889","433,756","437,161","442,424","447,621","456,403","463,640","464,795"
.14 to 17 years,"211,155","211,536","207,731","205,824","204,366","204,664","205,465","207,879","207,861","205,180","203,681","201,900","201,259"
.18 to 64 years,"2,102,176","2,105,948","2,124,621","2,146,334","2,160,953","2,180,534","2,196,512","2,224,282","2,248,660","2,268,124","2,295,210","2,314,971","2,322,222"
.18 to 24 years,"357,068","358,278","369,614","377,519","382,018","386,493","383,690","381,715","379,930","378,846","379,849","381,186","381,691"
.25 to 44 years,"975,121","972,426","960,435","951,788","940,700","936,143","933,315","938,630","945,623","949,236","959,376","967,692","970,048"
.45 to 64 years,"769,987","775,244","794,572","817,027","838,235","857,898","879,507","903,937","923,107","940,042","955,985","966,093","970,483"
.65 years and over,"455,914","456,570","457,261","457,785","459,980","463,093","466,769","475,047","481,361","490,235","499,651","506,714","509,065"
.,,,,,,,,,,,,,
.16 years and over,"2,665,790","2,670,211","2,687,786","2,709,516","2,724,392","2,745,383","2,765,452","2,804,051","2,835,451","2,863,135","2,898,965","2,924,289","2,933,423"
.18 years and over,"2,558,090","2,562,518","2,581,882","2,604,119","2,620,933","2,643,627","2,663,281","2,699,329","2,730,021","2,758,359","2,794,861","2,821,685","2,831,287"
.15 to 44 years,"1,491,679","1,490,690","1,487,600","1,485,058","1,476,504","1,475,135","1,471,510","1,476,627","1,483,000","1,483,649","1,493,477","1,501,418","1,503,828"
.,,,,,,,,,,,,,
.Median age (years),35.5,35.6,35.7,35.8,35.9,36.0,36.1,36.2,36.2,36.3,36.3,36.2,36.3
MALE,"1,695,818","1,697,872","1,707,048","1,720,000","1,727,169","1,740,562","1,752,122","1,775,397","1,797,174","1,814,205","1,839,538","1,856,977","1,862,398"
.Under 5 years,"121,597","121,386","121,639","123,368","124,324","124,802","126,222","127,961","130,063","131,767","133,940","134,700","134,821"
.5 to 9 years,"125,130","124,385","122,221","120,534","120,405","120,435","121,461","123,988","126,819","128,413","130,787","132,918","133,222"
.10 to 14 years,"128,842","129,232","128,656","129,290","129,339","128,395","126,841","126,725","126,103","126,915","128,807","130,260","130,418"
.15 to 19 years,"139,166","139,566","139,777","138,359","135,775","134,842","134,714","135,116","136,003","136,462","136,433","135,644","135,135"
.20 to 24 years,"127,789","128,125","133,448","138,429","141,262","144,571","143,780","142,580","141,293","137,983","137,525","137,934","138,486"
.25 to 29 years,"116,957","115,920","112,913","112,394","111,321","113,930","116,299","121,667","127,434","131,188","134,296","135,908","136,642"
.30 to 34 years,"112,510","112,358","114,184","115,698","115,466","115,360","114,798","113,590","114,077","115,727","119,882","122,914","123,982"
.35 to 39 years,"129,406","128,989","124,117","119,477","114,818","112,542","111,834","114,562","116,474","116,886","117,383","117,446","116,952"
.40 to 44 years,"131,293","131,595","132,555","132,209","131,704","130,703","127,585","123,782","120,224","116,756","115,169","114,943","115,038"
.45 to 49 years,"119,064","119,770","122,241","125,338","127,243","128,051","129,462","131,457","131,504","131,803","131,631","129,816","129,561"
.50 to 54 years,"103,943","105,059","109,800","109,435","111,507","114,192","117,529","120,726","124,228","126,786","128,460","129,931","130,406"
.55 to 59 years,"83,862","84,401","85,599","91,957","95,161","98,410","102,390","107,633","107,269","109,429","112,390","114,982","115,798"
.60 to 64 years,"68,167","68,528","69,815","72,095","75,203","78,329","80,656","82,469","88,823","92,295","95,685","98,601","99,720"
.65 to 69 years,"59,477","59,421","60,173","60,587","61,647","62,738","63,543","65,319","67,501","70,459","73,552","75,279","75,800"
.70 to 74 years,"50,600","50,666","50,559","50,508","50,512","50,880","51,387","52,506","53,022","54,124","55,222","55,836","56,209"
.75 to 79 years,"39,281","39,420","39,619","39,724","39,852","39,699","40,211","40,461","40,491","40,451","40,759","41,390","41,416"
.80 to 84 years,"22,829","23,048","23,984","24,852","25,368","26,222","26,574","27,174","27,416","27,688","27,659","28,049","28,151"
.85 years and over,"15,905","16,003","15,748","15,746","16,262","16,461","16,836","17,681","18,430","19,073","19,958","20,426","20,641"
.,,,,,,,,,,,,,
.Under 18 years,"457,657","457,360","453,713","453,319","452,916","451,821","453,600","458,731","463,617","466,738","472,737","476,233","476,628"
.Under 5 years,"121,597","121,386","121,639","123,368","124,324","124,802","126,222","127,961","130,063","131,767","133,940","134,700","134,821"
.5 to 13 years,"227,431","227,152","225,138","224,383","223,869","222,172","222,431","224,244","227,169","229,790","234,124","237,709","238,291"
.14 to 17 years,"108,629","108,822","106,936","105,568","104,723","104,847","104,947","106,526","106,385","105,181","104,673","103,824","103,516"
.18 to 64 years,"1,050,069","1,051,954","1,063,252","1,075,264","1,080,612","1,092,741","1,099,971","1,113,525","1,126,697","1,135,672","1,149,651","1,159,764","1,163,553"
.18 to 24 years,"184,867","185,334","192,028","196,661","198,189","201,224","199,418","197,639","196,664","194,802","194,755","195,223","195,454"
.25 to 44 years,"490,166","488,862","483,769","479,778","473,309","472,535","470,516","473,601","478,209","480,557","486,730","491,211","492,614"
.45 to 64 years,"375,036","377,758","387,455","398,825","409,114","418,982","430,037","442,285","451,824","460,313","468,166","473,330","475,485"
.65 years and over,"188,092","188,558","190,083","191,417","193,641","196,000","198,551","203,141","206,860","211,795","217,150","220,980","222,217"
.,,,,,,,,,,,,,
.16 years and over,"1,293,657","1,296,008","1,307,997","1,320,972","1,327,536","1,340,981","1,350,865","1,370,505","1,387,544","1,401,227","1,420,238","1,433,439","1,438,260"
.18 years and over,"1,238,161","1,240,512","1,253,335","1,266,681","1,274,253","1,288,741","1,298,522","1,316,666","1,333,557","1,347,467","1,366,801","1,380,744","1,385,770"
.15 to 44 years,"757,121","756,553","756,994","756,566","750,346","751,948","749,010","751,297","755,505","755,002","760,688","764,789","766,235"
.,,,,,,,,,,,,,
.Median age (years),33.9,34.0,34.1,34.2,34.4,34.5,34.7,34.8,34.9,34.9,34.9,34.9,34.9
FEMALE,"1,754,633","1,756,493","1,760,052","1,769,080","1,777,723","1,784,671","1,796,475","1,818,693","1,837,175","1,854,771","1,878,034","1,894,374","1,899,304"
.Under 5 years,"114,748","114,586","115,389","117,174","117,882","118,251","119,873","121,760","123,980","126,049","128,687","129,426","129,540"
.5 to 9 years,"119,379","118,651","116,165","114,375","113,846","113,987","114,957","117,481","120,110","121,640","124,184","126,418","126,739"
.10 to 14 years,"123,175","123,621","123,597","124,469","124,377","123,237","121,457","120,564","119,806","120,266","122,054","123,404","123,586"
.15 to 19 years,"130,244","130,517","129,354","127,555","126,436","126,142","126,681","127,669","128,944","129,559","129,709","128,840","128,293"
.20 to 24 years,"119,359","120,056","124,586","128,927","132,331","133,437","133,020","132,632","131,137","130,409","130,434","131,308","131,866"
.25 to 29 years,"112,056","111,118","107,824","106,966","107,285","109,231","112,407","117,951","122,857","126,175","129,122","129,829","130,247"
.30 to 34 years,"110,112","110,003","110,973","112,563","113,028","112,132","111,388","110,096","109,990","111,243","114,918","118,104","119,116"
.35 to 39 years,"129,712","129,102","123,787","118,724","114,174","110,471","110,293","112,448","114,398","115,163","115,332","115,296","114,715"
.40 to 44 years,"133,075","133,341","134,082","133,757","132,904","131,774","128,711","124,534","120,169","116,098","113,274","113,252","113,356"
.45 to 49 years,"121,719","122,350","124,649","127,460","129,732","130,852","132,179","133,813","133,753","133,431","133,417","131,426","131,064"
.50 to 54 years,"108,985","110,079","114,688","113,979","115,814","118,253","121,391","124,670","128,148","131,184","132,968","134,438","134,962"
.55 to 59 years,"89,314","89,844","91,113","97,577","101,288","104,776","108,800","114,076","113,716","115,764","118,596","120,987","121,843"
.60 to 64 years,"74,933","75,213","76,667","79,186","82,287","85,035","87,100","89,093","95,666","99,350","102,838","105,912","107,129"
.65 to 69 years,"69,267","69,117","69,176","69,369","69,881","70,897","71,603","73,601","76,187","79,306","82,286","84,113","84,687"
.70 to 74 years,"63,129","63,013","62,682","62,191","62,105","62,241","62,869","63,526","63,515","63,906","64,730","65,239","65,582"
.75 to 79 years,"54,785","54,854","54,757","54,483","54,399","53,668","53,548","53,620","53,397","53,177","53,199","53,661","53,611"
.80 to 84 years,"39,375","39,625","40,113","40,636","40,858","41,613","41,287","41,562","41,410","41,514","41,076","41,235","41,219"
.85 years and over,"41,266","41,403","40,450","39,689","39,096","38,674","38,911","39,597","39,992","40,537","41,210","41,486","41,749"
.,,,,,,,,,,,,,
.Under 18 years,"434,704","434,487","431,505","431,642","431,043","429,785","431,716","436,030","440,711","443,879","449,974","453,433","453,787"
.Under 5 years,"114,748","114,586","115,389","117,174","117,882","118,251","119,873","121,760","123,980","126,049","128,687","129,426","129,540"
.5 to 13 years,"217,430","217,187","215,321","214,212","213,518","211,717","211,325","212,917","215,255","217,831","222,279","225,931","226,504"
.14 to 17 years,"102,526","102,714","100,795","100,256","99,643","99,817","100,518","101,353","101,476","99,999","99,008","98,076","97,743"
.18 to 64 years,"1,052,107","1,053,994","1,061,369","1,071,070","1,080,341","1,087,793","1,096,541","1,110,757","1,121,963","1,132,452","1,145,559","1,155,207","1,158,669"
.18 to 24 years,"172,201","172,944","177,586","180,858","183,829","185,269","184,272","184,076","183,266","184,044","185,094","185,963","186,237"
.25 to 44 years,"484,955","483,564","476,666","472,010","467,391","463,608","462,799","465,029","467,414","468,679","472,646","476,481","477,434"
.45 to 64 years,"394,951","397,486","407,117","418,202","429,121","438,916","449,470","461,652","471,283","479,729","487,819","492,763","494,998"
.65 years and over,"267,822","268,012","267,178","266,368","266,339","267,093","268,218","271,906","274,501","278,440","282,501","285,734","286,848"
.,,,,,,,,,,,,,
.16 years and over,"1,372,133","1,374,203","1,379,789","1,388,544","1,396,856","1,404,402","1,414,587","1,433,546","1,447,907","1,461,908","1,478,727","1,490,850","1,495,163"
.18 years and over,"1,319,929","1,322,006","1,328,547","1,337,438","1,346,680","1,354,886","1,364,759","1,382,663","1,396,464","1,410,892","1,428,060","1,440,941","1,445,517"
.15 to 44 years,"734,558","734,137","730,606","728,492","726,158","723,187","722,500","725,330","727,495","728,647","732,789","736,629","737,593"
.,,,,,,,,,,,,,
.Median age (years),36.9,37.0,37.2,37.4,37.5,37.6,37.6,37.6,37.6,37.7,37.7,37.7,37.7
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Oklahoma: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-40)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
