Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1950",,,,,,,,,
  (Includes Alaska and Hawaii),,,,,,,,,

Age,All races,,,White,,,Nonwhite,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,,,,,,,,
All ages,"152,271,417 ","75,849,012 ","76,422,405 ","135,983,517 ","67,848,105 ","68,135,412 ","16,287,900 ","8,000,907 ","8,286,993 "
67,"1,025,449 ","495,147 ","530,302 ","934,599 ","451,521 ","483,078 ","90,850 ","43,626 ","47,224 "
68,"959,546 ","461,084 ","498,462 ","875,240 ","420,601 ","454,639 ","84,306 ","40,483 ","43,823 "
69,"892,792 ","428,559 ","464,233 ","819,132 ","392,853 ","426,279 ","73,660 ","35,706 ","37,954 "
70,"820,399 ","393,060 ","427,339 ","756,652 ","361,779 ","394,873 ","63,747 ","31,281 ","32,466 "
71,"748,822 ","358,381 ","390,441 ","695,198 ","331,602 ","363,596 ","53,624 ","26,779 ","26,845 "
72,"678,081 ","324,064 ","354,017 ","633,012 ","301,125 ","331,887 ","45,069 ","22,939 ","22,130 "
73,"624,363 ","297,200 ","327,163 ","584,778 ","276,853 ","307,925 ","39,585 ","20,347 ","19,238 "
74,"572,323 ","270,943 ","301,380 ","536,084 ","252,337 ","283,747 ","36,239 ","18,606 ","17,633 "
75,"526,042 ","247,856 ","278,186 ","493,449 ","231,126 ","262,323 ","32,593 ","16,730 ","15,863 "
76,"475,302 ","222,753 ","252,549 ","446,334 ","207,873 ","238,461 ","28,968 ","14,880 ","14,088 "
77,"427,724 ","199,294 ","228,430 ","401,919 ","186,064 ","215,855 ","25,805 ","13,230 ","12,575 "
78,"384,529 ","177,961 ","206,568 ","361,451 ","166,196 ","195,255 ","23,078 ","11,765 ","11,313 "
79,"341,701 ","156,937 ","184,764 ","320,954 ","146,464 ","174,490 ","20,747 ","10,473 ","10,274 "
80,"301,331 ","137,185 ","164,146 ","282,559 ","127,843 ","154,716 ","18,772 ","9,342 ","9,430 "
81,"264,897 ","119,438 ","145,459 ","247,798 ","111,088 ","136,710 ","17,099 ","8,350 ","8,749 "
82,"228,777 ","101,931 ","126,846 ","213,082 ","94,446 ","118,636 ","15,695 ","7,485 ","8,210 "
83,"197,083 ","86,686 ","110,397 ","182,556 ","79,955 ","102,601 ","14,527 ","6,731 ","7,796 "
84,"167,401 ","72,450 ","94,951 ","153,816 ","66,378 ","87,438 ","13,585 ","6,072 ","7,513 "
85+,"589,612 ","243,031 ","346,581 ","543,662 ","223,644 ","320,018 ","45,950 ","19,387 ","26,563 "
,,,,,,,,,
"Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979",,,,,,,,,
,,,,,,,,,
"The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.",,,,,,,,,
,,,,,,,,,
"The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.",,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Population Division",,,,,,,,,
"Internet Release date:  October 1, 2004",,,,,,,,,
