table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Kansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.5 to 9 years,"100,453","100,072","99,043","97,859","97,391","97,161","97,751","98,288","100,315","101,793","102,827","103,421","103,608"
.10 to 14 years,"104,993","105,458","104,882","104,274","103,924","103,019","101,806","101,402","100,841","100,625","101,371","102,156","102,273"
.15 to 19 years,"108,046","108,517","110,075","109,478","108,598","107,976","107,972","107,310","106,922","106,523","106,113","105,362","105,006"
.20 to 24 years,"98,802","99,237","101,206","104,383","106,070","107,959","108,660","110,091","106,519","107,140","105,457","105,450","105,844"
.25 to 29 years,"89,064","88,445","85,560","84,148","83,033","83,866","83,500","87,740","91,589","96,084","98,598","101,077","101,579"
.30 to 34 years,"89,641","89,666","90,091","90,833","90,439","89,462","87,916","87,158","86,642","87,916","90,090","91,335","92,063"
.35 to 39 years,"103,946","103,428","99,595","95,051","91,003","88,622","88,053","88,636","89,151","89,251","88,210","87,100","86,678"
.40 to 44 years,"106,406","106,656","106,633","105,529","104,197","103,286","100,628","97,183","93,261","90,278","88,001","87,760","87,843"
.45 to 49 years,"96,557","97,165","99,276","101,803","103,193","103,469","103,547","103,686","103,081","102,148","101,876","100,199","99,977"
.50 to 54 years,"81,132","81,954","86,611","87,188","89,223","91,706","94,618","96,373","98,833","100,096","100,700","101,040","101,381"
.55 to 59 years,"59,531","59,949","61,680","67,101","70,182","73,922","78,553","83,061","83,884","86,002","88,342","90,190","90,789"
.60 to 64 years,"47,580","47,833","48,471","49,899","52,513","54,268","56,128","57,853","63,397","66,301","70,184","73,498","74,182"
.65 to 69 years,"41,658","41,523","41,634","41,617","42,060","43,042","43,428","44,173","45,453","47,939","49,809","51,267","51,586"
.70 to 74 years,"38,313","38,299","37,810","37,286","36,652","36,157","36,194","36,340","36,579","36,959","37,796","38,113","38,310"
.75 to 79 years,"31,360","31,442","31,454","31,586","31,817","31,542","31,337","31,124","30,835","30,450","30,033","30,202","30,175"
.80 to 84 years,"19,603","19,775","20,474","21,077","21,463","22,295","22,673","22,922","22,957","23,145","23,039","23,029","23,077"
.85 years and over,"14,612","14,722","14,782","14,912","15,312","15,650","16,312","17,040","17,825","18,265","18,844","19,321","19,495"
.,,,,,,,,,,,,,
.Under 18 years,"366,332","366,732","365,288","364,399","363,693","362,137","361,796","361,984","364,696","366,579","369,836","372,629","372,775"
.Under 5 years,"97,030","97,040","96,919","97,613","98,519","98,575","98,265","98,459","99,996","101,598","103,275","104,888","104,856"
.5 to 13 years,"184,073","184,214","182,713","181,454","180,283","178,622","178,997","179,131","180,723","182,237","183,878","185,385","185,794"
.14 to 17 years,"85,229","85,478","85,656","85,332","84,891","84,940","84,534","84,394","83,977","82,744","82,683","82,356","82,125"
.18 to 64 years,"816,849","818,688","824,754","830,760","834,592","841,154","845,601","855,256","859,735","869,176","875,208","880,847","883,304"
.18 to 24 years,"142,992","143,592","146,837","149,208","150,809","152,553","152,658","153,566","149,897","151,100","149,207","148,648","148,812"
.25 to 44 years,"389,057","388,195","381,879","375,561","368,672","365,236","360,097","360,717","360,643","363,529","364,899","367,272","368,163"
.45 to 64 years,"284,800","286,901","296,038","305,991","315,111","323,365","332,846","340,973","349,195","354,547","361,102","364,927","366,329"
.65 years and over,"145,546","145,761","146,154","146,478","147,304","148,686","149,944","151,599","153,649","156,758","159,521","161,932","162,643"
.,,,,,,,,,,,,,
.16 years and over,"1,004,860","1,006,976","1,013,944","1,020,692","1,024,938","1,032,145","1,037,894","1,050,069","1,056,211","1,067,933","1,076,688","1,084,540","1,087,540"
.18 years and over,"962,395","964,449","970,908","977,238","981,896","989,840","995,545","1,006,855","1,013,384","1,025,934","1,034,729","1,042,779","1,045,947"
.15 to 44 years,"595,905","595,949","593,160","589,422","583,340","581,171","576,729","578,118","574,084","577,192","576,469","578,084","579,013"
.,,,,,,,,,,,,,
.Median age (years),33.7,33.7,33.9,34.0,34.2,34.4,34.6,34.7,34.8,34.7,34.7,34.7,34.7
FEMALE,"1,360,198","1,362,500","1,365,966","1,371,898","1,377,415","1,382,396","1,387,958","1,394,092","1,405,705","1,415,563","1,428,139","1,437,710","1,440,447"
.Under 5 years,"91,712","91,741","91,670","92,884","93,665","94,175","94,732","94,748","96,245","97,888","99,492","100,604","100,605"
.5 to 9 years,"95,156","94,779","93,846","92,520","91,844","92,005","92,065","93,045","95,035","96,521","97,817","99,026","99,202"
.10 to 14 years,"99,046","99,510","99,139","98,801","98,619","97,212","95,768","95,496","94,860","94,930","96,242","96,728","96,850"
.15 to 19 years,"102,098","102,454","103,051","102,541","101,716","101,185","101,110","100,353","100,563","99,823","99,129","98,459","98,088"
.20 to 24 years,"91,437","91,953","93,943","97,416","100,429","102,405","103,199","102,516","100,468","100,164","99,024","99,004","99,377"
.25 to 29 years,"83,967","83,385","80,920","80,564","80,009","80,710","81,791","84,961","89,290","92,649","95,594","96,706","96,922"
.30 to 34 years,"86,285","86,356","86,916","87,269","87,629","86,685","85,316","83,278","83,766","84,239","86,674","88,602","89,325"
.35 to 39 years,"103,630","103,211","98,796","94,649","90,067","87,016","86,296","87,122","87,104","87,348","85,967","85,288","84,817"
.40 to 44 years,"106,424","106,678","107,376","106,856","106,239","104,941","102,068","97,629","93,824","89,445","87,182","86,525","86,581"
.45 to 49 years,"96,146","96,702","99,189","101,412","103,117","103,691","104,618","105,264","105,160","104,483","103,634","101,631","101,322"
.50 to 54 years,"80,363","81,165","85,832","86,525","88,731","91,944","95,015","97,327","99,835","101,686","102,477","103,394","103,738"
.55 to 59 years,"62,128","62,522","63,518","68,761","72,027","75,221","79,227","83,899","84,660","86,796","90,100","92,322","92,924"
.60 to 64 years,"51,056","51,277","52,321","53,794","55,989","58,146","59,712","60,645","66,032","69,024","72,225","75,237","75,948"
.65 to 69 years,"48,458","48,249","47,615","47,174","47,413","47,840","48,398","49,538","51,040","53,043","55,113","56,488","56,811"
.70 to 74 years,"47,526","47,372","46,854","46,096","45,373","44,721","44,107","43,625","43,330","43,591","44,162","44,521","44,713"
.75 to 79 years,"43,780","43,811","43,206","42,442","42,264","41,728","41,504","41,249","40,639","40,086","39,623","39,264","39,160"
.80 to 84 years,"33,826","34,008","34,512","35,079","35,055","35,289","35,108","34,818","34,619","34,348","33,842","33,914","33,866"
.85 years and over,"37,160","37,327","37,262","37,115","37,229","37,482","37,924","38,579","39,235","39,499","39,842","39,997","40,198"
.,,,,,,,,,,,,,
.Under 18 years,"346,760","347,155","345,635","345,017","344,154","343,319","342,893","343,293","346,309","348,110","352,005","354,310","354,464"
.Under 5 years,"91,712","91,741","91,670","92,884","93,665","94,175","94,732","94,748","96,245","97,888","99,492","100,604","100,605"
.5 to 13 years,"174,176","174,273","173,058","171,690","170,511","168,783","168,446","168,782","170,715","172,633","174,887","176,427","176,806"
.14 to 17 years,"80,872","81,141","80,907","80,443","79,978","80,361","79,715","79,763","79,349","77,589","77,626","77,279","77,053"
.18 to 64 years,"802,688","804,578","810,882","818,975","825,927","832,017","838,024","842,990","850,533","856,886","863,552","869,216","871,235"
.18 to 24 years,"132,689","133,282","136,014","139,145","142,119","143,663","143,981","142,865","140,862","141,216","139,699","139,511","139,658"
.25 to 44 years,"380,306","379,630","374,008","369,338","363,944","359,352","355,471","352,990","353,984","353,681","355,417","357,121","357,645"
.45 to 64 years,"289,693","291,666","300,860","310,492","319,864","329,002","338,572","347,135","355,687","361,989","368,436","372,584","373,932"
.65 years and over,"210,750","210,767","209,449","207,906","207,334","207,060","207,041","207,809","208,863","210,567","212,582","214,184","214,748"
.,,,,,,,,,,,,,
.16 years and over,"1,054,039","1,055,998","1,061,278","1,067,683","1,073,520","1,078,951","1,084,873","1,091,285","1,099,567","1,106,926","1,115,443","1,122,060","1,124,473"
.18 years and over,"1,013,438","1,015,345","1,020,331","1,026,881","1,033,261","1,039,077","1,045,065","1,050,799","1,059,396","1,067,453","1,076,134","1,083,400","1,085,983"
.15 to 44 years,"573,841","574,037","571,002","569,295","566,089","562,942","559,780","555,859","555,015","553,668","553,570","554,584","555,110"
.,,,,,,,,,,,,,
.Median age (years),36.5,36.6,36.8,37.0,37.1,37.2,37.3,37.3,37.4,37.4,37.4,37.4,37.4
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Kansas: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-20)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
