table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Pennsylvania: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.65 to 69 years,"218,117","217,383","214,709","213,139","215,126","218,129","220,260","224,177","231,271","244,339","252,976","258,653","260,179"
.70 to 74 years,"211,376","211,186","207,167","202,628","196,449","191,100","187,589","185,923","185,043","186,908","190,401","192,187","193,133"
.75 to 79 years,"169,078","169,345","169,767","170,502","171,770","169,877","168,106","165,971","163,030","158,621","155,170","153,890","153,855"
.80 to 84 years,"103,300","104,075","107,998","111,391","113,085","115,823","117,988","119,150","120,536","122,156","121,387","120,931","121,121"
.85 years and over,"65,648","65,995","67,359","69,343","72,401","74,226","77,846","82,492","86,420","89,189","92,632","95,396","96,152"
.,,,,,,,,,,,,,
.Under 18 years,"1,499,435","1,497,730","1,490,457","1,484,262","1,477,669","1,472,151","1,465,123","1,460,189","1,454,145","1,444,171","1,435,686","1,429,451","1,426,870"
.Under 5 years,"372,428","371,438","368,115","366,746","366,686","368,364","368,365","368,582","371,408","372,633","373,448","373,216","372,463"
.5 to 13 years,"779,719","778,591","771,833","762,442","751,682","738,246","727,278","721,474","714,701","709,899","707,339","705,801","705,715"
.14 to 17 years,"347,288","347,701","350,509","355,074","359,301","365,541","369,480","370,133","368,036","361,639","354,899","350,434","348,692"
.18 to 64 years,"3,662,401","3,666,460","3,687,118","3,715,934","3,750,264","3,778,667","3,808,025","3,843,595","3,871,405","3,893,606","3,921,582","3,939,855","3,943,648"
.18 to 24 years,"547,285","550,200","561,739","572,907","586,137","593,694","599,483","609,193","616,151","624,376","633,955","637,702","637,409"
.25 to 44 years,"1,737,849","1,730,992","1,701,380","1,676,265","1,655,269","1,634,923","1,617,146","1,602,570","1,590,761","1,580,306","1,567,865","1,559,111","1,559,388"
.45 to 64 years,"1,377,267","1,385,268","1,423,999","1,466,762","1,508,858","1,550,050","1,591,396","1,631,832","1,664,493","1,688,924","1,719,762","1,743,042","1,746,851"
.65 years and over,"767,519","767,984","767,000","767,003","768,831","769,155","771,789","777,713","786,300","801,213","812,566","821,057","824,440"
.,,,,,,,,,,,,,
.16 years and over,"4,602,939","4,607,437","4,628,316","4,660,207","4,698,083","4,728,521","4,763,427","4,809,458","4,846,928","4,880,139","4,916,271","4,941,116","4,947,207"
.18 years and over,"4,429,920","4,434,444","4,454,118","4,482,937","4,519,095","4,547,822","4,579,814","4,621,308","4,657,705","4,694,819","4,734,148","4,760,912","4,768,088"
.15 to 44 years,"2,544,336","2,541,215","2,525,450","2,515,278","2,510,060","2,500,808","2,494,536","2,492,646","2,486,592","2,479,713","2,471,839","2,463,462","2,462,336"
.,,,,,,,,,,,,,
.Median age (years),36.5,36.6,36.9,37.2,37.4,37.5,37.7,37.9,38.1,38.3,38.5,38.7,38.7
FEMALE,"6,351,193","6,351,999","6,354,395","6,363,832","6,377,894","6,390,749","6,405,053","6,429,312","6,452,087","6,473,295","6,497,024","6,512,016","6,514,672"
.Under 5 years,"355,343","354,531","352,086","350,954","352,042","353,962","353,800","352,893","355,313","356,998","356,776","356,322","355,702"
.5 to 9 years,"403,684","401,119","392,201","383,003","374,469","368,188","364,332","364,931","365,099","366,925","369,023","369,276","369,127"
.10 to 14 years,"420,236","421,440","425,123","426,922","426,421","422,712","415,043","408,520","400,762","393,652","388,570","385,924","385,520"
.15 to 19 years,"417,282","417,507","420,248","424,331","428,741","435,288","442,830","447,977","451,031","450,765","448,436","442,601","440,248"
.20 to 24 years,"373,193","375,951","385,205","392,907","398,260","400,377","402,848","407,502","411,691","415,994","424,896","432,260","433,272"
.25 to 29 years,"366,400","363,205","348,997","345,422","350,133","358,566","367,897","376,139","382,492","386,943","388,156","388,958","389,160"
.30 to 34 years,"417,258","416,104","410,964","403,137","393,635","381,020","367,353","354,679","349,904","353,354","359,858","364,911","367,243"
.35 to 39 years,"482,589","479,874","466,607","453,532","441,287","429,856","422,671","420,863","415,263","405,884","394,120","384,115","381,060"
.40 to 44 years,"504,349","504,828","507,210","503,394","496,459","490,179","482,097","470,673","458,892","447,314","436,145","429,693","429,072"
.45 to 49 years,"459,815","461,812","471,078","481,749","491,182","497,868","501,657","504,683","501,746","495,755","490,652","485,220","482,852"
.50 to 54 years,"406,597","410,175","430,523","428,614","435,014","445,508","456,644","467,085","478,516","488,792","496,700","500,352","501,097"
.55 to 59 years,"322,388","324,025","328,214","354,066","366,082","381,602","401,547","422,614","421,415","428,995","440,195","448,846","450,955"
.60 to 64 years,"270,452","271,244","274,035","281,075","295,216","304,639","311,119","315,517","341,414","353,725","369,415","385,288","388,686"
.65 to 69 years,"262,524","261,300","255,703","252,434","253,071","255,089","254,457","257,550","264,836","278,711","288,533","294,349","295,920"
.70 to 74 years,"277,229","276,181","269,977","262,782","252,965","244,044","238,322","233,851","231,171","231,578","234,130","234,349","235,243"
.75 to 79 years,"253,230","253,114","251,498","249,007","247,940","242,785","238,292","233,375","227,870","219,185","211,613","208,442","207,970"
.80 to 84 years,"186,704","187,402","190,608","194,159","194,924","196,805","197,345","197,888","196,538","196,447","192,999","190,830","190,404"
.85 years and over,"171,920","172,187","174,118","176,344","180,053","182,261","186,799","192,572","198,134","202,278","206,807","210,280","211,141"
.,,,,,,,,,,,,,
.Under 18 years,"1,422,610","1,421,120","1,415,379","1,410,673","1,405,601","1,400,974","1,394,670","1,390,589","1,385,429","1,376,833","1,369,243","1,362,704","1,360,376"
.Under 5 years,"355,343","354,531","352,086","350,954","352,042","353,962","353,800","352,893","355,313","356,998","356,776","356,322","355,702"
.5 to 13 years,"740,834","739,694","734,064","725,663","715,170","702,392","693,076","688,371","682,512","678,789","677,343","675,899","675,852"
.14 to 17 years,"326,433","326,895","329,229","334,056","338,389","344,620","347,794","349,325","347,604","341,046","335,124","330,483","328,822"
.18 to 64 years,"3,776,976","3,780,695","3,797,112","3,818,433","3,843,340","3,868,791","3,895,168","3,923,487","3,948,109","3,968,263","3,993,699","4,011,062","4,013,618"
.18 to 24 years,"547,128","549,428","559,484","567,444","574,332","579,553","584,183","591,234","598,467","607,501","618,458","623,679","623,493"
.25 to 44 years,"1,770,596","1,764,011","1,733,778","1,705,485","1,681,514","1,659,621","1,640,018","1,622,354","1,606,551","1,593,495","1,578,279","1,567,677","1,566,535"
.45 to 64 years,"1,459,252","1,467,256","1,503,850","1,545,504","1,587,494","1,629,617","1,670,967","1,709,899","1,743,091","1,767,267","1,796,962","1,819,706","1,823,590"
.65 years and over,"1,151,607","1,150,184","1,141,904","1,134,726","1,128,953","1,120,984","1,115,215","1,115,236","1,118,549","1,128,199","1,134,082","1,138,250","1,140,678"
.,,,,,,,,,,,,,
.16 years and over,"5,090,661","5,092,895","5,101,860","5,119,260","5,140,266","5,159,581","5,182,721","5,215,922","5,245,012","5,271,477","5,299,958","5,319,183","5,323,063"
.18 years and over,"4,928,583","4,930,879","4,939,016","4,953,159","4,972,293","4,989,775","5,010,383","5,038,723","5,066,658","5,096,462","5,127,781","5,149,312","5,154,296"
.15 to 44 years,"2,561,071","2,557,469","2,539,231","2,522,723","2,508,515","2,495,286","2,485,696","2,477,833","2,469,273","2,460,254","2,451,611","2,442,538","2,440,055"
.,,,,,,,,,,,,,
.Median age (years),39.4,39.5,39.8,40.0,40.3,40.5,40.7,40.9,41.1,41.3,41.4,41.5,41.6
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Pennsylvania: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-42)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
