table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Ohio: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.40 to 44 years,"454,212","454,684","455,594","450,602","443,440","437,463","427,944","415,167","402,670","391,173","381,670","377,896","377,122"
.45 to 49 years,"411,064","413,069","420,417","428,993","437,089","442,127","443,568","444,684","440,107","433,069","427,074","420,425","418,322"
.50 to 54 years,"357,936","361,363","380,346","378,573","384,006","390,775","400,045","408,018","417,219","426,440","432,631","434,740","435,121"
.55 to 59 years,"265,937","267,670","272,036","295,287","307,538","324,984","344,403","362,991","362,170","368,421","375,774","383,440","385,144"
.60 to 64 years,"214,657","215,688","219,010","226,155","236,949","242,796","248,024","252,692","275,557","287,845","305,566","320,421","323,072"
.65 to 69 years,"183,740","183,367","182,664","183,355","187,022","191,024","192,026","195,816","203,256","213,417","219,259","223,797","225,033"
.70 to 74 years,"169,097","169,197","167,756","164,458","160,969","157,645","156,849","157,121","158,135","161,744","165,980","167,142","167,908"
.75 to 79 years,"130,363","130,758","131,665","133,382","134,342","133,604","133,340","132,706","130,895","128,409","126,444","126,706","126,515"
.80 to 84 years,"77,230","77,947","80,771","83,672","85,762","88,050","89,808","91,648","93,382","94,846","95,105","95,450","95,572"
.85 years and over,"48,174","48,550","49,695","51,240","53,634","55,533","58,019","61,197","64,402","67,296","70,247","72,346","72,896"
.,,,,,,,,,,,,,
.Under 18 years,"1,477,932","1,476,932","1,473,095","1,466,710","1,458,427","1,451,153","1,443,023","1,434,818","1,427,444","1,415,819","1,404,555","1,395,910","1,392,401"
.Under 5 years,"385,236","384,377","382,768","380,687","378,981","378,438","375,691","371,857","372,508","371,408","368,807","367,479","366,546"
.5 to 13 years,"756,818","756,069","753,741","746,827","739,474","729,097","720,088","714,649","708,787","704,635","702,067","698,312","697,616"
.14 to 17 years,"335,878","336,486","336,586","339,196","339,972","343,618","347,244","348,312","346,149","339,776","333,681","330,119","328,239"
.18 to 64 years,"3,425,836","3,431,367","3,448,067","3,465,687","3,486,097","3,500,831","3,513,552","3,524,840","3,531,989","3,537,266","3,545,288","3,550,805","3,552,507"
.18 to 24 years,"528,988","532,372","541,377","547,734","554,611","554,453","550,421","548,644","547,330","551,715","555,041","555,539","554,892"
.25 to 44 years,"1,647,254","1,641,205","1,614,881","1,588,945","1,565,904","1,545,696","1,527,091","1,507,811","1,489,606","1,469,776","1,449,202","1,436,240","1,435,956"
.45 to 64 years,"1,249,594","1,257,790","1,291,809","1,329,008","1,365,582","1,400,682","1,436,040","1,468,385","1,495,053","1,515,775","1,541,045","1,559,026","1,561,659"
.65 years and over,"608,604","609,819","612,551","616,107","621,729","625,856","630,042","638,488","650,070","665,712","677,035","685,441","687,924"
.,,,,,,,,,,,,,
.16 years and over,"4,200,856","4,207,695","4,228,683","4,252,588","4,277,209","4,295,928","4,315,255","4,338,875","4,358,933","4,377,185","4,393,184","4,404,397","4,407,434"
.18 years and over,"4,034,440","4,041,186","4,060,618","4,081,794","4,107,826","4,126,687","4,143,594","4,163,328","4,182,059","4,202,978","4,222,323","4,236,246","4,240,431"
.15 to 44 years,"2,426,979","2,425,294","2,409,380","2,391,237","2,374,944","2,355,473","2,338,012","2,319,568","2,299,924","2,279,851","2,257,581","2,241,417","2,239,269"
.,,,,,,,,,,,,,
.Median age (years),34.9,35.0,35.2,35.4,35.6,35.8,36.1,36.4,36.7,37.0,37.2,37.4,37.4
FEMALE,"5,840,964","5,845,425","5,853,691","5,859,385","5,868,535","5,874,411","5,876,703","5,883,067","5,890,965","5,896,594","5,902,018","5,904,348","5,903,350"
.Under 5 years,"369,708","369,027","367,741","365,500","363,019","361,342","358,240","354,684","355,501","355,425","354,561","353,377","352,590"
.5 to 9 years,"399,326","397,024","389,905","382,294","377,225","373,623","371,137","370,759","369,809","368,229","367,194","365,248","364,730"
.10 to 14 years,"402,911","404,245","407,946","410,009","410,328","407,554","401,171","395,289","388,397","383,657","380,681","378,547","377,890"
.15 to 19 years,"400,763","401,367","397,575","396,233","397,110","400,781","404,101","407,661","410,034","410,647","407,433","402,707","400,162"
.20 to 24 years,"365,214","368,216","380,173","387,731","390,866","386,744","381,326","376,193","373,170","372,936","376,614","378,914","379,685"
.25 to 29 years,"369,131","365,798","351,850","346,201","348,371","356,245","365,127","372,339","375,706","373,552","366,144","360,793","360,887"
.30 to 34 years,"393,630","392,641","391,683","387,612","380,489","369,549","356,822","342,283","335,711","336,226","342,301","347,242","349,428"
.35 to 39 years,"447,904","445,584","431,605","417,720","404,929","394,901","389,262","389,857","387,199","380,907","370,671","362,042","358,882"
.40 to 44 years,"467,353","467,993","469,365","464,414","456,422","449,487","440,062","425,546","411,983","398,969","388,627","383,473","382,693"
.45 to 49 years,"423,789","425,870","433,405","442,703","451,643","456,813","458,787","460,728","455,897","448,490","441,400","434,709","432,325"
.50 to 54 years,"373,634","377,114","398,027","395,860","400,541","407,617","416,222","424,386","434,549","443,900","449,934","452,317","452,772"
.55 to 59 years,"287,267","288,942","291,180","314,033","326,182","343,746","363,785","384,842","383,177","388,794","396,505","403,417","405,177"
.60 to 64 years,"241,102","242,016","245,856","253,420","264,083","269,573","273,474","275,823","298,789","311,445","329,265","344,988","347,852"
.65 to 69 years,"218,960","218,255","216,556","215,719","219,197","223,255","224,151","228,273","235,932","246,023","251,339","255,067","256,363"
.70 to 74 years,"218,503","217,978","214,297","209,735","203,882","198,607","196,635","195,730","195,308","198,577","203,103","204,228","204,950"
.75 to 79 years,"195,127","195,357","194,658","193,384","193,118","189,470","186,412","183,437","180,175","175,537","171,441","170,813","170,259"
.80 to 84 years,"138,017","138,829","141,523","145,072","146,724","149,459","151,482","151,966","151,770","151,924","149,534","148,383","148,012"
.85 years and over,"128,625","129,169","130,346","131,745","134,406","135,645","138,507","143,271","147,858","151,356","155,271","158,083","158,693"
.,,,,,,,,,,,,,
.Under 18 years,"1,410,478","1,409,653","1,405,028","1,398,964","1,391,146","1,384,915","1,376,771","1,370,010","1,362,903","1,353,149","1,343,496","1,334,841","1,331,617"
.Under 5 years,"369,708","369,027","367,741","365,500","363,019","361,342","358,240","354,684","355,501","355,425","354,561","353,377","352,590"
.5 to 13 years,"722,045","721,262","718,143","712,297","706,032","697,756","689,531","684,838","678,427","674,014","670,997","667,258","666,623"
.14 to 17 years,"318,725","319,364","319,144","321,167","322,095","325,817","329,000","330,488","328,975","323,710","317,938","314,206","312,404"
.18 to 64 years,"3,531,254","3,536,184","3,551,283","3,564,766","3,580,062","3,593,060","3,602,745","3,610,380","3,617,019","3,620,028","3,627,834","3,632,933","3,633,456"
.18 to 24 years,"527,444","530,226","538,312","542,803","547,402","545,129","539,204","534,576","534,008","537,745","542,987","543,952","543,440"
.25 to 44 years,"1,678,018","1,672,016","1,644,503","1,615,947","1,590,211","1,570,182","1,551,273","1,530,025","1,510,599","1,489,654","1,467,743","1,453,550","1,451,890"
.45 to 64 years,"1,325,792","1,333,942","1,368,468","1,406,016","1,442,449","1,477,749","1,512,268","1,545,779","1,572,412","1,592,629","1,617,104","1,635,431","1,638,126"
.65 years and over,"899,232","899,588","897,380","895,655","897,327","896,436","897,187","902,677","911,043","923,417","930,688","936,574","938,277"
.,,,,,,,,,,,,,
.16 years and over,"4,588,809","4,594,106","4,608,001","4,621,624","4,637,562","4,649,964","4,662,298","4,678,972","4,695,421","4,708,814","4,720,917","4,729,434","4,730,502"
.18 years and over,"4,430,486","4,435,772","4,448,663","4,460,421","4,477,389","4,489,496","4,499,932","4,513,057","4,528,062","4,543,445","4,558,522","4,569,507","4,571,733"
.15 to 44 years,"2,443,995","2,441,599","2,422,251","2,399,911","2,378,187","2,357,707","2,336,700","2,313,879","2,293,803","2,273,237","2,251,790","2,235,171","2,231,737"
.,,,,,,,,,,,,,
.Median age (years),37.5,37.6,37.9,38.1,38.4,38.6,38.9,39.1,39.3,39.6,39.8,40.0,40.1
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Ohio: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-39)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
