RESIDENT POPULATION OF STATES (by single year to 85+ and sex):
July 1, 1982 estimates
Source: Population Distribution Branch and Population Estimates Branch
         U.S. Bureau of the Census
Release date:  June 4, 1996 

The July 1982 intercensal estimates in this file are consistent
with and described in Current Population Reports, Series P25-1106.

--------------------------------------------------------------------------------
File Layout

Field
Location         Length        Field

1-2              2             FIPS Code state
3-6              4             Blank
7-8              2             State postal abbreviation
9-10             3             Blank
11-12            2             Age  (85 = 85+)
13-24            12            4/1/80 census both sexes population
25-36            12            4/1/80 census male population
37-48            12            4/1/80 census female population
------------------------------------------------------------------------


FIPS             7/1/82      7/1/82      7/1/82
Code    Age  Both sexes        Male      Female

05    AR  6       33396       17145       16251
05    AR  7       34916       17849       17067
05    AR  8       32984       16824       16160
05    AR  9       34840       17873       16967
05    AR 10       36665       18823       17842
05    AR 11       38432       19699       18733
05    AR 12       36965       18967       17998
05    AR 13       36143       18486       17657
05    AR 14       35490       18204       17286
05    AR 15       36233       18539       17694
05    AR 16       37515       19163       18352
05    AR 17       41285       21144       20141
05    AR 18       41936       21270       20666
05    AR 19       43351       21530       21821
05    AR 20       42058       20640       21418
05    AR 21       40636       20083       20553
05    AR 22       38702       19059       19643
05    AR 23       38219       18572       19647
05    AR 24       38075       18668       19407
05    AR 25       37570       18306       19264
05    AR 26       36034       17644       18390
05    AR 27       35808       17514       18294
05    AR 28       33838       16646       17192
05    AR 29       35181       17294       17887
05    AR 30       34071       16631       17440
05    AR 31       32710       16001       16709
05    AR 32       32245       15829       16416
05    AR 33       32728       15962       16766
05    AR 34       33227       16469       16758
05    AR 35       35306       17194       18112
05    AR 36       25835       12544       13291
05    AR 37       26982       13061       13921
05    AR 38       26437       12822       13615
05    AR 39       29160       14164       14996
05    AR 40       26410       12956       13454
05    AR 41       24383       11734       12649
05    AR 42       23578       11626       11952
05    AR 43       23130       11278       11852
05    AR 44       23231       11373       11858
05    AR 45       21533       10371       11162
05    AR 46       21991       10751       11240
05    AR 47       22338       10754       11584
05    AR 48       20424        9741       10683
05    AR 49       21428       10214       11214
05    AR 50       21410       10155       11255
05    AR 51       21016        9881       11135
05    AR 52       21014        9973       11041
05    AR 53       21312       10121       11191
05    AR 54       22186       10540       11646
05    AR 55       22135       10400       11735
05    AR 56       22167       10196       11971
05    AR 57       23066       10719       12347
05    AR 58       21897        9989       11908
05    AR 59       21998        9958       12040
05    AR 60       22903       10579       12324
05    AR 61       22536       10431       12105
05    AR 62       22128       10152       11976
05    AR 63       21717        9922       11795
05    AR 64       22227       10256       11971
05    AR 65       21692        9899       11793
05    AR 66       20418        9376       11042
05    AR 67       21403        9752       11651
05    AR 68       20585        9186       11399
05    AR 69       20562        9215       11347
05    AR 70       19700        8761       10939
05    AR 71       18390        8181       10209
05    AR 72       17755        7803        9952
05    AR 73       16428        7060        9368
05    AR 74       16072        6733        9339
05    AR 75       14928        6162        8766
05    AR 76       14019        5758        8261
05    AR 77       12803        5186        7617
05    AR 78       11637        4629        7008
05    AR 79       10713        4216        6497
05    AR 80        9043        3612        5431
05    AR 81        7903        2973        4930
05    AR 82        7201        2710        4491
05    AR 83        6516        2414        4102
05    AR 84        6035        2217        3818
05    AR 85       27877        9213       18664
06    CA  0      423038      216610      206428
06    CA  1      398197      203878      194319
06    CA  2      374508      191601      182907
