table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Maine: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.,,,,,,,,,,,,,
.Under 18 years,"146,658","146,750","146,024","145,221","144,328","143,354","142,052","140,444","139,189","137,328","135,159","133,481","133,133"
.Under 5 years,"34,539","34,515","34,344","34,255","34,343","34,433","34,545","34,334","34,564","34,525","34,033","33,753","33,646"
.5 to 13 years,"76,195","76,212","75,375","74,279","73,282","72,045","70,632","69,654","68,669","68,021","67,337","66,711","66,644"
.14 to 17 years,"35,924","36,023","36,305","36,687","36,703","36,876","36,875","36,456","35,956","34,782","33,789","33,017","32,843"
.18 to 64 years,"400,497","401,283","405,736","410,680","415,536","419,215","422,183","424,516","425,840","426,782","426,377","426,212","425,976"
.18 to 24 years,"51,567","51,807","53,101","54,446","55,611","56,236","57,064","57,291","56,727","57,122","57,076","56,814","56,757"
.25 to 44 years,"189,231","188,712","185,909","183,442","180,944","178,260","174,849","171,523","168,777","165,622","162,264","159,934","159,718"
.45 to 64 years,"159,699","160,764","166,726","172,792","178,981","184,719","190,270","195,702","200,336","204,038","207,037","209,464","209,501"
.65 years and over,"107,385","107,512","107,897","108,325","108,816","109,293","109,869","111,197","112,768","115,303","117,158","118,612","118,671"
.,,,,,,,,,,,,,
.16 years and over,"525,703","526,636","531,793","537,487","542,874","547,048","550,528","554,347","557,263","560,244","561,255","561,937","561,641"
.18 years and over,"507,882","508,795","513,633","519,005","524,352","528,508","532,052","535,713","538,608","542,085","543,535","544,824","544,647"
.15 to 44 years,"267,614","267,449","266,296","265,452","264,210","262,101","259,710","256,525","252,918","249,522","245,110","241,923","241,522"
.,,,,,,,,,,,,,
.Median age (years),39.6,39.7,40.1,40.5,40.9,41.3,41.7,42.2,42.6,43.1,43.5,43.8,43.9
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for Maine: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-23)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
