table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New Hampshire: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Sex and Age,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.45 to 64 years,"293,639","296,339","308,111","320,877","333,289","346,086","358,253","371,101","381,106","389,896","398,183","404,204","404,587"
.65 years and over,"147,953","148,381","149,276","150,627","152,341","155,869","157,699","161,873","166,079","171,358","175,269","178,268","178,625"
.,,,,,,,,,,,,,
.16 years and over,"960,587","964,026","978,872","993,109","1,005,680","1,018,601","1,029,599","1,042,720","1,051,398","1,058,807","1,062,993","1,066,277","1,066,756"
.18 years and over,"926,216","929,530","943,640","956,346","968,428","980,878","991,089","1,003,220","1,011,622","1,019,877","1,025,252","1,029,236","1,029,923"
.15 to 44 years,"536,714","537,257","540,078","540,232","539,134","536,096","533,606","529,425","523,272","516,075","507,689","501,816","501,570"
.,,,,,,,,,,,,,
.Median age (years),37.1,37.2,37.5,37.9,38.2,38.7,39.0,39.4,39.9,40.3,40.8,41.1,41.1
MALE,"607,695","609,771","618,105","625,409","631,327","636,276","640,560","645,616","647,553","649,330","649,227","649,394","649,636"
.Under 5 years,"39,008","39,038","38,962","38,782","38,633","38,297","38,432","38,245","37,613","37,152","36,316","35,586","35,510"
.5 to 9 years,"45,345","45,237","44,539","44,117","43,044","42,441","41,294","40,866","40,221","39,951","39,432","39,544","39,539"
.10 to 14 years,"47,519","47,802","48,739","49,201","49,356","48,852","47,992","46,922","46,206","45,113","44,551","43,594","43,559"
.15 to 19 years,"44,069","44,335","45,649","46,445","47,272","48,018","48,977","49,576","49,655","49,450","48,608","47,768","47,528"
.20 to 24 years,"34,351","34,529","35,946","37,754","39,232","40,472","41,796","42,539","42,547","42,705","42,935","43,098","43,210"
.25 to 29 years,"35,428","35,129","34,023","33,298","33,298","32,963","33,381","34,265","35,134","35,845","36,387","36,938","37,120"
.30 to 34 years,"44,001","44,047","44,072","43,619","42,653","41,134","39,555","37,705","36,321","35,669","35,196","35,301","35,556"
.35 to 39 years,"53,950","53,809","52,646","51,359","49,930","48,487","47,306","46,856","45,779","44,253","42,309","40,556","40,265"
.40 to 44 years,"55,710","55,924","57,166","57,389","57,242","56,769","55,934","54,282","52,747","50,815","49,133","48,022","47,932"
.45 to 49 years,"48,899","49,289","50,812","52,402","53,842","55,401","56,476","57,587","57,569","57,299","56,654","56,067","55,744"
.50 to 54 years,"42,892","43,407","45,899","45,785","46,522","47,518","48,897","50,485","52,006","53,653","55,058","55,864","55,869"
.55 to 59 years,"31,380","31,660","32,717","36,175","38,197","40,295","42,489","45,026","44,775","45,597","46,633","47,759","47,959"
.60 to 64 years,"23,015","23,185","24,006","25,285","27,259","28,965","30,286","31,261","34,786","36,780","38,657","40,253","40,565"
.65 to 69 years,"19,841","19,857","19,903","19,997","20,430","21,055","21,413","22,378","23,730","25,459","26,953","27,926","28,061"
.70 to 74 years,"16,720","16,762","16,822","16,948","16,977","17,225","17,251","17,641","17,710","18,154","18,430","18,698","18,770"
.75 to 79 years,"12,759","12,819","12,825","12,929","12,978","13,361","13,494","13,793","14,034","14,181","14,215","14,311","14,272"
.80 to 84 years,"7,760","7,845","8,094","8,451","8,779","8,963","9,183","9,291","9,511","9,725","9,984","10,058","10,065"
.85 years and over,"5,048","5,097","5,285","5,473","5,683","6,060","6,404","6,898","7,209","7,529","7,776","8,051","8,112"
.,,,,,,,,,,,,,
.Under 18 years,"158,669","159,065","159,882","160,433","159,758","158,736","157,710","156,526","154,320","151,759","149,004","147,064","146,844"
.Under 5 years,"39,008","39,038","38,962","38,782","38,633","38,297","38,432","38,245","37,613","37,152","36,316","35,586","35,510"
.5 to 13 years,"83,443","83,630","83,843","83,624","82,535","80,982","79,178","78,109","76,854","75,857","74,691","74,124","74,140"
.14 to 17 years,"36,218","36,397","37,077","38,027","38,590","39,457","40,100","40,172","39,853","38,750","37,997","37,354","37,194"
.18 to 64 years,"386,898","388,326","395,294","401,178","406,722","410,876","415,105","419,089","421,039","422,523","422,865","423,286","423,512"
.18 to 24 years,"51,623","51,876","53,953","55,866","57,779","59,344","60,781","61,622","61,922","62,612","62,838","62,526","62,502"
.25 to 44 years,"189,089","188,909","187,907","185,665","183,123","179,353","176,176","173,108","169,981","166,582","163,025","160,817","160,873"
.45 to 64 years,"146,186","147,541","153,434","159,647","165,820","172,179","178,148","184,359","189,136","193,329","197,002","199,943","200,137"
.65 years and over,"62,128","62,380","62,929","63,798","64,847","66,664","67,745","70,001","72,194","75,048","77,358","79,044","79,280"
.,,,,,,,,,,,,,
.16 years and over,"466,667","468,413","476,390","483,814","490,565","496,736","502,409","509,402","513,741","517,451","519,587","521,320","521,671"
.18 years and over,"449,026","450,706","458,223","464,976","471,569","477,540","482,850","489,090","493,233","497,571","500,223","502,330","502,792"
.15 to 44 years,"267,509","267,773","269,502","269,864","269,627","267,843","266,949","265,223","262,183","258,737","254,568","251,683","251,611"
.,,,,,,,,,,,,,
.Median age (years),36.4,36.4,36.7,37.1,37.4,37.8,38.1,38.5,39.0,39.4,39.9,40.2,40.3
FEMALE,"628,112","630,111","637,412","643,680","648,513","653,845","657,932","662,773","664,987","666,576","666,875","667,076","667,123"
.Under 5 years,"36,682","36,712","36,836","36,761","36,497","36,615","36,858","36,865","36,405","35,801","34,913","34,220","34,158"
.5 to 9 years,"43,196","43,093","42,300","41,491","40,869","39,994","39,206","38,860","38,423","38,029","38,096","38,212","38,197"
.10 to 14 years,"45,751","46,023","46,676","47,001","46,677","45,871","45,152","44,232","43,215","42,531","41,653","41,026","41,014"
.15 to 19 years,"42,624","42,762","44,110","45,136","45,848","46,765","47,345","47,716","47,853","47,342","46,557","45,852","45,657"
.20 to 24 years,"34,415","34,664","35,837","37,197","38,452","39,378","40,455","40,748","40,706","40,770","41,173","41,448","41,556"
.25 to 29 years,"35,931","35,645","34,262","33,301","32,875","33,287","33,431","34,261","35,215","36,101","35,856","36,183","36,260"
.30 to 34 years,"44,710","44,774","44,599","44,127","43,451","41,822","40,261","38,380","36,903","36,076","36,146","36,050","36,346"
.35 to 39 years,"55,706","55,572","54,107","52,636","50,702","49,105","47,848","47,355","46,380","45,127","43,201","41,596","41,247"
.40 to 44 years,"55,819","56,067","57,661","57,971","58,179","57,896","57,317","55,742","54,032","51,922","50,188","49,004","48,893"
.45 to 49 years,"49,222","49,618","51,006","52,749","53,972","55,346","56,355","57,874","58,032","58,222","58,020","57,497","57,134"
.50 to 54 years,"42,972","43,493","46,056","46,067","46,925","48,022","49,611","51,099","52,801","54,139","55,660","56,533","56,566"
.55 to 59 years,"31,284","31,550","32,869","36,403","38,475","40,910","43,115","45,436","45,582","46,466","47,504","48,530","48,726"
.60 to 64 years,"23,975","24,137","24,746","26,011","28,097","29,629","31,024","32,333","35,555","37,740","39,997","41,701","42,024"
.65 to 69 years,"21,299","21,288","21,481","21,584","21,883","22,714","22,973","23,713","25,004","26,991","28,313","29,250","29,381"
.70 to 74 years,"20,459","20,452","20,191","19,878","19,526","19,537","19,455","19,918","20,062","20,280","20,706","20,888","20,944"
.75 to 79 years,"17,834","17,887","17,797","18,001","18,129","18,301","18,166","18,049","17,913","17,709","17,458","17,463","17,382"
.80 to 84 years,"13,056","13,144","13,476","13,787","14,084","14,272","14,567","14,748","14,945","15,081","15,041","14,913","14,866"
.85 years and over,"13,177","13,230","13,402","13,579","13,872","14,381","14,793","15,444","15,961","16,249","16,393","16,710","16,772"
.,,,,,,,,,,,,,
.Under 18 years,"150,922","151,287","151,995","152,310","151,654","150,507","149,693","148,643","146,598","144,270","141,846","140,170","139,992"
.Under 5 years,"36,682","36,712","36,836","36,761","36,497","36,615","36,858","36,865","36,405","35,801","34,913","34,220","34,158"
.5 to 13 years,"79,886","80,042","79,921","79,120","78,031","76,285","74,781","73,738","72,649","71,671","71,046","70,605","70,623"
.14 to 17 years,"34,354","34,533","35,238","36,429","37,126","37,607","38,054","38,040","37,544","36,798","35,887","35,345","35,211"
.18 to 64 years,"391,365","392,823","399,070","404,541","409,365","414,133","418,285","422,258","424,504","425,996","427,118","427,682","427,786"
.18 to 24 years,"51,746","51,967","53,764","55,276","56,689","58,116","59,323","59,778","60,004","60,203","60,546","60,588","60,590"
.25 to 44 years,"192,166","192,058","190,629","188,035","185,207","182,110","178,857","175,738","172,530","169,226","165,391","162,833","162,746"
.45 to 64 years,"147,453","148,798","154,677","161,230","167,469","173,907","180,105","186,742","191,970","196,567","201,181","204,261","204,450"
.65 years and over,"85,825","86,001","86,347","86,829","87,494","89,205","89,954","91,872","93,885","96,310","97,911","99,224","99,345"
.,,,,,,,,,,,,,
.16 years and over,"493,920","495,613","502,482","509,295","515,115","521,865","527,190","533,318","537,657","541,356","543,406","544,957","545,085"
.18 years and over,"477,190","478,824","485,417","491,370","496,859","503,338","508,239","514,130","518,389","522,306","525,029","526,906","527,131"
.15 to 44 years,"269,205","269,484","270,576","270,368","269,507","268,253","266,657","264,202","261,089","257,338","253,121","250,133","249,959"
.,,,,,,,,,,,,,
.Median age (years),37.8,37.9,38.2,38.6,39.0,39.5,39.8,40.3,40.8,41.2,41.7,42.0,42.0
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic
program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this
methodology are available at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
Note: Median age is calculated based on single year of age.,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 2. Intercensal Estimates of the Resident Population by Sex and Age for New Hampshire: April 1, 2000 to July 1, 2010 (ST-EST00INT-02-33)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
