Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1963",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
72,"1,039,311 ","465,799 ","573,512 ","960,482 ","429,212 ","531,270 ","74,031 ","33,938 ","40,093 ","4,798 ","2,649 ","2,149 "
73,"961,163 ","428,951 ","532,212 ","889,904 ","395,802 ","494,102 ","66,618 ","30,515 ","36,103 ","4,641 ","2,634 ","2,007 "
74,"881,718 ","391,660 ","490,058 ","817,515 ","361,788 ","455,727 ","59,637 ","27,193 ","32,444 ","4,566 ","2,679 ","1,887 "
75,"805,334 ","355,608 ","449,726 ","747,854 ","328,912 ","418,942 ","53,051 ","24,023 ","29,028 ","4,429 ","2,673 ","1,756 "
76,"733,920 ","321,864 ","412,056 ","682,303 ","297,892 ","384,411 ","47,490 ","21,442 ","26,048 ","4,127 ","2,530 ","1,597 "
77,"666,380 ","289,725 ","376,655 ","619,582 ","268,028 ","351,554 ","43,076 ","19,415 ","23,661 ","3,722 ","2,282 ","1,440 "
78,"600,660 ","258,702 ","341,958 ","558,383 ","239,106 ","319,277 ","38,968 ","17,568 ","21,400 ","3,309 ","2,028 ","1,281 "
79,"536,172 ","228,382 ","307,790 ","498,306 ","210,850 ","287,456 ","34,937 ","15,735 ","19,202 ","2,929 ","1,797 ","1,132 "
80,"475,454 ","199,884 ","275,570 ","441,887 ","184,365 ","257,522 ","31,033 ","13,963 ","17,070 ","2,534 ","1,556 ",978 
81,"416,316 ","172,577 ","243,739 ","386,823 ","159,004 ","227,819 ","27,341 ","12,260 ","15,081 ","2,152 ","1,313 ",839 
82,"360,573 ","147,192 ","213,381 ","335,003 ","135,518 ","199,485 ","23,778 ","10,587 ","13,191 ","1,792 ","1,087 ",705 
83,"308,280 ","123,932 ","184,348 ","286,396 ","114,076 ","172,320 ","20,432 ","8,993 ","11,439 ","1,452 ",863 ,589 
84,"260,371 ","103,189 ","157,182 ","242,370 ","95,216 ","147,154 ","16,873 ","7,312 ","9,561 ","1,128 ",661 ,467 
85+,"1,003,418 ","376,711 ","626,707 ","930,293 ","346,295 ","583,998 ","67,063 ","26,794 ","40,269 ","6,062 ","3,622 ","2,440 "
,,,,,,,,,,,,
"Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.",,,,,,,,,,,,
,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Population Division",,,,,,,,,,,,
"Internet Release date:  October 1, 2004",,,,,,,,,,,,
