Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,
"Resident Population plus Armed Forces Overseas--Estimates by Age, Sex, and Race:  July 1, 1970",,,,,,,,,,,,

Age,All races,,,White,,,Black,,,Other races,,
71,"1,146,673 ","489,228 ","657,445 ","1,051,371 ","446,848 ","604,523 ","86,076 ","37,556 ","48,520 ","9,226 ","4,824 ","4,402 "
72,"1,056,582 ","449,521 ","607,061 ","971,640 ","411,561 ","560,079 ","77,054 ","33,961 ","43,093 ","7,888 ","3,999 ","3,889 "
73,"1,013,178 ","428,927 ","584,251 ","932,332 ","392,249 ","540,083 ","73,611 ","33,032 ","40,579 ","7,235 ","3,646 ","3,589 "
74,"978,334 ","407,575 ","570,759 ","900,116 ","372,552 ","527,564 ","71,361 ","31,708 ","39,653 ","6,857 ","3,315 ","3,542 "
75,"919,310 ","380,169 ","539,141 ","847,198 ","348,285 ","498,913 ","65,744 ","28,903 ","36,841 ","6,368 ","2,981 ","3,387 "
76,"839,268 ","345,547 ","493,721 ","777,970 ","318,824 ","459,146 ","55,899 ","24,229 ","31,670 ","5,399 ","2,494 ","2,905 "
77,"787,600 ","320,291 ","467,309 ","729,895 ","295,093 ","434,802 ","52,730 ","22,899 ","29,831 ","4,975 ","2,299 ","2,676 "
78,"699,225 ","281,045 ","418,180 ","648,897 ","259,388 ","389,509 ","46,105 ","19,766 ","26,339 ","4,223 ","1,891 ","2,332 "
79,"625,561 ","245,642 ","379,919 ","581,085 ","226,967 ","354,118 ","40,431 ","16,717 ","23,714 ","4,045 ","1,958 ","2,087 "
80,"605,554 ","235,718 ","369,836 ","559,361 ","215,733 ","343,628 ","40,225 ","16,485 ","23,740 ","5,968 ","3,500 ","2,468 "
81,"539,114 ","208,358 ","330,756 ","500,155 ","191,682 ","308,473 ","34,660 ","14,245 ","20,415 ","4,299 ","2,431 ","1,868 "
82,"445,989 ","170,352 ","275,637 ","415,585 ","157,675 ","257,910 ","27,347 ","11,058 ","16,289 ","3,057 ","1,619 ","1,438 "
83,"382,693 ","143,516 ","239,177 ","356,504 ","132,744 ","223,760 ","23,578 ","9,440 ","14,138 ","2,611 ","1,332 ","1,279 "
84,"338,932 ","125,396 ","213,536 ","315,040 ","115,698 ","199,342 ","21,716 ","8,637 ","13,079 ","2,176 ","1,061 ","1,115 "
85+,"1,430,493 ","496,483 ","934,010 ","1,313,775 ","450,038 ","863,737 ","103,296 ","38,999 ","64,297 ","13,422 ","7,446 ","5,976 "
,,,,,,,,,,,,
"Notes about the National Population Estimates by Age, Sex, and Race:  1900 to 1979",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1900-1929 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.  Unrounded data for these years is not available.",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1930-1939 represent the resident population of the United States, by single year of age (0 to 75+), race (White, Nonwhite), and sex.  Data for these years exclude the Armed Forces overseas and the population residing in Alaska and Hawaii.",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1940-1949 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years exclude the population residing in Alaska and Hawaii.",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1950-1959 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Nonwhite), and sex.  Data for these years include the population residing in Alaska and Hawaii.",,,,,,,,,,,,
,,,,,,,,,,,,
"The worksheets for 1960-1979 represent the resident population plus Armed Forces overseas of the United States, by single year of age (0 to 85+), race (White, Black, and Other races), and sex.",,,,,,,,,,,,
,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Population Division",,,,,,,,,,,,
"Internet Release date:  October 1, 2004",,,,,,,,,,,,
