"Units","StatVar","MinDate","MeasurementMethods","ScalingFactors","NumPlaces","observationPeriods"
"[]","Count_Person_Employed_RealEstateRentalLeasing","2020-01","[BLSSeasonallyUnadjusted, BLSSeasonallyAdjusted]","[]","51","[P1M]"
"[]","Count_Person_Employed_GasolineStationsAndFuelDealers","2020-01","[BLSSeasonallyUnadjusted]","[]","17","[P1M]"
"[]","Count_Person_Employed_GeneralMerchandiseRetailers","2020-01","[BLSSeasonallyUnadjusted]","[]","48","[P1M]"
"[]","Count_Person_Employed_WiredAndWirelessTelecommunicationsExceptSatellite","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_ProfessionalAndSimilarOrganizations","2020-01","[BLSSeasonallyUnadjusted]","[]","3","[P1M]"
"[]","Count_Person_Employed_FabricMills","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[Hour]","Weekly_Mean_UsualHoursWorked_Person_Employed_ArtsEntertainmentRecreation_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_HealthCareSocialAssistance_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[USDollar]","Weekly_MeanValue_Earnings_Person_Employed_TransportationEquipmentManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","4","[P1M]"
"[]","Count_Person_Employed_PharmaceuticalAndMedicineManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_Manufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","46","[P1M]"
"[]","Count_Person_Employed_ArchitecturalAndStructuralMetalsMfg","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_BasicChemicalManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[Hour]","Weekly_Mean_UsualHoursWorked_Person_Employed_PrivatelyOwnedEstablishment_EducationHealthServices","2020-01","[BLSSeasonallyUnadjusted]","[]","48","[P1M]"
"[]","Count_Person_Employed_RestaurantsAndOtherEatingPlaces","2020-01","[BLSSeasonallyUnadjusted]","[]","22","[P1M]"
"[]","Count_Person_Employed_TruckTransportation","2020-01","[BLSSeasonallyUnadjusted]","[]","32","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_ProfessionalScientificTechnicalServices_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[Hour]","Weekly_Mean_UsualHoursWorked_Person_Employed_Information","2020-01","[BLSSeasonallyUnadjusted]","[]","10","[P1M]"
"[]","Count_Person_Employed_CutAndSewApparelManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_TransportationEquipmentManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_FurnitureRetailers","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_ArtsEntertainmentRecreation_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_ServicesToBuildingsAndDwellings","2020-01","[BLSSeasonallyUnadjusted]","[]","21","[P1M]"
"[USDollar]","Weekly_MeanValue_Earnings_Person_Employed_FoodManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","4","[P1M]"
"[]","Count_Person_Employed_ApparelManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","4","[P1M]"
"[]","Count_Person_Employed_OtherMiscellaneousManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_PrivatelyOwnedEstablishment_EducationHealthServices","2020-01","[BLSSeasonallyUnadjusted]","[]","48","[P1M]"
"[]","Count_Person_Employed_PrivateElementaryAndSecondarySchools","2020-01","[BLSSeasonallyUnadjusted]","[]","24","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_ProfessionalBusinessServices","2020-01","[BLSSeasonallyUnadjusted]","[]","51","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_ProfessionalScientificTechnicalServices_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_RailTransportation","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_ApplianceAndElectricGoodsMerchantWhls","2020-01","[BLSSeasonallyUnadjusted]","[]","3","[P1M]"
"[]","Count_Person_Employed_NaturalGasDistribution","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_OtherMiscellaneousRetailers","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_SemiconductorAndOtherElectronicComponentManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_ConstructionLogging_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_ChemicalManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","14","[P1M]"
"[]","Count_Person_Employed_MedicalEquipmentAndSuppliesManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","3","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_OtherServices_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_RealEstate","2020-01","[BLSSeasonallyUnadjusted]","[]","13","[P1M]"
"[]","Count_Person_Employed_OfficesOfRealEstateAgentsAndBrokers","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_AccommodationFoodServices_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_Construction","2020-01","[BLSSeasonallyUnadjusted, BLSSeasonallyAdjusted]","[]","52","[P1M]"
"[Hour]","Weekly_MeanValue_UsualHoursWorked_Person_Employed_DurableGoodsManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","38","[P1M]"
"[]","Count_Person_Employed_SpecialFoodServices","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_ConstructionLogging","2020-01","[BLSSeasonallyUnadjusted]","[]","7","[P1M]"
"[]","Count_Person_Employed_PrivatelyOwnedEstablishment_EducationHealthServices","2020-01","[BLSSeasonallyUnadjusted, BLSSeasonallyAdjusted]","[]","96","[P1M]"
"[]","Count_Person_Employed_PrivatelyOwned","2020-01","[BLSSeasonallyUnadjusted, BLSSeasonallyAdjusted]","[]","104","[P1M]"
"[]","Count_Person_Employed_MachineryAndEquipmentRentalAndLeasing","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_WholesaleTrade_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","14","[P1M]"
"[]","Count_Person_Employed_TotalNonfarm","2020-01","[BLSSeasonallyUnadjusted, BLSSeasonallyAdjusted]","[]","104","[P1M]"
"[]","Count_Person_Employed_SupportActivitiesForWaterTransportation","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_SportingGoodsHobbyMusicalInstrumentBookAndMiscellaneousRetailers","2020-01","[BLSSeasonallyUnadjusted]","[]","15","[P1M]"
"[]","Count_Person_Employed_MiningAndLogging_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_TransitAndGroundPassengerTransportation","2020-01","[BLSSeasonallyUnadjusted]","[]","8","[P1M]"
"[]","Count_Person_Employed_TobaccoManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_ProfessionalBusinessServices","2020-01","[BLSSeasonallyUnadjusted]","[]","51","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_MotorVehicleManufacturingMotorVehicleBodyAndTrailerManufacturingMotorVehiclePartsManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_AgConstructionAndMiningMachineryMfg","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_FinancialActivities","2020-01","[BLSSeasonallyUnadjusted]","[]","41","[P1M]"
"[]","Count_Person_Employed_ElectronicMarketsAndAgentsAndBrokers","2020-01","[BLSSeasonallyUnadjusted]","[]","19","[P1M]"
"[]","Count_Person_Employed_SupportActivitiesForOilAndGasOperations","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_IndianTribes","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_CoalMining","2020-01","[BLSSeasonallyUnadjusted]","[]","3","[P1M]"
"[USDollar]","Hourly_MeanValue_Earnings_Person_Employed_ComputerAndElectronicProductManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_PowerGenerationAndSupply","2020-01","[BLSSeasonallyUnadjusted]","[]","4","[P1M]"
"[]","Count_Person_Employed_ChemicalMerchantWholesalers","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_Federal","2020-01","[BLSSeasonallyAdjusted, BLSSeasonallyUnadjusted]","[]","95","[P1M]"
"[]","Count_Person_Employed_LessorsOfRealEstate","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_Information_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_SocialAssistance","2020-01","[BLSSeasonallyUnadjusted]","[]","40","[P1M]"
"[]","Count_Person_Civilian_Employed_FederalGovernmentOwnedEstablishment","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Weekly_MeanValue_Earnings_Person_Employed_MachineryManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_FullserviceRestaurants","2020-01","[BLSSeasonallyUnadjusted]","[]","22","[P1M]"
"[]","Count_Person_Employed_PrimaryMetalManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","11","[P1M]"
"[]","Count_Person_Employed_DirectPropertyAndCasualtyInsuranceCarriers","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_PrivatelyOwnedEstablishment_ServiceProviding","2020-01","[BLSSeasonallyUnadjusted]","[]","51","[P1M]"
"[]","Count_Person_Employed_IronAndSteelMillsAndFerroalloyMfg","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_ElectricalEquipmentAndApplianceMfg","2020-01","[BLSSeasonallyUnadjusted]","[]","12","[P1M]"
"[]","Count_Person_Employed_StateGovernmentOwnedEstablishment_Hospitals","2020-01","[BLSSeasonallyUnadjusted]","[]","4","[P1M]"
"[]","Count_Person_Employed_HealthCareSocialAssistance","2020-01","[BLSSeasonallyAdjusted, BLSSeasonallyUnadjusted]","[]","72","[P1M]"
"[]","Count_Person_Employed_OfficesOfDentists","2020-01","[BLSSeasonallyUnadjusted]","[]","3","[P1M]"
"[]","Count_Person_Employed_ComputerSystemsDesignAndRelatedServices","2020-01","[BLSSeasonallyUnadjusted]","[]","20","[P1M]"
"[]","Count_Person_InArmedForces_Employed_ShipBuildingAndRepairing","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_ServiceProviding","2020-01","[BLSSeasonallyAdjusted, BLSSeasonallyUnadjusted]","[]","104","[P1M]"
"[]","Count_Person_Employed_NonresidentialBuildingConstruction","2020-01","[BLSSeasonallyUnadjusted]","[]","7","[P1M]"
"[]","Count_Person_Employed_AutomotiveEquipmentRentalAndLeasing","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_ConsumerGoodsRental","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_TurbineAndPowerTransmissionEquipmentMfg","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_TravelerAccommodation","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[Hour]","Weekly_Mean_UsualHoursWorked_Person_Employed_ConstructionLogging_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_FurnitureAndRelatedProductManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","10","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_GoodsProducing","2020-01","[BLSSeasonallyUnadjusted]","[]","51","[P1M]"
"[]","Count_Person_Employed_LandSubdivision","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_PrivatelyOwned","2020-01","[BLSSeasonallyUnadjusted]","[]","103","[P1M]"
"[]","Count_Person_Employed_ConstructionLogging_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_Construction_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","16","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_AccommodationFoodServices_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","4","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_Information_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[]","Count_Person_Employed_Telecommunications","2020-01","[BLSSeasonallyUnadjusted]","[]","22","[P1M]"
"[]","Count_Person_Employed_NondurableGoodsManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","14","[P1M]"
"[Hour]","Weekly_Mean_UsualHoursWorked_Person_Employed_ConstructionLogging","2020-01","[BLSSeasonallyUnadjusted]","[]","7","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_MiningAndLogging_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","4","[P1M]"
"[USDollar]","Weekly_MeanValue_Earnings_Person_Employed_ComputerAndElectronicProductManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_GroceryAndRelatedProductWholesalers","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[]","Count_Person_Employed_SecuritiesAndCommodityContractsBrokerage","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_PrivatelyOwnedEstablishment_EducationHealthServices_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_FederalGovernmentOwnedEstablishment_ExcludingPostalService","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_LocalGovernmentOwnedEstablishment_Hospitals","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[]","Count_Person_Employed_OtherResidentialCareFacilities","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_WarehouseClubsSupercentersAndOtherGeneralMerchandiseRetailers","2020-01","[BLSSeasonallyUnadjusted]","[]","10","[P1M]"
"[]","Count_Person_Employed_ResidentialBuildingConstruction","2020-01","[BLSSeasonallyUnadjusted]","[]","7","[P1M]"
"[]","Count_Person_Employed_MotorVehicleBodyAndTrailerManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_SchoolAndEmployeeBusTransportation","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_Information","2020-01","[BLSSeasonallyUnadjusted]","[]","10","[P1M]"
"[]","Count_Person_Employed_OutpatientCareCenters","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[]","Count_Person_Employed_ServicesForTheElderlyAndDisabled","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_ApparelAndPieceGoodsMerchantWholesalers","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_RetailTrade_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","14","[P1M]"
"[USDollar]","Hourly_MeanValue_Earnings_Person_Employed_FoodManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","4","[P1M]"
"[]","Count_Person_Employed_InvestigationAndSecurityServices","2020-01","[BLSSeasonallyUnadjusted]","[]","6","[P1M]"
"[]","Count_Person_Employed_PersonalAndLaundryServices","2020-01","[BLSSeasonallyUnadjusted]","[]","25","[P1M]"
"[]","Count_Person_Employed_HealthCareSocialAssistance_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_FoodAndBeverageStores","2020-01","[BLSSeasonallyUnadjusted]","[]","43","[P1M]"
"[]","Count_Person_Employed_OtherPersonalServices","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_FinancialActivities_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","7","[P1M]"
"[]","Count_Person_Employed_OtherInformationServices","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_AirTransportation","2020-01","[BLSSeasonallyUnadjusted]","[]","16","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_Manufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","54","[P1M]"
"[Hour]","Weekly_Mean_UsualHoursWorked_Person_Employed_FinancialActivities","2020-01","[BLSSeasonallyUnadjusted]","[]","41","[P1M]"
"[]","Count_Person_Employed_BarePrintedCircuitBoardManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_NondurableGoodsManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","33","[P1M]"
"[]","Count_Person_Employed_InsuranceCarriersAndRelatedActivities","2020-01","[BLSSeasonallyUnadjusted]","[]","33","[P1M]"
"[]","Count_Person_Employed_ArchitecturalAndEngineeringServices","2020-01","[BLSSeasonallyUnadjusted]","[]","22","[P1M]"
"[]","Count_Person_Employed_CementAndConcreteProductManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_InsuranceAgenciesAndBrokerages","2020-01","[BLSSeasonallyUnadjusted]","[]","7","[P1M]"
"[]","Count_Person_Employed_Information","2020-01","[BLSSeasonallyUnadjusted, BLSSeasonallyAdjusted]","[]","93","[P1M]"
"[USDollar]","Weekly_MeanValue_Earnings_Person_Employed_FabricatedMetalProductManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","6","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_GoodsProducing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_UtilitySystemConstruction","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[Hour]","Weekly_MeanValue_UsualHoursWorked_Person_Employed_ComputerAndElectronicProductManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_InArmedForces_Employed_ShipBuildingAndRepairingAndHospitals","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[]","Count_Person_Employed_SeafoodProductPreparationAndPackaging","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_DataProcessingHostingAndRelatedServices","2020-01","[BLSSeasonallyUnadjusted]","[]","7","[P1M]"
"[]","Count_Person_Employed_DirectLifeInsuranceCarriers","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Hourly_Mean_Earnings_Person_Employed_RetailTrade_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","14","[P1M]"
"[]","Count_Person_Employed_AmusementsGamblingAndRecreation","2020-01","[BLSSeasonallyUnadjusted]","[]","19","[P1M]"
"[Hour]","Weekly_MeanValue_UsualHoursWorked_Person_Employed_MachineryManufacturing_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[Hour]","Weekly_Mean_UsualHoursWorked_Person_Employed_HealthCareSocialAssistance_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_OtherServices","2020-01","[BLSSeasonallyUnadjusted]","[]","31","[P1M]"
"[]","Count_Person_Employed_ActivitiesRelatedToRealEstate","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_TransportationWarehousingUtilities","2020-01","[BLSSeasonallyUnadjusted, BLSSeasonallyAdjusted]","[]","92","[P1M]"
"[]","Count_Person_Employed_RetailTrade_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","6","[P1M]"
"[]","Count_Person_Employed_JewelryLuggageAndLeatherGoodsRetailers","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[USDollar]","Weekly_Mean_Earnings_Person_Employed_Construction_ProductionAndNonsupervisory","2020-01","[BLSSeasonallyUnadjusted]","[]","16","[P1M]"
"[]","Count_Person_Employed_MuseumsHistoricalSitesZoosAndParks","2020-01","[BLSSeasonallyUnadjusted]","[]","3","[P1M]"
"[]","Count_Person_Employed_PlasticsAndRubberProductsManufacturing","2020-01","[BLSSeasonallyUnadjusted]","[]","15","[P1M]"
"[]","Count_Person_Employed_GoodsProducing","2020-01","[BLSSeasonallyAdjusted, BLSSeasonallyUnadjusted]","[]","104","[P1M]"
"[]","Count_Person_Employed_AutomobileDealers","2020-01","[BLSSeasonallyUnadjusted]","[]","5","[P1M]"
"[]","Count_Person_Employed_ProfessionalScientificTechnicalServices","2020-01","[BLSSeasonallyAdjusted, BLSSeasonallyUnadjusted]","[]","58","[P1M]"
"[]","Count_Person_Employed_OtherSupportServices","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_NondurableGoodsManufacturing","2020-01","[BLSSeasonallyUnadjusted, BLSSeasonallyAdjusted]","[]","64","[P1M]"
"[]","Count_Person_Employed_CommercialBanking","2020-01","[BLSSeasonallyUnadjusted]","[]","1","[P1M]"
"[]","Count_Person_Employed_GovernmentOwnedEstablishment","2020-01","[BLSSeasonallyUnadjusted]","[]","2","[P1M]"
"[]","Count_Person_Employed_FurnitureHomeFurnishingsElectronicsAndApplianceRetailers","2020-01","[BLSSeasonallyUnadjusted]","[]","15","[P1M]"
