"NumPlaces","observationPeriods","Units","MeasurementMethods","ScalingFactors","StatVar","MinDate"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.TETCD.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.MGICB.A","1960"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.PQACP.A","2010"
"52","[]","[MillionBtuPerShortTon]","[]","[]","eia/SEDS.CLEIK.A","1960"
"52","[]","[Percent]","[]","[]","eia/SEDS.HVCAS.A","2008"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.ARICD.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.TETCB.A","1960"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.TEACD.A","1970"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.DFCCP.A","1960"
"52","[]","[MetricTonsCo2]","[]","[]","eia/SEDS.CDTPR.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.EMICB.A","1960"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.DFCCD.A","1970"
"52","[]","[MillionMetricTonsCo2]","[]","[]","eia/SEDS.DMRCE.A","1960"
"52","[]","[MillionMetricTonsCo2]","[]","[]","eia/SEDS.FFRCE.A","1960"
"52","[]","[Number]","[]","[]","eia/SEDS.EVPPP.A","2015"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.PCCCP.A","1960"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.AVTXP.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.NUETB.A","1960"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.CLRCD.A","1970"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.RFTCP.A","1960"
"52","[]","[MillionBtuPerBarrel]","[]","[]","eia/SEDS.BDEIK.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.PASCB.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.PAACB.A","1960"
"1","[]","[BillionBtu]","[]","[]","eia/SEDS.CCNIB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.CLTCB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.PYTCB.A","2010"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.NUPRB.A","1960"
"52","[]","[Percent]","[]","[]","eia/SEDS.RETES.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.NGMPB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.NAICB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.RERCB.A","1960"
"1","[]","[BillionBtu]","[]","[]","eia/SEDS.BOAUB.A","2021"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.BDAUP.A","2021"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.TECCV.A","1970"
"52","[]","[ThousandBtuPerCubicFoot]","[]","[]","eia/SEDS.NGEIK.A","1960"
"1","[]","[MillionBtuPerBarrel]","[]","[]","eia/SEDS.BDTXK.A","1960"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.P1TXP.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.DAICB.A","1960"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.EMCCV.A","1970"
"52","[]","[ThousandKilowatts]","[]","[]","eia/SEDS.WSGBP.A","2008"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.ELISB.A","1960"
"52","[]","[USDollarPerMillionBtu]","[]","[]","eia/SEDS.KSICD.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.ARTXB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.RETCB.A","1960"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.PERCV.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.BDEUB.A","2021"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.BFTCB.A","1960"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.AVTXV.A","1970"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.AVACV.A","1970"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.LUTCB.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.WYICB.A","1960"
"52","[]","[MillionKilowatthours]","[]","[]","eia/SEDS.ESVHP.A","2018"
"52","[]","[ThousandKilowatts]","[]","[]","eia/SEDS.PAGBP.A","2008"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.PQSCB.A","2010"
"52","[]","[MillionBtuPerBarrel]","[]","[]","eia/SEDS.HLTCK.A","1960"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.B1ACP.A","1960"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.RFTXP.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.SOPRB.A","1960"
"52","[]","[MillionDollars]","[]","[]","eia/SEDS.PETCV.A","1970"
"52","[]","[MillionMetricTonsCo2]","[]","[]","eia/SEDS.FFCCE.A","1960"
"52","[]","[BillionBtu]","[]","[]","eia/SEDS.TNASB.A","1970"
"52","[]","[ThousandBarrels]","[]","[]","eia/SEDS.KSCCP.A","1960"
"52","[]","[MillionKilowatthours]","[]","[]","eia/SEDS.HYTCP.A","1960"
