"Units","MinDate","observationPeriods","NumPlaces","StatVar","MeasurementMethods","ScalingFactors"
"[MillionCubicFeet]","1977","[]","6","eia/NG.NA1090_2.A","[]","[]"
"[BtuPerCubicFoot]","2003","[]","1","eia/NG.NGA_EPG0_VEUH_BTUCF.A","[]","[]"
"[BillionCubicFeet]","2011","[]","1","eia/NG.RES_EPG0_R49_BCF.A","[]","[]"
"[Percent]","2006","[]","8","eia/NG.NA_EPG0_VRXL_PER.A","[]","[]"
"[MillionsBarrels]","1996","[]","27","eia/NG.RCRR9907_1.A","[]","[]"
"[MillionsBarrels]","2009","[]","25","eia/NG.RES_EPCCOND_R03_MMBBL.A","[]","[]"
"[DollarsPerThousandCubicFeet]","1989","[]","7","eia/NG.NA1284_3.A","[]","[]"
"[MillionCubicFeet]","2015","[]","1","eia/NG.NGM_EPG0_SACWA_MMCF.A","[]","[]"
"[BillionCubicFeet]","2009","[]","21","eia/NG.RES_EPG0_R5304_BCF.A","[]","[]"
"[MillionCubicFeet]","2004","[]","1","eia/NG.NA_EPG0_FSP_MMCF.A","[]","[]"
"[BillionCubicFeet]","2009","[]","24","eia/NG.RES_EPG0_R5102_BCF.A","[]","[]"
"[BillionCubicFeet]","1977","[]","24","eia/NG.RNGR17_1.A","[]","[]"
