"observationPeriods","NumPlaces","MinDate","ScalingFactors","MeasurementMethods","StatVar","Units"
"[]","219","1993-01","[]","[]","eia/INTL.55-1-TBPD.M","[ThousandBarrelsPerDay]"
"[]","219","1993-03","[]","[]","eia/INTL.55-1-TBPD.Q","[ThousandBarrelsPerDay]"
"[]","219","2000","[]","[]","eia/INTL.81-2-TBPD.A","[ThousandBarrelsPerDay]"
"[]","220","1980","[]","[]","eia/INTL.8499-2-TBPD.A","[ThousandBarrelsPerDay]"
"[]","222","1980","[]","[]","eia/INTL.119-2-TJ.A","[Terajoule]"
"[]","219","1980","[]","[]","eia/INTL.2-3-QBTU.A","[QuadrillionBtu]"
"[]","222","1980","[]","[]","eia/INTL.4418-1-QBTU.A","[QuadrillionBtu]"
"[]","222","1980","[]","[]","eia/INTL.119-3-MT.A","[ThousandMetricTons]"
"[]","219","1980","[]","[]","eia/INTL.54-13-TBPD.A","[ThousandBarrelsPerDay]"
"[]","14","1984-01","[]","[]","eia/INTL.784-3-TBPD.M","[ThousandBarrelsPerDay]"
"[]","222","1980","[]","[]","eia/INTL.44-2-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","220","1980","[]","[]","eia/INTL.66-2-MT.A","[ThousandMetricTons]"
"[]","222","1980","[]","[]","eia/INTL.7-3-TST.A","[ThousandShortTons]"
"[]","219","1980","[]","[]","eia/INTL.3-1-BCF.A","[BillionCubicFeet]"
"[]","219","1980","[]","[]","eia/INTL.48-1-BCF.A","[BillionCubicFeet]"
"[]","219","2000","[]","[]","eia/INTL.81-1-QBTU.A","[QuadrillionBtu]"
"[]","222","1980","[]","[]","eia/INTL.12-3-MT.A","[ThousandMetricTons]"
"[]","222","1949","[]","[]","eia/INTL.4008-8-MMTCD.A","[MillionMetricTonnesCarbonDioxide]"
"[]","222","1980","[]","[]","eia/INTL.7-4-MT.A","[ThousandMetricTons]"
"[]","219","1980","[]","[]","eia/INTL.2-23-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","222","1980","[]","[]","eia/INTL.21-2-MT.A","[ThousandMetricTons]"
"[]","222","1949","[]","[]","eia/INTL.4010-8-MMTCD.A","[MillionMetricTonnesCarbonDioxide]"
"[]","219","1980","[]","[]","eia/INTL.38-12-TJ.A","[Terajoule]"
"[]","219","1980","[]","[]","eia/INTL.2-23-BKWH.A","[BillionKilowatthours]"
"[]","219","1980","[]","[]","eia/INTL.2-12-BKWH.A","[BillionKilowatthours]"
"[]","97","1994-01","[]","[]","eia/INTL.57-1-MT.M","[ThousandMetricTons]"
"[]","220","1980","[]","[]","eia/INTL.13-2-TBPD.A","[ThousandBarrelsPerDay]"
"[]","220","1980","[]","[]","eia/INTL.68-2-QBTU.A","[QuadrillionBtu]"
"[]","222","1980","[]","[]","eia/INTL.12-1-TJ.A","[Terajoule]"
"[]","219","1980","[]","[]","eia/INTL.2-3-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","222","1980","[]","[]","eia/INTL.14-2-QBTU.A","[QuadrillionBtu]"
"[]","222","1980","[]","[]","eia/INTL.119-1-TST.A","[ThousandShortTons]"
"[]","222","1980","[]","[]","eia/INTL.119-4-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","222","1980","[]","[]","eia/INTL.21-3-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","14","1984-01","[]","[]","eia/INTL.783-3-TBPD.M","[ThousandBarrelsPerDay]"
"[]","222","1980","[]","[]","eia/INTL.26-1-BCM.A","[BillionCubicMeters]"
"[]","220","1980","[]","[]","eia/INTL.64-2-TBPD.A","[ThousandBarrelsPerDay]"
"[]","222","1980","[]","[]","eia/INTL.119-3-TJ.A","[Terajoule]"
"[]","222","1980","[]","[]","eia/INTL.7-1-MT.A","[ThousandMetricTons]"
"[]","222","1980","[]","[]","eia/INTL.11-1-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","219","1980","[]","[]","eia/INTL.80-1-MT.A","[ThousandMetricTons]"
"[]","222","1980","[]","[]","eia/INTL.4411-2-QBTU.A","[QuadrillionBtu]"
"[]","219","1980","[]","[]","eia/INTL.80-2-TJ.A","[Terajoule]"
"[]","221","2000","[]","[]","eia/INTL.36-7-MK.A","[MillionKilowatts]"
"[]","222","1980","[]","[]","eia/INTL.130-4-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","220","1980","[]","[]","eia/INTL.54-2-TJ.A","[Terajoule]"
"[]","219","1980","[]","[]","eia/INTL.34-12-TJ.A","[Terajoule]"
"[]","99","1980","[]","[]","eia/INTL.57-1-TJ.A","[Terajoule]"
"[]","218","1980","[]","[]","eia/INTL.47-34-TBTUUSDPP.A","[ThousandBtuPerUsdAtPurchasingPowerParities]"
"[]","222","1980","[]","[]","eia/INTL.21-4-TST.A","[ThousandShortTons]"
"[]","219","2008","[]","[]","eia/INTL.7-6-MST.A","[MillionShortTons]"
"[]","219","1980","[]","[]","eia/INTL.80-1-QBTU.A","[QuadrillionBtu]"
"[]","222","1980","[]","[]","eia/INTL.44-2-QBTU.A","[QuadrillionBtu]"
"[]","222","1980","[]","[]","eia/INTL.7-1-TST.A","[ThousandShortTons]"
"[]","219","2000","[]","[]","eia/INTL.81-1-MT.A","[ThousandMetricTons]"
"[]","222","1980","[]","[]","eia/INTL.130-4-TST.A","[ThousandShortTons]"
"[]","220","1980","[]","[]","eia/INTL.67-2-QBTU.A","[QuadrillionBtu]"
"[]","222","1980","[]","[]","eia/INTL.7-2-MTOE.A","[MillionMetricTonsOfOilEquivalent]"
"[]","219","2000","[]","[]","eia/INTL.117-7-MK.A","[MillionKilowatts]"
"[]","222","1980","[]","[]","eia/INTL.44-2-TJ.A","[Terajoule]"
"[]","220","1980","[]","[]","eia/INTL.33-7-MK.A","[MillionKilowatts]"
"[]","222","1980","[]","[]","eia/INTL.14-4-QBTU.A","[QuadrillionBtu]"
