"StatVar","observationPeriods","MeasurementMethods","ScalingFactors","MinDate","Units","NumPlaces"
"Quarterly_Average_Cost_Coal_ElectricUtilityCogen","[]","[]","[]","2008-03","[USDollarPerShortTon]","1"
"Quarterly_Receipt_Coal_CokePlants","[]","[]","[]","2000-03","[ShortTon]","10"
"Quarterly_Average_Cost_Coal_IndependentPowerProducers","[]","[]","[]","2008-03","[USDollarPerShortTon]","14"
"Annual_Stock_Coal_ElectricUtilityCogen","[]","[]","[]","2008","[ShortTon]","22"
"Quarterly_Average_AshContent_Coal_For_ElectricUtilityNonCogen","[]","[]","[100]","2008-03","[]","27"
"Quarterly_Average_HeatContent_Coal_For_CokePlants","[]","[]","[]","2000-03","[BtuPerPound]","11"
"Annual_Average_HeatContent_Coal_For_ElectricUtilityCogen","[]","[]","[]","2008","[BtuPerPound]","26"
"Annual_Consumption_Coal_IndependentPowerProducers","[]","[]","[]","2001","[ShortTon]","39"
"Annual_Average_SulfurContent_Coal_For_ElectricUtilityCogen","[]","[]","[100]","2008","[]","25"
"Quarterly_Average_AshContent_Coal_For_ElectricUtility","[]","[]","[100]","2008-03","[]","40"
"Quarterly_Average_AshContent_Coal_For_CommercialAndInstitutional","[]","[]","[100]","2000-03","[]","26"
"Quarterly_Average_SulfurContent_Coal_For_ElectricUtilityCogen","[]","[]","[100]","2008-03","[]","24"
"Annual_Receipt_Coal_ElectricUtilityCogen","[]","[]","[]","2008","[ShortTon]","25"
"Quarterly_Consumption_Coal_CommercialAndInstitutional","[]","[]","[]","2000-03","[ShortTon]","36"
"eia/COAL.PROD_DIST_STOCKS.TOT.A","[]","[]","[]","2001","[ShortTons]","26"
"Annual_Consumption_Coal_ElectricUtilityCogen","[]","[]","[]","2001","[ShortTon]","27"
"Annual_Average_AshContent_Coal_For_ElectricUtilityNonCogen","[]","[]","[100]","2008","[]","27"
"Quarterly_Average_AshContent_Coal_For_ElectricPower","[]","[]","[100]","2008-03","[]","49"
"Annual_Average_Cost_Coal_IndependentPowerProducers","[]","[]","[]","2008","[USDollarPerShortTon]","25"
"Quarterly_Stock_Coal_ElectricUtilityNonCogen","[]","[]","[]","2008-03","[ShortTon]","24"
"Quarterly_Average_HeatContent_Coal_For_ElectricUtilityNonCogen","[]","[]","[]","2008-03","[BtuPerPound]","26"
"Quarterly_Consumption_Coal_IndependentPowerProducers","[]","[]","[]","2001-03","[ShortTon]","39"
"eia/COAL.PRICE_BY_RANK.BIT.A","[]","[]","[]","2001","[USDollarPerShortTon]","16"
"Annual_Stock_Coal_CokePlants","[]","[]","[]","2000","[ShortTon]","10"
"Quarterly_Average_AshContent_Coal_For_ElectricUtilityCogen","[]","[]","[100]","2008-03","[]","24"
"Quarterly_Average_SulfurContent_Coal_For_ElectricUtility","[]","[]","[100]","2008-03","[]","40"
"Quarterly_Receipt_Coal_ElectricUtilityNonCogen","[]","[]","[]","2008-03","[ShortTon]","27"
"Quarterly_Receipt_Coal_OtherIndustrial","[]","[]","[]","2000-03","[ShortTon]","45"
"Annual_Average_AshContent_Coal_For_ElectricPower","[]","[]","[100]","2008","[]","49"
"Quarterly_Average_AshContent_Coal_For_OtherIndustrial","[]","[]","[100]","2000-03","[]","45"
"Quarterly_Stock_Coal_ElectricUtilityCogen","[]","[]","[]","2008-03","[ShortTon]","24"
"Annual_Average_Cost_Coal_ElectricUtility","[]","[]","[]","2008","[USDollarPerShortTon]","40"
"Quarterly_Stock_Coal_OtherIndustrial","[]","[]","[]","2000-03","[ShortTon]","44"
"Annual_Average_AshContent_Coal_For_CommercialAndInstitutional","[]","[]","[100]","2000","[]","24"
"Quarterly_Average_AshContent_Coal_For_IndependentPowerProducers","[]","[]","[100]","2008-03","[]","35"
"Annual_Average_Cost_Coal_CommercialAndInstitutional","[]","[]","[]","2000","[USDollarPerShortTon]","12"
"Annual_Consumption_Coal_ElectricUtilityNonCogen","[]","[]","[]","2001","[ShortTon]","30"
"Annual_Average_AshContent_Coal_For_ElectricUtilityCogen","[]","[]","[100]","2008","[]","25"
"Annual_Receipt_Coal_CommercialAndInstitutional","[]","[]","[]","2000","[ShortTon]","26"
"Annual_Average_SulfurContent_Coal_For_ElectricUtility","[]","[]","[100]","2008","[]","40"
"Annual_Average_AshContent_Coal_For_IndependentPowerProducers","[]","[]","[100]","2008","[]","38"
"Annual_Average_SulfurContent_Coal_For_ElectricUtilityNonCogen","[]","[]","[100]","2008","[]","27"
"eia/COAL.PRICE_BY_RANK.LIG.A","[]","[]","[]","2001","[USDollarPerShortTon]","3"
"Quarterly_Average_HeatContent_Coal_For_ElectricUtility","[]","[]","[]","2008-03","[BtuPerPound]","39"
"Quarterly_Stock_Coal_CommercialAndInstitutional","[]","[]","[]","2000-03","[ShortTon]","26"
"Annual_Stock_Coal_ElectricUtility","[]","[]","[]","2008","[ShortTon]","40"
"Annual_Stock_Coal_IndependentPowerProducers","[]","[]","[]","2008","[ShortTon]","32"
"Quarterly_Consumption_Coal_ElectricPower","[]","[]","[]","2001-03","[ShortTon]","48"
"Annual_Receipt_Coal_ElectricUtilityNonCogen","[]","[]","[]","2008","[ShortTon]","27"
"Quarterly_Average_Cost_Coal_OtherIndustrial","[]","[]","[]","2000-03","[USDollarPerShortTon]","35"
"Annual_Average_HeatContent_Coal_For_IndependentPowerProducers","[]","[]","[]","2008","[BtuPerPound]","38"
"Annual_Consumption_Coal_ElectricPower","[]","[]","[]","2001","[ShortTon]","48"
"Quarterly_Receipt_Coal_CommercialAndInstitutional","[]","[]","[]","2000-03","[ShortTon]","26"
"Quarterly_Average_Cost_Coal_ElectricPower","[]","[]","[]","2008-03","[USDollarPerShortTon]","37"
"Quarterly_Receipt_Coal_ElectricUtility","[]","[]","[]","2008-03","[ShortTon]","40"
"Quarterly_Receipt_Coal_IndependentPowerProducers","[]","[]","[]","2008-03","[ShortTon]","35"
"Annual_Average_HeatContent_Coal_For_CokePlants","[]","[]","[]","2000","[BtuPerPound]","11"
"Annual_Consumption_Coal_OtherIndustrial","[]","[]","[]","2000","[ShortTon]","45"
"Quarterly_Average_Cost_Coal_ElectricUtilityNonCogen","[]","[]","[]","2008-03","[USDollarPerShortTon]","1"
"Quarterly_Average_SulfurContent_Coal_For_ElectricUtilityNonCogen","[]","[]","[100]","2008-03","[]","27"
"Annual_Average_Cost_Coal_ElectricPower","[]","[]","[]","2008","[USDollarPerShortTon]","46"
"Annual_Average_HeatContent_Coal_For_CommercialAndInstitutional","[]","[]","[]","2000","[BtuPerPound]","24"
"Annual_Average_SulfurContent_Coal_For_ElectricPower","[]","[]","[100]","2008","[]","49"
"Annual_Receipt_Coal_OtherIndustrial","[]","[]","[]","2000","[ShortTon]","45"
"Quarterly_Stock_Coal_ElectricPower","[]","[]","[]","2008-03","[ShortTon]","48"
"Quarterly_Consumption_Coal_ElectricUtilityNonCogen","[]","[]","[]","2001-03","[ShortTon]","30"
"Annual_Receipt_Coal_ElectricUtility","[]","[]","[]","2008","[ShortTon]","40"
"Quarterly_Average_SulfurContent_Coal_For_CommercialAndInstitutional","[]","[]","[100]","2000-03","[]","26"
"Quarterly_Consumption_Coal_OtherIndustrial","[]","[]","[]","2000-03","[ShortTon]","45"
"Quarterly_Average_SulfurContent_Coal_For_CokePlants","[]","[]","[100]","2000-03","[]","11"
"Annual_Consumption_Coal_ElectricUtility","[]","[]","[]","2001","[ShortTon]","42"
"Quarterly_Average_HeatContent_Coal_For_OtherIndustrial","[]","[]","[]","2000-03","[BtuPerPound]","45"
"Annual_Average_HeatContent_Coal_For_ElectricPower","[]","[]","[]","2008","[BtuPerPound]","48"
"Annual_Stock_Coal_ElectricPower","[]","[]","[]","2008","[ShortTon]","47"
"Annual_Receipt_Coal_IndependentPowerProducers","[]","[]","[]","2008","[ShortTon]","38"
"Quarterly_Consumption_Coal_CokePlants","[]","[]","[]","2000-03","[ShortTon]","10"
