Date,GeoId,MeanMothersAge_BirthEvent,MedianMothersAge_BirthEvent,FertilityRate_Person_Female
2020,country/DEU,31.3,31.8,1.54
2021,country/DEU,31.5,32.0,1.58
2022,country/DEU,31.4,32.0,1.46
2013,country/DNK,30.8,31.0,1.66
2014,country/DNK,30.9,30.9,1.68
2015,country/DNK,30.9,30.8,1.7
2016,country/DNK,31.0,30.7,1.78
2017,country/DNK,31.0,30.7,1.75
2018,country/DNK,31.2,30.8,1.73
2019,country/DNK,31.3,30.9,1.7
2020,country/DNK,31.4,31.0,1.68
2021,country/DNK,31.6,31.2,1.73
2022,country/DNK,31.6,31.3,1.56
2013,country/ESP,31.7,33.0,1.28
2014,country/ESP,31.8,33.1,1.32
2015,country/ESP,31.9,33.3,1.33
2016,country/ESP,32.0,33.4,1.33
2017,country/ESP,32.1,33.5,1.3
2018,country/ESP,32.2,33.5,1.25
2019,country/ESP,32.2,33.5,1.23
2020,country/ESP,32.3,33.5,1.18
2021,country/ESP,32.6,33.7,1.18
2022,country/ESP,32.6,33.6,1.15
2013,country/EST,29.5,29.4,1.53
2014,country/EST,29.6,29.6,1.55
2015,country/EST,29.9,29.9,1.58
2016,country/EST,30.2,30.3,1.61
2017,country/EST,30.3,30.6,1.6
2018,country/EST,30.5,31.0,1.68
2019,country/EST,30.6,31.2,1.67
2020,country/EST,30.8,31.6,1.59
2021,country/EST,31.0,31.9,1.61
2022,country/EST,30.9,31.9,1.41
2013,country/FIN,30.5,30.5,1.75
2014,country/FIN,30.5,30.6,1.71
2015,country/FIN,30.6,30.7,1.65
2016,country/FIN,30.8,30.8,1.57
2017,country/FIN,30.9,31.0,1.49
2018,country/FIN,31.0,31.1,1.41
2019,country/FIN,31.1,31.3,1.35
2020,country/FIN,31.2,31.4,1.37
2021,country/FIN,31.4,31.7,1.46
2022,country/FIN,31.5,31.8,1.32
2013,country/FRA,30.2,30.3,1.99
2014,country/FRA,30.3,30.4,2.0
2015,country/FRA,30.4,30.5,1.96
2016,country/FRA,30.5,30.7,1.92
2017,country/FRA,30.6,30.8,1.89
2018,country/FRA,30.7,31.0,1.87
2019,country/FRA,30.7,31.1,1.86
2020,country/FRA,30.8,31.1,1.82
2021,country/FRA,31.0,31.4,1.84
2022,country/FRA,31.0,31.4,1.79
2013,country/GBR,30.0,30.1,1.83
2014,country/GBR,30.1,30.3,1.82
2015,country/GBR,30.3,30.4,1.81
2016,country/GBR,30.4,30.6,1.79
2017,country/GBR,30.5,30.7,1.74
2018,country/GBR,30.6,30.9,1.68
2013,country/GRC,30.9,31.8,1.3
2014,country/GRC,31.0,32.0,1.3
2015,country/GRC,31.3,32.3,1.33
2016,country/GRC,31.3,32.4,1.38
2017,country/GRC,31.4,32.5,1.35
2018,country/GRC,31.5,32.6,1.35
2019,country/GRC,31.7,32.7,1.33
2020,country/GRC,31.7,32.7,1.38
2021,country/GRC,32.1,33.0,1.43
2022,country/GRC,32.0,33.0,1.31
2013,country/HRV,29.6,29.9,1.46
2014,country/HRV,29.8,30.2,1.46
2015,country/HRV,29.9,30.3,1.4
2016,country/HRV,30.1,30.6,1.43
2017,country/HRV,30.3,30.9,1.42
2018,country/HRV,30.4,31.0,1.47
2019,country/HRV,30.5,31.1,1.47
2020,country/HRV,30.5,31.1,1.56
2021,country/HRV,30.7,31.3,1.62
2022,country/HRV,30.6,31.2,1.53
2013,country/HUN,29.4,30.6,1.35
2014,country/HUN,29.5,30.7,1.44
2015,country/HUN,29.6,30.7,1.45
2016,country/HUN,29.6,30.6,1.53
2017,country/HUN,29.7,30.7,1.54
2018,country/HUN,29.8,30.7,1.54
2019,country/HUN,29.8,30.6,1.55
2020,country/HUN,29.8,30.6,1.58
2021,country/HUN,30.0,30.7,1.6
2022,country/HUN,30.0,30.7,1.56
2013,country/IRL,31.7,32.5,1.94
2014,country/IRL,31.8,32.7,1.9
2015,country/IRL,31.9,32.9,1.86
2016,country/IRL,32.1,33.1,1.82
2017,country/IRL,32.1,33.2,1.77
2018,country/IRL,32.2,33.4,1.76
2019,country/IRL,32.4,33.5,1.71
2020,country/IRL,32.6,33.6,1.63
2021,country/IRL,32.7,33.7,1.78
2022,country/IRL,33.1,34.2,1.54
2013,country/ISL,,30.1,
2014,country/ISL,30.2,29.8,1.93
2015,country/ISL,30.3,29.9,1.81
2016,country/ISL,30.6,30.2,1.75
2017,country/ISL,30.5,30.0,1.71
2018,country/ISL,30.6,30.0,1.71
2019,country/ISL,30.9,30.4,1.75
2020,country/ISL,30.7,30.3,1.73
2021,country/ISL,30.8,30.3,1.83
2022,country/ISL,30.9,30.6,1.6
2013,country/ITA,31.4,32.5,1.39
2014,country/ITA,31.5,32.5,1.38
2015,country/ITA,31.6,32.6,1.36
2016,country/ITA,31.7,32.6,1.35
2017,country/ITA,31.9,32.7,1.33
2018,country/ITA,31.9,32.7,1.3
2019,country/ITA,32.1,32.7,1.26
2020,country/ITA,32.1,32.8,1.24
2021,country/ITA,32.3,33.0,1.25
2022,country/ITA,32.4,32.9,1.24
2013,country/LIE,,31.9,
2014,country/LIE,32.1,32.3,1.59
2015,country/LIE,31.5,31.8,1.4
2016,country/LIE,32.4,32.7,1.61
2017,country/LIE,31.7,32.0,1.44
2018,country/LIE,32.3,32.6,1.58
2019,country/LIE,32.3,32.7,1.48
2020,country/LIE,32.3,32.5,1.46
2021,country/LIE,32.3,32.8,1.54
2022,country/LIE,32.5,33.0,1.48
2013,country/LTU,,28.7,
2014,country/LTU,29.3,29.0,1.57
2015,country/LTU,29.4,29.2,1.63
2016,country/LTU,29.5,29.4,1.63
2017,country/LTU,29.7,29.7,1.57
2018,country/LTU,29.9,30.1,1.53
2019,country/LTU,30.0,30.3,1.44
2020,country/LTU,30.2,30.6,1.36
2021,country/LTU,30.4,31.0,1.37
2022,country/LTU,30.3,31.0,1.28
2013,country/LUX,31.3,31.8,1.55
2014,country/LUX,31.4,32.0,1.5
2015,country/LUX,31.5,32.0,1.47
2016,country/LUX,31.7,32.2,1.42
2017,country/LUX,31.9,32.3,1.4
2018,country/LUX,32.1,32.6,1.39
2019,country/LUX,32.3,32.7,1.34
2020,country/LUX,32.3,32.6,1.37
2021,country/LUX,32.5,32.8,1.39
2022,country/LUX,32.4,32.7,1.32
2013,country/LVA,29.0,28.8,1.53
2014,country/LVA,29.1,29.1,1.65
2015,country/LVA,29.4,29.5,1.71
2016,country/LVA,29.6,29.8,1.74
2017,country/LVA,29.7,30.1,1.7
2018,country/LVA,29.9,30.5,1.61
2019,country/LVA,30.0,30.8,1.61
2020,country/LVA,30.0,31.0,1.55
2021,country/LVA,30.2,31.2,1.57
2022,country/LVA,30.3,31.5,1.47
2013,country/MKD,,28.2,
2014,country/MKD,28.4,28.3,1.53
2015,country/MKD,28.5,28.6,1.5
2016,country/MKD,28.6,28.7,1.51
2017,country/MKD,28.7,28.8,1.44
2018,country/MKD,28.7,28.9,1.43
2019,country/MKD,28.7,29.0,1.35
2020,country/MKD,28.6,29.0,1.31
2021,country/MKD,28.8,29.1,1.44
2022,country/MKD,29.0,29.2,1.58
2013,country/MLT,30.0,30.4,1.37
2014,country/MLT,30.1,30.4,1.38
2015,country/MLT,30.3,30.7,1.37
2016,country/MLT,30.5,31.0,1.38
2017,country/MLT,30.4,30.9,1.27
2018,country/MLT,30.7,31.4,1.24
2019,country/MLT,30.7,31.4,1.15
2020,country/MLT,30.7,31.5,1.14
2021,country/MLT,31.0,31.9,1.14
2022,country/MLT,31.1,32.1,1.09
2013,country/MNE,,29.0,
2014,country/MNE,29.3,29.3,1.76
2015,country/MNE,29.4,29.4,1.74
2016,country/MNE,29.6,29.7,1.79
2017,country/MNE,29.8,29.9,1.78
2018,country/MNE,29.8,30.0,1.76
2019,country/MNE,29.8,30.2,1.77
2020,country/MNE,29.9,30.2,1.75
2021,country/MNE,30.0,30.3,1.76
2022,country/MNE,30.2,30.5,1.77
2013,country/NLD,30.9,31.1,1.67
2014,country/NLD,31.0,31.1,1.71
2015,country/NLD,31.2,31.2,1.66
2016,country/NLD,31.3,31.3,1.66
2017,country/NLD,31.4,31.4,1.62
2018,country/NLD,31.5,31.5,1.59
2019,country/NLD,31.6,31.6,1.57
2020,country/NLD,31.7,31.7,1.55
2021,country/NLD,31.8,31.8,1.63
2022,country/NLD,31.8,31.8,1.49
2013,country/NOR,,30.5,
2014,country/NOR,30.6,30.6,1.75
2015,country/NOR,30.7,30.6,1.73
2016,country/NOR,30.8,30.7,1.71
2017,country/NOR,31.0,30.9,1.63
2018,country/NOR,31.1,31.0,1.57
2019,country/NOR,31.3,31.3,1.54
2020,country/NOR,31.4,31.4,1.48
2021,country/NOR,31.5,31.6,1.56
2022,country/NOR,31.6,31.6,1.42
2013,country/POL,29.0,29.1,1.3
2014,country/POL,29.1,29.4,1.33
2015,country/POL,29.2,29.7,1.33
2016,country/POL,29.3,29.9,1.39
2017,country/POL,29.5,30.1,1.49
2018,country/POL,29.6,30.2,1.46
2019,country/POL,29.7,30.4,1.44
2020,country/POL,29.8,30.5,1.4
2021,country/POL,29.9,30.7,1.34
2022,country/POL,30.0,30.8,1.29
2013,country/PRT,30.4,31.6,1.21
2014,country/PRT,30.7,31.9,1.23
2015,country/PRT,30.9,32.1,1.31
2016,country/PRT,31.1,32.3,1.36
2017,country/PRT,31.2,32.3,1.38
2018,country/PRT,31.4,32.4,1.42
2019,country/PRT,31.4,32.4,1.43
2020,country/PRT,31.6,32.5,1.41
2021,country/PRT,31.8,32.6,1.35
2022,country/PRT,31.7,32.5,1.42
2013,country/ROU,27.4,27.9,1.45
2014,country/ROU,27.5,28.1,1.56
2015,country/ROU,27.7,28.2,1.62
2016,country/ROU,27.7,28.3,1.69
2017,country/ROU,27.9,28.6,1.78
2018,country/ROU,28.0,28.7,1.76
2019,country/ROU,28.1,28.9,1.77
2020,country/ROU,28.2,29.1,1.79
2021,country/ROU,28.2,29.0,1.8
2022,country/ROU,28.2,28.9,1.7
2014,country/SRB,,29.2,
2015,country/SRB,,29.5,
2016,country/SRB,,29.6,
2017,country/SRB,29.2,29.8,1.49
2018,country/SRB,29.4,30.0,1.49
2019,country/SRB,29.5,30.2,1.52
2020,country/SRB,29.5,30.2,1.48
2021,country/SRB,29.5,30.1,1.52
2022,country/SRB,29.7,30.3,1.59
2013,country/SVK,28.8,29.3,1.35
2014,country/SVK,28.8,29.6,1.37
2015,country/SVK,28.8,29.7,1.41
2016,country/SVK,28.8,29.7,1.49
2017,country/SVK,28.8,29.8,1.53
2018,country/SVK,28.8,29.9,1.55
2019,country/SVK,28.8,30.0,1.57
2020,country/SVK,28.9,30.0,1.59
2021,country/SVK,28.9,30.2,1.63
2022,country/SVK,28.9,30.1,1.57
2013,country/SVN,30.0,30.5,1.55
2014,country/SVN,30.2,30.6,1.58
2015,country/SVN,30.2,30.7,1.58
2016,country/SVN,30.3,30.9,1.59
2017,country/SVN,30.3,30.9,1.62
2018,country/SVN,30.4,31.1,1.61
2019,country/SVN,30.4,31.2,1.61
2020,country/SVN,30.4,31.1,1.59
2021,country/SVN,30.4,31.1,1.64
2022,country/SVN,30.4,31.1,1.54
2013,country/SWE,30.9,30.9,1.88
2014,country/SWE,30.9,30.8,1.88
2015,country/SWE,31.0,30.7,1.85
2016,country/SWE,31.0,30.8,1.86
2017,country/SWE,31.1,30.9,1.79
2018,country/SWE,31.1,30.9,1.76
2019,country/SWE,31.2,31.1,1.72
2020,country/SWE,31.3,31.3,1.68
2021,country/SWE,31.5,31.6,1.69
2022,country/SWE,31.6,31.8,1.54
2013,country/TUR,,27.9,
2014,country/TUR,28.5,28.1,2.17
2015,country/TUR,28.6,28.2,2.14
2016,country/TUR,28.7,28.3,2.11
2017,country/TUR,28.7,28.4,2.07
2018,country/TUR,28.9,28.5,2.0
2019,country/TUR,29.0,28.6,1.88
2020,country/TUR,29.0,28.6,1.76
2021,country/TUR,,28.8,
2022,country/TUR,29.2,28.8,1.63
2014,nuts/AL0,27.8,26.6,1.7
2015,nuts/AL0,27.9,26.9,1.59
2016,nuts/AL0,28.1,27.1,1.53
2017,nuts/AL0,28.4,27.5,1.47
2018,nuts/AL0,28.6,27.7,1.37
2019,nuts/AL0,28.9,28.1,1.36
2020,nuts/AL0,29.0,28.3,1.33
2021,nuts/AL0,29.2,28.7,1.31
2022,nuts/AL0,29.5,29.1,1.21
2014,nuts/AL01,27.7,26.4,1.87
2015,nuts/AL01,27.7,26.5,1.73
2016,nuts/AL01,27.9,26.7,1.73
2017,nuts/AL01,28.2,27.0,1.69
2018,nuts/AL01,28.4,27.3,1.58
2019,nuts/AL01,28.6,27.5,1.6
2020,nuts/AL01,28.6,27.7,1.56
2021,nuts/AL01,28.9,28.1,1.58
2022,nuts/AL01,29.2,28.5,1.45
2014,nuts/AL011,27.4,25.6,2.36
2015,nuts/AL011,27.3,25.4,2.13
2016,nuts/AL011,27.4,25.7,2.17
2017,nuts/AL011,27.6,26.0,2.22
2018,nuts/AL011,28.0,26.6,2.14
2019,nuts/AL011,28.2,26.8,2.29
2020,nuts/AL011,28.1,26.9,2.28
2021,nuts/AL011,28.6,27.4,2.31
2022,nuts/AL011,28.9,27.6,1.97
2014,nuts/AL012,27.3,26.3,1.74
2015,nuts/AL012,27.2,26.4,1.62
2016,nuts/AL012,27.4,26.6,1.6
2017,nuts/AL012,27.6,26.9,1.55
2018,nuts/AL012,27.9,27.2,1.44
2019,nuts/AL012,28.2,27.5,1.44
2020,nuts/AL012,28.5,27.8,1.41
2021,nuts/AL012,28.6,28.2,1.4
2022,nuts/AL012,28.8,28.5,1.3
2014,nuts/AL013,28.5,27.3,2.3
2015,nuts/AL013,28.9,27.7,2.18
2016,nuts/AL013,28.9,27.7,2.29
2017,nuts/AL013,29.2,28.2,2.33
2018,nuts/AL013,29.1,28.1,2.1
2019,nuts/AL013,29.6,28.7,2.54
2020,nuts/AL013,29.6,28.6,2.07
2021,nuts/AL013,30.0,29.2,2.26
2022,nuts/AL013,30.0,29.0,2.15
2014,nuts/AL014,28.1,26.7,1.94
2015,nuts/AL014,28.1,26.8,1.87
2016,nuts/AL014,28.5,27.1,1.86
2017,nuts/AL014,28.9,27.6,1.8
2018,nuts/AL014,28.9,27.6,1.63
2019,nuts/AL014,28.8,27.4,1.52
2020,nuts/AL014,29.1,27.8,1.61
2021,nuts/AL014,29.3,28.1,1.67
2022,nuts/AL014,30.0,29.0,1.63
2014,nuts/AL015,27.9,26.5,1.57
2015,nuts/AL015,27.9,26.5,1.43
2016,nuts/AL015,28.0,26.8,1.4
2017,nuts/AL015,28.3,26.7,1.36
2018,nuts/AL015,28.6,27.3,1.32
2019,nuts/AL015,28.7,27.6,1.26
2020,nuts/AL015,28.7,27.7,1.27
2021,nuts/AL015,28.8,28.0,1.3
2022,nuts/AL015,29.2,28.4,1.17
2014,nuts/AL02,28.4,27.3,1.67
2015,nuts/AL02,28.6,27.6,1.56
2016,nuts/AL02,28.9,27.9,1.49
2017,nuts/AL02,29.2,28.2,1.41
2018,nuts/AL02,29.3,28.4,1.35
2019,nuts/AL02,29.5,28.8,1.29
2020,nuts/AL02,29.7,29.1,1.28
2021,nuts/AL02,29.8,29.5,1.24
2022,nuts/AL02,29.9,29.8,1.19
2014,nuts/AL021,27.5,26.2,1.98
2015,nuts/AL021,27.6,26.3,1.73
2016,nuts/AL021,27.8,26.7,1.75
2017,nuts/AL021,28.1,27.0,1.63
2018,nuts/AL021,28.4,27.2,1.6
2019,nuts/AL021,28.8,27.7,1.56
2020,nuts/AL021,28.9,27.9,1.55
2021,nuts/AL021,29.2,28.2,1.4
2022,nuts/AL021,29.3,28.4,1.32
2014,nuts/AL022,28.8,27.6,1.58
2015,nuts/AL022,28.9,28.0,1.52
2016,nuts/AL022,29.3,28.3,1.42
2017,nuts/AL022,29.5,28.5,1.36
2018,nuts/AL022,29.6,28.8,1.29
2019,nuts/AL022,29.8,29.1,1.23
2020,nuts/AL022,30.0,29.4,1.22
2021,nuts/AL022,30.0,29.8,1.2
2022,nuts/AL022,30.2,30.2,1.16
2014,nuts/AL03,27.0,25.9,1.6
2015,nuts/AL03,27.2,26.3,1.5
2016,nuts/AL03,27.4,26.5,1.44
2017,nuts/AL03,27.7,26.9,1.37
2018,nuts/AL03,27.9,27.1,1.2
2019,nuts/AL03,28.2,27.4,1.23
2020,nuts/AL03,28.4,27.7,1.2
2021,nuts/AL03,28.7,28.0,1.16
2022,nuts/AL03,29.0,28.5,1.04
2014,nuts/AL031,26.3,25.0,1.74
2015,nuts/AL031,26.9,26.0,1.65
2016,nuts/AL031,27.0,26.0,1.59
2017,nuts/AL031,27.3,26.5,1.57
2018,nuts/AL031,27.5,26.4,1.42
2019,nuts/AL031,27.7,26.8,1.41
2020,nuts/AL031,28.3,27.4,1.33
2021,nuts/AL031,28.6,27.6,1.38
2022,nuts/AL031,29.2,28.4,1.31
2014,nuts/AL032,26.7,25.4,1.74
2015,nuts/AL032,26.9,25.7,1.61
2016,nuts/AL032,27.1,26.0,1.56
2017,nuts/AL032,27.5,26.5,1.5
2018,nuts/AL032,27.6,26.7,1.31
2019,nuts/AL032,27.9,27.0,1.31
2020,nuts/AL032,28.1,27.3,1.32
2021,nuts/AL032,28.6,27.8,1.25
2022,nuts/AL032,28.9,28.3,1.13
2014,nuts/AL033,27.5,26.8,1.54
2015,nuts/AL033,28.0,27.2,1.49
2016,nuts/AL033,28.5,27.7,1.47
2017,nuts/AL033,28.7,27.8,1.35
2018,nuts/AL033,28.8,28.0,1.3
2019,nuts/AL033,29.2,28.4,1.28
2020,nuts/AL033,29.7,29.2,1.34
2021,nuts/AL033,29.4,28.6,1.24
2022,nuts/AL033,30.1,29.3,1.17
2014,nuts/AL034,27.2,26.3,1.58
2015,nuts/AL034,27.4,26.4,1.47
2016,nuts/AL034,27.6,26.7,1.37
2017,nuts/AL034,27.7,26.9,1.31
2018,nuts/AL034,28.2,27.4,1.1
2019,nuts/AL034,28.5,27.7,1.2
2020,nuts/AL034,28.6,27.8,1.16
2021,nuts/AL034,28.6,27.9,1.15
2022,nuts/AL034,28.9,28.3,0.92
2014,nuts/AL035,27.6,26.7,1.33
2015,nuts/AL035,27.5,26.9,1.27
2016,nuts/AL035,27.6,27.0,1.22
2017,nuts/AL035,28.1,27.5,1.15
2018,nuts/AL035,28.4,27.9,1.0
2019,nuts/AL035,28.6,28.0,1.04
2020,nuts/AL035,28.7,28.4,0.96
2021,nuts/AL035,28.8,28.5,0.91
2022,nuts/AL035,29.1,28.9,0.88
2013,nuts/AT1,30.3,30.7,1.41
2014,nuts/AT1,30.4,30.7,1.43
2015,nuts/AT1,30.6,30.9,1.45
2016,nuts/AT1,30.7,30.9,1.49
2017,nuts/AT1,30.8,31.1,1.46
2018,nuts/AT1,30.9,31.2,1.42
2019,nuts/AT1,31.1,31.4,1.4
2020,nuts/AT1,31.1,31.5,1.36
2021,nuts/AT1,31.3,31.7,1.4
2022,nuts/AT1,31.3,31.7,1.34
2013,nuts/AT11,30.3,31.0,1.27
2014,nuts/AT11,30.2,30.9,1.33
2015,nuts/AT11,30.6,31.3,1.37
2016,nuts/AT11,30.7,31.3,1.41
2017,nuts/AT11,30.6,31.3,1.36
2018,nuts/AT11,31.0,31.7,1.37
2019,nuts/AT11,31.0,31.7,1.38
2020,nuts/AT11,31.0,31.7,1.32
2021,nuts/AT11,31.5,32.2,1.4
2022,nuts/AT11,31.1,31.8,1.36
2013,nuts/AT111,,31.0,
2014,nuts/AT111,30.7,30.9,1.39
2015,nuts/AT111,30.7,31.3,1.39
2016,nuts/AT111,31.4,31.9,1.4
2017,nuts/AT111,30.7,31.3,1.36
2018,nuts/AT111,30.7,31.5,1.47
2019,nuts/AT111,31.1,31.8,1.21
2020,nuts/AT111,31.7,32.3,1.16
2021,nuts/AT111,31.8,32.4,1.24
2022,nuts/AT111,30.9,31.3,1.39
2013,nuts/AT112,,31.0,
2014,nuts/AT112,30.3,30.9,1.34
2015,nuts/AT112,30.8,31.5,1.35
2016,nuts/AT112,30.9,31.6,1.41
2017,nuts/AT112,30.9,31.5,1.34
2018,nuts/AT112,31.2,31.9,1.39
2019,nuts/AT112,31.1,31.8,1.41
2020,nuts/AT112,31.2,31.8,1.39
2021,nuts/AT112,31.5,32.2,1.41
2022,nuts/AT112,31.5,32.2,1.33
2013,nuts/AT113,,30.9,
2014,nuts/AT113,30.0,30.8,1.28
2015,nuts/AT113,30.2,31.0,1.38
2016,nuts/AT113,30.1,30.6,1.4
2017,nuts/AT113,30.3,30.9,1.38
2018,nuts/AT113,30.7,31.3,1.31
2019,nuts/AT113,30.8,31.6,1.4
2020,nuts/AT113,30.5,31.1,1.25
2021,nuts/AT113,31.4,32.1,1.45
2022,nuts/AT113,30.5,31.0,1.4
2013,nuts/AT12,30.1,30.5,1.47
2014,nuts/AT12,30.2,30.5,1.5
2015,nuts/AT12,30.4,30.8,1.52
2016,nuts/AT12,30.4,30.7,1.59
2017,nuts/AT12,30.6,30.9,1.57
2018,nuts/AT12,30.6,30.9,1.52
2019,nuts/AT12,30.7,31.1,1.5
2020,nuts/AT12,30.8,31.2,1.5
2021,nuts/AT12,31.0,31.4,1.56
2022,nuts/AT12,30.9,31.4,1.49
2013,nuts/AT121,,29.7,
2014,nuts/AT121,30.0,29.9,1.62
2015,nuts/AT121,30.2,30.1,1.62
2016,nuts/AT121,30.1,30.1,1.71
2017,nuts/AT121,30.2,30.3,1.7
2018,nuts/AT121,30.4,30.5,1.63
2019,nuts/AT121,30.3,30.3,1.62
2020,nuts/AT121,30.5,30.7,1.59
2021,nuts/AT121,30.6,30.9,1.68
2022,nuts/AT121,30.5,30.7,1.63
2013,nuts/AT122,,29.6,
2014,nuts/AT122,29.6,29.6,1.53
2015,nuts/AT122,29.8,30.1,1.58
2016,nuts/AT122,29.8,30.0,1.59
2017,nuts/AT122,30.1,30.2,1.57
2018,nuts/AT122,30.3,30.5,1.54
2019,nuts/AT122,30.4,30.6,1.5
2020,nuts/AT122,30.5,30.7,1.56
2021,nuts/AT122,30.7,31.1,1.51
2022,nuts/AT122,30.5,30.9,1.43
2013,nuts/AT123,,29.9,
2014,nuts/AT123,30.0,30.2,1.51
2015,nuts/AT123,30.1,30.3,1.53
2016,nuts/AT123,30.1,30.3,1.57
2017,nuts/AT123,30.7,31.0,1.91
2018,nuts/AT123,30.4,30.5,1.51
2019,nuts/AT123,30.5,30.7,1.53
2020,nuts/AT123,30.6,31.0,1.49
2021,nuts/AT123,30.7,31.1,1.59
2022,nuts/AT123,30.8,31.1,1.55
2013,nuts/AT124,,30.5,
2014,nuts/AT124,30.4,30.5,1.39
2015,nuts/AT124,30.4,30.4,1.47
2016,nuts/AT124,30.5,30.7,1.6
2017,nuts/AT124,30.7,30.7,1.58
2018,nuts/AT124,30.6,30.8,1.51
2019,nuts/AT124,30.8,30.9,1.5
2020,nuts/AT124,30.9,31.1,1.43
2021,nuts/AT124,30.9,31.2,1.52
2022,nuts/AT124,31.1,31.4,1.5
2013,nuts/AT125,,30.3,
2014,nuts/AT125,30.1,30.4,1.41
2015,nuts/AT125,30.3,30.6,1.48
2016,nuts/AT125,30.5,31.0,1.54
2017,nuts/AT125,30.3,30.6,1.42
2018,nuts/AT125,30.4,30.6,1.4
2019,nuts/AT125,30.7,31.2,1.49
2020,nuts/AT125,30.8,31.2,1.52
2021,nuts/AT125,31.1,31.6,1.51
2022,nuts/AT125,30.6,31.3,1.4
2013,nuts/AT126,,31.2,
2014,nuts/AT126,30.7,31.3,1.5
2015,nuts/AT126,31.0,31.7,1.48
2016,nuts/AT126,30.9,31.3,1.58
2017,nuts/AT126,31.0,31.6,1.41
2018,nuts/AT126,31.0,31.5,1.52
2019,nuts/AT126,31.3,31.9,1.46
2020,nuts/AT126,31.3,31.9,1.44
2021,nuts/AT126,31.2,31.8,1.56
2022,nuts/AT126,31.4,32.0,1.46
2013,nuts/AT127,,31.4,
2014,nuts/AT127,30.6,31.3,1.48
2015,nuts/AT127,30.8,31.5,1.45
2016,nuts/AT127,30.7,31.3,1.52
2017,nuts/AT127,30.7,31.3,1.5
2018,nuts/AT127,30.9,31.5,1.48
2019,nuts/AT127,30.9,31.5,1.42
2020,nuts/AT127,31.1,31.7,1.46
2021,nuts/AT127,31.3,32.0,1.53
2022,nuts/AT127,31.3,32.0,1.41
2013,nuts/AT13,30.4,30.8,1.41
2014,nuts/AT13,30.6,30.8,1.41
2015,nuts/AT13,30.7,31.0,1.43
2016,nuts/AT13,30.9,31.1,1.46
