place_name,dcid,placeId,name,alternateName,typeOf,containedInPlace
MX12067,wikidataId/Q4459030,,,,,
MX07093,wikidataId/Q376900,,,,,
MX05020,wikidataId/Q2466033,,,,,
MX21127,wikidataId/Q3894235,,,,,
MX08006,wikidataId/Q4838929,,,,,
MX20555,wikidataId/Q3891034,,,,,
MX21191,wikidataId/Q3891329,,,,,
MX20499,wikidataId/Q3889956,,,,,
MX01009,wikidataId/Q3850537,,,,,
MX20076,wikidataId/Q7731295,,,,,
MX32022,wikidataId/Q2447285,,,,,
MX27009,wikidataId/Q2669496,,,,,
MX20308,wikidataId/Q3889616,,,,,
MX19001,wikidataId/Q396830,,,,,
MX20334,wikidataId/Q65093885,,,,,
MX14063,wikidataId/Q4410373,,,,,
MX31097,wikidataId/Q2657296,,,,,
MX25016,wikidataId/Q2592307,,,,,
MX23011,wikidataId/Q21451666,,,,,
MX04009,wikidataId/Q2541910,,,,,
MX24045,wikidataId/Q20260135,,,,,
MX24009,wikidataId/Q3311798,,,,,
MX31052,wikidataId/Q1905586,,,,,
MX12064,wikidataId/Q7810698,,,,,
MX13005,wikidataId/Q27796637,,,,,
MX30135,wikidataId/Q3845824,,,,,
MX07088,wikidataId/Q1953214,,,,,
MX20290,wikidataId/Q7415022,,,,,
MX24034,wikidataId/Q9073753,,,,,
MX27002,wikidataId/Q2977873,,,,,
MX22004,wikidataId/Q3849678,,,,,
MX15058,wikidataId/Q3313478,,,,,
MX30066,wikidataId/Q8778635,,,,,
MX15044,wikidataId/Q114090,,,,,
MX14092,wikidataId/Q3311895,,,,,
MX30004,wikidataId/Q20160851,,,,,
MX13031,wikidataId/Q2639775,,,,,
MX25009,wikidataId/Q1367437,,,,,
MX20385,wikidataId/Q2498642,,,,,
MX15020,wikidataId/Q1781109,,,,,
MX11010,wikidataId/Q20209179,,,,,
MX14058,wikidataId/Q3056144,,,,,
MX08052,wikidataId/Q2913712,,,,,
MX12062,wikidataId/Q3847037,,,,,
MX20423,wikidataId/Q3891503,,,,,
MX30018,wikidataId/Q3847202,,,,,
MX21063,wikidataId/Q5398884,,,,,
MX19024,wikidataId/Q3849535,,,,,
MX19007,wikidataId/Q625719,,,,,
MX30119,wikidataId/Q3891676,,,,,
MX30009,wikidataId/Q2651826,,,,,
MX29014,wikidataId/Q2001180,,,,,
MX21078,wikidataId/Q10769319,,,,,
MX12003,wikidataId/Q2651910,,,,,
MX12031,wikidataId/Q5531754,,,,,
MX10008,wikidataId/Q2914014,,,,,
MX11022,wikidataId/Q2651323,,,,,
MX21170,wikidataId/Q7701288,,,,,
MX21011,wikidataId/Q1998869,,,,,
MX20034,wikidataId/Q45718805,,,,,
MX31024,wikidataId/Q2977898,,,,,
MX20141,wikidataId/Q12354866,,,,,
MX29021,wikidataId/Q964538,,,,,
MX14045,wikidataId/Q2884370,,,,,
MX30170,wikidataId/Q3846389,,,,,
MX29016,wikidataId/Q5923648,,,,,
MX20177,wikidataId/Q10812437,,,,,
MX31034,wikidataId/Q942117,,,,,
MX20351,wikidataId/Q3888152,,,,,
MX15111,wikidataId/Q3850596,,,,,
MX20011,wikidataId/Q4576809,,,,,
MX16113,wikidataId/Q9064894,,,,,
MX20271,wikidataId/Q3891383,,,,,
MX14099,wikidataId/Q2885583,,,,,
MX10001,wikidataId/Q2990948,,,,,
MX20452,wikidataId/Q3889582,,,,,
MX31030,wikidataId/Q2093649,,,,,
MX21010,wikidataId/Q4699520,,,,,
MX08016,wikidataId/Q2977866,,,,,
MX10012,wikidataId/Q2348954,,,,,
MX21001,wikidataId/Q2984107,,,,,
MX21207,wikidataId/Q2449230,,,,,
MX24004,wikidataId/Q3311902,,,,,
MX07054,wikidataId/Q1751944,,,,,
MX15106,wikidataId/Q2308567,,,,,
MX24046,wikidataId/Q3846982,,,,,
MX06004,wikidataId/Q8350879,,,,,
MX25006,wikidataId/Q2485095,,,,,
MX12075,wikidataId/Q2637466,,,,,
MX30206,wikidataId/Q3891743,,,,,
MX01005,wikidataId/Q931879,,,,,
MX05007,wikidataId/Q3850589,,,,,
MX12010,wikidataId/Q1771198,,,,,
MX08017,wikidataId/Q2656480,,,,,
MX20082,wikidataId/Q4967262,,,,,
MX15014,wikidataId/Q1323910,,,,,
MX31067,wikidataId/Q2588093,,,,,
MX29013,wikidataId/Q2363664,,,,,
MX14055,wikidataId/Q2652046,,,,,
MX20148,wikidataId/Q3888648,,,,,
MX30202,wikidataId/Q8074020,,,,,
MX21069,wikidataId/Q2447288,,,,,
MX14011,wikidataId/Q3316715,,,,,
MX20036,wikidataId/Q4968997,,,,,
MX30094,wikidataId/Q3846796,,,,,
MX08018,wikidataId/Q2652312,,,,,
MX20073,wikidataId/Q2651344,,,,,
MX24010,wikidataId/Q3311860,,,,,
MX08062,wikidataId/Q2450372,,,,,
MX16080,wikidataId/Q10819400,,,,,
MX20521,wikidataId/Q4967417,,,,,
MX24056,wikidataId/Q7930541,,,,,
MX31019,wikidataId/Q2669535,,,,,
MX20523,wikidataId/Q4967255,,,,,
MX11008,wikidataId/Q2447549,,,,,
MX27008,wikidataId/Q1962816,,,,,
MX32031,wikidataId/Q4302025,,,,,
MX21044,wikidataId/Q608391,,,,,
MX19005,wikidataId/Q765491,,,,,
MX30097,wikidataId/Q4140430,,,,,
MX21177,wikidataId/Q7810689,,,,,
MX30015,wikidataId/Q3893285,,,,,
MX15064,wikidataId/Q2115222,,,,,
MX20399,wikidataId/Q3846612,,,,,
MX21195,wikidataId/Q7925161,,,,,
MX21215,wikidataId/Q3892831,,,,,
MX13019,wikidataId/Q3845500,,,,,
MX11017,wikidataId/Q9009232,,,,,
MX14072,wikidataId/Q3311254,,,,,
MX20213,wikidataId/Q3889152,,,,,
MX30104,wikidataId/Q3846627,,,,,
MX21186,wikidataId/Q2001167,,,,,
MX15084,wikidataId/Q23058803,,,,,
MX20493,wikidataId/Q3888566,,,,,
MX16009,wikidataId/Q4790739,,,,,
MX12001,wikidataId/Q2378103,,,,,
MX07003,wikidataId/Q1952856,,,,,
MX14117,wikidataId/Q2943527,,,,,
MX28039,wikidataId/Q1999239,,,,,
MX12018,wikidataId/Q5168293,,,,,
MX20370,wikidataId/Q7419287,,,,,
MX08064,wikidataId/Q2990973,,,,,
MX08028,wikidataId/Q2997100,,,,,
MX14062,wikidataId/Q3175234,,,,,
MX08032,wikidataId/Q2991071,,,,,
MX21019,wikidataId/Q4816939,,,,,
MX13026,wikidataId/Q3845439,,,,,
MX20199,wikidataId/Q4967407,,,,,
MX14049,wikidataId/Q51900586,,,,,
MX32034,wikidataId/Q2214354,,,,,
MX32053,wikidataId/Q4111396,,,,,
MX15068,wikidataId/Q3300448,,,,,
MX15071,wikidataId/Q3308505,,,,,
MX21200,wikidataId/Q2449355,,,,,
MX07040,wikidataId/Q1393838,,,,,
MX20453,wikidataId/Q3889461,,,,,
MX07013,wikidataId/Q1952887,,,,,
MX13027,wikidataId/Q3849444,,,,,
MX25008,wikidataId/Q11077460,,,,,
MX16053,wikidataId/Q10972151,,,,,
MX16048,wikidataId/Q6029700,,,,,
MX21086,wikidataId/Q6126975,,,,,
MX07082,wikidataId/Q1784458,,,,,
MX30161,wikidataId/Q1997676,,,,,
MX08027,wikidataId/Q2656458,,,,,
MX20250,wikidataId/Q4969029,,,,,
MX08007,wikidataId/Q2606280,,,,,
MX30032,wikidataId/Q2382271,,,,,
MX21158,wikidataId/Q3887619,,,,,
MX16062,wikidataId/Q5294870,,,,,
MX15017,wikidataId/Q3308521,,,,,
MX30194,wikidataId/Q3845860,,,,,
MX21210,wikidataId/Q2449205,,,,,
MX20492,wikidataId/Q3888674,,,,,
MX20146,wikidataId/Q3888123,,,,,
MX23007,wikidataId/Q1660184,,,,,
MX32018,wikidataId/Q4468489,,,,,
MX07009,wikidataId/Q1499102,,,,,
MX24019,wikidataId/Q3846870,,,,,
MX11045,wikidataId/Q20209213,,,,,
MX08053,wikidataId/Q961853,,,,,
MX31080,wikidataId/Q2588143,,,,,
MX30069,wikidataId/Q2447227,,,,,
MX16083,wikidataId/Q3847278,,,,,
MX20047,wikidataId/Q5429937,,,,,
MX08022,wikidataId/Q2606300,,,,,
MX12011,wikidataId/Q7339362,,,,,
MX23006,wikidataId/Q285499,,,,,
MX28002,wikidataId/Q1999574,,,,,
MX20100,wikidataId/Q10812390,,,,,
MX20538,wikidataId/Q3889520,,,,,
MX13071,wikidataId/Q3844689,,,,,
MX10003,wikidataId/Q2682724,,,,,
MX21116,wikidataId/Q5683625,,,,,
MX30022,wikidataId/Q3847285,,,,,
MX21072,wikidataId/Q3142191,,,,,
MX30044,wikidataId/Q20270883,,,,,
MX16088,wikidataId/Q3847328,,,,,
MX11002,wikidataId/Q16488140,,,,,
MX05034,wikidataId/Q3846439,,,,,
MX13033,wikidataId/Q3846448,,,,,
MX16007,wikidataId/Q3892968,,,,,
MX20515,wikidataId/Q4407914,,,,,
MX20270,wikidataId/Q3890628,,,,,
MX24047,wikidataId/Q3846752,,,,,
MX23010,wikidataId/Q1709178,,,,,
MX21188,wikidataId/Q7811997,,,,,
MX15093,wikidataId/Q6142103,,,,,
MX20439,wikidataId/Q66418816,,,,,
MX21068,wikidataId/Q5895823,,,,,
MX30137,wikidataId/Q5980299,,,,,
MX30008,wikidataId/Q3365424,,,,,
MX24015,wikidataId/Q8344891,,,,,
MX10019,wikidataId/Q2833497,,,,,
MX21162,wikidataId/Q3888771,,,,,
MX10007,wikidataId/Q2351085,,,,,
MX30053,wikidataId/Q5192815,,,,,
MX21214,wikidataId/Q3892181,,,,,
MX12008,wikidataId/Q10379902,,,,,
MX15024,wikidataId/Q2202119,,,,,
MX13053,wikidataId/Q3845555,,,,,
MX31089,wikidataId/Q2657301,,,,,
MX04008,wikidataId/Q2476938,,,,,
MX19036,wikidataId/Q3849898,,,,,
MX20390,wikidataId/Q2238999,,,,,
MX20411,wikidataId/Q7419752,,,,,
MX28027,wikidataId/Q2450312,,,,,
MX29053,wikidataId/Q7414589,,,,,
MX24014,wikidataId/Q387677,,,,,
MX07074,wikidataId/Q1953134,,,,,
MX24041,wikidataId/Q3846588,,,,,
MX30056,wikidataId/Q591603,,,,,
MX07002,wikidataId/Q1577295,,,,,
MX31062,wikidataId/Q2588060,,,,,
MX01001,wikidataId/Q391149,,,,,
MX15053,wikidataId/Q11115430,,,,,
MX13042,wikidataId/Q27796607,,,,,
MX30046,wikidataId/Q3847170,,,,,
MX12056,wikidataId/Q7692766,,,,,
MX20215,wikidataId/Q3890452,,,,,
MX11016,wikidataId/Q2651183,,,,,
MX24024,wikidataId/Q25479901,,,,,
MX18018,wikidataId/Q2652089,,,,,
MX20362,wikidataId/Q3890616,,,,,
MX11011,wikidataId/Q625906,,,,,
MX31035,wikidataId/Q2577430,,,,,
MX30153,wikidataId/Q3846896,,,,,
MX30033,wikidataId/Q2448143,,,,,
MX21090,wikidataId/Q6299095,,,,,
MX20266,wikidataId/Q7414999,,,,,
MX20026,wikidataId/Q993974,,,,,
MX09016,wikidataId/Q1832732,,,,,
MX14024,wikidataId/Q924387,,,,,
MX08009,wikidataId/Q2643269,,,,,
MX15006,wikidataId/Q3409798,,,,,
MX08002,wikidataId/Q2997114,,,,,
MX05019,wikidataId/Q3846492,,,,,
MX29032,wikidataId/Q3893022,,,,,
MX08060,wikidataId/Q2652300,,,,,
MX30031,wikidataId/Q3894268,,,,,
MX18019,wikidataId/Q2652057,,,,,
MX30184,wikidataId/Q7810719,,,,,
MX24053,wikidataId/Q8210643,,,,,
MX16076,wikidataId/Q2448165,,,,,
MX20464,wikidataId/Q3891463,,,,,
MX07033,wikidataId/Q1759430,,,,,
MX20221,wikidataId/Q3041183,,,,,
MX28023,wikidataId/Q3849579,,,,,
MX21174,wikidataId/Q2991097,,,,,
MX14042,wikidataId/Q2179164,,,,,
MX31070,wikidataId/Q2591029,,,,,
MX12007,wikidataId/Q1998019,,,,,
MX20353,wikidataId/Q3888627,,,,,
MX21156,wikidataId/Q7694928,,,,,
MX15059,wikidataId/Q691676,,,,,
MX05003,wikidataId/Q3850565,,,,,
MX31094,wikidataId/Q2591122,,,,,
MX30057,wikidataId/Q3847193,,,,,
MX22012,wikidataId/Q17084425,,,,,
MX07042,wikidataId/Q1282492,,,,,
MX20459,wikidataId/Q29438968,,,,,
MX14002,wikidataId/Q1658581,,,,,
MX20454,wikidataId/Q7420219,,,,,
MX22014,wikidataId/Q2917451,,,,,
MX09008,wikidataId/Q780038,,,,,
MX11032,wikidataId/Q20209199,,,,,
MX14109,wikidataId/Q3311306,,,,,
MX31068,wikidataId/Q2588028,,,,,
MX20089,wikidataId/Q3887673,,,,,
MX21206,wikidataId/Q927939,,,,,
MX20350,wikidataId/Q1267377,,,,,
MX30005,wikidataId/Q3354618,,,,,
MX20564,wikidataId/Q3892957,,,,,
MX11046,wikidataId/Q2598895,,,,,
MX07039,wikidataId/Q1952997,,,,,
MX20041,wikidataId/Q3888662,,,,,
MX12005,wikidataId/Q530575,,,,,
MX27014,wikidataId/Q2670203,,,,,
MX30192,wikidataId/Q3846347,,,,,
MX19002,wikidataId/Q33226675,,,,,
MX20488,wikidataId/Q4967430,,,,,
MX20058,wikidataId/Q3891812,,,,,
MX11042,wikidataId/Q20209210,,,,,
MX19019,wikidataId/Q1944489,,,,,
MX31036,wikidataId/Q2577417,,,,,
MX08013,wikidataId/Q2652268,,,,,
MX11005,wikidataId/Q20209173,,,,,
MX21181,wikidataId/Q7810705,,,,,
MX14051,wikidataId/Q3175319,,,,,
MX29012,wikidataId/Q5398746,,,,,
MX14097,wikidataId/Q20249211,,,,,
MX21134,wikidataId/Q6119392,,,,,
MX21159,wikidataId/Q2449105,,,,,
MX29020,wikidataId/Q7415687,,,,,
MX20403,wikidataId/Q3846318,,,,,
MX10035,wikidataId/Q3893888,,,,,
MX21062,wikidataId/Q5382071,,,,,
MX20007,wikidataId/Q3845852,,,,,
MX11031,wikidataId/Q20209198,,,,,
MX20476,wikidataId/Q35750947,,,,,
MX08066,wikidataId/Q3317714,,,,,
MX29057,wikidataId/Q7419202,,,,,
MX16035,wikidataId/Q4967732,,,,,
MX20303,wikidataId/Q3889115,,,,,
MX20248,wikidataId/Q7336395,,,,,
MX21046,wikidataId/Q5073548,,,,,
MX21040,wikidataId/Q5191852,,,,,
MX05004,wikidataId/Q3849679,,,,,
MX10026,wikidataId/Q2833640,,,,,
MX16105,wikidataId/Q86177468,,,,,
MX07098,wikidataId/Q20219674,,,,,
MX10011,wikidataId/Q2348655,,,,,
MX08061,wikidataId/Q10818656,,,,,
MX20495,wikidataId/Q3889509,,,,,
MX03009,wikidataId/Q1861506,,,,,
MX21104,wikidataId/Q3894018,,,,,
MX07109,wikidataId/Q1953275,,,,,
MX29028,wikidataId/Q3891337,,,,,
MX20051,wikidataId/Q3889608,,,,,
MX30181,wikidataId/Q3846765,,,,,
MX15008,wikidataId/Q10973803,,,,,
MX20272,wikidataId/Q27797302,,,,,
MX14114,wikidataId/Q3175359,,,,,
MX15075,wikidataId/Q3844585,,,,,
MX14079,wikidataId/Q3846810,,,,,
MX20185,wikidataId/Q10876470,,,,,
MX20031,wikidataId/Q7680989,,,,,
MX20206,wikidataId/Q7414641,,,,,
MX20028,wikidataId/Q17266451,,,,,
MX07036,wikidataId/Q1785311,,,,,
MX15107,wikidataId/Q532067,,,,,
MX30089,wikidataId/Q4140454,,,,,
MX08065,wikidataId/Q2489896,,,,,
MX28029,wikidataId/Q1997518,,,,,
MX07012,wikidataId/Q2007940,,,,,
MX14061,wikidataId/Q3174443,,,,,
MX15040,wikidataId/Q2018330,,,,,
MX30116,wikidataId/Q3845769,,,,,
MX14118,wikidataId/Q2445115,,,,,
MX30037,wikidataId/Q5137678,,,,,
MX13074,wikidataId/Q2882111,,,,,
MX30010,wikidataId/Q2651628,,,,,
MX20281,wikidataId/Q7414975,,,,,
MX20083,wikidataId/Q1195409,,,,,
MX08048,wikidataId/Q2652307,,,,,
MX21067,wikidataId/Q3890918,,,,,
MX30186,wikidataId/Q6148347,,,,,
MX12033,wikidataId/Q604826,,,,,
MX11003,wikidataId/Q4063467,,,,,
MX24023,wikidataId/Q6031186,,,,,
MX21043,wikidataId/Q5192626,,,,,
MX20468,wikidataId/Q4407950,,,,,
MX20056,wikidataId/Q3891781,,,,,
MX20081,wikidataId/Q4967775,,,,,
MX29023,wikidataId/Q9048936,,,,,
MX20427,wikidataId/Q3892475,,,,,
MX30165,wikidataId/Q3845754,,,,,
MX20090,wikidataId/Q3888598,,,,,
MX15026,wikidataId/Q2990953,,,,,
MX12049,wikidataId/Q2883856,,,,,
MX31078,wikidataId/Q931018,,,,,
MX30167,wikidataId/Q4455218,,,,,
MX31002,wikidataId/Q2672565,,,,,
MX08054,wikidataId/Q2991372,,,,,
MX09002,wikidataId/Q994867,,,,,
MX13021,wikidataId/Q3887833,,,,,
MX07032,wikidataId/Q1477389,,,,,
MX30070,wikidataId/Q20270887,,,,,
MX16050,wikidataId/Q2990977,,,,,
MX30072,wikidataId/Q384578,,,,,
MX19017,wikidataId/Q3849545,,,,,
MX20347,wikidataId/Q4967862,,,,,
MX20096,wikidataId/Q3889141,,,,,
MX13066,wikidataId/Q20291118,,,,,
MX20190,wikidataId/Q12354877,,,,,
MX20015,wikidataId/Q5775702,,,,,
MX27016,wikidataId/Q2977908,,,,,
MX19047,wikidataId/Q20234956,,,,,
MX17003,wikidataId/Q27796781,,,,,
MX32008,wikidataId/Q2447816,,,,,
MX20566,wikidataId/Q20265551,,,,,
MX30068,wikidataId/Q20270885,,,,,
MX13002,wikidataId/Q2990957,,,,,
MX31098,wikidataId/Q2656471,,,,,
MX31075,wikidataId/Q2978556,,,,,
MX28005,wikidataId/Q1998028,,,,,
MX21050,wikidataId/Q5096058,,,,,
MX15110,wikidataId/Q1987209,,,,,
MX25005,wikidataId/Q1821482,,,,,
MX13077,wikidataId/Q1962590,,,,,
MX31039,wikidataId/Q3293973,,,,,
MX15100,wikidataId/Q3300440,,,,,
MX12063,wikidataId/Q20024680,,,,,
MX20540,wikidataId/Q6162471,,,,,
MX08026,wikidataId/Q2606306,,,,,
MX15031,wikidataId/Q2497047,,,,,
MX32036,wikidataId/Q2000778,,,,,
MX12039,wikidataId/Q2376403,,,,,
MX10028,wikidataId/Q11694324,,,,,
MX07005,wikidataId/Q1785326,,,,,
MX20570,wikidataId/Q3845920,,,,,
MX14115,wikidataId/Q3051419,,,,,
MX30085,wikidataId/Q2559772,,,,,
MX30024,wikidataId/Q3847267,,,,,
MX20568,wikidataId/Q42837842,,,,,
MX20023,wikidataId/Q3625184,,,,,
MX20406,wikidataId/Q3889090,,,,,
MX20465,wikidataId/Q3891524,,,,,
MX31007,wikidataId/Q2576145,,,,,
MX12016,wikidataId/Q3311173,,,,,
MX21006,wikidataId/Q2466062,,,,,
MX15021,wikidataId/Q2605325,,,,,
MX30059,wikidataId/Q5100104,,,,,
MX10016,wikidataId/Q3017132,,,,,
MX30131,wikidataId/Q20270907,,,,,
MX05017,wikidataId/Q3850603,,,,,
MX13006,wikidataId/Q27796636,,,,,
MX20276,wikidataId/Q3891858,,,,,
MX20163,wikidataId/Q3890941,,,,,
MX07068,wikidataId/Q1953094,,,,,
MX29001,wikidataId/Q4740701,,,,,
MX10023,wikidataId/Q3383096,,,,,
MX05035,wikidataId/Q3238418,,,,,
MX07029,wikidataId/Q3667765,,,,,
MX17030,wikidataId/Q61711280,,,,,
MX30156,wikidataId/Q3846805,,,,,
MX14085,wikidataId/Q27796534,,,,,
MX24003,wikidataId/Q3311830,,,,,
MX14027,wikidataId/Q3311299,,,,,
MX20461,wikidataId/Q7420395,,,,,
MX20346,wikidataId/Q4967385,,,,,
MX21089,wikidataId/Q5818509,,,,,
MX31051,wikidataId/Q2588114,,,,,
MX01002,wikidataId/Q8206694,,,,,
MX20095,wikidataId/Q7413249,,,,,
MX30028,wikidataId/Q5730952,,,,,
MX07050,wikidataId/Q2296377,,,,,
MX21080,wikidataId/Q4816914,,,,,
MX21205,wikidataId/Q8051271,,,,,
MX15038,wikidataId/Q3317367,,,,,
MX21075,wikidataId/Q5904324,,,,,
MX14034,wikidataId/Q3845719,,,,,
MX21178,wikidataId/Q6147689,,,,,
MX15042,wikidataId/Q1962187,,,,,
MX21146,wikidataId/Q7419289,,,,,
MX15097,wikidataId/Q542449,,,,,
MX07011,wikidataId/Q1784069,,,,,
MX20408,wikidataId/Q7419772,,,,,
MX21038,wikidataId/Q5191855,,,,,
MX10005,wikidataId/Q2832731,,,,,
MX30013,wikidataId/Q2447723,,,,,
MX15072,wikidataId/Q3850619,,,,,
MX17008,wikidataId/Q2171553,,,,,
MX07016,wikidataId/Q1952920,,,,,
MX21077,wikidataId/Q5929406,,,,,
MX30198,wikidataId/Q6170765,,,,,
MX12044,wikidataId/Q6887609,,,,,
MX20552,wikidataId/Q3578681,,,,,
MX06009,wikidataId/Q3850513,,,,,
MX21217,wikidataId/Q2001126,,,,,
MX08041,wikidataId/Q2656449,,,,,
MX15123,wikidataId/Q3017880,,,,,
MX30030,wikidataId/Q1997984,,,,,
MX20456,wikidataId/Q3889481,,,,,
MX20126,wikidataId/Q12354858,,,,,
MX32042,wikidataId/Q4428664,,,,,
MX15066,wikidataId/Q3308560,,,,,
MX21122,wikidataId/Q3893008,,,,,
MX22007,wikidataId/Q5423231,,,,,
MX29040,wikidataId/Q8042861,,,,,
MX11030,wikidataId/Q16609567,,,,,
MX15005,wikidataId/Q1962111,,,,,
MX08024,wikidataId/Q2838480,,,,,
MX12078,wikidataId/Q4236860,,,,,
MX08033,wikidataId/Q2652323,,,,,
MX20398,wikidataId/Q1755570,,,,,
MX16017,wikidataId/Q10749854,,,,,
MX08050,wikidataId/Q2652317,,,,,
MX29036,wikidataId/Q3845619,,,,,
MX20438,wikidataId/Q4967325,,,,,
MX12060,wikidataId/Q7706142,,,,,
MX31081,wikidataId/Q2657279,,,,,
MX21157,wikidataId/Q963639,,,,,
MX27005,wikidataId/Q2177497,,,,,
MX17007,wikidataId/Q5793859,,,,,
MX09015,wikidataId/Q645293,,,,,
MX20226,wikidataId/Q3891401,,,,,
MX32056,wikidataId/Q2645207,,,,,
MX20536,wikidataId/Q7415375,,,,,
MX21023,wikidataId/Q962255,,,,,
MX16108,wikidataId/Q6032738,,,,,
MX18004,wikidataId/Q2651919,,,,,
MX21084,wikidataId/Q5923652,,,,,
MX21081,wikidataId/Q6793335,,,,,
MX16101,wikidataId/Q5857824,,,,,
