key,p1,v1,p2,v2,p3,v3,p4,v4
2041,observationDate,2041,value,{Number},,,,
2042,observationDate,2042,value,{Number},,,,
2043,observationDate,2043,value,{Number},,,,
2044,observationDate,2044,value,{Number},,,,
2045,observationDate,2045,value,{Number},,,,
2046,observationDate,2046,value,{Number},,,,
2047,observationDate,2047,value,{Number},,,,
2048,observationDate,2048,value,{Number},,,,
2049,observationDate,2049,value,{Number},,,,
2050,observationDate,2050,value,{Number},,,,
