TABLE 65: STATE-WISE PRODUCTION OF NON-FOODGRAINS - OILSEEDS,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Oilseeds,measuremenQualifier,Annual,,,name,"""Production of oilseeds""",,,,,,,,,,
TABLE 66: STATE-WISE PRODUCTION OF NON-FOODGRAINS - COTTON (LINTT),populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Cotton,measuremenQualifier,Annual,,,name,"""Production of cotton""",,,,,,,,,,
TABLE 67: STATE-WISE PRODUCTION OF NON-FOODGRAINS - SUGARCANE,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Sugarcane,measuremenQualifier,Annual,,,name,"""Production of sugarcane""",,,,,,,,,,
TABLE 68: STATE-WISE PRODUCTION OF NON-FOODGRAINS - RAW JUTE & MESTA,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Jute__Mesta,measuremenQualifier,Annual,,,name,"""Production of jute and mesta""",,,,,,,,,,
TABLE 69: STATE-WISE AREA OF FOODGRAINS - RICE,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,Rice,,,,,name,"""Area used for rice cultivation""",,,,,,,,
TABLE 70: STATE-WISE AREA OF FOODGRAINS - WHEAT,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,Wheat,,,,,name,"""Area used for Wheat""",,,,,,,,
TABLE 71: STATE-WISE AREA OF FOODGRAINS - COARSE CEREALS,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,CoarseCereal,,,,,name,"""Area used for food grains""",,,,,,,,
TABLE 72: STATE-WISE AREA OF FOODGRAINS - PULSES,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,Pulses,,,,,name,"""Area used for pulses""",,,,,,,,
TABLE 73: STATE-WISE AREA OF TOTAL FOODGRAINS,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,FoodGrain,,,,,name,"""Area used for food grains""",,,,,,,,
TABLE 74: STATE-WISE AREA OF TOTAL FRUITS,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,Fruits,,,,,name,"""Area used for fruits""",,,,,,,,
TABLE 75: STATE-WISE AREA OF TOTAL VEGETABLES,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,Vegetables,,,,,name,"""Area for vegetable cultivation""",,,,,,,,
TABLE 76: STATE-WISE PRODUCTION OF TOTAL FRUITS,,,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Fruits,measuremenQualifier,Annual,,,name,"""Production of fruits""",,,,,,,,
TABLE 77: STATE-WISE PRODUCTION OF TOTAL VEGETABLES,,,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Vegetables,measuremenQualifier,Annual,,,name,"""Production of vegetables""",,,,,,,,
TABLE 78: STATE-WISE AREA OF NON-FOODGRAINS - OILSEEDS,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,Oilseeds,,,,,name,"""Area used for oilseeds""",,,,,,,,
TABLE 79: STATE-WISE AREA OF NON-FOODGRAINS - COTTON (LINTT),,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,Cotton,,,,,name,"""Area for cotton cultivation""",,,,,,,,
TABLE 80: STATE-WISE AREA OF NON-FOODGRAINS - SUGARCANE,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,Sugarcane,,,,,name,"""Area for sugarcane cultivation""",,,,,,,,
TABLE 81: STATE-WISE AREA OF NON-FOODGRAINS - RAW JUTE & MESTA,,,populationType,FarmInventory,measuredProperty,area,farmInventoryType,Jute__Mesta,,,,,name,"""Area for jute and mesta cultivation""",,,,,,,,
(Kg. Per Hectare),unit,KilogramPerHectare,,,,,,,,,,,,,,,,,,,,
TABLE 82: STATE-WISE ESTIMATES OF YIELD - RICE,,,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,Rice,,,,,name,"""Yield for rice cultivation""",,,,,,,,
TABLE 83: STATE-WISE ESTIMATES OF YIELD - WHEAT,,,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,Wheat,,,,,name,"""Yield for wheat cultivation""",,,,,,,,
TABLE 84: STATE-WISE ESTIMATES OF YIELD - COARSE CEREALS,,,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,CoarseCereal,,,,,name,"""Yield for coarse cereal cultivation""",,,,,,,,
TABLE 85: STATE-WISE ESTIMATES OF YIELD - PULSES,,,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,Pulses,,,,,name,"""Yield of pulses""",,,,,,,,
TABLE 86: STATE-WISE ESTIMATES OF YIELD - TOTAL FOODGRAINS,,,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,FoodGrain,,,,,name,"""Yield of food grain""",,,,,,,,
TABLE 87: STATE-WISE ESTIMATES OF YIELD - OILSEEDS,,,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,Oilseeds,,,,,name,"""Yield of oilseeds""",,,,,,,,
TABLE 88: STATE-WISE ESTIMATES OF YIELD - COTTON (LINTT),,,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,Cotton,,,,,name,"""Yield for cotton cultivation""",,,,,,,,
TABLE 89: STATE-WISE ESTIMATES OF YIELD - SUGARCANE,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,Sugarcane,,,,,name,"""Yield of sugarcane""",,,,,,,,,,
TABLE 90: STATE-WISE ESTIMATES OF YIELD - RAW JUTE & MESTA,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,Jute__Mesta,,,,,name,"""Yield for jute and mesta""",,,,,,,,,,
TABLE 91: STATE-WISE PER HECTARE CONSUMPTION OF FERTILISER (N+P+K),populationType,FarmInventory,measuredProperty,consumption,farmInventoryType,Fertilizer,,,,,name,"""Consumption of fertilizer (N+P+k)""",,,,,,,,,,
TABLE 92: STATE-WISE MEAT PRODUCTION,populationType,FarmInventory,measuredProperty,consumption,farmInventoryType,Meats,,,,,name,"""Production of meats""",,,,,,,,,,
TABLE 93: STATE-WISE MILK PRODUCTION,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,Milk,,,,,name,"""Milk production""",,,,,,,,,,
(Lakh Nos.),#Multiply,100000,,,,,,,,,,,,,,,,,,,,
TABLE 94: STATE-WISE EGG PRODUCTION,populationType,FarmInventory,measuredProperty,yield,farmInventoryType,Eggs,,,,,name,"""Egg production""",,,,,,,,,,
TABLE 98: STATE-WISE STORAGE CAPACITY OF FOODGRAINS,,,,,,,,,,,populationType,FarmInventory,measuredProperty,storageCapacity,farmInventoryType,FoodGrain,,,,,name,"""Storage capacity for foodgrains"""
TABLE 95: STATE-WISE FISH PRODUCTION,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Fish,measuremenQualifier,Annual,,,name,"""Fish production""",,,,,,,,,,
(Lakh Tonnes),#Multiply,100000,unit,MetricTon,,,,,,,,,,,,,,,,,,
TABLE 96: STATE-WISE WOOL PRODUCTION,populationType,FarmInventory,measuredProperty,amount,farmInventoryType,Wool,measuremenQualifier,Annual,,,name,"""Wool production""",,,,,,,,,,
(Thousand Kgs),#Multiply,1000,unit,Kilogram,,,,,,,,,,,,,,,,,,
2004-05,value,{Number},observationDate,2005-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2005-06,value,{Number},observationDate,2006-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2006-07,value,{Number},observationDate,2007-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2007-08,value,{Number},observationDate,2008-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2008-09,value,{Number},observationDate,2009-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2009-10,value,{Number},observationDate,2010-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2010-11,value,{Number},observationDate,2011-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2011-12,value,{Number},observationDate,2012-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2012-13,value,{Number},observationDate,2013-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2013-14,value,{Number},observationDate,2014-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2014-15,value,{Number},observationDate,2015-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2015-16,value,{Number},observationDate,2016-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2016-17,value,{Number},observationDate,2017-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2017-18,value,{Number},observationDate,2018-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2018-19,value,{Number},observationDate,2019-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2019-20,value,{Number},observationDate,2020-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2020-21,value,{Number},observationDate,2021-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
2021-22,value,{Number},observationDate,2022-03,observationPeriod,P1Y,,,,,,,,,,,,,,,,
