observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,measurementMethod,#input
dcid:wikidataId/Q613,1985,dcid:Count_Person_Citizen_Female,37471,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:66:7
dcid:wikidataId/Q188810,1985,dcid:Count_Person_Citizen_Female,39070,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:67:7
dcid:wikidataId/Q159477,1985,dcid:Count_Person_Citizen_Female,9426,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:68:7
dcid:wikidataId/Q175021,1985,dcid:Count_Person_Citizen_Female,4411,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:69:7
dcid:wikidataId/Q170024,1985,dcid:Count_Person_Citizen_Female,24482,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:70:7
dcid:wikidataId/Q4091,1985,dcid:Count_Person_Citizen_Female,13090,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:71:7
dcid:wikidataId/Q187712,1985,dcid:Count_Person_NotACitizen_Male,310278,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:72:7
dcid:wikidataId/Q613,1985,dcid:Count_Person_NotACitizen_Male,207958,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:73:7
dcid:wikidataId/Q188810,1985,dcid:Count_Person_NotACitizen_Male,101518,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:74:7
dcid:wikidataId/Q159477,1985,dcid:Count_Person_NotACitizen_Male,23008,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:75:7
dcid:wikidataId/Q175021,1985,dcid:Count_Person_NotACitizen_Male,7229,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:76:7
dcid:wikidataId/Q170024,1985,dcid:Count_Person_NotACitizen_Male,31578,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:77:7
dcid:wikidataId/Q4091,1985,dcid:Count_Person_NotACitizen_Male,11874,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:78:7
dcid:wikidataId/Q187712,1985,dcid:Count_Person_NotACitizen_Female,119776,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:79:7
dcid:wikidataId/Q613,1985,dcid:Count_Person_NotACitizen_Female,86138,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:80:7
dcid:wikidataId/Q188810,1985,dcid:Count_Person_NotACitizen_Female,47396,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:81:7
dcid:wikidataId/Q159477,1985,dcid:Count_Person_NotACitizen_Female,12285,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:82:7
dcid:wikidataId/Q175021,1985,dcid:Count_Person_NotACitizen_Female,3215,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:83:7
dcid:wikidataId/Q170024,1985,dcid:Count_Person_NotACitizen_Female,15683,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:84:7
dcid:wikidataId/Q4091,1985,dcid:Count_Person_NotACitizen_Female,5253,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:85:7
dcid:wikidataId/Q187712,1995,dcid:Count_Person_Citizen_Male,113365,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:86:7
dcid:wikidataId/Q613,1995,dcid:Count_Person_Citizen_Male,54330,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:87:7
dcid:wikidataId/Q188810,1995,dcid:Count_Person_Citizen_Male,53945,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:88:7
dcid:wikidataId/Q159477,1995,dcid:Count_Person_Citizen_Male,14855,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:89:7
dcid:wikidataId/Q175021,1995,dcid:Count_Person_Citizen_Male,6464,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:90:7
dcid:wikidataId/Q170024,1995,dcid:Count_Person_Citizen_Male,33556,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:91:7
dcid:wikidataId/Q4091,1995,dcid:Count_Person_Citizen_Male,20545,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:92:7
dcid:wikidataId/Q187712,1995,dcid:Count_Person_Citizen_Female,109262,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:93:7
dcid:wikidataId/Q613,1995,dcid:Count_Person_Citizen_Female,53411,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:94:7
dcid:wikidataId/Q188810,1995,dcid:Count_Person_Citizen_Female,52976,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:95:7
dcid:wikidataId/Q159477,1995,dcid:Count_Person_Citizen_Female,13977,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:96:7
dcid:wikidataId/Q175021,1995,dcid:Count_Person_Citizen_Female,6568,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:97:7
dcid:wikidataId/Q170024,1995,dcid:Count_Person_Citizen_Female,33820,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:98:7
dcid:wikidataId/Q4091,1995,dcid:Count_Person_Citizen_Female,20256,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:99:7
dcid:wikidataId/Q187712,1995,dcid:Count_Person_NotACitizen_Male,537379,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:100:7
dcid:wikidataId/Q613,1995,dcid:Count_Person_NotACitizen_Male,423879,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:101:7
dcid:wikidataId/Q188810,1995,dcid:Count_Person_NotACitizen_Male,200369,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:102:7
dcid:wikidataId/Q159477,1995,dcid:Count_Person_NotACitizen_Male,57977,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:103:7
dcid:wikidataId/Q175021,1995,dcid:Count_Person_NotACitizen_Male,14483,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:104:7
dcid:wikidataId/Q170024,1995,dcid:Count_Person_NotACitizen_Male,50436,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:105:7
dcid:wikidataId/Q4091,1995,dcid:Count_Person_NotACitizen_Male,25221,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:106:7
dcid:wikidataId/Q187712,1995,dcid:Count_Person_NotACitizen_Female,182457,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:107:7
dcid:wikidataId/Q613,1995,dcid:Count_Person_NotACitizen_Female,157800,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:108:7
dcid:wikidataId/Q188810,1995,dcid:Count_Person_NotACitizen_Female,95502,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:109:7
dcid:wikidataId/Q159477,1995,dcid:Count_Person_NotACitizen_Female,34682,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:110:7
dcid:wikidataId/Q175021,1995,dcid:Count_Person_NotACitizen_Female,7846,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:111:7
dcid:wikidataId/Q170024,1995,dcid:Count_Person_NotACitizen_Female,25522,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:112:7
dcid:wikidataId/Q4091,1995,dcid:Count_Person_NotACitizen_Female,10158,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:113:7
dcid:wikidataId/Q187712,2005,dcid:Count_Person_Citizen_Male,176926,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:114:7
dcid:wikidataId/Q613,2005,dcid:Count_Person_Citizen_Male,68995,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:115:7
dcid:wikidataId/Q188810,2005,dcid:Count_Person_Citizen_Male,71307,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:116:7
dcid:wikidataId/Q159477,2005,dcid:Count_Person_Citizen_Male,20155,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:117:7
dcid:wikidataId/Q175021,2005,dcid:Count_Person_Citizen_Male,7914,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:118:7
dcid:wikidataId/Q170024,2005,dcid:Count_Person_Citizen_Male,44299,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:119:7
dcid:wikidataId/Q4091,2005,dcid:Count_Person_Citizen_Male,28321,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:120:7
dcid:wikidataId/Q187712,2005,dcid:Count_Person_Citizen_Female,173351,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:121:7
dcid:wikidataId/Q613,2005,dcid:Count_Person_Citizen_Female,68578,,,,https://docs.google.com/spreadsheets/d/1v9ab78PtcNAC3R-x163Y1p57bMYbNjrdkOYZ3BTegnc#gid=1467473697:122:7
