key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7
IB Business and Management,courseType,InternationalBaccalaureateCourse,schoolSubject,BusinessAndManagement,,,,,,,,,,
IB Computing Studies,courseType,InternationalBaccalaureateCourse,schoolSubject,ComputingStudies,,,,,,,,,,
IB Economics,courseType,InternationalBaccalaureateCourse,schoolSubject,Economics,,,,,,,,,,
IB Environmental Science,courseType,InternationalBaccalaureateCourse,schoolSubject,EnvironmentalScience,,,,,,,,,,
IB Further Mathematics—SL,courseType,InternationalBaccalaureateCourse,schoolSubject,FurtherMathematicSL,,,,,,,,,,
IB History,courseType,InternationalBaccalaureateCourse,schoolSubject,History,,,,,,,,,,
IB Language A (English),courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageAEnglish,,,,,,,,,,
IB Language Ab Initio—Chinese,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageAbInitioChinese,,,,,,,,,,
IB Language B—Chinese,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageBChinese,,,,,,,,,,
IB Language B—French,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageBFrench,,,,,,,,,,
IB Language B—Spanish,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageBSpanish,,,,,,,,,,
IB Mathematics,courseType,InternationalBaccalaureateCourse,schoolSubject,Mathematics,,,,,,,,,,
IB Theory of Knowledge,courseType,InternationalBaccalaureateCourse,schoolSubject,TheoryOfKnowledge,,,,,,,,,,
AP Studio Art—Three-Demensional,courseType,AdvancedPlacementCourse,schoolSubject,StudioArtThreeDimensional,,,,,,,,,,
AP Seminar: English,courseType,AdvancedPlacementCourse,schoolSubject,SeminarEnglish,,,,,,,,,,
AP World History: Modern,courseType,AdvancedPlacementCourse,schoolSubject,ModernWorldHistory,,,,,,,,,,
IB Language B—World Language (Other Language) ,courseType,AdvancedPlacementCourse,schoolSubject,WorldLanguage,,,,,,,,,,
AP Economics ,courseType,AdvancedPlacementCourse,schoolSubject,Economics,,,,,,,,,,
IB Mathematics: Analysis and Approaches,courseType,InternationalBaccalaureateCourse,schoolSubject,MathematicsAnalysisAndApproaches,,,,,,,,,,
IB Film,courseType,InternationalBaccalaureateCourse,schoolSubject,Film,,,,,,,,,,
IB Music,courseType,InternationalBaccalaureateCourse,schoolSubject,Music,,,,,,,,,,
IB Dance,courseType,InternationalBaccalaureateCourse,schoolSubject,Dance,,,,,,,,,,
IB Social Anthropology,courseType,InternationalBaccalaureateCourse,schoolSubject,SocialAnthropology,,,,,,,,,,
IB Personal and Professional Skills,courseType,InternationalBaccalaureateCourse,schoolSubject,PersonalAndProfessionalSkills,,,,,,,,,,
IB Global Politics,courseType,InternationalBaccalaureateCourse,schoolSubject,GlobalPolitics,,,,,,,,,,
IB Biology,courseType,InternationalBaccalaureateCourse,schoolSubject,Biology,,,,,,,,,,
IB Language A (non-English)—French,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageANonEnglishFrench,,,,,,,,,,
IB Language A: Literature—Portuguese,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageALiteraturePortuguese,,,,,,,,,,
IB Language A: Literature—Spanish,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageALiteratureSpanish,,,,,,,,,,
IB Language B—Portuguese,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageBPortuguese,,,,,,,,,,
IB Mathematical Studies,courseType,InternationalBaccalaureateCourse,schoolSubject,MathematicalStudies,,,,,,,,,,
IB Psychology,courseType,InternationalBaccalaureateCourse,schoolSubject,Psychology,,,,,,,,,,
IB Art/Design,courseType,InternationalBaccalaureateCourse,schoolSubject,ArtOrDesign,,,,,,,,,,
IB Classical Languages—Latin,courseType,InternationalBaccalaureateCourse,schoolSubject,ClassicalLanguagesLatin,,,,,,,,,,
IB Design Technology,courseType,InternationalBaccalaureateCourse,schoolSubject,DesignTechnology,,,,,,,,,,
IB Language B—Italian,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageBtalian,,,,,,,,,,
IB Chemistry,courseType,InternationalBaccalaureateCourse,schoolSubject,Chemistry,,,,,,,,,,
IB Language Ab Initio—Italian,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageAbInitiotalian,,,,,,,,,,
IB Theatre,courseType,InternationalBaccalaureateCourse,schoolSubject,Theatre,,,,,,,,,,
IB Information Technology in a Global Society,courseType,InternationalBaccalaureateCourse,schoolSubject,InformationTechnologyGlobalSociety,,,,,,,,,,
"IB Sports, Exercise, and Health Science",courseType,InternationalBaccalaureateCourse,schoolSubject,SportsExerciseandHealthScience,,,,,,,,,,
IB World Religions,courseType,InternationalBaccalaureateCourse,schoolSubject,WorldReligions,,,,,,,,,,
IB Language Ab Initio—Spanish,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageAbInitioSpanish,,,,,,,,,,
IB Language B—German,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageBGerman,,,,,,,,,,
IB Mathematics and Computing—SL,courseType,InternationalBaccalaureateCourse,schoolSubject,MathematicsAndComputing,,,,,,,,,,
IB Sports  Exercise  and Health Science,courseType,InternationalBaccalaureateCourse,schoolSubject,SportsExerciseAndHealthScience,,,,,,,,,,
IB Philosophy,courseType,InternationalBaccalaureateCourse,schoolSubject,Philosophy,,,,,,,,,,
IB Physical Science,courseType,InternationalBaccalaureateCourse,schoolSubject,PhysicalScience,,,,,,,,,,
IB Geography,courseType,InternationalBaccalaureateCourse,schoolSubject,Geography,,,,,,,,,,
IB Language A: Language and Literature—Spanish,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageALanguageAndLiteratureSpanish,,,,,,,,,,
IB Sports  Exercise  and Health Science,courseType,InternationalBaccalaureateCourse,schoolSubject,SportsExerciseAndHealthScience,,,,,,,,,,
IB Mathematics: Applications and Interpretation,courseType,InternationalBaccalaureateCourse,schoolSubject,ApplicationsAndInterpretationMathematics,,,,,,,,,,
"IB Creativity, Action, Service",courseType,InternationalBaccalaureateCourse,schoolSubject,CreativityActionService,,,,,,,,,,
IB Language A: Language and Literature—English,courseType,InternationalBaccalaureateCourse,schoolSubject,LanguageALanguageAndLiteratureEnglish,,,,,,,,,,
Exams with scores AP >= 3 or IB >=4,assessmentType,AdvancedPlacementExam__InternationalBaccalaureateExam,apQualificationStatus,[3 5 Scores],ibQualificationStatus,[4 7 Scores],,,,,,,,
STUDENT_ENROLL_COUNT,,,value,{Number},enrollmentStatus,enrolled,value,{Number},,,,,,
STUDENT_TESTED_COUNT,,,value,{Number},testStatus,Tested,value,{Number},,,,,,
