"NumPlaces","ScalingFactors","Units","StatVar","MeasurementMethods","MinDate","observationPeriods"
"6","[]","[Terajoule]","Annual_Consumption_Fuel_ConstructionIndustry_IndustrialWaste","[]","2020","[P1Y]"
"60","[]","[Terajoule]","Annual_Consumption_Energy_SolarThermal","[, UNStatsEstimate]","2020","[P1Y]"
"9","[]","[MetricTon]","Annual_Consumption_Fuel_OtherSector_AviationGasoline","[, UNStatsEstimate]","2020","[P1Y]"
"4","[]","[MetricTon]","Annual_Imports_Fuel_Ethane","[, UNStatsEstimate]","2020","[P1Y]"
"11","[]","[MetricTon]","Annual_Consumption_Fuel_ConstructionIndustry_LigniteCoal","[]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_Peat","[UNStatsEstimate]","2020","[P1Y]"
"13","[]","[Terajoule]","Annual_Consumption_Fuel_MainActivityProducerHeatPowerPlants_BioGas_FuelTransformation","[]","2020","[P1Y]"
"1","[]","[Terajoule]","Annual_Consumption_Fuel_TextileAndLeatherIndustry_BlastFurnaceGas","[]","2020","[P1Y]"
"21","[]","[MetricTon]","Annual_Generation_Fuel_SubbituminousCoal","[]","2020","[P1Y]"
"50","[]","[MetricTon]","Annual_Generation_Fuel_PetroleumCoke_Refinery","[, UNStatsEstimate]","2020","[P1Y]"
"75","[]","[KilowattHour]","Annual_Consumption_Electricity_ConstructionIndustry","[, UNStatsEstimate]","2020","[P1Y]"
"47","[]","[MetricTon]","AnnualChange_Stocks_Fuel_Lubricants","[, UNStatsEstimate]","2020","[P1Y]"
"3","[]","[MetricTon]","Annual_Consumption_Fuel_MainActivityProducerElectricityPowerPlants_Naphtha_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"8","[]","[Terajoule]","Annual_Generation_Energy_OtherFuel_AutoProducerHeatPowerPlants","[]","2020","[P1Y]"
"6","[]","[MetricTon]","Annual_Exports_Fuel_SubbituminousCoal","[]","2020","[P1Y]"
"1","[]","[Terajoule]","Annual_Consumption_Energy_BiogasProduction_Heat_EnergyIndustryOwnUse","[]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_Manufacturing_Ethane","[]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Receipts_Fuel_CokingCoal","[]","2023","[P1Y]"
"2","[]","[Terajoule]","Annual_Consumption_Fuel_GasWorks_GasworksGas_EnergyIndustryOwnUse","[]","2020","[P1Y]"
"3","[]","[Terajoule]","AnnualChange_Stocks_Fuel_MunicipalWaste","[]","2020","[P1Y]"
"21","[]","[CubicMeter]","Annual_Consumption_Fuel_MainActivityProducerHeatPowerPlants_Fuelwood_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_CokeOvens_FuelOil_EnergyIndustryOwnUse","[]","2022","[P1Y]"
"212","[]","[MetricTon]","Annual_Consumption_Fuel_RoadTransport_MotorGasoline","[, UNStatsEstimate]","2020","[P1Y]"
"20","[]","[MetricTon]","Annual_Generation_Fuel_OtherLiquidBiofuels","[, UNStatsEstimate]","2020","[P1Y]"
"105","[]","[MetricTon]","Annual_Imports_Fuel_Charcoal","[, UNStatsEstimate]","2020","[P1Y]"
"3","[]","[MetricTon]","Annual_Consumption_Fuel_AutoProducerElectricityPowerPlants_CokeOvenCoke_FuelTransformation","[]","2020","[P1Y]"
"52","[]","[CubicMeter]","Annual_Consumption_Fuel_ElectricityGeneration_Fuelwood_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"33","[]","[KilowattHour]","Annual_Consumption_Electricity_PumpStoragePlants_EnergyIndustryOwnUse","[, UNStatsEstimate]","2020","[P1Y]"
"13","[]","[MetricTon]","Annual_Consumption_Fuel_FuelTransformationIndustry_OtherLiquidBiofuels_FuelTransformation","[]","2020","[P1Y]"
"30","[]","[Megawatt]","Annual_Capacity_Electricity_PumpedHydro","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[Terajoule]","Annual_Generation_Energy_Nuclear_MainActivityProducerCombinedHeatPowerPlants","[]","2020","[P1Y]"
"3","[]","[MetricTon]","Annual_Consumption_Fuel_OtherManufacturingIndustry_ParaffinWaxes","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_Industry_LigniteCoal_EnergyIndustryOwnUse","[]","2020","[P1Y]"
"4","[]","[MetricTon]","Annual_Consumption_Fuel_MainActivityProducerHeatPowerPlants_PeatProducts_FuelTransformation","[]","2020","[P1Y]"
"23","[]","[MetricTon]","Annual_Consumption_Fuel_OtherManufacturingIndustry_Charcoal","[, UNStatsEstimate]","2020","[P1Y]"
"5","[]","[MetricTon]","Annual_Consumption_Fuel_ElectricityGeneration_Naphtha_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"8","[]","[Terajoule]","Annual_Consumption_Fuel_TextileAndLeatherIndustry_VegetalWaste","[, UNStatsEstimate]","2020","[P1Y]"
"99","[]","[MetricTon]","AnnualChange_Stocks_Fuel_KeroseneJetFuel","[, UNStatsEstimate]","2020","[P1Y]"
"43","[]","[Terajoule]","Annual_Consumption_Fuel_AutoProducerCombinedHeatPowerPlants_NaturalGas_FuelTransformation","[]","2020","[P1Y]"
"76","[]","[Terajoule]","Annual_Consumption_Fuel_CommerceAndPublicServices_NaturalGas","[, UNStatsEstimate]","2020","[P1Y]"
"55","[]","[KilowattHour]","Annual_Consumption_Electricity_TransportEquipmentIndustry","[]","2020","[P1Y]"
"19","[]","[Terajoule]","Annual_Consumption_Fuel_OtherSector_AnimalWaste","[, UNStatsEstimate]","2020","[P1Y]"
"8","[]","[MetricTon]","Annual_Consumption_Fuel_Households_BioGasoline","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[Terajoule]","Annual_Generation_Energy_OilShale","[]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_UnspecifiedSector_CokeOvenCoke","[]","2020","[P1Y]"
"176","[]","[Megawatt]","Annual_Capacity_Electricity_AutoProducer","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_AutoProducerElectricityPowerPlants_OtherLiquidBiofuels_FuelTransformation","[]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_UnspecifiedSector_CrudeOil","[]","2021","[P1Y]"
"3","[]","[MetricTon]","Annual_Consumption_Fuel_CoalProducts","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_PaperPulpPrintIndustry_Naphtha","[]","2022","[P1Y]"
"22","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_OtherOilProducts","[, UNStatsEstimate]","2020","[P1Y]"
"53","[]","[MetricTon]","Annual_Consumption_Fuel_WoodAndWoodProductsIndustry_DieselOil","[]","2020","[P1Y]"
"4","[]","[MetricTon]","Annual_Receipts_Fuel_Hydrogen_OtherHydrocarbons","[]","2020","[P1Y]"
"18","[]","[KilowattHour]","Annual_Generation_Electricity_LiquidBioFuel_ThermalElectricity","[, UNStatsEstimate]","2020","[P1Y]"
"10","[]","[Terajoule]","Annual_Consumption_Fuel_RoadTransport_BioGas","[]","2020","[P1Y]"
"21","[]","[MetricTon]","Annual_Consumption_Fuel_NonMetallicMineralsIndustry_LigniteCoal","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_MachineryIndustry_RefineryGas","[]","2022","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_OtherManufacturingIndustry_NaturalGasLiquids","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_RefineryFeedstocks_FuelTransformation","[]","2024","[P1Y]"
"19","[]","[MetricTon]","Annual_Consumption_Fuel_FoodAndTobaccoIndustry_LigniteCoal","[]","2020","[P1Y]"
"142","[]","[Megawatt]","Annual_Capacity_Electricity_Wind_ElectricityPowerPlants","[, UNStatsEstimate]","2020","[P1Y]"
"9","[]","[Terajoule]","Annual_Consumption_Fuel_InternationalMarineBunkers_NaturalGas","[]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_BriquettingPlants_OtherBituminousCoal_FuelTransformation","[]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_MainActivityProducerCombinedHeatPowerPlants_BrownCoalBriquettes_FuelTransformation","[]","2020","[P1Y]"
"47","[]","[MetricTon]","Annual_Exports_Fuel_PetroleumCoke","[, UNStatsEstimate]","2020","[P1Y]"
"10","[]","[MetricTon]","Annual_Consumption_Fuel_Manufacturing_CoalTar","[, UNStatsEstimate]","2020","[P1Y]"
"10","[]","[MetricTon]","Annual_Consumption_Fuel_NonFerrousMetalsIndustry_BrownCoal","[]","2020","[P1Y]"
"1","[]","[Terajoule]","Annual_Consumption_Fuel_MachineryIndustry_BlackLiquor","[UNStatsEstimate]","2021","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_GasWorks_FuelOil_EnergyIndustryOwnUse","[]","2023","[P1Y]"
"19","[]","[MetricTon]","Annual_Consumption_Fuel_OtherManufacturingIndustry_BioDiesel","[]","2020","[P1Y]"
"26","[]","[CubicMeter]","Annual_Consumption_Fuel_MainActivityProducerElectricityPowerPlants_Fuelwood_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"11","[]","[MetricTon]","Annual_Consumption_Fuel_NonMetallicMineralsIndustry_BioDiesel","[]","2020","[P1Y]"
"9","[]","[MetricTon]","Annual_Consumption_Fuel_OtherManufacturingIndustry_WhiteSpirit","[, UNStatsEstimate]","2020","[P1Y]"
"36","[]","[Terajoule]","Annual_Consumption_Fuel_BlastFurnaceGas","[, UNStatsEstimate]","2020","[P1Y]"
"12","[]","[KilowattHour]","Annual_Generation_Electricity_CrudeOil_ThermalElectricity","[, UNStatsEstimate]","2020","[P1Y]"
"21","[]","[MetricTon]","Annual_Consumption_Fuel_OilRefineries_OtherOilProducts_EnergyIndustryOwnUse","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_PatentFuel_NonEnergyUse","[]","2020","[P1Y]"
"8","[]","[MetricTon]","Annual_Exports_Fuel_Peat","[, UNStatsEstimate]","2020","[P1Y]"
"6","[]","[MetricTon]","Annual_Consumption_Fuel_UnspecifiedSector_AviationGasoline","[]","2020","[P1Y]"
"16","[]","[Terajoule]","Annual_Consumption_Fuel_AutoProducerElectricityPowerPlants_MunicipalWaste_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"19","[]","[CubicMeter]","AnnualChange_Stocks_Fuel_Fuelwood","[, UNStatsEstimate]","2020","[P1Y]"
"8","[]","[MetricTon]","Annual_Consumption_Fuel_TextileAndLeatherIndustry_Kerosene","[, UNStatsEstimate]","2020","[P1Y]"
"16","[]","[Terajoule]","Annual_Consumption_Fuel_CommerceAndPublicServices_VegetalWaste","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[Terajoule]","Annual_Consumption_Fuel_Industry_CokeOvenGas_EnergyIndustryOwnUse","[]","2020","[P1Y]"
"10","[]","[MetricTon]","Annual_Consumption_Fuel_ElectricityGeneration_AnthraciteCoal_FuelTransformation","[]","2020","[P1Y]"
"6","[]","[MetricTon]","Annual_Consumption_Fuel_Households_BioDiesel","[]","2020","[P1Y]"
"152","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_DieselOil","[, UNStatsEstimate]","2020","[P1Y]"
"9","[]","[MetricTon]","Annual_Consumption_Fuel_IronSteel_Kerosene","[, UNStatsEstimate]","2020","[P1Y]"
"5","[]","[MetricTon]","Annual_Consumption_Fuel_MainActivityProducerHeatPowerPlants_BrownCoalBriquettes_FuelTransformation","[]","2020","[P1Y]"
"5","[]","[MetricTon]","Annual_Consumption_Fuel_Manufacturing_BituminousCoal","[, UNStatsEstimate]","2020","[P1Y]"
"7","[]","[MetricTon]","Annual_Consumption_Fuel_NonFerrousMetalsIndustry_LigniteCoal","[]","2020","[P1Y]"
"3","[]","[KilowattHour]","Annual_Consumption_Electricity_NuclearFuelProcessing_EnergyIndustryOwnUse","[]","2020","[P1Y]"
"18","[]","[KilowattHour]","Annual_Generation_Electricity_OtherFuel_MainActivityProducer","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_WoodAndWoodProductsIndustry_CokeOvenCoke","[]","2020","[P1Y]"
"11","[]","[MetricTon]","Annual_Consumption_Fuel_DomesticNavigationTransport_BioDiesel","[]","2020","[P1Y]"
"10","[]","[Terajoule]","Annual_Consumption_Fuel_PaperPulpPrintIndustry_VegetalWaste","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[KilowattHour]","Annual_Generation_Electricity_Geothermal_AutoProducerCombinedHeatPowerPlants","[]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_PaperPulpPrintIndustry_Peat","[]","2020","[P1Y]"
"4","[]","[MetricTon]","Annual_Consumption_Fuel_MainActivityProducerHeatPowerPlants_OtherOilProducts_FuelTransformation","[]","2020","[P1Y]"
"20","[]","[MetricTon]","Annual_Consumption_Fuel_MachineryIndustry_OtherBituminousCoal","[]","2020","[P1Y]"
"187","[]","[MetricTon]","Annual_Imports_Fuel_KeroseneJetFuel","[, UNStatsEstimate]","2020","[P1Y]"
"29","[]","[MetricTon]","Annual_Consumption_Fuel_Households_OtherBituminousCoal","[]","2020","[P1Y]"
"41","[]","[MetricTon]","Annual_ProductReclassification_Fuel_KeroseneJetFuel","[, UNStatsEstimate]","2020","[P1Y]"
"7","[]","[MetricTon]","Annual_Consumption_Fuel_MainActivityProducerElectricityPowerPlants_AnthraciteCoal_FuelTransformation","[]","2020","[P1Y]"
"2","[]","[CubicMeter]","Annual_Consumption_Fuel_OilRefineries_Fuelwood_EnergyIndustryOwnUse","[, UNStatsEstimate]","2020","[P1Y]"
"3","[]","[Terajoule]","Annual_Consumption_Fuel_OtherManufacturingIndustry_BlastFurnaceGas","[]","2020","[P1Y]"
"3","[]","[MetricTon]","Annual_Consumption_Fuel_TextileAndLeatherIndustry_SubbituminousCoal","[]","2020","[P1Y]"
"62","[]","[MetricTon]","Annual_Consumption_Fuel_CommerceAndPublicServices_Charcoal","[, UNStatsEstimate]","2020","[P1Y]"
"31","[]","[Terajoule]","Annual_Consumption_Fuel_EnergyIndustry_CokeOvenGas_EnergyIndustryOwnUse","[, UNStatsEstimate]","2020","[P1Y]"
"26","[]","[MetricTon]","Annual_Consumption_Fuel_Households_BrownCoal","[]","2020","[P1Y]"
"104","[]","[Terajoule]","Annual_Consumption_Fuel_NaturalGas","[, UNStatsEstimate]","2020","[P1Y]"
"62","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_HardCoal","[, UNStatsEstimate]","2020","[P1Y]"
"17","[]","[MetricTon]","Annual_Imports_Fuel_SubbituminousCoal","[]","2020","[P1Y]"
"11","[]","[MetricTon]","Annual_Consumption_Fuel_AutoProducerCombinedHeatPowerPlants_OtherOilProducts_FuelTransformation","[]","2020","[P1Y]"
"20","[]","[MetricTon]","Annual_Consumption_Fuel_ConstructionIndustry_HardCoal","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_GasWorks_LiquifiedPetroleumGas_FuelTransformation","[]","2020","[P1Y]"
"11","[]","[MetricTon]","Annual_Consumption_Fuel_WoodAndWoodProductsIndustry_OtherBituminousCoal","[]","2020","[P1Y]"
"31","[]","[KilowattHour]","Annual_Consumption_Electricity_CoalMines_EnergyIndustryOwnUse","[, UNStatsEstimate]","2020","[P1Y]"
"13","[]","[Terajoule]","Annual_Loss_Fuel_CokeOvenGas","[]","2020","[P1Y]"
"3","[]","[Terajoule]","Annual_Consumption_Energy_TransportEquipmentIndustry_Geothermal","[]","2020","[P1Y]"
"7","[]","[MetricTon]","Annual_Consumption_Fuel_BriquettingPlants_Peat_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"10","[]","[MetricTon]","Annual_Consumption_Fuel_TransportEquipmentIndustry_CokeOvenCoke","[]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_Ethane","[]","2020","[P1Y]"
"6","[]","[MetricTon]","AnnualChange_Stocks_Fuel_BioJetKerosene","[]","2022","[P1Y]"
"195","[]","[KilowattHour]","Annual_Generation_Electricity_Solar_MainActivityProducer","[, UNStatsEstimate]","2020","[P1Y]"
"57","[]","[MetricTon]","Annual_Consumption_Fuel_TransportIndustry_FuelOil","[, UNStatsEstimate]","2020","[P1Y]"
"11","[]","[Terajoule]","Annual_Consumption_Fuel_AutoProducerHeatPowerPlants_BioGas_FuelTransformation","[]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_AutoProducerHeatPowerPlants_CokingCoal_FuelTransformation","[]","2020","[P1Y]"
"10","[]","[Terajoule]","Annual_Consumption_Energy_UnspecifiedSector_SolarThermal","[]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_BlastFurnaces_DieselOil_EnergyIndustryOwnUse","[]","2021","[P1Y]"
"4","[]","[Terajoule]","Annual_Consumption_Fuel_MachineryIndustry_CokeOvenGas","[]","2020","[P1Y]"
"71","[]","[MetricTon]","Annual_Generation_Fuel_Bagasse","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[Terajoule]","Annual_Consumption_Fuel_IronSteel_MunicipalWaste","[]","2020","[P1Y]"
"26","[]","[MetricTon]","Annual_Consumption_Fuel_FuelTransformationIndustry_LigniteCoal_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"3","[]","[Terajoule]","Annual_Consumption_Fuel_ElectricityGeneration_AnimalWaste_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"83","[]","[Terajoule]","Annual_Consumption_Fuel_VegetalWaste","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_AutoProducerCombinedHeatPowerPlants_CokeOvenCoke_FuelTransformation","[]","2021","[P1Y]"
"7","[]","[MetricTon]","Annual_Consumption_Fuel_OtherManufacturingIndustry_PatentFuel","[, UNStatsEstimate]","2020","[P1Y]"
"4","[]","[MetricTon]","Annual_Consumption_Fuel_EnergyIndustry_CokingCoal_EnergyIndustryOwnUse","[]","2020","[P1Y]"
"1","[]","[Terajoule]","Annual_Consumption_Fuel_Households_BlastFurnaceGas","[]","2020","[P1Y]"
"71","[]","[MetricTon]","Annual_Consumption_Fuel_Manufacturing_Kerosene","[, UNStatsEstimate]","2020","[P1Y]"
"19","[]","[MetricTon]","Annual_Consumption_Fuel_PaperPulpPrintIndustry_MotorGasoline","[]","2020","[P1Y]"
"22","[]","[MetricTon]","Annual_Consumption_Fuel_TextileAndLeatherIndustry_OtherBituminousCoal","[]","2020","[P1Y]"
"4","[]","[MetricTon]","Annual_Consumption_Fuel_AutoProducerCombinedHeatPowerPlants_Peat_FuelTransformation","[]","2020","[P1Y]"
"87","[]","[MetricTon]","Annual_Generation_Fuel_KeroseneJetFuel_Refinery","[, UNStatsEstimate]","2020","[P1Y]"
"20","[]","[MetricTon]","Annual_Consumption_Fuel_CommerceAndPublicServices_LigniteCoal","[]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_UnspecifiedSector_Bagasse","[UNStatsEstimate]","2020","[P1Y]"
"62","[]","[MetricTon]","Annual_Consumption_Fuel_FoodAndTobaccoIndustry_FuelOil","[, UNStatsEstimate]","2020","[P1Y]"
"9","[]","[Terajoule]","Annual_Consumption_Fuel_WoodAndWoodProductsIndustry_VegetalWaste","[, UNStatsEstimate]","2020","[P1Y]"
"15","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_Charcoal","[, UNStatsEstimate]","2020","[P1Y]"
"25","[]","[Terajoule]","Annual_Consumption_Fuel_OtherIndustry_VegetalWaste","[, UNStatsEstimate]","2020","[P1Y]"
"34","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_OtherBituminousCoal","[]","2020","[P1Y]"
"16","[]","[MetricTon]","Annual_Consumption_Fuel_EnergyIndustry_BrownCoal_EnergyIndustryOwnUse","[]","2020","[P1Y]"
"150","[]","[MetricTon]","Annual_Consumption_Fuel_OtherSector_Kerosene","[, UNStatsEstimate]","2020","[P1Y]"
"38","[]","[Terajoule]","Annual_Consumption_Fuel_IndustrialWaste","[, UNStatsEstimate]","2020","[P1Y]"
"62","[]","[KilowattHour]","Annual_Generation_Electricity_CombustibleFuel_AutoProducerCombinedHeatPowerPlants","[, UNStatsEstimate]","2020","[P1Y]"
"38","[]","[KilowattHour]","Annual_Generation_Electricity_BrownCoal_ThermalElectricity","[, UNStatsEstimate]","2020","[P1Y]"
"1","[]","[CubicMeter]","Annual_Consumption_Fuel_BriquettingPlants_Fuelwood_EnergyIndustryOwnUse","[UNStatsEstimate]","2020","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_PipelineTransport_CrudeOil","[]","2020","[P1Y]"
"1","[]","[Terajoule]","Annual_Consumption_Fuel_EnergyIndustry_MunicipalWaste_EnergyIndustryOwnUse","[]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_ConstructionIndustry_PatentFuel","[]","2020","[P1Y]"
"4","[]","[MetricTon]","Annual_Consumption_Fuel_Manufacturing_NaturalGasLiquids","[, UNStatsEstimate]","2020","[P1Y]"
"39","[]","[Terajoule]","Annual_Consumption_Fuel_ElectricityGeneration_MunicipalWaste_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"140","[]","[MetricTon]","Annual_Consumption_Fuel_DomesticAviationTransport_KeroseneJetFuel","[, UNStatsEstimate]","2020","[P1Y]"
"37","[]","[MetricTon]","Annual_Imports_Fuel_CokingCoal","[, UNStatsEstimate]","2020","[P1Y]"
"36","[]","[Terajoule]","Annual_Generation_Energy_CombustibleFuel_AutoProducer","[]","2020","[P1Y]"
"21","[]","[MetricTon]","Annual_Consumption_Fuel_FuelTransformationIndustry_Naphtha_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"107","[]","[MetricTon]","Annual_Consumption_Fuel_OtherIndustry_LiquifiedPetroleumGas","[, UNStatsEstimate]","2020","[P1Y]"
"18","[]","[MetricTon]","Annual_Consumption_Fuel_OtherTransport_MotorGasoline","[, UNStatsEstimate]","2020","[P1Y]"
"11","[]","[MetricTon]","Annual_Consumption_Fuel_Manufacturing_BrownCoalBriquettes","[]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Consumption_Fuel_DomesticNavigationTransport_BrownCoal","[]","2021","[P1Y]"
"2","[]","[MetricTon]","Annual_Consumption_Fuel_PetrochemicalPlants_Lubricants_FuelTransformation","[]","2020","[P1Y]"
"1","[]","[MetricTon]","Annual_Generation_Fuel_WhiteSpirit_PetroleumPlants","[]","2020","[P1Y]"
"5","[]","[MetricTon]","Annual_Consumption_Fuel_Manufacturing_AviationGasoline","[]","2020","[P1Y]"
"21","[]","[MetricTon]","Annual_Consumption_Fuel_OilRefineries_OtherHydrocarbons_FuelTransformation","[]","2020","[P1Y]"
"52","[]","[MetricTon]","Annual_Consumption_Fuel_FuelTransformationIndustry_RefineryFeedstocks_FuelTransformation","[, UNStatsEstimate]","2020","[P1Y]"
"2","[]","[Terajoule]","Annual_Consumption_Fuel_PaperPulpPrintIndustry_GasworksGas","[]","2020","[P1Y]"
