State,Year,Month,Period,Indicator,Data Value
UNITED STATES,2023,November,12 Month-ending,Number of Live Births,3612000
UNITED STATES,2023,December,12 Month-ending,Number of Live Births,3594000
UNITED STATES,2024,January,12 Month-ending,Number of Live Births,3591000
UNITED STATES,2024,February,12 Month-ending,Number of Live Births,3603000
UNITED STATES,2024,March,12 Month-ending,Number of Live Births,3601000
UNITED STATES,2024,April,12 Month-ending,Number of Live Births,3612000
UNITED STATES,2024,May,12 Month-ending,Number of Live Births,3615000
UNITED STATES,2024,June,12 Month-ending,Number of Live Births,3603000
UNITED STATES,2023,January,12 Month-ending,Number of Deaths,3198000
UNITED STATES,2023,February,12 Month-ending,Number of Deaths,3158000
UNITED STATES,2023,March,12 Month-ending,Number of Deaths,3159000
UNITED STATES,2023,April,12 Month-ending,Number of Deaths,3165000
UNITED STATES,2023,May,12 Month-ending,Number of Deaths,3164000
UNITED STATES,2023,June,12 Month-ending,Number of Deaths,3157000
UNITED STATES,2023,July,12 Month-ending,Number of Deaths,3144000
UNITED STATES,2023,August,12 Month-ending,Number of Deaths,3136000
UNITED STATES,2023,September,12 Month-ending,Number of Deaths,3130000
UNITED STATES,2023,October,12 Month-ending,Number of Deaths,3123000
UNITED STATES,2023,November,12 Month-ending,Number of Deaths,3113000
UNITED STATES,2023,December,12 Month-ending,Number of Deaths,3097000
UNITED STATES,2024,January,12 Month-ending,Number of Deaths,3103000
UNITED STATES,2024,February,12 Month-ending,Number of Deaths,3109000
UNITED STATES,2024,March,12 Month-ending,Number of Deaths,3103000
UNITED STATES,2024,April,12 Month-ending,Number of Deaths,3099000
UNITED STATES,2024,May,12 Month-ending,Number of Deaths,3095000
UNITED STATES,2024,June,12 Month-ending,Number of Deaths,3094000
UNITED STATES,2023,January,12 Month-ending,Number of Infant Deaths,20400
UNITED STATES,2023,February,12 Month-ending,Number of Infant Deaths,20500
UNITED STATES,2023,March,12 Month-ending,Number of Infant Deaths,20600
UNITED STATES,2023,April,12 Month-ending,Number of Infant Deaths,20600
UNITED STATES,2023,May,12 Month-ending,Number of Infant Deaths,20600
UNITED STATES,2023,June,12 Month-ending,Number of Infant Deaths,20600
UNITED STATES,2023,July,12 Month-ending,Number of Infant Deaths,20400
UNITED STATES,2023,August,12 Month-ending,Number of Infant Deaths,20300
UNITED STATES,2023,September,12 Month-ending,Number of Infant Deaths,20300
UNITED STATES,2023,October,12 Month-ending,Number of Infant Deaths,20100
UNITED STATES,2023,November,12 Month-ending,Number of Infant Deaths,20000
UNITED STATES,2023,December,12 Month-ending,Number of Infant Deaths,20100
UNITED STATES,2024,January,12 Month-ending,Number of Infant Deaths,20000
UNITED STATES,2024,February,12 Month-ending,Number of Infant Deaths,20100
UNITED STATES,2024,March,12 Month-ending,Number of Infant Deaths,20000
UNITED STATES,2024,April,12 Month-ending,Number of Infant Deaths,19900
UNITED STATES,2024,May,12 Month-ending,Number of Infant Deaths,19900
UNITED STATES,2024,June,12 Month-ending,Number of Infant Deaths,19800
ALABAMA,2023,January,Monthly,Number of Deaths,5459
ALASKA,2023,January,Monthly,Number of Deaths,508
ARIZONA,2023,January,Monthly,Number of Deaths,6446
ARKANSAS,2023,January,Monthly,Number of Deaths,3358
CALIFORNIA,2023,January,Monthly,Number of Deaths,28009
COLORADO,2023,January,Monthly,Number of Deaths,4037
CONNECTICUT,2023,January,Monthly,Number of Deaths,3111
DELAWARE,2023,January,Monthly,Number of Deaths,992
DISTRICT OF COLUMBIA,2023,January,Monthly,Number of Deaths,447
FLORIDA,2023,January,Monthly,Number of Deaths,21746
GEORGIA,2023,January,Monthly,Number of Deaths,9149
HAWAII,2023,January,Monthly,Number of Deaths,1171
IDAHO,2023,January,Monthly,Number of Deaths,1443
ILLINOIS,2023,January,Monthly,Number of Deaths,10452
INDIANA,2023,January,Monthly,Number of Deaths,6372
IOWA,2023,January,Monthly,Number of Deaths,3050
KANSAS,2023,January,Monthly,Number of Deaths,3417
KENTUCKY,2023,January,Monthly,Number of Deaths,4981
LOUISIANA,2023,January,Monthly,Number of Deaths,4578
MAINE,2023,January,Monthly,Number of Deaths,1575
MARYLAND,2023,January,Monthly,Number of Deaths,5015
MASSACHUSETTS,2023,January,Monthly,Number of Deaths,5842
MICHIGAN,2023,January,Monthly,Number of Deaths,9526
MINNESOTA,2023,January,Monthly,Number of Deaths,4432
MISSISSIPPI,2023,January,Monthly,Number of Deaths,3244
MISSOURI,2023,January,Monthly,Number of Deaths,6074
MONTANA,2023,January,Monthly,Number of Deaths,997
NEBRASKA,2023,January,Monthly,Number of Deaths,1639
NEVADA,2023,January,Monthly,Number of Deaths,2681
NEW HAMPSHIRE,2023,January,Monthly,Number of Deaths,1371
NEW JERSEY,2023,January,Monthly,Number of Deaths,7008
NEW MEXICO,2023,January,Monthly,Number of Deaths,2083
NEW YORK,2023,January,Monthly,Number of Deaths,15563
NORTH CAROLINA,2023,January,Monthly,Number of Deaths,10027
NORTH DAKOTA,2023,January,Monthly,Number of Deaths,657
OHIO,2023,January,Monthly,Number of Deaths,11787
OKLAHOMA,2023,January,Monthly,Number of Deaths,4193
OREGON,2023,January,Monthly,Number of Deaths,3908
PENNSYLVANIA,2023,January,Monthly,Number of Deaths,13010
RHODE ISLAND,2023,January,Monthly,Number of Deaths,1001
SOUTH CAROLINA,2023,January,Monthly,Number of Deaths,5363
SOUTH DAKOTA,2023,January,Monthly,Number of Deaths,750
TENNESSEE,2023,January,Monthly,Number of Deaths,7385
TEXAS,2023,January,Monthly,Number of Deaths,21289
UTAH,2023,January,Monthly,Number of Deaths,1967
VERMONT,2023,January,Monthly,Number of Deaths,625
VIRGINIA,2023,January,Monthly,Number of Deaths,7302
WASHINGTON,2023,January,Monthly,Number of Deaths,6143
WEST VIRGINIA,2023,January,Monthly,Number of Deaths,2372
WISCONSIN,2023,January,Monthly,Number of Deaths,5308
WYOMING,2023,January,Monthly,Number of Deaths,503
PUERTO RICO,2023,January,Monthly,Number of Deaths,3197
ALABAMA,2023,February,Monthly,Number of Deaths,4864
ALASKA,2023,February,Monthly,Number of Deaths,426
ARIZONA,2023,February,Monthly,Number of Deaths,5690
ARKANSAS,2023,February,Monthly,Number of Deaths,2871
CALIFORNIA,2023,February,Monthly,Number of Deaths,24546
COLORADO,2023,February,Monthly,Number of Deaths,3536
CONNECTICUT,2023,February,Monthly,Number of Deaths,2678
DELAWARE,2023,February,Monthly,Number of Deaths,886
DISTRICT OF COLUMBIA,2023,February,Monthly,Number of Deaths,390
FLORIDA,2023,February,Monthly,Number of Deaths,18461
GEORGIA,2023,February,Monthly,Number of Deaths,7681
HAWAII,2023,February,Monthly,Number of Deaths,995
IDAHO,2023,February,Monthly,Number of Deaths,1247
ILLINOIS,2023,February,Monthly,Number of Deaths,9046
INDIANA,2023,February,Monthly,Number of Deaths,5438
IOWA,2023,February,Monthly,Number of Deaths,2628
KANSAS,2023,February,Monthly,Number of Deaths,2956
KENTUCKY,2023,February,Monthly,Number of Deaths,4365
LOUISIANA,2023,February,Monthly,Number of Deaths,4077
MAINE,2023,February,Monthly,Number of Deaths,1353
MARYLAND,2023,February,Monthly,Number of Deaths,4320
MASSACHUSETTS,2023,February,Monthly,Number of Deaths,4988
MICHIGAN,2023,February,Monthly,Number of Deaths,8244
MINNESOTA,2023,February,Monthly,Number of Deaths,3867
MISSISSIPPI,2023,February,Monthly,Number of Deaths,2806
MISSOURI,2023,February,Monthly,Number of Deaths,5297
MONTANA,2023,February,Monthly,Number of Deaths,861
NEBRASKA,2023,February,Monthly,Number of Deaths,1457
NEVADA,2023,February,Monthly,Number of Deaths,2319
NEW HAMPSHIRE,2023,February,Monthly,Number of Deaths,1102
NEW JERSEY,2023,February,Monthly,Number of Deaths,6117
NEW MEXICO,2023,February,Monthly,Number of Deaths,1702
NEW YORK,2023,February,Monthly,Number of Deaths,13051
NORTH CAROLINA,2023,February,Monthly,Number of Deaths,8513
NORTH DAKOTA,2023,February,Monthly,Number of Deaths,487
OHIO,2023,February,Monthly,Number of Deaths,10164
OKLAHOMA,2023,February,Monthly,Number of Deaths,3486
OREGON,2023,February,Monthly,Number of Deaths,3456
PENNSYLVANIA,2023,February,Monthly,Number of Deaths,11150
RHODE ISLAND,2023,February,Monthly,Number of Deaths,831
SOUTH CAROLINA,2023,February,Monthly,Number of Deaths,4567
SOUTH DAKOTA,2023,February,Monthly,Number of Deaths,635
TENNESSEE,2023,February,Monthly,Number of Deaths,6273
TEXAS,2023,February,Monthly,Number of Deaths,18596
UTAH,2023,February,Monthly,Number of Deaths,1600
VERMONT,2023,February,Monthly,Number of Deaths,540
VIRGINIA,2023,February,Monthly,Number of Deaths,6313
WASHINGTON,2023,February,Monthly,Number of Deaths,5244
WEST VIRGINIA,2023,February,Monthly,Number of Deaths,2074
WISCONSIN,2023,February,Monthly,Number of Deaths,4543
WYOMING,2023,February,Monthly,Number of Deaths,448
PUERTO RICO,2023,February,Monthly,Number of Deaths,2754
ALABAMA,2023,March,Monthly,Number of Deaths,5055
ALASKA,2023,March,Monthly,Number of Deaths,449
ARIZONA,2023,March,Monthly,Number of Deaths,6150
ARKANSAS,2023,March,Monthly,Number of Deaths,3086
CALIFORNIA,2023,March,Monthly,Number of Deaths,26450
COLORADO,2023,March,Monthly,Number of Deaths,3843
CONNECTICUT,2023,March,Monthly,Number of Deaths,2720
DELAWARE,2023,March,Monthly,Number of Deaths,967
DISTRICT OF COLUMBIA,2023,March,Monthly,Number of Deaths,434
FLORIDA,2023,March,Monthly,Number of Deaths,20058
GEORGIA,2023,March,Monthly,Number of Deaths,8237
HAWAII,2023,March,Monthly,Number of Deaths,1187
IDAHO,2023,March,Monthly,Number of Deaths,1413
ILLINOIS,2023,March,Monthly,Number of Deaths,9732
INDIANA,2023,March,Monthly,Number of Deaths,6024
IOWA,2023,March,Monthly,Number of Deaths,2875
KANSAS,2023,March,Monthly,Number of Deaths,3305
KENTUCKY,2023,March,Monthly,Number of Deaths,4636
LOUISIANA,2023,March,Monthly,Number of Deaths,4224
MAINE,2023,March,Monthly,Number of Deaths,1422
MARYLAND,2023,March,Monthly,Number of Deaths,4581
MASSACHUSETTS,2023,March,Monthly,Number of Deaths,5193
MICHIGAN,2023,March,Monthly,Number of Deaths,8976
MINNESOTA,2023,March,Monthly,Number of Deaths,4257
MISSISSIPPI,2023,March,Monthly,Number of Deaths,2939
MISSOURI,2023,March,Monthly,Number of Deaths,5952
MONTANA,2023,March,Monthly,Number of Deaths,1006
NEBRASKA,2023,March,Monthly,Number of Deaths,1620
NEVADA,2023,March,Monthly,Number of Deaths,2515
NEW HAMPSHIRE,2023,March,Monthly,Number of Deaths,1212
NEW JERSEY,2023,March,Monthly,Number of Deaths,6527
NEW MEXICO,2023,March,Monthly,Number of Deaths,1942
NEW YORK,2023,March,Monthly,Number of Deaths,13954
NORTH CAROLINA,2023,March,Monthly,Number of Deaths,9309
NORTH DAKOTA,2023,March,Monthly,Number of Deaths,581
OHIO,2023,March,Monthly,Number of Deaths,11315
OKLAHOMA,2023,March,Monthly,Number of Deaths,3834
OREGON,2023,March,Monthly,Number of Deaths,3709
PENNSYLVANIA,2023,March,Monthly,Number of Deaths,12066
RHODE ISLAND,2023,March,Monthly,Number of Deaths,907
SOUTH CAROLINA,2023,March,Monthly,Number of Deaths,5061
SOUTH DAKOTA,2023,March,Monthly,Number of Deaths,707
TENNESSEE,2023,March,Monthly,Number of Deaths,6886
TEXAS,2023,March,Monthly,Number of Deaths,19652
UTAH,2023,March,Monthly,Number of Deaths,1789
VERMONT,2023,March,Monthly,Number of Deaths,595
VIRGINIA,2023,March,Monthly,Number of Deaths,6715
WASHINGTON,2023,March,Monthly,Number of Deaths,5751
WEST VIRGINIA,2023,March,Monthly,Number of Deaths,2154
WISCONSIN,2023,March,Monthly,Number of Deaths,4928
WYOMING,2023,March,Monthly,Number of Deaths,489
PUERTO RICO,2023,March,Monthly,Number of Deaths,2889
ALABAMA,2023,April,Monthly,Number of Deaths,4735
ALASKA,2023,April,Monthly,Number of Deaths,452
ARIZONA,2023,April,Monthly,Number of Deaths,5965
ARKANSAS,2023,April,Monthly,Number of Deaths,2882
CALIFORNIA,2023,April,Monthly,Number of Deaths,24315
COLORADO,2023,April,Monthly,Number of Deaths,3794
CONNECTICUT,2023,April,Monthly,Number of Deaths,2592
DELAWARE,2023,April,Monthly,Number of Deaths,915
DISTRICT OF COLUMBIA,2023,April,Monthly,Number of Deaths,370
FLORIDA,2023,April,Monthly,Number of Deaths,18716
GEORGIA,2023,April,Monthly,Number of Deaths,7803
HAWAII,2023,April,Monthly,Number of Deaths,1026
IDAHO,2023,April,Monthly,Number of Deaths,1371
ILLINOIS,2023,April,Monthly,Number of Deaths,9261
INDIANA,2023,April,Monthly,Number of Deaths,5764
IOWA,2023,April,Monthly,Number of Deaths,2641
KANSAS,2023,April,Monthly,Number of Deaths,3074
KENTUCKY,2023,April,Monthly,Number of Deaths,4294
LOUISIANA,2023,April,Monthly,Number of Deaths,3938
MAINE,2023,April,Monthly,Number of Deaths,1354
MARYLAND,2023,April,Monthly,Number of Deaths,4160
MASSACHUSETTS,2023,April,Monthly,Number of Deaths,4853
MICHIGAN,2023,April,Monthly,Number of Deaths,8506
MINNESOTA,2023,April,Monthly,Number of Deaths,4016
MISSISSIPPI,2023,April,Monthly,Number of Deaths,2677
MISSOURI,2023,April,Monthly,Number of Deaths,5411
MONTANA,2023,April,Monthly,Number of Deaths,946
NEBRASKA,2023,April,Monthly,Number of Deaths,1574
NEVADA,2023,April,Monthly,Number of Deaths,2472
NEW HAMPSHIRE,2023,April,Monthly,Number of Deaths,1111
NEW JERSEY,2023,April,Monthly,Number of Deaths,6070
NEW MEXICO,2023,April,Monthly,Number of Deaths,1926
NEW YORK,2023,April,Monthly,Number of Deaths,12884
NORTH CAROLINA,2023,April,Monthly,Number of Deaths,8596
NORTH DAKOTA,2023,April,Monthly,Number of Deaths,575
OHIO,2023,April,Monthly,Number of Deaths,10580
OKLAHOMA,2023,April,Monthly,Number of Deaths,3572
OREGON,2023,April,Monthly,Number of Deaths,3522
PENNSYLVANIA,2023,April,Monthly,Number of Deaths,11199
RHODE ISLAND,2023,April,Monthly,Number of Deaths,905
SOUTH CAROLINA,2023,April,Monthly,Number of Deaths,4632
SOUTH DAKOTA,2023,April,Monthly,Number of Deaths,712
TENNESSEE,2023,April,Monthly,Number of Deaths,6469
TEXAS,2023,April,Monthly,Number of Deaths,18394
UTAH,2023,April,Monthly,Number of Deaths,1717
VERMONT,2023,April,Monthly,Number of Deaths,574
VIRGINIA,2023,April,Monthly,Number of Deaths,6277
WASHINGTON,2023,April,Monthly,Number of Deaths,5545
WEST VIRGINIA,2023,April,Monthly,Number of Deaths,2045
WISCONSIN,2023,April,Monthly,Number of Deaths,4646
WYOMING,2023,April,Monthly,Number of Deaths,498
PUERTO RICO,2023,April,Monthly,Number of Deaths,2619
ALABAMA,2023,May,Monthly,Number of Deaths,5013
ALASKA,2023,May,Monthly,Number of Deaths,443
ARIZONA,2023,May,Monthly,Number of Deaths,5687
ARKANSAS,2023,May,Monthly,Number of Deaths,2904
CALIFORNIA,2023,May,Monthly,Number of Deaths,23737
COLORADO,2023,May,Monthly,Number of Deaths,3678
CONNECTICUT,2023,May,Monthly,Number of Deaths,2612
DELAWARE,2023,May,Monthly,Number of Deaths,832
DISTRICT OF COLUMBIA,2023,May,Monthly,Number of Deaths,445
FLORIDA,2023,May,Monthly,Number of Deaths,18749
GEORGIA,2023,May,Monthly,Number of Deaths,7885
HAWAII,2023,May,Monthly,Number of Deaths,1022
IDAHO,2023,May,Monthly,Number of Deaths,1385
ILLINOIS,2023,May,Monthly,Number of Deaths,9406
INDIANA,2023,May,Monthly,Number of Deaths,5786
IOWA,2023,May,Monthly,Number of Deaths,2670
KANSAS,2023,May,Monthly,Number of Deaths,2895
KENTUCKY,2023,May,Monthly,Number of Deaths,4268
LOUISIANA,2023,May,Monthly,Number of Deaths,4079
MAINE,2023,May,Monthly,Number of Deaths,1357
MARYLAND,2023,May,Monthly,Number of Deaths,4276
MASSACHUSETTS,2023,May,Monthly,Number of Deaths,4880
MICHIGAN,2023,May,Monthly,Number of Deaths,8682
MINNESOTA,2023,May,Monthly,Number of Deaths,3934
MISSISSIPPI,2023,May,Monthly,Number of Deaths,2887
MISSOURI,2023,May,Monthly,Number of Deaths,5462
MONTANA,2023,May,Monthly,Number of Deaths,899
NEBRASKA,2023,May,Monthly,Number of Deaths,1465
NEVADA,2023,May,Monthly,Number of Deaths,2356
NEW HAMPSHIRE,2023,May,Monthly,Number of Deaths,1152
NEW JERSEY,2023,May,Monthly,Number of Deaths,6109
NEW MEXICO,2023,May,Monthly,Number of Deaths,1783
NEW YORK,2023,May,Monthly,Number of Deaths,13290
NORTH CAROLINA,2023,May,Monthly,Number of Deaths,8692
NORTH DAKOTA,2023,May,Monthly,Number of Deaths,591
OHIO,2023,May,Monthly,Number of Deaths,10533
OKLAHOMA,2023,May,Monthly,Number of Deaths,3600
OREGON,2023,May,Monthly,Number of Deaths,3279
PENNSYLVANIA,2023,May,Monthly,Number of Deaths,11304
RHODE ISLAND,2023,May,Monthly,Number of Deaths,835
SOUTH CAROLINA,2023,May,Monthly,Number of Deaths,4624
SOUTH DAKOTA,2023,May,Monthly,Number of Deaths,712
TENNESSEE,2023,May,Monthly,Number of Deaths,6511
TEXAS,2023,May,Monthly,Number of Deaths,18696
UTAH,2023,May,Monthly,Number of Deaths,1706
VERMONT,2023,May,Monthly,Number of Deaths,530
VIRGINIA,2023,May,Monthly,Number of Deaths,6333
WASHINGTON,2023,May,Monthly,Number of Deaths,5308
WEST VIRGINIA,2023,May,Monthly,Number of Deaths,1986
WISCONSIN,2023,May,Monthly,Number of Deaths,4863
WYOMING,2023,May,Monthly,Number of Deaths,461
PUERTO RICO,2023,May,Monthly,Number of Deaths,2732
ALABAMA,2023,June,Monthly,Number of Deaths,4513
ALASKA,2023,June,Monthly,Number of Deaths,439
ARIZONA,2023,June,Monthly,Number of Deaths,5324
ARKANSAS,2023,June,Monthly,Number of Deaths,2762
CALIFORNIA,2023,June,Monthly,Number of Deaths,22840
COLORADO,2023,June,Monthly,Number of Deaths,3496
CONNECTICUT,2023,June,Monthly,Number of Deaths,2461
DELAWARE,2023,June,Monthly,Number of Deaths,835
DISTRICT OF COLUMBIA,2023,June,Monthly,Number of Deaths,375
FLORIDA,2023,June,Monthly,Number of Deaths,18157
GEORGIA,2023,June,Monthly,Number of Deaths,7468
HAWAII,2023,June,Monthly,Number of Deaths,997
IDAHO,2023,June,Monthly,Number of Deaths,1315
ILLINOIS,2023,June,Monthly,Number of Deaths,8810
INDIANA,2023,June,Monthly,Number of Deaths,5521
IOWA,2023,June,Monthly,Number of Deaths,2545
KANSAS,2023,June,Monthly,Number of Deaths,2771
KENTUCKY,2023,June,Monthly,Number of Deaths,4127
LOUISIANA,2023,June,Monthly,Number of Deaths,3844
MAINE,2023,June,Monthly,Number of Deaths,1290
MARYLAND,2023,June,Monthly,Number of Deaths,4072
MASSACHUSETTS,2023,June,Monthly,Number of Deaths,4746
MICHIGAN,2023,June,Monthly,Number of Deaths,7963
MINNESOTA,2023,June,Monthly,Number of Deaths,3862
MISSISSIPPI,2023,June,Monthly,Number of Deaths,2749
MISSOURI,2023,June,Monthly,Number of Deaths,5265
MONTANA,2023,June,Monthly,Number of Deaths,884
NEBRASKA,2023,June,Monthly,Number of Deaths,1404
NEVADA,2023,June,Monthly,Number of Deaths,2211
NEW HAMPSHIRE,2023,June,Monthly,Number of Deaths,1075
NEW JERSEY,2023,June,Monthly,Number of Deaths,5838
NEW MEXICO,2023,June,Monthly,Number of Deaths,1756
NEW YORK,2023,June,Monthly,Number of Deaths,12372
NORTH CAROLINA,2023,June,Monthly,Number of Deaths,8449
NORTH DAKOTA,2023,June,Monthly,Number of Deaths,524
OHIO,2023,June,Monthly,Number of Deaths,9952
OKLAHOMA,2023,June,Monthly,Number of Deaths,3450
OREGON,2023,June,Monthly,Number of Deaths,3364
PENNSYLVANIA,2023,June,Monthly,Number of Deaths,10770
RHODE ISLAND,2023,June,Monthly,Number of Deaths,833
SOUTH CAROLINA,2023,June,Monthly,Number of Deaths,4605
SOUTH DAKOTA,2023,June,Monthly,Number of Deaths,634
TENNESSEE,2023,June,Monthly,Number of Deaths,6224
TEXAS,2023,June,Monthly,Number of Deaths,18340
UTAH,2023,June,Monthly,Number of Deaths,1643
VERMONT,2023,June,Monthly,Number of Deaths,498
VIRGINIA,2023,June,Monthly,Number of Deaths,6019
WASHINGTON,2023,June,Monthly,Number of Deaths,5101
WEST VIRGINIA,2023,June,Monthly,Number of Deaths,1852
WISCONSIN,2023,June,Monthly,Number of Deaths,4516
WYOMING,2023,June,Monthly,Number of Deaths,429
PUERTO RICO,2023,June,Monthly,Number of Deaths,2917
ALABAMA,2023,July,Monthly,Number of Deaths,4853
ALASKA,2023,July,Monthly,Number of Deaths,427
ARIZONA,2023,July,Monthly,Number of Deaths,5913
ARKANSAS,2023,July,Monthly,Number of Deaths,2901
CALIFORNIA,2023,July,Monthly,Number of Deaths,23352
COLORADO,2023,July,Monthly,Number of Deaths,3546
CONNECTICUT,2023,July,Monthly,Number of Deaths,2589
DELAWARE,2023,July,Monthly,Number of Deaths,854
DISTRICT OF COLUMBIA,2023,July,Monthly,Number of Deaths,404
FLORIDA,2023,July,Monthly,Number of Deaths,19057
GEORGIA,2023,July,Monthly,Number of Deaths,7618
HAWAII,2023,July,Monthly,Number of Deaths,1029
IDAHO,2023,July,Monthly,Number of Deaths,1348
ILLINOIS,2023,July,Monthly,Number of Deaths,8974
INDIANA,2023,July,Monthly,Number of Deaths,5505
IOWA,2023,July,Monthly,Number of Deaths,2530
KANSAS,2023,July,Monthly,Number of Deaths,2730
KENTUCKY,2023,July,Monthly,Number of Deaths,4251
LOUISIANA,2023,July,Monthly,Number of Deaths,3900
MAINE,2023,July,Monthly,Number of Deaths,1339
MARYLAND,2023,July,Monthly,Number of Deaths,4114
MASSACHUSETTS,2023,July,Monthly,Number of Deaths,4803
MICHIGAN,2023,July,Monthly,Number of Deaths,8232
MINNESOTA,2023,July,Monthly,Number of Deaths,3903
MISSISSIPPI,2023,July,Monthly,Number of Deaths,2761
MISSOURI,2023,July,Monthly,Number of Deaths,5198
MONTANA,2023,July,Monthly,Number of Deaths,927
NEBRASKA,2023,July,Monthly,Number of Deaths,1471
NEVADA,2023,July,Monthly,Number of Deaths,2439
NEW HAMPSHIRE,2023,July,Monthly,Number of Deaths,1175
NEW JERSEY,2023,July,Monthly,Number of Deaths,5829
NEW MEXICO,2023,July,Monthly,Number of Deaths,1801
NEW YORK,2023,July,Monthly,Number of Deaths,12607
NORTH CAROLINA,2023,July,Monthly,Number of Deaths,8515
NORTH DAKOTA,2023,July,Monthly,Number of Deaths,560
OHIO,2023,July,Monthly,Number of Deaths,10070
OKLAHOMA,2023,July,Monthly,Number of Deaths,3508
OREGON,2023,July,Monthly,Number of Deaths,3478
PENNSYLVANIA,2023,July,Monthly,Number of Deaths,10754
RHODE ISLAND,2023,July,Monthly,Number of Deaths,796
SOUTH CAROLINA,2023,July,Monthly,Number of Deaths,4688
SOUTH DAKOTA,2023,July,Monthly,Number of Deaths,716
TENNESSEE,2023,July,Monthly,Number of Deaths,6294
TEXAS,2023,July,Monthly,Number of Deaths,18755
UTAH,2023,July,Monthly,Number of Deaths,1678
VERMONT,2023,July,Monthly,Number of Deaths,542
VIRGINIA,2023,July,Monthly,Number of Deaths,6143
WASHINGTON,2023,July,Monthly,Number of Deaths,5247
WEST VIRGINIA,2023,July,Monthly,Number of Deaths,1982
WISCONSIN,2023,July,Monthly,Number of Deaths,4545
WYOMING,2023,July,Monthly,Number of Deaths,487
PUERTO RICO,2023,July,Monthly,Number of Deaths,2821
