Date,StateCode,value,StatVar,unit
2008-03-01,country/IND,9823000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2009-03-01,country/IND,9082000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2010-03-01,country/IND,13168000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2011-03-01,country/IND,11464000000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2012-03-01,country/IND,14003320000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2013-03-01,country/IND,14733290000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2014-03-01,country/IND,15869370000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2015-03-01,country/IND,15190300000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2016-03-01,country/IND,16134610000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2017-03-01,country/IND,15428570000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2018-03-01,country/IND,14675670000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2019-03-01,country/IND,14986910000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2020-03-01,country/IND,16115240000.0,Annual_Consumption_Fuel_Agriculture_NaturalGas,CubicMeter
2017-03-01,country/IND,4170060000.0000005,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2018-03-01,country/IND,4024130000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2019-03-01,country/IND,3386090000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2020-03-01,country/IND,3568790000.0,Annual_Consumption_Fuel_ChemicalPetrochemicalIndustry_NaturalGas,CubicMeter
2009-03-01,country/IND,1535000000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2010-03-01,country/IND,1838000000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2011-03-01,country/IND,765000000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2012-03-01,country/IND,1333260000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2013-03-01,country/IND,1105740000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2014-03-01,country/IND,274120000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2015-03-01,country/IND,153590000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2016-03-01,country/IND,544320000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2017-03-01,country/IND,885050000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2018-03-01,country/IND,1278000000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2019-03-01,country/IND,1123710000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2020-03-01,country/IND,567000000.0,Annual_Consumption_Fuel_IronSteel_NaturalGas,CubicMeter
2012-03-01,country/IND,1068369999.9999999,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2013-03-01,country/IND,1027290000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2014-03-01,country/IND,981850000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2015-03-01,country/IND,1005480000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2016-03-01,country/IND,754190000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2017-03-01,country/IND,759450000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2018-03-01,country/IND,797870000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2019-03-01,country/IND,873520000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2020-03-01,country/IND,857940000.0,Annual_Consumption_Fuel_OilGasExtraction_NaturalGas,CubicMeter
2006-03-01,country/IND,75000000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2007-03-01,country/IND,443000000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2008-03-01,country/IND,38000000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2009-03-01,country/IND,427249000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2010-03-01,country/IND,182437000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2011-03-01,country/IND,243462000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2012-03-01,country/IND,397752000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2013-03-01,country/IND,410614000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2014-03-01,country/IND,414731000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2015-03-01,country/IND,384730000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2016-03-01,country/IND,388168000.0,Annual_Consumption_Fuel_Households_NaturalGas,CubicMeter
2009-03-01,country/IND,2840999000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2010-03-01,country/IND,1213117000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2011-03-01,country/IND,1618906000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
2012-03-01,country/IND,2644855000.0,Annual_Consumption_Fuel_TransportIndustry_NaturalGas,CubicMeter
