State,isoCode,Date,Count_PregnancyEvent,Count_PregnantWomen_RegisteredForAntenatalCare,Count_PregnantWomen_RegisteredForAntenatalCareWithinFirstTrimester,Count_ChildDeliveryEvent,Count_ChildDeliveryEvent_InAnInstitution,Count_ChildDeliveryEvent_InPublicInstitution,Count_ChildDeliveryEvent_AtHome,Count_ChildDeliveryEvent_AtHome_WithStandByAssist,Count_DeliveryEvent_Safe_AsFractionOf_Count_DeliveryEvent
Manipur,IN-MN,2009-03,39000,100525.0,26091.0,24776.0,17325.0,17302.0,7451.0,4257.0,87.1
Meghalaya,IN-ML,2009-03,68000,78489.0,16911.0,50802.0,18195.0,16883.0,32607.0,3811.0,43.3
Mizoram,IN-MZ,2009-03,20000,24827.0,10117.0,18216.0,13842.0,13832.0,4374.0,2283.0,88.5
Nagaland,IN-NL,2009-03,42000,21721.0,4274.0,8374.0,5305.0,5305.0,3069.0,2172.0,89.3
Odisha,IN-OR,2009-03,943000,761966.0,212693.0,599939.0,419717.0,416154.0,180222.0,49785.0,78.3
Puducherry,IN-PY,2009-03,21000,56203.0,7365.0,29787.0,29787.0,29787.0,,,100.0
Punjab,IN-PB,2009-03,521000,473323.0,224100.0,389771.0,230436.0,96542.0,159335.0,86359.0,81.3
Rajasthan,IN-RJ,2009-03,2001000,2002738.0,1056808.0,1499880.0,1134879.0,890611.0,365001.0,131485.0,84.4
Sikkim,IN-SK,2009-03,12000,13395.0,6196.0,5018.0,2430.0,2430.0,2588.0,1407.0,76.5
Tamil Nadu,IN-TN,2009-03,1154000,1238461.0,936749.0,1109253.0,1102110.0,719531.0,7143.0,3769.0,99.7
Tripura,IN-TR,2009-03,66000,62204.0,28471.0,43185.0,31928.0,30621.0,11257.0,1234.0,76.8
Uttar Pradesh,IN-UP,2009-03,6241000,5376516.0,1555087.0,2970237.0,1501933.0,1495694.0,1468304.0,919421.0,81.5
Uttarakhand,IN-UT,2009-03,216000,243301.0,117168.0,131789.0,54825.0,50713.0,76964.0,45789.0,76.3
West Bengal,IN-WB,2009-03,1723000,1887862.0,817886.0,1457411.0,868688.0,757402.0,588723.0,25019.0,61.3
All India,IN,2010-03,29270000,28316350.0,14740810.0,20786400.0,15374712.0,11557916.0,5411688.0,2707386.0,87.0
A & N Islands,IN-AN,2010-03,9000,5715.0,2271.0,5011.0,4472.0,4472.0,539.0,182.0,92.9
Andhra Pradesh Old,IN-AP,2010-03,1693000,1808357.0,1201495.0,1531023.0,1413202.0,663713.0,117821.0,75171.0,97.2
Arunachal Pradesh,IN-AR,2010-03,30000,22414.0,5439.0,9840.0,9422.0,9422.0,418.0,283.0,98.6
Assam,IN-AS,2010-03,790000,734711.0,278232.0,511682.0,397110.0,374527.0,114572.0,25477.0,82.6
Bihar,IN-BR,2010-03,3047000,1816778.0,810572.0,1133991.0,968191.0,955785.0,165800.0,105347.0,94.7
Chandigarh,IN-CH,2010-03,24000,42165.0,10886.0,22252.0,19295.0,19295.0,2957.0,356.0,88.3
Chhattisgarh,IN-CT,2010-03,683000,650755.0,280852.0,599298.0,262209.0,227034.0,337089.0,144185.0,67.8
Dadra & Nagar Haveli,IN-DN,2010-03,10000,10483.0,3377.0,5399.0,2880.0,2880.0,2519.0,852.0,69.1
Daman & Diu,IN-DD,2010-03,4000,,,,,,,,
Delhi,IN-DL,2010-03,359000,779388.0,188266.0,157244.0,145688.0,128497.0,11556.0,2924.0,94.5
Goa,IN-GA,2010-03,25000,30130.0,17726.0,19540.0,19450.0,11186.0,90.0,19.0,99.6
Gujarat,IN-GJ,2010-03,1440000,1425228.0,854151.0,1046751.0,933448.0,288549.0,113303.0,37088.0,92.7
Haryana,IN-HR,2010-03,629000,654276.0,291148.0,503618.0,350953.0,196954.0,152665.0,68972.0,83.4
Himachal Pradesh,IN-HP,2010-03,131000,157805.0,65160.0,104970.0,55483.0,45584.0,49487.0,8940.0,61.4
Jammu & Kashmir,IN-JK,2010-03,238000,399543.0,196999.0,188188.0,137135.0,135413.0,51053.0,26906.0,87.2
Jharkhand,IN-JH,2010-03,876000,655311.0,171155.0,562066.0,281018.0,222601.0,281048.0,115125.0,70.5
Karnataka,IN-KA,2010-03,1275000,1292237.0,763325.0,917364.0,837453.0,687262.0,79911.0,49038.0,96.6
Kerala,IN-KL,2010-03,550000,624899.0,407253.0,491247.0,489828.0,150267.0,1419.0,154.0,99.7
Lakshadweep,IN-LD,2010-03,1000,1017.0,575.0,649.0,591.0,591.0,58.0,27.0,95.2
Madhya Pradesh,IN-MP,2010-03,2174000,1993145.0,958629.0,1607760.0,1291755.0,1154823.0,316005.0,109179.0,87.1
Maharashtra,IN-MH,2010-03,2176000,2117762.0,1104387.0,1494896.0,1285391.0,744868.0,209505.0,138819.0,95.3
Manipur,IN-MN,2010-03,42000,111670.0,41307.0,31741.0,24206.0,18498.0,7535.0,4471.0,90.3
Meghalaya,IN-ML,2010-03,72000,102540.0,27570.0,66287.0,29185.0,21672.0,37102.0,4053.0,50.1
Mizoram,IN-MZ,2010-03,20000,32096.0,13614.0,22851.0,17802.0,14675.0,5049.0,2620.0,89.4
Nagaland,IN-NL,2010-03,43000,33754.0,7741.0,15516.0,10820.0,10820.0,4696.0,3883.0,94.8
Odisha,IN-OR,2010-03,947000,860274.0,293702.0,656136.0,502672.0,499332.0,153464.0,45257.0,83.5
Puducherry,IN-PY,2010-03,23000,53819.0,9609.0,47926.0,47889.0,39388.0,37.0,26.0,100.0
Punjab,IN-PB,2010-03,518000,508435.0,298154.0,387729.0,249610.0,101804.0,138119.0,64095.0,80.9
Rajasthan,IN-RJ,2010-03,2006000,2012114.0,1012571.0,1394549.0,1202764.0,940492.0,191785.0,106266.0,93.9
Sikkim,IN-SK,2010-03,12000,15212.0,5412.0,5785.0,3813.0,3813.0,1972.0,652.0,77.2
Tamil Nadu,IN-TN,2010-03,1176000,1220391.0,933795.0,1105378.0,1099974.0,808737.0,5404.0,3834.0,99.9
Tripura,IN-TR,2010-03,61000,72676.0,34025.0,45928.0,36707.0,36605.0,9221.0,662.0,81.4
Uttar Pradesh,IN-UP,2010-03,6269000,5804938.0,3456991.0,4509612.0,2218954.0,2162510.0,2290658.0,1518222.0,82.9
Uttarakhand,IN-UT,2010-03,216000,226481.0,116497.0,133225.0,79250.0,77961.0,53975.0,27542.0,80.2
West Bengal,IN-WB,2010-03,1701000,1902114.0,872390.0,1410555.0,906406.0,758200.0,504149.0,16159.0,65.4
All India,IN,2011-03,29681000,28539444.0,15426575.0,21254165.0,16806017.0,12330666.0,4448148.0,1934960.0,88.2
A & N Islands,IN-AN,2011-03,9000,5992.0,3526.0,4745.0,4423.0,4423.0,322.0,156.0,96.5
Andhra Pradesh Old,IN-AP,2011-03,1708000,1762254.0,1197455.0,1522661.0,1437365.0,557115.0,85296.0,59403.0,98.3
Arunachal Pradesh,IN-AR,2011-03,30000,24151.0,8582.0,11268.0,10617.0,10617.0,651.0,529.0,98.9
Assam,IN-AS,2011-03,800000,772510.0,357440.0,535752.0,415896.0,391151.0,119856.0,15095.0,80.4
Bihar,IN-BR,2011-03,3090000,2270420.0,1194248.0,1449078.0,1240587.0,1232668.0,208491.0,92267.0,92.0
Chandigarh,IN-CH,2011-03,25000,34998.0,11050.0,22509.0,20032.0,20032.0,2477.0,70.0,89.3
Chhattisgarh,IN-CT,2011-03,693000,651442.0,343288.0,614378.0,336346.0,279581.0,278032.0,125260.0,75.1
Dadra & Nagar Haveli,IN-DN,2011-03,10000,11532.0,2047.0,6216.0,3381.0,3381.0,2835.0,878.0,68.5
Daman & Diu,IN-DD,2011-03,6000,4537.0,1723.0,2981.0,2617.0,1168.0,364.0,336.0,99.1
Delhi,IN-DL,2011-03,369000,768916.0,193234.0,176575.0,168217.0,142700.0,8358.0,1240.0,96.0
Goa,IN-GA,2011-03,26000,30985.0,16595.0,20208.0,20107.0,10250.0,101.0,19.0,99.6
Gujarat,IN-GJ,2011-03,1460000,1380710.0,912458.0,1190895.0,1093508.0,320210.0,97387.0,28857.0,94.2
Haryana,IN-HR,2011-03,639000,608720.0,285429.0,498084.0,400076.0,224033.0,98008.0,44955.0,89.3
Himachal Pradesh,IN-HP,2011-03,132000,156424.0,65068.0,103027.0,65372.0,52956.0,37655.0,5250.0,68.5
Jammu & Kashmir,IN-JK,2011-03,241000,449864.0,175846.0,184535.0,141278.0,138566.0,43257.0,16674.0,85.6
Jharkhand,IN-JH,2011-03,888000,762847.0,201620.0,587334.0,345136.0,289268.0,242198.0,67969.0,70.3
Karnataka,IN-KA,2011-03,1289000,1606448.0,944747.0,768788.0,720358.0,651902.0,48430.0,33306.0,98.0
Kerala,IN-KL,2011-03,553000,546531.0,398297.0,484142.0,482979.0,135713.0,1163.0,135.0,99.8
Lakshadweep,IN-LD,2011-03,1000,1091.0,599.0,237.0,174.0,174.0,63.0,28.0,85.2
Madhya Pradesh,IN-MP,2011-03,2209000,2036019.0,996058.0,1604417.0,1345858.0,1215859.0,258559.0,78315.0,88.8
Maharashtra,IN-MH,2011-03,2207000,2174182.0,1293711.0,1833574.0,1674779.0,796263.0,158795.0,64048.0,94.8
Manipur,IN-MN,2011-03,43000,98692.0,47210.0,33830.0,25554.0,18845.0,8276.0,4985.0,90.3
Meghalaya,IN-ML,2011-03,73000,110804.0,29947.0,70483.0,31564.0,24042.0,38919.0,3574.0,49.9
Mizoram,IN-MZ,2011-03,20000,29126.0,13310.0,22302.0,18151.0,15420.0,4151.0,1825.0,89.6
Nagaland,IN-NL,2011-03,43000,34544.0,9177.0,17142.0,11453.0,11453.0,5689.0,4195.0,91.3
Odisha,IN-OR,2011-03,956000,854464.0,306355.0,668232.0,549012.0,521558.0,119220.0,27632.0,86.3
Puducherry,IN-PY,2011-03,24000,49555.0,9870.0,43089.0,43058.0,34937.0,31.0,25.0,100.0
Punjab,IN-PB,2011-03,525000,511866.0,305461.0,398751.0,273238.0,115865.0,125513.0,49505.0,80.9
Rajasthan,IN-RJ,2011-03,2039000,1871172.0,856515.0,1371119.0,1213054.0,942409.0,158065.0,71127.0,93.7
Sikkim,IN-SK,2011-03,12000,9925.0,5923.0,8131.0,6648.0,5410.0,1483.0,485.0,87.7
Tamil Nadu,IN-TN,2011-03,1184000,1212758.0,956002.0,1081965.0,1079957.0,784163.0,2008.0,916.0,99.9
Tripura,IN-TR,2011-03,61000,67891.0,35967.0,47766.0,39815.0,38035.0,7951.0,319.0,84.0
Uttar Pradesh,IN-UP,2011-03,6381000,5406172.0,3143576.0,4269945.0,2494494.0,2438220.0,1775451.0,1100207.0,84.2
Uttarakhand,IN-UT,2011-03,219000,203131.0,109829.0,139183.0,85705.0,76624.0,53478.0,28290.0,81.9
West Bengal,IN-WB,2011-03,1716000,1906787.0,994412.0,1426597.0,971786.0,792233.0,454811.0,6285.0,68.6
All India,IN,2012-03,29116000,28275800.0,15574760.0,21126731.0,17251006.0,12432764.0,3875725.0,1502656.0,88.8
A & N Islands,IN-AN,2012-03,7000,5933.0,4093.0,5233.0,4870.0,4870.0,363.0,162.0,96.2
Andhra Pradesh Old,IN-AP,2012-03,1636000,1780005.0,1212974.0,1545747.0,1469302.0,560593.0,76445.0,52447.0,98.4
Arunachal Pradesh,IN-AR,2012-03,31000,25501.0,8436.0,11600.0,11028.0,11028.0,572.0,405.0,98.6
Assam,IN-AS,2012-03,788000,801575.0,415696.0,573780.0,459053.0,418170.0,114727.0,10464.0,81.8
Bihar,IN-BR,2012-03,3193000,2517011.0,1318555.0,1810325.0,1421077.0,1410066.0,389248.0,135790.0,86.0
Chandigarh,IN-CH,2012-03,18000,33601.0,11531.0,23575.0,21745.0,21745.0,1830.0,41.0,92.4
Chhattisgarh,IN-CT,2012-03,704000,696687.0,298668.0,553199.0,318903.0,252185.0,234296.0,109456.0,77.4
Dadra & Nagar Haveli,IN-DN,2012-03,10000,12187.0,2698.0,6927.0,4699.0,3552.0,2228.0,306.0,72.3
Daman & Diu,IN-DD,2012-03,6000,4582.0,2226.0,3475.0,3219.0,1739.0,256.0,166.0,97.4
Delhi,IN-DL,2012-03,328000,822846.0,218195.0,214466.0,204175.0,173148.0,10291.0,1439.0,95.9
Goa,IN-GA,2012-03,22000,29853.0,13995.0,21548.0,21477.0,11454.0,71.0,8.0,99.7
Gujarat,IN-GJ,2012-03,1426000,1383654.0,979551.0,1203014.0,1126700.0,316017.0,76314.0,21293.0,95.4
Haryana,IN-HR,2012-03,613000,601074.0,306650.0,518253.0,432326.0,242612.0,85927.0,33270.0,89.8
Himachal Pradesh,IN-HP,2012-03,125000,139468.0,63385.0,100339.0,71581.0,57858.0,28758.0,3083.0,74.4
Jammu & Kashmir,IN-JK,2012-03,248000,462362.0,233463.0,166260.0,140409.0,137741.0,25851.0,8164.0,89.4
Jharkhand,IN-JH,2012-03,913000,734914.0,157942.0,584224.0,371807.0,310921.0,212417.0,43979.0,71.2
Karnataka,IN-KA,2012-03,1269000,1590922.0,990377.0,812515.0,788977.0,590295.0,23538.0,14719.0,98.9
Kerala,IN-KL,2012-03,561000,529067.0,390049.0,487252.0,486306.0,137963.0,946.0,131.0,99.8
Lakshadweep,IN-LD,2012-03,1000,1136.0,755.0,588.0,553.0,553.0,35.0,5.0,94.9
Madhya Pradesh,IN-MP,2012-03,2166000,1944683.0,960572.0,1490844.0,1283906.0,1157412.0,206938.0,49743.0,89.5
Maharashtra,IN-MH,2012-03,2078000,2233493.0,1310129.0,1813641.0,1711562.0,800408.0,102079.0,63971.0,97.9
Manipur,IN-MN,2012-03,41000,92233.0,49524.0,35722.0,27735.0,20308.0,7987.0,4760.0,91.0
Meghalaya,IN-ML,2012-03,79000,119912.0,31316.0,78101.0,38449.0,28994.0,39652.0,4143.0,54.5
Mizoram,IN-MZ,2012-03,20000,24313.0,13584.0,18730.0,15154.0,14340.0,3576.0,1571.0,89.3
Nagaland,IN-NL,2012-03,35000,38962.0,13263.0,19102.0,13178.0,12653.0,5924.0,4725.0,93.7
Odisha,IN-OR,2012-03,932000,880334.0,354836.0,735648.0,624105.0,601462.0,111543.0,16546.0,87.1
Puducherry,IN-PY,2012-03,23000,56043.0,21212.0,39633.0,39603.0,34674.0,30.0,20.0,100.0
Punjab,IN-PB,2012-03,497000,488816.0,309272.0,419601.0,325642.0,157231.0,93959.0,30869.0,85.0
Rajasthan,IN-RJ,2012-03,1991000,1852251.0,863131.0,1407100.0,1275263.0,936530.0,131837.0,51463.0,94.3
Sikkim,IN-SK,2012-03,12000,10075.0,6142.0,8042.0,6775.0,6775.0,1267.0,287.0,87.8
Tamil Nadu,IN-TN,2012-03,1266000,1149706.0,928439.0,1067330.0,1063704.0,714248.0,3626.0,2917.0,99.9
Tripura,IN-TR,2012-03,58000,76521.0,38654.0,51500.0,43943.0,41927.0,7557.0,363.0,86.0
Uttar Pradesh,IN-UP,2012-03,6163000,4939035.0,2785230.0,3659560.0,2258183.0,2238755.0,1401377.0,802383.0,83.6
Uttarakhand,IN-UT,2012-03,211000,223737.0,127804.0,140405.0,87600.0,78590.0,52805.0,26528.0,81.3
West Bengal,IN-WB,2012-03,1645000,1957713.0,1132413.0,1492952.0,1071509.0,919459.0,421443.0,7028.0,72.2
All India,IN,2013-03,29192000,27713453.0,15462333.0,20228338.0,16786603.0,12287413.0,3441735.0,1129736.0,88.6
A & N Islands,IN-AN,2013-03,7000,6188.0,4405.0,5132.0,4856.0,4856.0,276.0,126.0,97.1
Andhra Pradesh Old,IN-AP,2013-03,1650000,1885356.0,1215860.0,1148546.0,1070030.0,506008.0,78516.0,50441.0,97.6
Arunachal Pradesh,IN-AR,2013-03,30000,30809.0,11273.0,15099.0,14348.0,12203.0,751.0,563.0,98.8
Assam,IN-AS,2013-03,787000,802343.0,491187.0,597986.0,497898.0,448507.0,100088.0,8701.0,84.7
Bihar,IN-BR,2013-03,3234000,2435830.0,1079966.0,1883354.0,1430827.0,1426061.0,452527.0,107448.0,81.7
Chandigarh,IN-CH,2013-03,19000,34304.0,12367.0,24499.0,23124.0,23124.0,1375.0,36.0,94.5
Chhattisgarh,IN-CT,2013-03,702000,650853.0,294418.0,483826.0,299277.0,239713.0,184549.0,65611.0,75.4
Dadra & Nagar Haveli,IN-DN,2013-03,10000,13788.0,3335.0,7510.0,6368.0,4944.0,1142.0,203.0,87.5
Daman & Diu,IN-DD,2013-03,6000,5784.0,2691.0,3801.0,3566.0,1946.0,235.0,44.0,95.0
Delhi,IN-DL,2013-03,333000,852363.0,259033.0,237266.0,223459.0,190856.0,13807.0,1923.0,95.0
Goa,IN-GA,2013-03,22000,28082.0,13641.0,17897.0,17873.0,11227.0,24.0,2.0,99.9
Gujarat,IN-GJ,2013-03,1430000,1416520.0,1032132.0,1176867.0,1118998.0,434523.0,57869.0,18461.0,96.7
Haryana,IN-HR,2013-03,617000,583204.0,293417.0,465919.0,389454.0,240358.0,76465.0,27056.0,89.4
Himachal Pradesh,IN-HP,2013-03,124000,127827.0,62302.0,99499.0,75117.0,60869.0,24382.0,2409.0,77.9
Jammu & Kashmir,IN-JK,2013-03,248000,353001.0,187315.0,186626.0,164054.0,156689.0,22572.0,4863.0,90.5
Jharkhand,IN-JH,2013-03,914000,724839.0,166895.0,611803.0,435668.0,326525.0,176135.0,36359.0,77.2
Karnataka,IN-KA,2013-03,1262000,1484711.0,934377.0,854074.0,837707.0,617399.0,16367.0,8537.0,99.1
Kerala,IN-KL,2013-03,553000,515226.0,396933.0,493529.0,492500.0,136607.0,1029.0,108.0,99.8
Lakshadweep,IN-LD,2013-03,1000,1182.0,886.0,626.0,626.0,626.0,0.0,0.0,100.0
Madhya Pradesh,IN-MP,2013-03,2175000,1788353.0,931286.0,1367001.0,1164962.0,1063664.0,202039.0,53866.0,89.2
Maharashtra,IN-MH,2013-03,2093000,2159123.0,1292304.0,1835137.0,1767861.0,877222.0,67276.0,39530.0,98.5
Manipur,IN-MN,2013-03,42000,78523.0,45077.0,36674.0,27922.0,20096.0,8752.0,5136.0,90.1
Meghalaya,IN-ML,2013-03,80000,123528.0,32646.0,80701.0,41266.0,31458.0,39435.0,3691.0,55.7
Mizoram,IN-MZ,2013-03,20000,25149.0,15134.0,21021.0,18176.0,14923.0,2845.0,1039.0,91.4
Nagaland,IN-NL,2013-03,34000,49724.0,20183.0,20839.0,15209.0,13379.0,5630.0,4567.0,94.9
Odisha,IN-OR,2013-03,931000,770978.0,333864.0,690750.0,603427.0,566420.0,87323.0,9457.0,88.7
Puducherry,IN-PY,2013-03,23000,55783.0,26271.0,35050.0,35038.0,30175.0,12.0,7.0,100.0
Punjab,IN-PB,2013-03,493000,489106.0,334694.0,423118.0,349411.0,167712.0,73707.0,23594.0,88.2
Rajasthan,IN-RJ,2013-03,1999000,1911370.0,948364.0,1449576.0,1338323.0,977333.0,111253.0,45149.0,95.4
Sikkim,IN-SK,2013-03,12000,9288.0,5891.0,7440.0,6593.0,6593.0,847.0,180.0,91.0
Tamil Nadu,IN-TN,2013-03,1257000,1159164.0,995382.0,1050732.0,1049039.0,689515.0,1693.0,655.0,99.9
Tripura,IN-TR,2013-03,57000,73984.0,40806.0,52204.0,45028.0,42685.0,7176.0,177.0,86.6
Uttar Pradesh,IN-UP,2013-03,6178000,4969973.0,2686088.0,3235528.0,2031387.0,1961553.0,1204141.0,584593.0,80.9
Uttarakhand,IN-UT,2013-03,210000,203240.0,108681.0,153103.0,109328.0,84930.0,43775.0,21858.0,85.7
West Bengal,IN-WB,2013-03,1639000,1879037.0,1183229.0,1449007.0,1071312.0,890143.0,377695.0,3342.0,74.2
All India,IN,2014-03,29338000,28959041.0,16764960.0,20457293.0,17493920.0,13198537.0,2963373.0,943924.0,90.1
A & N Islands,IN-AN,2014-03,7000,6491.0,5024.0,4612.0,4411.0,4411.0,201.0,103.0,97.9
Andhra Pradesh Old,IN-AP,2014-03,1654000,1772790.0,1143421.0,963734.0,908508.0,534048.0,55226.0,33036.0,97.7
Arunachal Pradesh,IN-AR,2014-03,30000,34633.0,14539.0,15272.0,14577.0,12968.0,695.0,492.0,98.7
Assam,IN-AS,2014-03,792000,789120.0,566386.0,613864.0,515479.0,460095.0,98385.0,13300.0,86.1
Bihar,IN-BR,2014-03,3264000,2641611.0,1166730.0,2019834.0,1586857.0,1585670.0,432977.0,87627.0,82.9
Chandigarh,IN-CH,2014-03,19000,37727.0,17706.0,26153.0,25282.0,25282.0,871.0,30.0,96.8
Chhattisgarh,IN-CT,2014-03,708000,692461.0,352140.0,496528.0,336656.0,258365.0,159872.0,43909.0,76.6
Dadra & Nagar Haveli,IN-DN,2014-03,11000,14336.0,4858.0,7747.0,7481.0,6103.0,266.0,43.0,97.1
Daman & Diu,IN-DD,2014-03,6000,8196.0,3883.0,3859.0,3782.0,2096.0,77.0,1.0,98.0
Delhi,IN-DL,2014-03,341000,890664.0,276523.0,244839.0,230929.0,194313.0,13910.0,2204.0,95.2
Goa,IN-GA,2014-03,22000,25582.0,13444.0,16064.0,16049.0,11360.0,15.0,2.0,99.9
Gujarat,IN-GJ,2014-03,1428000,1455500.0,1068703.0,1148108.0,1105564.0,453878.0,42544.0,17792.0,97.8
Haryana,IN-HR,2014-03,618000,565858.0,283180.0,498785.0,427578.0,259835.0,71207.0,8868.0,87.5
Himachal Pradesh,IN-HP,2014-03,123000,128995.0,84315.0,98537.0,77561.0,65216.0,20976.0,2243.0,81.0
Jammu & Kashmir,IN-JK,2014-03,249000,438916.0,244981.0,197511.0,177639.0,165985.0,19872.0,2898.0,91.4
Jharkhand,IN-JH,2014-03,923000,801120.0,225610.0,645738.0,504646.0,397637.0,141092.0,31807.0,83.1
Karnataka,IN-KA,2014-03,1261000,1220627.0,844732.0,866011.0,853689.0,610616.0,12322.0,6046.0,99.3
Kerala,IN-KL,2014-03,549000,518811.0,412737.0,496506.0,495516.0,150679.0,990.0,58.0,99.8
Lakshadweep,IN-LD,2014-03,1000,1162.0,860.0,667.0,667.0,667.0,0.0,0.0,100.0
Madhya Pradesh,IN-MP,2014-03,2184000,1885518.0,1009274.0,1358054.0,1171782.0,1096338.0,186272.0,53715.0,90.2
Maharashtra,IN-MH,2014-03,2108000,2223634.0,1338318.0,1766693.0,1704355.0,908341.0,62338.0,46758.0,99.1
Manipur,IN-MN,2014-03,47000,87594.0,45928.0,41322.0,31970.0,25140.0,9352.0,5069.0,89.6
Meghalaya,IN-ML,2014-03,80000,132397.0,44097.0,84108.0,43545.0,32786.0,40563.0,3399.0,55.8
Mizoram,IN-MZ,2014-03,20000,24464.0,16838.0,21037.0,18797.0,15245.0,2240.0,751.0,92.9
Nagaland,IN-NL,2014-03,34000,47196.0,17681.0,21257.0,15601.0,13829.0,5656.0,4634.0,95.2
Odisha,IN-OR,2014-03,924000,825046.0,455735.0,713425.0,629911.0,569801.0,83514.0,8555.0,89.5
Puducherry,IN-PY,2014-03,24000,51334.0,23503.0,39876.0,39857.0,29125.0,19.0,16.0,100.0
Punjab,IN-PB,2014-03,492000,482522.0,335617.0,419990.0,363179.0,186143.0,56811.0,17077.0,90.5
Rajasthan,IN-RJ,2014-03,2005000,1940234.0,1058433.0,1465583.0,1375538.0,1038566.0,90045.0,49778.0,97.3
Sikkim,IN-SK,2014-03,12000,9443.0,6796.0,7978.0,7430.0,6527.0,548.0,245.0,96.2
Tamil Nadu,IN-TN,2014-03,1256000,1135923.0,1022716.0,1017496.0,1016597.0,698167.0,899.0,213.0,99.9
Tripura,IN-TR,2014-03,57000,77985.0,44368.0,52424.0,44595.0,41571.0,7829.0,163.0,85.4
Uttar Pradesh,IN-UP,2014-03,6238000,5710191.0,3146639.0,3373965.0,2409939.0,2323226.0,964026.0,484099.0,85.8
Uttarakhand,IN-UT,2014-03,209000,225294.0,121873.0,158811.0,118037.0,92425.0,40774.0,18705.0,86.1
West Bengal,IN-WB,2014-03,1642000,1966304.0,1347372.0,1527662.0,1186842.0,899009.0,340820.0,285.0,77.7
All India,IN,2015-03,29718000,28379625.0,17217135.0,20218268.0,17564067.0,13005323.0,2654201.0,775379.0,90.7
A & N Islands,IN-AN,2015-03,7000,5939.0,4623.0,4829.0,4649.0,4649.0,180.0,79.0,97.9
Andhra Pradesh,IN-AP,2015-03,974000,1070551.0,689103.0,489034.0,463546.0,255105.0,25488.0,14947.0,97.8
Arunachal Pradesh,IN-AR,2015-03,31000,35542.0,13742.0,16563.0,15510.0,13283.0,1053.0,542.0,96.9
Assam,IN-AS,2015-03,802000,751185.0,580194.0,625176.0,529279.0,461329.0,95897.0,20401.0,87.9
Bihar,IN-BR,2015-03,3303000,2634925.0,1355155.0,1957002.0,1494246.0,1494110.0,462756.0,90006.0,81.0
Chandigarh,IN-CH,2015-03,20000,37395.0,18558.0,26594.0,26209.0,26209.0,385.0,35.0,98.7
