,PharmGKB ID,ChEMBL ID
203,PA10799,
204,PA164712362,
205,PA164712363,
206,PA448432,CHEMBL1399
207,PA164712364,
208,PA10381,
209,PA164712365,
210,PA164712366,
211,PA10733,
212,PA164712367,
213,PA164712372,
214,PA164712368,
215,PA164712369,
216,PA164712371,
217,PA164742938,CHEMBL264241
218,PA164768817,CHEMBL1201347
219,PA164712373,
220,PA164746467,CHEMBL712
221,PA164754880,
222,PA164769075,
223,PA452298,
224,PA164712377,
225,PA164712374,
226,PA164712375,
227,PA164712376,
228,PA165958418,
229,PA164712378,
230,PA164712379,
231,PA130620651,
232,PA164712380,
233,PA164712381,
234,PA164712382,
235,PA164712383,
236,PA164712390,
237,PA164712391,
238,PA164712392,
239,PA164712393,
240,PA164712394,
241,PA164712397,
242,PA164712384,
243,PA164712398,
244,PA164712399,
245,PA164712400,
246,PA164712402,
247,PA452249,
248,PA164712403,
249,PA164712404,
250,PA164712401,
251,PA164712405,
252,PA164712406,
253,PA164712415,
254,PA164712414,
255,PA164712417,
256,PA164712416,
257,PA164712418,
258,PA164712419,
259,PA164712420,
260,PA164712423,
261,PA164712424,
262,PA164712385,
263,PA452229,
264,PA164712425,
265,PA164712426,
266,PA164712428,
267,PA164712429,
268,PA164712431,
269,PA143485705,
270,PA164712386,
271,PA164712433,
272,PA164712434,
273,PA164712435,
274,PA164712436,
275,PA10393,
276,PA164712387,
277,PA164712438,
278,PA164712440,
279,PA164712441,
280,PA164750168,
281,PA164712442,
282,PA164712443,
283,PA164712444,
284,PA164712445,
285,PA164712446,
286,PA164712447,
287,PA164712453,
288,PA164712455,
289,PA164712457,
290,PA164712454,
291,PA164712456,
292,PA164712458,
293,PA164712460,
294,PA164712462,
295,PA164712463,
296,PA164712461,
297,PA10384,
298,PA164712466,
299,PA164712467,
300,PA164712464,
301,PA164712465,
302,PA164712468,
303,PA452622,
304,PA164712469,
305,PA164712470,
306,PA448452,
307,PA164712471,
308,PA164712473,
309,PA164712474,
310,PA452621,
311,PA164712475,
312,PA164712476,
313,PA164712478,
314,PA164712479,
315,PA164712388,
316,PA164712389,
317,PA164712480,
318,PA164712482,
319,PA164712483,
320,PA164712484,
321,PA164712486,
322,PA164712487,
323,PA164712488,
324,PA452233,
325,PA448453,CHEMBL277474
326,PA164712489,
327,PA164712492,
328,PA164712491,
329,PA164712493,
330,PA164712494,
331,PA164712496,
332,PA164712495,
333,PA164712497,
334,PA452200,
335,PA164743704,
336,PA164712499,
337,PA164712500,
338,PA164712501,
339,PA164712502,
340,PA452174,
341,PA164712504,
342,PA164712505,
343,PA164712506,
344,PA164784000,CHEMBL345524
345,PA164712507,
346,PA166163740,CHEMBL231779
347,PA166209601,
348,PA164781163,CHEMBL53
349,PA164712508,
350,PA166183406,
351,PA164748866,CHEMBL647
352,PA164747039,
353,PA164764496,CHEMBL1213033
354,PA164754809,CHEMBL7863
355,PA448472,
356,PA165958370,
357,PA164747979,CHEMBL1201251
358,PA164746540,
359,PA164754878,
360,PA164743977,CHEMBL1363
361,PA164745516,CHEMBL59461
362,PA10026,CHEMBL1112
363,PA166161216,CHEMBL2219425
364,PA164712509,
365,PA448486,
366,PA452638,
367,PA165260403,CHEMBL3560584
368,PA165111698,
369,PA165111696,CHEMBL269671
370,PA143485261,
371,PA164712512,
372,PA165111697,
373,PA166182731,
374,PA166182783,
375,PA451998,
376,PA164712513,
377,PA164712515,
378,PA164712514,
379,PA164712516,
380,PA448492,
381,PA448493,CHEMBL312245
382,PA448497,CHEMBL25
383,PA166205381,
384,PA448498,CHEMBL296419
385,PA166128168,CHEMBL2105735
386,PA166200301,
387,PA166208581,
388,PA166151864,CHEMBL256997
389,PA10251,CHEMBL1163
390,PA166182674,
391,PA166182624,
392,PA448499,CHEMBL24
393,PA166129523,
394,PA134688071,CHEMBL641
395,PA448500,CHEMBL1487
396,PA448502,CHEMBL222334
397,PA164776840,CHEMBL1360
398,PA143414738,
399,PA448505,
400,PA164781017,
401,PA448510,
402,PA166182681,
403,PA166179849,CHEMBL2105758
404,PA166169875,
405,PA164712517,
406,PA166211861,
407,PA164924493,
408,PA451996,CHEMBL1489
409,PA166049192,CHEMBL1565476
410,PA164712518,
411,PA164747157,CHEMBL946
412,PA448515,CHEMBL1542
413,PA164738432,
414,PA164754850,CHEMBL1238
415,PA448517,CHEMBL639
416,PA165958414,
417,PA448519,
418,PA164749135,CHEMBL417013
419,PA448523,CHEMBL410081
420,PA164745461,CHEMBL1583
421,PA448531,CHEMBL1237057
422,PA448533,CHEMBL701
423,PA164712519,
424,PA164712520,
425,PA448536,
426,PA164743113,CHEMBL521589
427,PA166185162,
428,PA448538,CHEMBL444
429,PA164712523,
430,PA164712522,
431,PA10827,
432,PA166197621,
433,PA448540,
434,PA164712524,
435,PA164747126,
436,PA164749511,
437,PA448547,CHEMBL1586
438,PA166182604,
439,PA166114904,
440,PA165971474,
441,PA164712526,
442,PA164712527,
443,PA164712528,
444,PA164712529,
445,PA164712525,
446,PA448561,CHEMBL838
447,PA448563,CHEMBL1684
448,PA166049178,
449,PA165360203,CHEMBL1096979
450,PA164750572,
451,PA164748098,
452,PA448571,
453,PA164712530,
454,PA134852920,
455,PA451991,
456,PA164712531,
457,PA448576,CHEMBL278172
458,PA10402,
459,PA164712532,
460,PA448578,CHEMBL541
461,PA164712533,
462,PA164745459,CHEMBL1374379
463,PA164712534,
464,PA166182627,
465,PA448586,
466,PA164749018,CHEMBL1201250
467,PA164776841,CHEMBL1201039
468,PA448591,CHEMBL558805
469,PA134687812,
470,PA448594,
471,PA164748881,CHEMBL1239
472,PA164754810,
473,PA164781356,
474,PA164754755,CHEMBL1008
475,PA165860812,CHEMBL295124
476,PA166123556,
477,PA164712535,
478,PA164712536,
479,PA164712537,
480,PA164712538,
481,PA164712539,
482,PA164712541,
483,PA164712542,
484,PA164712543,
485,PA164712544,
486,PA164712545,
487,PA164712546,
488,PA164712547,
489,PA164712548,
490,PA164712549,
491,PA164712550,
492,PA164712551,
493,PA164712552,
494,PA164712540,
495,PA448601,
496,PA165958372,CHEMBL24441
497,PA448603,
498,PA452154,
499,PA164712554,
500,PA164712555,
501,PA164712556,
502,PA164754818,CHEMBL632
503,PA448611,CHEMBL423
504,PA164784036,CHEMBL1201323
505,PA448613,CHEMBL1482
506,PA164743235,
507,PA130232992,
508,PA164743236,CHEMBL314010
509,PA164752250,CHEMBL1023
510,PA162364313,CHEMBL264374
511,PA164746255,CHEMBL409
512,PA164746464,CHEMBL277535
513,PA164712557,
514,PA164712559,
515,PA448617,
516,PA164712560,
517,PA166123346,CHEMBL501680
518,PA164748867,CHEMBL1200963
519,PA166179867,CHEMBL3187723
520,PA164712561,
521,PA448625,CHEMBL857
522,PA448626,CHEMBL1101
523,PA164924560,CHEMBL350775
524,PA146096021,
525,PA164712562,
526,PA164774805,
527,PA448641,CHEMBL645
528,PA166184057,
529,PA164712563,
530,PA164712564,
531,PA164712565,
532,PA10032,CHEMBL2103749
533,PA448645,
534,PA166129524,
535,PA164712566,
536,PA164712567,
537,PA164712570,
538,PA164712568,
539,PA164712569,
540,PA164712571,
541,PA164712572,
542,PA164712573,
543,PA166122526,
544,PA165948902,CHEMBL218394
545,PA164712574,
546,PA165958425,
547,PA164712575,
548,PA10252,CHEMBL1530
549,PA10034,CHEMBL957
550,PA166114906,
551,PA164754825,
552,PA164747061,
553,PA165948903,
554,PA448662,CHEMBL1199080
555,PA166160053,CHEMBL2105760
556,PA166163482,CHEMBL3545311
557,PA448665,CHEMBL844
558,PA164744929,CHEMBL220491
559,PA164924492,
560,PA166153491,CHEMBL607400
561,PA166184058,
562,PA10035,CHEMBL277062
563,PA448670,CHEMBL1077
564,PA448671,CHEMBL493
565,PA164760854,CHEMBL1201245
566,PA165282097,
567,PA448675,CHEMBL811
568,PA166119001,CHEMBL1189025
569,PA166175777,
570,PA164712576,
571,PA165291474,
572,PA166123566,CHEMBL80830
573,PA165945764,CHEMBL321582
574,PA164748223,CHEMBL1201271
575,PA448681,
576,PA166110256,CHEMBL296035
577,PA164712577,
578,PA448682,CHEMBL1072
579,PA135057240,CHEMBL1098
580,PA165958426,
581,PA448685,
582,PA166182641,
583,PA448687,CHEMBL894
584,PA10253,
585,PA448689,CHEMBL49
586,PA448691,CHEMBL820
587,PA164743463,CHEMBL449
588,PA448695,CHEMBL454
589,PA164745478,CHEMBL990
590,PA164748035,CHEMBL404422
591,PA164781353,CHEMBL1295
592,PA164745398,CHEMBL33986
593,PA448704,
594,PA164712578,
595,PA164712579,
596,PA165958401,CHEMBL1201748
597,PA448708,CHEMBL1201087
598,PA165906891,
599,PA448710,CHEMBL113
600,PA132595336,
601,PA164745614,
602,PA164712580,
603,PA448714,
604,PA164712581,
605,PA448717,CHEMBL3348945
606,PA164712582,
607,PA164746897,CHEMBL1200800
608,PA448726,
609,PA10407,
610,PA164712584,
611,PA448729,CHEMBL1200668
612,PA164712588,
613,PA164712587,
614,PA164746233,CHEMBL1237066
615,PA448735,
616,PA164712585,
617,PA448744,
618,PA10373,
619,PA166197181,
620,PA153590860,CHEMBL65
621,PA165958358,
622,PA448765,CHEMBL1016
623,PA166182234,
624,PA164754911,
625,PA164764517,
626,PA134687925,
627,PA165945763,CHEMBL334966
628,PA166175791,
629,PA131890620,
630,PA448771,CHEMBL1773
631,PA164712589,
632,PA164746226,
633,PA164745489,
634,PA448776,
635,PA164712590,
636,PA448780,CHEMBL1560
637,PA448784,CHEMBL965
638,PA164712591,
639,PA448785,CHEMBL108
640,PA164712592,
641,PA164712593,
642,PA164712594,
643,PA166184059,
644,PA448788,CHEMBL1214
645,PA164743086,
646,PA448794,CHEMBL1201236
647,PA164742970,CHEMBL508102
648,PA164746898,CHEMBL864
649,PA166184060,
650,PA448797,
651,PA164712595,
652,PA448801,
653,PA10410,
654,PA448803,
655,PA164754883,CHEMBL1909299
656,PA164712596,
657,PA164712597,
658,PA164712598,
659,PA164712599,
660,PA164712600,
661,PA166165203,CHEMBL451887
662,PA165958402,CHEMBL1201780
663,PA164712602,
664,PA166177476,
665,PA448809,CHEMBL1233
666,PA448810,CHEMBL513
667,PA164750571,CHEMBL1201328
668,PA164781361,CHEMBL1316
669,PA448814,
670,PA164768736,CHEMBL839
671,PA448817,CHEMBL723
672,PA166129533,CHEMBL1672054
673,PA164743013,CHEMBL499808
674,PA448827,
675,PA133822447,
676,PA452605,
677,PA166163226,CHEMBL3989910
678,PA162370429,
679,PA164776752,CHEMBL2110602
680,PA164749137,CHEMBL8867
681,PA448835,CHEMBL1555813
682,PA448886,CHEMBL617
683,PA448837,CHEMBL1146
684,PA448839,
685,PA164768739,CHEMBL927
686,PA164747187,
687,PA164754876,CHEMBL186
688,PA164768821,CHEMBL1620522
689,PA164750569,CHEMBL1876548
690,PA164746819,CHEMBL1201195
691,PA164743021,
692,PA448849,
693,PA164746057,CHEMBL1201046
694,PA448852,CHEMBL1622795
695,PA164784033,
696,PA164749298,CHEMBL1296
697,PA448856,CHEMBL996
698,PA164748136,
699,PA164746385,CHEMBL1672
700,PA164746342,CHEMBL276568
701,PA448890,CHEMBL1604
702,PA448861,CHEMBL44354
703,PA164744555,CHEMBL1605
704,PA164748758,CHEMBL528
705,PA448866,CHEMBL161
706,PA448868,CHEMBL466
707,PA448871,CHEMBL118
708,PA164924561,
709,PA448873,
710,PA164712604,
711,PA164712605,
712,PA164712603,
713,PA448883,CHEMBL1727
714,PA164781027,CHEMBL1200971
715,PA164749340,CHEMBL1599
716,PA166124616,
717,PA448897,CHEMBL1477
718,PA166169879,
719,PA165107055,
720,PA164764551,CHEMBL45627
721,PA164774919,
722,PA448905,CHEMBL1000
723,PA164764506,
724,PA10040,
725,PA164754754,
726,PA448918,
727,PA164712606,
728,PA164712607,
729,PA165958403,CHEMBL240597
730,PA164748134,CHEMBL1201313
731,PA448925,CHEMBL455917
732,PA448926,CHEMBL515
733,PA448927,CHEMBL414400
734,PA448932,
735,PA164776863,CHEMBL790
736,PA164712608,
737,PA164748977,
738,PA448939,CHEMBL1200714
739,PA166122627,CHEMBL1230222
740,PA448942,
741,PA448946,CHEMBL1179047
742,PA165958419,
743,PA448948,CHEMBL76
744,PA448953,CHEMBL842
745,PA164768822,CHEMBL1200761
746,PA164754879,CHEMBL1200596
747,PA164784022,CHEMBL388751
748,PA448960,CHEMBL505
749,PA165857067,CHEMBL1213553
750,PA448964,CHEMBL71
751,PA448966,CHEMBL498
752,PA164781400,
753,PA448970,CHEMBL1055
754,PA448971,CHEMBL1371
755,PA164748138,
756,PA164712609,
757,PA448974,
758,PA166160055,CHEMBL205596
759,PA448976,CHEMBL920
760,PA164712610,
761,PA164712611,
762,PA166182865,
763,PA164783947,
764,PA448989,
765,PA448994,
766,PA164712612,
767,PA164781399,
768,PA164747060,CHEMBL1413
769,PA448997,CHEMBL152
770,PA448998,CHEMBL766
771,PA164748302,
772,PA164924491,
773,PA165948031,CHEMBL32854
774,PA164746334,CHEMBL799
775,PA449001,CHEMBL30
776,PA164776671,CHEMBL1201284
777,PA164743057,CHEMBL283754
778,PA165958427,
779,PA164749342,
780,PA164748034,CHEMBL2104926
781,PA449007,CHEMBL1208
782,PA449009,CHEMBL8
783,PA449011,CHEMBL1729
784,PA164744925,CHEMBL1200641
785,PA449014,
786,PA449015,CHEMBL549
787,PA449021,CHEMBL1261
788,PA449027,CHEMBL1619
789,PA449028,CHEMBL1741
790,PA164742987,CHEMBL777
791,PA166199781,
792,PA164776997,CHEMBL1626
793,PA164745640,CHEMBL49080
794,PA166198261,
795,PA164781044,CHEMBL620
796,PA449035,CHEMBL376185
797,PA10888,CHEMBL70418
798,PA164744375,CHEMBL1159650
799,PA164744013,CHEMBL1200975
800,PA10239,CHEMBL12318
801,PA164754863,CHEMBL1750
802,PA164748759,CHEMBL1369407
803,PA449045,CHEMBL565
804,PA449046,CHEMBL167779
805,PA449048,CHEMBL415
806,PA164771235,
807,PA449050,CHEMBL452
808,PA449051,CHEMBL134
809,PA449053,CHEMBL1771
810,PA164749297,CHEMBL1213252
811,PA164752437,CHEMBL1697737
812,PA449057,CHEMBL104
813,PA449059,CHEMBL891
814,PA449061,
815,PA166182867,
816,PA164744952,
817,PA164748389,
818,PA166165092,CHEMBL2095208
819,PA166160044,CHEMBL2146883
820,PA449072,CHEMBL19151
821,PA449088,CHEMBL485
822,PA164712613,
823,PA449092,CHEMBL107
824,PA164712614,
825,PA449095,
826,PA449096,
827,PA164749509,
828,PA164760862,CHEMBL499783
829,PA449107,
830,PA10420,
831,PA164712615,
832,PA164712618,
833,PA164712619,
834,PA164712620,
835,PA164712616,
836,PA164712622,
837,PA164712617,
838,PA164712623,
839,PA164712624,
840,PA164712625,
841,PA164712626,
842,PA10492,
843,PA164712627,
844,PA164742939,CHEMBL1755
845,PA164754789,CHEMBL2106240
846,PA164712628,
847,PA164712629,
848,PA164712630,
849,PA449114,
850,PA449119,
851,PA166153416,CHEMBL362071
852,PA449122,
853,PA164712631,
854,PA10832,
855,PA164712634,
856,PA164712641,
857,PA164712664,
858,PA164712647,
859,PA164712643,
860,PA164712644,
861,PA164712645,
862,PA164712636,
863,PA164712637,
864,PA164712649,
865,PA164712650,
866,PA164712648,
867,PA164712651,
868,PA164712646,
869,PA164712653,
870,PA164712654,
871,PA164712652,
872,PA164712655,
873,PA164712657,
874,PA164712658,
875,PA164712656,
876,PA164712659,
877,PA164712661,
878,PA164712662,
879,PA164712660,
880,PA164712663,
881,PA449129,
882,PA449130,CHEMBL1650
883,PA164712665,
884,PA164749052,
885,PA164712666,
886,PA164712667,
887,PA164712668,
888,PA134521193,
889,PA164712669,
890,PA165107062,
891,PA164778930,CHEMBL283800
892,PA165111677,
893,PA166189801,
894,PA165946122,CHEMBL601719
895,PA449138,CHEMBL4088679
896,PA164745460,CHEMBL1200709
897,PA164749510,
898,PA164712670,
899,PA151958596,
900,PA451892,
901,PA164743456,CHEMBL1200356
902,PA164748026,CHEMBL1480987
903,PA164712671,
904,PA164742937,CHEMBL648
905,PA449160,CHEMBL669
906,PA165107357,
907,PA164743019,CHEMBL1201338
908,PA449165,CHEMBL88
909,PA164764600,
910,PA449167,
911,PA449168,CHEMBL61593
912,PA164749387,CHEMBL1201227
913,PA164749366,CHEMBL516
914,PA10049,CHEMBL142130
915,PA449171,CHEMBL602
916,PA449177,CHEMBL803
917,PA164712672,
918,PA165110351,
919,PA165958369,CHEMBL539697
920,PA166114911,
921,PA449197,
922,PA166128167,CHEMBL2023898
923,PA164764446,
924,PA166182279,
925,PA151917012,CHEMBL427947
926,PA166210781,
927,PA166209982,
928,PA166131581,CHEMBL313006
929,PA164746234,
930,PA165958404,
931,PA164749056,CHEMBL1479
932,PA166119201,CHEMBL114283
933,PA449208,CHEMBL1741132
934,PA164712673,
935,PA166104278,
936,PA164749109,CHEMBL1201216
937,PA166151992,CHEMBL2110900
938,PA449211,CHEMBL1043
939,PA164768820,
940,PA165884699,CHEMBL204021
941,PA164743138,
942,PA164774901,CHEMBL1346
943,PA163522472,CHEMBL1323
944,PA166182623,
945,PA166197161,
946,PA166163411,CHEMBL3137312
947,PA166160002,
948,PA162372878,CHEMBL1421
949,PA449212,CHEMBL178
950,PA166122486,CHEMBL2107359
951,PA452616,CHEMBL169901
952,PA164747980,CHEMBL1190
953,PA164749631,CHEMBL1201129
954,PA164712674,
955,PA164712675,
956,PA164760843,
957,PA166118041,CHEMBL70927
958,PA164746490,CHEMBL556
959,PA164749105,
960,PA165958373,
961,PA449223,CHEMBL593
962,PA166128130,CHEMBL2403318
963,PA164745610,CHEMBL1200514
964,PA164745513,
965,PA164750594,
966,PA166048634,
967,PA164712676,
968,PA164742966,CHEMBL1200515
969,PA164749136,CHEMBL1200733
970,PA449233,CHEMBL72
971,PA164747478,
972,PA164776964,CHEMBL1172
973,PA165817936,CHEMBL60796
974,PA134687941,
975,PA449237,CHEMBL264448
976,PA449238,CHEMBL1533
977,PA164776996,CHEMBL1201109
978,PA164746011,CHEMBL1766
979,PA449245,CHEMBL1401691
980,PA165958374,CHEMBL1118
981,PA164712677,
982,PA166169881,
983,PA449247,CHEMBL384467
984,PA164746251,CHEMBL1201287
985,PA164747936,CHEMBL87493
986,PA166049174,CHEMBL175
987,PA166049175,CHEMBL75435
988,PA166110257,CHEMBL1201863
989,PA449256,CHEMBL77921
990,PA10054,CHEMBL796
991,PA449259,CHEMBL1738
992,PA449261,
993,PA449269,CHEMBL612
994,PA449273,CHEMBL52440
995,PA166175998,
996,PA166183939,
997,PA164752444,CHEMBL42115
998,PA164746059,
999,PA164712678,
1000,PA164712680,
1001,PA164712681,
1002,PA449281,CHEMBL1201220
1003,PA449283,CHEMBL12
1004,PA164712682,
1005,PA449285,CHEMBL181
1006,PA164712683,
1007,PA449286,CHEMBL1086
1008,PA164712684,
1009,PA165947835,
1010,PA164745512,CHEMBL17
1011,PA449293,CHEMBL139
1012,PA164749649,CHEMBL893
1013,PA449298,
1014,PA164744928,CHEMBL1123
1015,PA449301,CHEMBL1460
1016,PA164745534,CHEMBL3188448
1017,PA164712685,
1018,PA164748883,CHEMBL684
1019,PA164778098,CHEMBL1194666
1020,PA449307,CHEMBL411
1021,PA134653756,
1022,PA164749408,CHEMBL1200545
1023,PA449313,CHEMBL898
1024,PA165958405,CHEMBL1201749
1025,PA164712687,
1026,PA452244,
1027,PA449316,CHEMBL254219
1028,PA449319,
1029,PA164769030,
1030,PA166176885,
1031,PA164743028,CHEMBL1732
1032,PA164752819,CHEMBL1396675
1033,PA164712688,
1034,PA164744345,
1035,PA164746763,
1036,PA152530737,
1037,PA165958413,
1038,PA449334,CHEMBL23
1039,PA449338,
1040,PA165958406,CHEMBL1597
1041,PA165958420,
1042,PA166152838,CHEMBL2107333
1043,PA449342,CHEMBL504
1044,PA164781385,CHEMBL1200896
1045,PA166160060,
1046,PA164712689,
1047,PA164748388,CHEMBL1200880
1048,PA449349,CHEMBL657
1049,PA164746037,CHEMBL936
1050,PA164746539,CHEMBL1201294
1051,PA164712690,
1052,PA164712691,
1053,PA164712692,
1054,PA164746377,CHEMBL1492
1055,PA164712693,
1056,PA449364,CHEMBL1201262
1057,PA449367,CHEMBL932
1058,PA166128206,CHEMBL487894
1059,PA166179660,
1060,PA164712694,
1061,PA449368,
1062,PA449373,CHEMBL517
1063,PA449376,CHEMBL964
1064,PA151249535,
1065,PA164712695,
1066,PA164783479,CHEMBL2105613
1067,PA166110254,
1068,PA449381,CHEMBL926
1069,PA449383,CHEMBL92
1070,PA164749211,CHEMBL1200453
1071,PA451988,CHEMBL1180004
1072,PA449389,CHEMBL473
1073,PA449390,
1074,PA166114961,CHEMBL1229211
1075,PA166184505,
1076,PA134711056,CHEMBL219916
1077,PA449394,CHEMBL502
1078,PA164712696,
1079,PA449396,CHEMBL59
1080,PA164712697,
1081,PA164712698,
1082,PA10318,
1083,PA164748765,
1084,PA166131608,
1085,PA164744927,CHEMBL1237123
1086,PA164784026,CHEMBL1754
1087,PA449407,CHEMBL707
1088,PA449409,CHEMBL860
1089,PA449412,CHEMBL53463
1090,PA449415,CHEMBL436921
1091,PA449419,CHEMBL1004
1092,PA165291460,
1093,PA164760855,CHEMBL1201048
1094,PA449421,CHEMBL465
1095,PA153619853,
1096,PA449422,CHEMBL1108
1097,PA164749409,CHEMBL1509
1098,PA165290928,
1099,PA165958398,CHEMBL551978
1100,PA131548935,
1101,PA166049182,CHEMBL1213420
1102,PA164748386,
1103,PA164712712,
1104,PA164712699,
1105,PA164712700,
1106,PA164712701,
1107,PA164712713,
1108,PA164712702,
1109,PA164712703,
1110,PA164712704,
1111,PA164712705,
1112,PA164712706,
1113,PA164712714,
1114,PA164712715,
1115,PA164712716,
1116,PA164712707,
1117,PA164712708,
1118,PA164712709,
1119,PA164712718,
1120,PA164712710,
1121,PA164712711,
1122,PA164712719,
1123,PA164712720,
1124,PA164712721,
1125,PA451455,CHEMBL1682
1126,PA10066,CHEMBL1175
1127,PA166169883,
1128,PA164749300,
1129,PA166182761,
1130,PA451938,CHEMBL1865120
1131,PA164748037,CHEMBL1201217
1132,PA164745443,CHEMBL1200853
1133,PA164748027,CHEMBL1752
1134,PA166094735,
1135,PA161660841,
1136,PA165958350,CHEMBL2104585
1137,PA131550706,
1138,PA164743139,CHEMBL1200367
1139,PA164746010,CHEMBL808
1140,PA164712722,
1141,PA164712723,
1142,PA164776637,
1143,PA449439,CHEMBL858
1144,PA166128806,CHEMBL1269025
1145,PA449437,CHEMBL1104
1146,PA164748817,
1147,PA449441,CHEMBL223228
1148,PA166176033,
1149,PA153561371,
1150,PA166206962,
1151,PA134687926,
1152,PA164924562,
1153,PA166182348,
1154,PA166163436,CHEMBL3039514
1155,PA166163438,
1156,PA10068,
1157,PA164712724,
1158,PA164712725,
1159,PA134687947,CHEMBL1510
1160,PA166185161,
