"Commodity Code","Country or Area Code","Country or Area","Transaction Code","Commodity - Transaction Code","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"BT","12","Algeria","11","BT11","Bitumen - Non-energy uses","2010","Metric tons,  thousand","532",""
"BT","12","Algeria","GA","BTGA","Bitumen - Total energy supply","2018","Metric tons,  thousand","391",""
"BT","12","Algeria","GA","BTGA","Bitumen - Total energy supply","2017","Metric tons,  thousand","382",""
"BT","12","Algeria","GA","BTGA","Bitumen - Total energy supply","2016","Metric tons,  thousand","465",""
"BT","12","Algeria","GA","BTGA","Bitumen - Total energy supply","2015","Metric tons,  thousand","503",""
"BT","12","Algeria","GA","BTGA","Bitumen - Total energy supply","2014","Metric tons,  thousand","871",""
"BT","12","Algeria","GA","BTGA","Bitumen - Total energy supply","2013","Metric tons,  thousand","888",""
"BT","12","Algeria","GA","BTGA","Bitumen - Total energy supply","2012","Metric tons,  thousand","423",""
"BT","12","Algeria","GA","BTGA","Bitumen - Total energy supply","2011","Metric tons,  thousand","415",""
"BT","12","Algeria","GA","BTGA","Bitumen - Total energy supply","2010","Metric tons,  thousand","532",""
"BT","12","Algeria","NA","BTNA","Bitumen - Final consumption","2018","Metric tons,  thousand","391","1"
"BT","12","Algeria","NA","BTNA","Bitumen - Final consumption","2017","Metric tons,  thousand","382","1"
"BT","12","Algeria","NA","BTNA","Bitumen - Final consumption","2016","Metric tons,  thousand","465","1"
"BT","12","Algeria","NA","BTNA","Bitumen - Final consumption","2015","Metric tons,  thousand","503",""
"BT","12","Algeria","NA","BTNA","Bitumen - Final consumption","2014","Metric tons,  thousand","871",""
"BT","12","Algeria","NA","BTNA","Bitumen - Final consumption","2013","Metric tons,  thousand","888",""
"BT","12","Algeria","NA","BTNA","Bitumen - Final consumption","2012","Metric tons,  thousand","423",""
"BT","12","Algeria","NA","BTNA","Bitumen - Final consumption","2011","Metric tons,  thousand","415",""
"BT","12","Algeria","NA","BTNA","Bitumen - Final consumption","2010","Metric tons,  thousand","532",""
"BT","24","Angola","01","BT01","Bitumen - Production","2019","Metric tons,  thousand","23.469",""
"BT","24","Angola","01","BT01","Bitumen - Production","2018","Metric tons,  thousand","12.111",""
"BT","24","Angola","01","BT01","Bitumen - Production","2017","Metric tons,  thousand","16.299",""
"BT","24","Angola","01","BT01","Bitumen - Production","2016","Metric tons,  thousand","3.29",""
"BT","24","Angola","01","BT01","Bitumen - Production","2015","Metric tons,  thousand","0.672",""
"BT","24","Angola","01","BT01","Bitumen - Production","2014","Metric tons,  thousand","2.523",""
"BT","24","Angola","01","BT01","Bitumen - Production","2013","Metric tons,  thousand","3",""
"BT","24","Angola","01","BT01","Bitumen - Production","2012","Metric tons,  thousand","5",""
"BT","24","Angola","01","BT01","Bitumen - Production","2011","Metric tons,  thousand","2",""
"BT","24","Angola","01","BT01","Bitumen - Production","2010","Metric tons,  thousand","37",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2019","Metric tons,  thousand","23.469",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2018","Metric tons,  thousand","12.111",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2017","Metric tons,  thousand","16.299",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2016","Metric tons,  thousand","3.29",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2015","Metric tons,  thousand","0.672",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2014","Metric tons,  thousand","2.523",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2013","Metric tons,  thousand","3",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2012","Metric tons,  thousand","5",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2011","Metric tons,  thousand","2",""
"BT","24","Angola","013","BT013","Bitumen - production from refineries","2010","Metric tons,  thousand","37",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2019","Metric tons,  thousand","13.813",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2018","Metric tons,  thousand","25.406",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2017","Metric tons,  thousand","46.022",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2016","Metric tons,  thousand","24",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2015","Metric tons,  thousand","59.623",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2014","Metric tons,  thousand","115.493",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2013","Metric tons,  thousand","124",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2012","Metric tons,  thousand","116",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2011","Metric tons,  thousand","0",""
"BT","24","Angola","03","BT03","Bitumen - Imports","2010","Metric tons,  thousand","0",""
"BT","24","Angola","06","BT06","Bitumen - Stock changes","2013","Metric tons,  thousand","0",""
"BT","24","Angola","06","BT06","Bitumen - Stock changes","2012","Metric tons,  thousand","0",""
"BT","24","Angola","06","BT06","Bitumen - Stock changes","2011","Metric tons,  thousand","0",""
"BT","24","Angola","06","BT06","Bitumen - Stock changes","2010","Metric tons,  thousand","0",""
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2019","Metric tons,  thousand","37.282","1"
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2018","Metric tons,  thousand","37.517","1"
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2017","Metric tons,  thousand","46.022","1"
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2016","Metric tons,  thousand","27.29","1"
"BT","24","Angola","11","BT11","Bitumen - Non-energy uses","2015","Metric tons,  thousand","60.295","1"
