udise_district_code,udise_block_code,block_name
1007,udiseCode/100712,Araria
2923,udiseCode/292303,Arasikere
3314,udiseCode/331403,Aravakurichi
0916,udiseCode/091607,Arawn
2112,udiseCode/211219,Arc Charbatia
3304,udiseCode/330408,Arcot
2715,udiseCode/271502,Ardhapur
2818,udiseCode/281808,Ardhaveedu
3205,udiseCode/320501,Areacode
1002,udiseCode/100202,Areraj
3322,udiseCode/332210,Arimalam
3316,udiseCode/331607,Ariyalur
3332,udiseCode/333207,Ariyalur
1026,udiseCode/102622,Ariyari
2711,udiseCode/271101,Arjuni Mor
0209,udiseCode/020906,Arki
2023,udiseCode/202305,Arki
2712,udiseCode/271202,Armori
3605,udiseCode/360503,Armur
0121,udiseCode/012101,Arnas
2714,udiseCode/271401,Arni
3306,udiseCode/330607,Arni
0113,udiseCode/011302,Arnia
0911,udiseCode/091104,Arnia
0321,udiseCode/032105,Arniwala Sheikh Subhan
0833,udiseCode/083314,Arnod
2307,udiseCode/230701,Aron
1914,udiseCode/191401,Arsha
0828,udiseCode/082809,Arthuna
3326,udiseCode/332601,Aruppukottai
2708,udiseCode/270801,Arvi
1038,udiseCode/103801,Arwal
1909,udiseCode/190932,Asansol Municipal Corporation
1926,udiseCode/192610,Asansol Municipal Corporation
1024,udiseCode/102409,Asarganj
1911,udiseCode/191125,Ashokenagar-Kalyangarh Municipality
2346,udiseCode/234602,Ashoknagar
0942,udiseCode/094209,Ashothar
2333,udiseCode/233301,Ashta
2708,udiseCode/270802,Ashti
2727,udiseCode/272702,Ashti
3601,udiseCode/360137,Asifabad
3602,udiseCode/360206,Asifabad
3622,udiseCode/362209,Asifnagar
2119,udiseCode/211901,Aska
2119,udiseCode/211923,Aska Nac
0904,udiseCode/090401,Asmoli
0968,udiseCode/096801,Asmoli
0926,udiseCode/092612,Asoha
2821,udiseCode/282126,Aspari
0827,udiseCode/082703,Aspur
0606,udiseCode/060606,Assandh
0109,udiseCode/010901,Assar
2118,udiseCode/211801,Astarang
1027,udiseCode/102701,Asthawan
3609,udiseCode/360905,Aswapuram
3609,udiseCode/360923,Aswaraopeta
3610,udiseCode/361027,Aswaraopeta
2813,udiseCode/281343,Atchutapuram
0616,udiseCode/061601,Ateli
2303,udiseCode/230306,Ater
2112,udiseCode/211215,Athagarh Nac
2115,udiseCode/211502,Athamallik
2115,udiseCode/211510,Athamallik Nac
2930,udiseCode/293001,Athani
2112,udiseCode/211201,Athgarh
1028,udiseCode/102820,Athmalgola
2335,udiseCode/233502,Athner
3313,udiseCode/331301,Athoor
2820,udiseCode/282028,Atlur
2819,udiseCode/281912,Atmakur
2821,udiseCode/282111,Atmakur
2822,udiseCode/282224,Atmakur
3607,udiseCode/360735,Atmakur
3609,udiseCode/360937,Atmakur
3611,udiseCode/361105,Atmakur
3627,udiseCode/362710,Atmakur
3620,udiseCode/362014,Atmakur (M)
3630,udiseCode/363008,Atmakur (S)
2735,udiseCode/273501,Atpadi
0912,udiseCode/091203,Atrauli
0961,udiseCode/096112,Atrauliya
2814,udiseCode/281443,Atreyapuram
1035,udiseCode/103507,Atri
0831,udiseCode/083103,Atru
2101,udiseCode/210102,Attabira
0302,udiseCode/030209,Attari
2815,udiseCode/281532,Attili
3214,udiseCode/321401,Attingal
3308,udiseCode/330813,Attur
0503,udiseCode/050301,Augustyamuni
2110,udiseCode/211001,Aul
2725,udiseCode/272514,Aundh
2716,udiseCode/271605,Aundha Nagnath
3325,udiseCode/332501,Aundipatty
0306,udiseCode/030601,Aur
2905,udiseCode/290501,Aurad
0971,udiseCode/097104,Aurai
1014,udiseCode/101410,Aurai
0932,udiseCode/093201,Auraiya
1034,udiseCode/103403,Aurangabad
2719,udiseCode/271901,Aurangabad
0926,udiseCode/092605,Auras
2728,udiseCode/272803,Ausa
1909,udiseCode/190902,Ausgram-I
1925,udiseCode/192501,Ausgram-I
1909,udiseCode/190903,Ausgram-Ii
1925,udiseCode/192502,Ausgram-Ii
0205,udiseCode/020521,Aut
2816,udiseCode/281634,Avanigadda
3333,udiseCode/333316,Avinaci
3312,udiseCode/331216,Avinashi
3322,udiseCode/332213,Avudaiyarkoil
