observationAbout,observationDate,contaminantType,Cond.,D.O.,Hardness,temp,pH,Iron,Lead,Zinc,Cadmium,Sulfate
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2004-04-28,Totals,275,2.29,122,19.4,7.31,<0.02,<0.005,0.005,<0.005,11.8
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2004-04-28,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.005,<0.005,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2003-11-06,Totals,249,n .a .,120,17.7,7.03,<0.02,<0.005,<0.01,<0.002,11.1
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2003-11-06,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2003-11-06,Totals,249,n.a.,121,17.7,7.03,<0.02,<0.005,<0.01,<0.002,11.1
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2003-11-06,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2019-04-30,Totals,235.3,-,-,19.8,7.65,0.0983,<0.005,<0.005,<0.002,15.4
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2019-04-30,Dissolved,,,-,,,<0.02,<0.005,<0.005,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2018-04-25,Totals,585,18.1,-,19.6,7.69,0.0977,<0.005,0.0129,<0.002,18.2
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2018-04-25,Dissolved,-,-,-,-,-,<0.02,<0.005,0.0081,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2017-03-14,Totals,291,-,-,17.55,7.92,-,<0.005,-,<0.002,15.6
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2017-03-14,Dissolved,-,-,-,-,-,0.063,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2013-10-30,Totals,293,1.47,128,19.99,7.3,0.034,<0.005,<0.005,<0.002,14.9
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2013-10-30,Dissolved,-,-,-,-,-,0.032,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2012-11-07,Totals,304,1.89,130,18.47,7.6,0.08,<0.005,<0.005,<0.002,15.9
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2012-11-07,Dissolved,-,-,-,-,-,0.031,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2011-11-02,Totals,308,0.57,109,19.52,7.78,0.036,<0.005,<0.01,<0.002,13.9
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2011-11-02,Dissolved,-,-,-,-,-,0.032,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2011-11-02,Totals,308,0.57,111,19.52,7.78,0.042,<0.005,0.365,<0.002,14.1
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2011-11-02,Dissolved,-,-,-,-,-,0.037,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2010-11-10,Totals,292,1.58,119,20.05,6.12,0.047,<0.005,<0.01,<0.002,17.5
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2010-11-10,Dissolved,-,-,-,-,-,0.035,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2010-03-24,Totals,284,1.25,126,19.42,7.5,0.043,<0.005,<0.005,<0.002,15.7
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2010-03-24,Dissolved,-,-,-,-,-,0.033,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2008-04-22,Totals,279,1.11,127,20.65,7.47,0.045,<0.005,<0.005,<0.002,13.7
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2008-04-22,Dissolved,-,-,-,-,-,0.035,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2007-10-23,Totals,283,0.78,129,18.58,7.65,0.04,<0.005,<0.005,<0.002,14.2
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2007-10-23,Dissolved,-,-,-,-,-,0.031,<0.005,0.0076,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2007-05-08,Totals,308,1.49,135,20.04,7.74,0.042,<0.005,<0.005,<0.002,12.1
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2007-05-08,Dissolved,-,-,-,-,-,0.031,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2006-11-08,Totals,313,2.12,129,21.2,7.74,0.033,<0.005,<0.005,<0.002,17.4
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2006-11-08,Dissolved,-,-,-,-,-,0.028,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2006-04-11,Totals,301,1.44,124,19.9,8.57,0.038,<0.005,<0.005,<0.002,14.6
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2006-04-11,Dissolved,-,-,-,-,-,0.026,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2005-10-18,Totals,269,0.1,130,20.4,7.81,0.043,<0.005,<0.005,<0.002,13.7
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2005-10-18,Dissolved,-,-,-,-,-,0.023,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2005-04-26,Totals,268,5.18,121,18.4,8.17,0.07,<0.005,<0.005,<0.002,13.9
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2005-04-26,Dissolved,-,-,-,-,-,0.034,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2004-10-12,Totals,260,5.65,124,17.9,8.64,0.092,<0.005,<0.005,<0.002,13
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2004-10-12,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2004-04-27,Totals,252,5.75,122,18.9,7.82,0.093,<0.01,<0.005,<0.005,11.8
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2004-04-27,Dissolved,-,-,-,-,-,0.034,<0.01,<0.005,<0.005,
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2004-04-27,Totals,252,5.75,123,18.9,7.82,0.114,<0.01,<0.005,<0.005,11.8
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2004-04-27,Dissolved,-,-,-,-,-,0.039,<0.01,<0.005,<0.005,-
epaSuperfundMeasurementSite/OKD980629844/Commerce_5,2003-11-06,Totals,294,n.a.,127,17.7,7.29,0.08,<0.005,<0.01,<0.002,12
