CountyCode,DistrictCode,ObservationAbout,Year,Female,White,Hispanic,PK_HALF,SHARED
01,0590,NJ-033330,2017,47.7,60.6,13.3,,
01,0590,NJ-033350,2017,51.4,29.7,55.5,,
01,0590,NJ-033550,2017,47.3,38.2,32.5,30,
01,0590,NJ-033600,2017,48.0,46.7,46.5,1,
01,0590,NJ-033700,2017,52.3,71.6,8.9,11,
01,0590,NJ-033710,2017,46.2,56.8,8.7,,
01,0590,NJ-033730,2017,48.4,44.6,14.6,,
01,0590,NJ-033740,2017,49.2,38.9,13.8,30,
01,0590,NJ-033760,2017,48.8,78.5,11.9,,
01,0590,NJ-033850,2017,47.7,50.1,4.8,5,
01,0590,NJ-033870,2017,49.2,57.0,8.3,,
01,0590,NJ-033910,2017,48.5,8.2,64.4,,
01,0590,NJ-033930,2017,47.7,45.3,17.4,27,
01,0590,NJ-033940,2017,48.7,71.2,16.6,23,
01,0590,NJ-033960,2017,50.1,72.4,12.4,,
01,0590,NJ-034300,2017,50.2,82.9,8.5,56,
01,1300,NJ-034310,2017,48.1,76.4,10.9,34,
01,1300,NJ-034370,2017,43.4,26.1,47.9,1,
01,1300,NJ-034380,2017,48.9,18.9,65.9,5,
01,1300,NJ-034390,2017,48.9,59.5,10.8,,
01,1300,NJ-034405,2017,48.4,57.1,10.8,,
01,1300,NJ-034410,2017,45.6,44.3,14.6,11,
01,1300,NJ-034430,2017,48.6,75.3,7.0,21,
01,1300,NJ-034470,2017,44.9,40.7,47.0,41,
01,1300,NJ-034600,2017,48.2,51.8,24.4,,
01,1300,NJ-034610,2017,50.2,57.3,31.9,29,
01,1300,NJ-034620,2017,50.0,57.1,6.3,,
01,1300,NJ-034845,2017,28.7,40.8,42.4,,
01,1310,NJ-034870,2017,46.3,23.1,63.4,36,1
01,1310,NJ-035150,2017,48.8,12.8,41.4,,25
01,1310,NJ-035160,2017,48.3,49.0,8.7,,
01,1310,NJ-035330,2017,49.8,63.4,10.1,,23
01,1310,NJ-035410,2017,48.1,68.4,20.4,4,1
01,1310,NJ-035430,2017,47.8,61.3,33.5,,
01,1310,NJ-035755,2017,50.3,70.2,17.6,34,
01,1310,NJ-035830,2017,46.7,50.1,31.0,48,
01,1310,NJ-035880,2017,49.4,78.5,9.5,,
01,1310,NJ-035920,2017,50.3,83.4,6.7,75,
01,1310,NJ-050200,2017,49.1,26.0,28.1,,
01,1310,NJ-050380,2017,47.0,62.5,14.5,,
01,1310,NJ-050475,2017,49.1,23.5,19.6,188,4
01,1310,NJ-050600,2017,49.1,40.7,16.8,36,17
01,1310,NJ-050605,2017,29.9,37.2,21.4,28,4
01,1310,NJ-050610,2017,52.2,30.8,14.7,,3
01,1410,NJ-050620,2017,48.3,55.1,6.7,3,
01,1410,NJ-050830,2017,52.3,73.0,10.2,,48
01,1410,NJ-050840,2017,46.7,47.4,20.2,22,2
01,1410,NJ-051030,2017,47.4,67.0,18.8,75,
01,1410,NJ-051060,2017,47.0,45.9,19.5,101,
01,1410,NJ-051250,2017,50.2,35.7,25.7,,5
01,1410,NJ-051280,2017,49.8,68.9,7.0,2,4
01,1410,NJ-051420,2017,48.2,50.2,12.7,,
01,1410,NJ-051520,2017,49.2,70.2,9.5,,
01,1410,NJ-051910,2017,47.1,71.2,9.4,,2
01,1540,NJ-052610,2017,49.4,41.1,15.2,,13
01,1540,NJ-052850,2017,47.5,65.1,9.9,105,3
01,1540,NJ-052960,2017,49.6,44.0,26.9,10,3
01,1540,NJ-053010,2017,49.2,96.2,1.2,13,7
01,1540,NJ-053070,2017,47.8,82.0,7.6,10,
01,1540,NJ-053080,2017,50.7,65.4,8.0,17,
01,1540,NJ-053360,2017,49.0,28.2,25.0,30,
01,1540,NJ-053430,2017,50.6,48.4,12.0,,
01,1540,NJ-053440,2017,48.5,37.4,36.9,,
01,1540,NJ-053540,2017,48.9,53.9,24.9,,
01,1540,NJ-053650,2017,49.5,57.2,15.0,,4
01,1690,NJ-053690,2017,46.6,54.8,16.3,20,48
01,1690,NJ-053920,2017,47.0,47.4,21.5,,
01,1690,NJ-054050,2017,49.1,45.4,17.1,32,1
01,1690,NJ-054320,2017,53.2,38.8,46.3,,
01,1690,NJ-054450,2017,47.8,80.1,12.3,,1
01,1690,NJ-054460,2017,49.8,86.4,8.3,,
01,1690,NJ-054740,2017,44.6,80.3,12.6,189,1
01,1690,NJ-054930,2017,47.3,82.0,9.2,,
01,1690,NJ-055010,2017,49.1,85.5,8.7,,308
01,1690,NJ-055130,2017,49.4,32.5,17.1,,
01,1690,NJ-055720,2017,46.1,3.4,19.7,,
01,1690,NJ-055805,2017,47.4,91.2,4.9,19,308
01,1790,NJ-055890,2017,45.9,82.8,9.5,,
01,1790,NJ-070150,2017,48.3,72.7,11.4,,
01,1790,NJ-070190,2017,46.4,54.3,23.6,,
01,1790,NJ-070260,2017,48.3,71.2,8.2,12,
01,1790,NJ-070330,2017,47.9,55.2,21.5,76,
01,1790,NJ-070340,2017,44.5,48.9,13.6,73,
01,1940,NJ-070390,2017,50.0,53.1,23.8,20,
01,1940,NJ-070580,2017,53.8,1.1,54.4,,41
01,1940,NJ-070680,2017,47.3,32.6,38.4,,25
01,1940,NJ-070700,2017,49.4,52.4,14.9,29,156
01,1940,NJ-070800,2018,48.2,26.3,39.3,21,420
01,1940,NJ-070880,2018,48.1,59.8,21.3,,193
01,1940,NJ-070940,2018,47.3,56.3,11.7,,90
01,1940,NJ-071255,2018,49.2,61.4,13.4,56,31
01,1940,NJ-071720,2018,46.8,56.3,19.7,,304
01,1940,NJ-071770,2018,47.5,43.0,17.6,112,15
01,1940,NJ-071780,2018,48.5,0.2,40.9,31,33
01,1940,NJ-071799,2018,48.3,0.3,30.9,43,5
01,1960,NJ-071801,2018,48.4,0.6,71.8,,602
01,1960,NJ-071802,2018,47.8,72.9,10.3,,29
01,1960,NJ-071880,2018,47.9,80.0,9.8,,8
01,1960,NJ-071890,2018,48.2,86.7,3.8,,25
01,1960,NJ-071900,2018,48.9,57.6,16.8,,37
01,1960,NJ-072540,2018,53.2,3.6,19.8,,5
01,1960,NJ-072560,2018,52.1,6.4,59.4,,
01,1960,NJ-072670,2018,49.2,46.6,20.5,,6
01,1960,NJ-072890,2018,44.3,52.6,27.6,,3
01,1960,NJ-073110,2018,52.0,77.5,12.8,,
01,1960,NJ-073420,2018,50.6,75.1,13.7,,
01,1960,NJ-073770,2018,43.7,7.8,57.5,,2
01,1960,NJ-074060,2018,47.4,35.1,25.6,,
01,1960,NJ-074110,2018,49.8,72.0,11.4,,57
01,1960,NJ-074590,2018,47.3,33.5,27.1,3,4
01,1960,NJ-074790,2018,47.4,40.3,19.5,,15
01,2680,NJ-075035,2018,47.4,56.6,20.2,,
01,2680,NJ-075080,2018,46.8,51.9,10.1,,5
01,2680,NJ-075400,2018,48.8,77.2,11.3,,2
01,2680,NJ-075560,2018,45.1,17.0,19.9,,1
01,2680,NJ-075820,2018,47.6,2.5,60.4,,
01,2680,NJ-075900,2018,48.8,88.0,10.8,,
01,2680,NJ-090170,2018,50.7,57.4,30.4,,2
01,2680,NJ-090710,2018,55.9,62.9,21.9,,1
01,2680,NJ-090715,2018,29.5,77.4,15.0,,1
01,2680,NJ-090720,2018,48.4,91.8,4.8,,
01,2680,NJ-091080,2018,50.5,75.8,16.1,,8
01,2680,NJ-092820,2018,49.8,76.8,15.7,,8
01,2910,NJ-092840,2018,49.2,58.5,18.9,,
01,2910,NJ-093130,2018,48.1,72.0,13.1,,254
01,2910,NJ-093680,2018,55.3,81.3,12.6,,64
01,2910,NJ-093780,2018,52.4,91.8,3.5,,
01,2910,NJ-095060,2018,48.4,91.3,4.7,55,9
01,2910,NJ-095340,2018,46.6,78.6,19.0,15,27
01,3020,NJ-095610,2018,46.1,23.2,65.1,,25
01,3020,NJ-095790,2018,46.7,79.7,14.0,,74
01,3020,NJ-095800,2018,47.3,22.6,44.0,1,28
01,3020,NJ-095840,2018,52.8,2.2,76.8,28,3
01,3020,NJ-110540,2018,50.1,62.5,19.2,25,137
01,3020,NJ-110950,2018,48.8,48.6,39.0,,
01,3020,NJ-110995,2018,51.9,40.5,35.2,,943
01,3020,NJ-110997,2018,51.7,42.4,39.8,35,50
01,3020,NJ-111020,2018,46.3,84.8,8.5,47,81
01,3020,NJ-111120,2018,53.8,6.0,40.1,1,52
01,3020,NJ-111460,2018,48.5,75.6,8.5,,31
01,3480,NJ-111820,2018,51.6,61.4,26.7,32,4
01,3480,NJ-112270,2018,49.5,69.9,14.7,31,26
01,3480,NJ-112570,2018,48.4,79.3,13.0,,38
01,3480,NJ-113050,2018,46.4,30.4,29.3,20,43
01,3480,NJ-113230,2018,49.1,89.4,7.3,,12
01,3480,NJ-115070,2018,54.1,38.4,34.8,15,13
01,3480,NJ-115300,2018,49.8,18.8,62.3,3,4
01,3480,NJ-115390,2018,49.2,10.9,72.9,,48
01,3480,NJ-130250,2018,47.7,22.6,47.0,,54
01,3480,NJ-130410,2018,47.4,77.0,15.3,58,30
01,3480,NJ-130660,2018,48.9,78.0,10.5,24,
01,3480,NJ-130760,2018,48.9,0.9,15.6,56,5
01,3720,NJ-131210,2018,48.6,2.4,24.4,,25
01,3720,NJ-131387,2018,22.0,1.6,54.2,,
01,3720,NJ-131390,2018,54.8,78.9,6.6,,466
01,3720,NJ-131400,2018,48.5,79.6,12.1,47,36
01,3720,NJ-131465,2018,50.8,73.4,7.7,,36
01,3720,NJ-131750,2018,49.4,0.3,28.9,,29
01,3720,NJ-132330,2018,48.3,45.7,5.4,,4
01,3720,NJ-132730,2018,47.2,39.1,4.9,,47
01,3720,NJ-133190,2018,48.2,50.6,14.8,,25
01,3720,NJ-133310,2018,48.1,6.5,56.9,,13
01,3720,NJ-133570,2018,48.2,74.1,9.2,43,47
01,4180,NJ-133630,2018,47.1,52.0,29.7,43,31
01,4180,NJ-133750,2018,50.2,0.4,50.3,,68
01,4180,NJ-133880,2018,48.8,65.8,13.6,5,214
01,4180,NJ-134530,2018,44.8,54.3,9.8,5,110
01,4180,NJ-134900,2018,48.8,81.4,9.8,,159
01,4180,NJ-135370,2018,51.7,80.4,8.9,,97
01,4180,NJ-135630,2018,50.6,17.1,37.4,,135
01,4180,NJ-135680,2018,47.8,45.1,16.9,,88
01,4180,NJ-150860,2018,47.3,80.4,7.3,,1445
01,4180,NJ-150870,2018,50.6,51.0,17.4,50,78
01,4180,NJ-151100,2018,48.2,78.6,6.2,,17
01,4180,NJ-151180,2018,50.9,63.5,17.3,,49
01,4180,NJ-151330,2018,50.8,76.7,12.5,,9
01,4180,NJ-151590,2018,46.6,68.4,14.7,,79
01,4180,NJ-151715,2018,47.4,32.4,24.4,295,340
01,4180,NJ-151730,2018,48.0,47.5,20.1,128,
01,4240,NJ-151774,2018,26.9,74.9,8.6,,
01,4240,NJ-151775,2018,55.5,63.4,17.0,,16
01,4240,NJ-151830,2018,47.4,81.8,6.1,,
01,4240,NJ-152070,2018,49.6,70.9,8.9,,
01,4240,NJ-152440,2018,48.1,71.1,9.5,4,
01,4240,NJ-152750,2018,46.9,77.7,9.5,10,
01,4240,NJ-152990,2018,48.7,58.4,13.9,,
01,4240,NJ-153280,2018,48.2,73.6,11.1,23,
